host_species	taxid	host_genus	host_family	host_order	host_class
Tylomys watsoni	1002723	Tylomys	Cricetidae	Rodentia	Mammalia
Stercorarius skua	54056	Stercorarius	Stercorariidae	Charadriiformes	Aves
Phrynobatrachus krefftii	333691	Phrynobatrachus	Phrynobatrachidae	Anura	Amphibia
Trigonoceps occipitalis	8975	Trigonoceps	Accipitridae	Accipitriformes	Aves
Hemitriccus minor	360203	Hemitriccus	Tyrannidae	Passeriformes	Aves
Limosa fedoa	162324	Limosa	Scolopacidae	Charadriiformes	Aves
Anilios guentheri	759986	Anilios	Typhlopidae	Squamata	Lepidosauria
Gerbillus hoogstrali	1100084	Gerbillus	Muridae	Rodentia	Mammalia
Tamias panamintinus	123790	Tamias	Sciuridae	Rodentia	Mammalia
Pristimantis achatinus	448521	Pristimantis	Strabomantidae	Anura	Amphibia
Ichthyophis biangularis	1120422	Ichthyophis	Ichthyophiidae	Gymnophiona	Amphibia
Chamaeleo dilepis	91908	Chamaeleo	Chamaeleonidae	Squamata	Lepidosauria
Panterpe insignis	304665	Panterpe	Trochilidae	Apodiformes	Aves
Pseudaspis cana	184168	Pseudaspis	Lamprophiidae	Squamata	Lepidosauria
Vandijkophrynus inyangae	125854	Vandijkophrynus	Bufonidae	Anura	Amphibia
Selasphorus calliope	472914	Selasphorus	Trochilidae	Apodiformes	Aves
Atractaspis corpulenta	39393	Atractaspis	Lamprophiidae	Squamata	Lepidosauria
Allobates undulatus	356202	Allobates	Dendrobatidae	Anura	Amphibia
Conraua robusta	356203	Conraua	Petropedetidae	Anura	Amphibia
Minervarya agricola	2547925	Minervarya	Dicroglossidae	Anura	Amphibia
Tropidurus insulanus	179251	Tropidurus	Iguanidae	Squamata	Lepidosauria
Thylamys pusillus	191873	Thylamys	Didelphidae	Didelphimorphia	Mammalia
Leptobrachium mouhoti	469897	Leptobrachium	Megophryidae	Anura	Amphibia
Delma nasuta	207589	Delma	Pygopodidae	Squamata	Lepidosauria
Pleurodema thaul	404002	Pleurodema	Leptodactylidae	Anura	Amphibia
Microtus bavaricus	137710	Microtus	Cricetidae	Rodentia	Mammalia
Ardenna creatopus	48679	Ardenna	Procellariidae	Procellariiformes	Aves
Cercopithecus lomamiensis	1191211	Cercopithecus	Cercopithecidae	Primates	Mammalia
Circus ranivorus	321096	Circus	Accipitridae	Accipitriformes	Aves
Tetradactylus seps	126624	Tetradactylus	Gerrhosauridae	Squamata	Lepidosauria
Spizella pusilla	40212	Spizella	Passerellidae	Passeriformes	Aves
Kinosternon integrum	904200	Kinosternon	Kinosternidae	Testudines	Testudinata
Eulidia yarrellii	1159642	Eulidia	Trochilidae	Apodiformes	Aves
Enyalioides oshaughnessyi	542823	Enyalioides	Iguanidae	Squamata	Lepidosauria
Piculus flavigula	315380	Piculus	Picidae	Piciformes	Aves
Stenocercus rhodomelas	342350	Stenocercus	Iguanidae	Squamata	Lepidosauria
Lanio fulvus	548484	Lanio	Thraupidae	Passeriformes	Aves
Boulengerula taitana	102246	Boulengerula	Herpelidae	Gymnophiona	Amphibia
Grallaria eludens	255369	Grallaria	Formicariidae	Passeriformes	Aves
Pteropus voeltzkowi	589509	Pteropus	Pteropodidae	Chiroptera	Mammalia
Habromys ixtlani	397749	Habromys	Cricetidae	Rodentia	Mammalia
Eolagurus luteus	685891	Eolagurus	Cricetidae	Rodentia	Mammalia
Icterus cucullatus	105511	Icterus	Icteridae	Passeriformes	Aves
Rhinella atacamensis	301299	Rhinella	Bufonidae	Anura	Amphibia
Varecia rubra	554167	Varecia	Lemuridae	Primates	Mammalia
Emoia schmidti	999328	Emoia	Scincidae	Squamata	Lepidosauria
Antechinus agilis	400481	Antechinus	Dasyuridae	Dasyuromorphia	Mammalia
Odorrana utsunomiyaorum	310663	Odorrana	Ranidae	Anura	Amphibia
Daubentonia madagascariensis	31869	Daubentonia	Daubentoniidae	Primates	Mammalia
Cranioleuca demissa	86270	Cranioleuca	Furnariidae	Passeriformes	Aves
Uroplatus sp. B CMI-2008	543552	Uroplatus	Gekkonidae	Squamata	Lepidosauria
Tangara nigrocincta	256451	Tangara	Thraupidae	Passeriformes	Aves
Takydromus luyeanus	1237065	Takydromus	Lacertidae	Squamata	Lepidosauria
Bombycilla cedrorum	161648	Bombycilla	Bombycillidae	Passeriformes	Aves
Lucasium maini	1165297	Lucasium	Diplodactylidae	Squamata	Lepidosauria
Anolis etheridgei	75254	Anolis	Dactyloidae	Squamata	Lepidosauria
Rhinolophus sinicus	89399	Rhinolophus	Rhinolophidae	Chiroptera	Mammalia
Microlophus albemarlensis	184593	Microlophus	Iguanidae	Squamata	Lepidosauria
Nothoprocta perdicaria	30464	Nothoprocta	Tinamidae	Tinamiformes	Aves
Dendrocoptes medius	1517833	Dendrocoptes	Picidae	Piciformes	Aves
Potos flavus	29067	Potos	Procyonidae	Carnivora	Mammalia
Thermophis baileyi	527827	Thermophis	Dipsadidae	Squamata	Lepidosauria
Dendrocopos hyperythrus	381866	Dendrocopos	Picidae	Piciformes	Aves
Muscisaxicola maculirostris	123668	Muscisaxicola	Tyrannidae	Passeriformes	Aves
Chlidonias hybrida	297805	Chlidonias	Laridae	Charadriiformes	Aves
Vanellus chilensis	50404	Vanellus	Charadriidae	Charadriiformes	Aves
Eurycea latitans	147891	Eurycea	Plethodontidae	Caudata	Amphibia
Elaenia dayi	502634	Elaenia	Tyrannidae	Passeriformes	Aves
Avahi unicolor	402239	Avahi	Indriidae	Primates	Mammalia
Plegadis chihi	302533	Plegadis	Threskiornithidae	Pelecaniformes	Aves
Plethodon jordani	8336	Plethodon	Plethodontidae	Caudata	Amphibia
Astrapia nigra	681184	Astrapia	Paradisaeidae	Passeriformes	Aves
Ardenna gravis	37051	Ardenna	Procellariidae	Procellariiformes	Aves
Ommatophoca rossii	207342	Ommatophoca	Phocidae	Carnivora	Mammalia
Crax alector	84985	Crax	Cracidae	Galliformes	Aves
Aquila verreauxii	252782	Aquila	Accipitridae	Accipitriformes	Aves
Leptobrachium boringii	265040	Leptobrachium	Megophryidae	Anura	Amphibia
Accipiter soloensis	387806	Accipiter	Accipitridae	Accipitriformes	Aves
Saccolaimus saccolaimus	526813	Saccolaimus	Emballonuridae	Chiroptera	Mammalia
Turdus roehli	338149	Turdus	Turdidae	Passeriformes	Aves
Egretta caerulea	110682	Egretta	Ardeidae	Pelecaniformes	Aves
Mimus longicaudatus	58201	Mimus	Mimidae	Passeriformes	Aves
Peltops blainvillii	626435	Peltops	Artamidae	Passeriformes	Aves
Dicrostonyx groenlandicus	85953	Dicrostonyx	Cricetidae	Rodentia	Mammalia
Zalophus wollebaeki	419013	Zalophus	Otariidae	Carnivora	Mammalia
Geothlypis flavovelata	355626	Geothlypis	Parulidae	Passeriformes	Aves
Liosceles thoracicus	255377	Liosceles	Rhinocryptidae	Passeriformes	Aves
Goniurosaurus araneus	449388	Goniurosaurus	Eublepharidae	Squamata	Lepidosauria
Chiromantis xerampelina	39610	Chiromantis	Rhacophoridae	Anura	Amphibia
Desmognathus folkertsi	279537	Desmognathus	Plethodontidae	Caudata	Amphibia
Pelecanoides garnotii	79637	Pelecanoides	Pelecanoididae	Procellariiformes	Aves
Ptychohyla dendrophasma	317330	Ptychohyla	Hylidae	Anura	Amphibia
Phaethornis pretrei	135179	Phaethornis	Trochilidae	Apodiformes	Aves
Niltava davidi	427697	Niltava	Muscicapidae	Passeriformes	Aves
Petroica goodenovii	242120	Petroica	Petroicidae	Passeriformes	Aves
Sachatamia punctulata	526145	Sachatamia	Centrolenidae	Anura	Amphibia
Akodon latebricola	992337	Akodon	Cricetidae	Rodentia	Mammalia
Sceloporus uniformis	1835718	Sceloporus	Phrynosomatidae	Squamata	Lepidosauria
Ctenotus ingrami	480750	Ctenotus	Scincidae	Squamata	Lepidosauria
Bombina orientalis	8346	Bombina	Bombinatoridae	Anura	Amphibia
Amphisbaena fuliginosa	643087	Amphisbaena	Amphisbaenidae	Squamata	Lepidosauria
Allenopithecus nigroviridis	54135	Allenopithecus	Cercopithecidae	Primates	Mammalia
Elephantulus edwardii	28737	Elephantulus	Macroscelididae	Macroscelidea	Mammalia
Lerista eupoda	470344	Lerista	Scincidae	Squamata	Lepidosauria
Paradisaea raggiana	36268	Paradisaea	Paradisaeidae	Passeriformes	Aves
Cyanomitra oritis	1492914	Cyanomitra	Nectariniidae	Passeriformes	Aves
Thamnophilus caerulescens	137540	Thamnophilus	Thamnophilidae	Passeriformes	Aves
Psammophis trigrammus	382758	Psammophis	Lamprophiidae	Squamata	Lepidosauria
Lioptilus nigricapillus	552920	Lioptilus	Timaliidae	Passeriformes	Aves
Orcaella heinsohni	682059	Orcaella	Delphinidae	Artiodactyla	Mammalia
Plecotus kolombatovici	169060	Plecotus	Vespertilionidae	Chiroptera	Mammalia
Lophocebus aterrimus	75566	Lophocebus	Cercopithecidae	Primates	Mammalia
Spermophilus citellus	9997	Spermophilus	Sciuridae	Rodentia	Mammalia
Coryphospingus cucullatus	137237	Coryphospingus	Thraupidae	Passeriformes	Aves
Apalis jacksoni	405068	Apalis	Cisticolidae	Passeriformes	Aves
Pseudoboa nigra	211649	Pseudoboa	Dipsadidae	Squamata	Lepidosauria
Colaptes fernandinae	880806	Colaptes	Picidae	Piciformes	Aves
Emoia physicae	220763	Emoia	Scincidae	Squamata	Lepidosauria
Conepatus leuconotus	30543	Conepatus	Mephitidae	Carnivora	Mammalia
Sphaerodactylus kirbyi	210817	Sphaerodactylus	Sphaerodactylidae	Squamata	Lepidosauria
Plecotus strelkovi	360163	Plecotus	Vespertilionidae	Chiroptera	Mammalia
Turdus torquatus	357595	Turdus	Turdidae	Passeriformes	Aves
Ptilogonys cinereus	254654	Ptilogonys	Bombycillidae	Passeriformes	Aves
Carpodacus formosanus	1390223	Carpodacus	Fringillidae	Passeriformes	Aves
Hydromorphus concolor	699583	Hydromorphus	Dipsadidae	Squamata	Lepidosauria
Cheramoeca leucosternus	317115	Cheramoeca	Hirundinidae	Passeriformes	Aves
Ctenomys australis	170736	Ctenomys	Ctenomyidae	Rodentia	Mammalia
Pnoepyga albiventer	634345	Pnoepyga	Timaliidae	Passeriformes	Aves
Megalaima mystacophanos	91773	Megalaima	Megalaimidae	Piciformes	Aves
Monodelphis arlindoi	1185641	Monodelphis	Didelphidae	Didelphimorphia	Mammalia
Chloropsis jerdoni	1218689	Chloropsis	Irenidae	Passeriformes	Aves
Plestiodon multivirgatus	463534	Plestiodon	Scincidae	Squamata	Lepidosauria
Anthus lutescens	555221	Anthus	Motacillidae	Passeriformes	Aves
Draco bourouniensis	162338	Draco	Agamidae	Squamata	Lepidosauria
Psittiparus gularis	2485345	Psittiparus	Sylviidae	Passeriformes	Aves
Myrmotherula brachyura	468506	Myrmotherula	Thamnophilidae	Passeriformes	Aves
Zosterops conspicillatus	135980	Zosterops	Zosteropidae	Passeriformes	Aves
Craugastor bransfordii	228452	Craugastor	Craugastoridae	Anura	Amphibia
Phelsuma mutabilis	232289	Phelsuma	Gekkonidae	Squamata	Lepidosauria
Leucocephalon yuwonoi	232864	Leucocephalon	Geoemydidae	Testudines	Testudinata
Neacomys paracou	461404	Neacomys	Cricetidae	Rodentia	Mammalia
Guibemantis liber	160225	Guibemantis	Mantellidae	Anura	Amphibia
Platalina genovensium	190511	Platalina	Phyllostomidae	Chiroptera	Mammalia
Ophidiocephalus taeniatus	207563	Ophidiocephalus	Pygopodidae	Squamata	Lepidosauria
Desmognathus quadramaculatus	52105	Desmognathus	Plethodontidae	Caudata	Amphibia
Ampelioides tschudii	114271	Ampelioides	Cotingidae	Passeriformes	Aves
Gephyromantis silvanus	321749	Gephyromantis	Mantellidae	Anura	Amphibia
Alcippe morrisonia	204791	Alcippe	Timaliidae	Passeriformes	Aves
Peromyscus melanotis	42412	Peromyscus	Cricetidae	Rodentia	Mammalia
Cubophis ruttyi	643614	Cubophis	Dipsadidae	Squamata	Lepidosauria
Genetta genetta	94190	Genetta	Viverridae	Carnivora	Mammalia
Isthmohyla pseudopuma	317342	Isthmohyla	Hylidae	Anura	Amphibia
Zosterops murphyi	589902	Zosterops	Zosteropidae	Passeriformes	Aves
Oedura tryoni	95120	Oedura	Diplodactylidae	Squamata	Lepidosauria
Cyanolyca pumilo	617241	Cyanolyca	Corvidae	Passeriformes	Aves
Sterna sumatrana	297825	Sterna	Laridae	Charadriiformes	Aves
Adenomera martinezi	1302379	Adenomera	Leptodactylidae	Anura	Amphibia
Aotus vociferans	57176	Aotus	Aotidae	Primates	Mammalia
Turdus boulboul	357594	Turdus	Turdidae	Passeriformes	Aves
Myotis cf. punicus	126404	Myotis	Vespertilionidae	Chiroptera	Mammalia
Lepidopyga goudoti	1165719	Lepidopyga	Trochilidae	Apodiformes	Aves
Acanthiza iredalei	117189	Acanthiza	Acanthizidae	Passeriformes	Aves
Fluvicola albiventer	1577976	Fluvicola	Tyrannidae	Passeriformes	Aves
Propithecus tattersalli	30601	Propithecus	Indriidae	Primates	Mammalia
Geospiza conirostris	48882	Geospiza	Thraupidae	Passeriformes	Aves
Adelophryne sp. 7 AF-2012	1217977	Adelophryne	Eleutherodactylidae	Anura	Amphibia
Chamaeleo senegalensis	187945	Chamaeleo	Chamaeleonidae	Squamata	Lepidosauria
Anolis rubribarbus	323615	Anolis	Dactyloidae	Squamata	Lepidosauria
Ameerega cainarachi	386762	Ameerega	Dendrobatidae	Anura	Amphibia
Myiagra albiventris	1389712	Myiagra	Monarchidae	Passeriformes	Aves
Phelsuma guentheri	232313	Phelsuma	Gekkonidae	Squamata	Lepidosauria
Saara asmussi	668330	Saara	Agamidae	Squamata	Lepidosauria
Rhacophorus monticola	248874	Rhacophorus	Rhacophoridae	Anura	Amphibia
Carollia benkeithi	348608	Carollia	Phyllostomidae	Chiroptera	Mammalia
Tropiocolotes algericus	1277454	Tropiocolotes	Gekkonidae	Squamata	Lepidosauria
Eunectes murinus	51876	Eunectes	Boidae	Squamata	Lepidosauria
Macaca thibetana	54602	Macaca	Cercopithecidae	Primates	Mammalia
Leptodactylus didymus	317362	Leptodactylus	Leptodactylidae	Anura	Amphibia
Luperosaurus cumingii	1183070	Luperosaurus	Gekkonidae	Squamata	Lepidosauria
Crotalus scutulatus	8737	Crotalus	Viperidae	Squamata	Lepidosauria
Melozone crissalis	40204	Melozone	Passerellidae	Passeriformes	Aves
Rattus lutreolus	472760	Rattus	Muridae	Rodentia	Mammalia
Oreobates lehri	509609	Oreobates	Strabomantidae	Anura	Amphibia
Veniliornis sanguineus	1118852	Veniliornis	Picidae	Piciformes	Aves
Leiothlypis celata	62259	Leiothlypis	Parulidae	Passeriformes	Aves
Sorex gracillimus	62273	Sorex	Soricidae	Eulipotyphla	Mammalia
Trochocercus nitens	107235	Trochocercus	Monarchidae	Passeriformes	Aves
Varanus komodoensis	61221	Varanus	Varanidae	Squamata	Lepidosauria
Hypsipetes parvirostris	289191	Hypsipetes	Pycnonotidae	Passeriformes	Aves
Ramphocelus melanogaster	664763	Ramphocelus	Thraupidae	Passeriformes	Aves
Mus tenellus	397330	Mus	Muridae	Rodentia	Mammalia
Anolis polyrhachis	323599	Anolis	Dactyloidae	Squamata	Lepidosauria
Trinomys paratus	42827	Trinomys	Echimyidae	Rodentia	Mammalia
Coeligena prunellei	673906	Coeligena	Trochilidae	Apodiformes	Aves
Oligoryzomys stramineus	218826	Oligoryzomys	Cricetidae	Rodentia	Mammalia
Myrmotherula assimilis	867219	Myrmotherula	Thamnophilidae	Passeriformes	Aves
Leptopelis kivuensis	240394	Leptopelis	Arthroleptidae	Anura	Amphibia
Aethia cristatella	28685	Aethia	Alcidae	Charadriiformes	Aves
Eurylaimus steerii	397313	Eurylaimus	Eurylaimidae	Passeriformes	Aves
Campylopterus ensipennis	1507371	Campylopterus	Trochilidae	Apodiformes	Aves
Myrmecocichla aethiops	869917	Myrmecocichla	Muscicapidae	Passeriformes	Aves
Blarina hylophaga	183659	Blarina	Soricidae	Eulipotyphla	Mammalia
Antillotyphlops catapontus	759969	Antillotyphlops	Typhlopidae	Squamata	Lepidosauria
Meroles reticulatus	71738	Meroles	Lacertidae	Squamata	Lepidosauria
Thryothorus felix	376327	Thryothorus	Certhiidae	Passeriformes	Aves
Aix sponsa	8833	Aix	Anatidae	Anseriformes	Aves
Echinosaura brachycephala	1819606	Echinosaura	Gymnophthalmidae	Squamata	Lepidosauria
Lanius excubitor	158049	Lanius	Laniidae	Passeriformes	Aves
Barbastella leucomelas	187009	Barbastella	Vespertilionidae	Chiroptera	Mammalia
Micropteropus pusillus	77235	Micropteropus	Pteropodidae	Chiroptera	Mammalia
Iridosornis reinhardti	548509	Iridosornis	Thraupidae	Passeriformes	Aves
Dipodomys deserti	284671	Dipodomys	Heteromyidae	Rodentia	Mammalia
Dierogekko thomaswhitei	1096136	Dierogekko	Diplodactylidae	Squamata	Lepidosauria
Osteopilus ocellatus	371708	Osteopilus	Hylidae	Anura	Amphibia
Coturnix pectoralis	116989	Coturnix	Phasianidae	Galliformes	Aves
Hydrophis pachycercos	1264966	Hydrophis	Hydrophiidae	Squamata	Lepidosauria
Cercotrichas hartlaubi	758440	Cercotrichas	Muscicapidae	Passeriformes	Aves
Pseudohynobius shuichengensis	365029	Pseudohynobius	Hynobiidae	Caudata	Amphibia
Tupaia picta	1035796	Tupaia	Tupaiidae	Scandentia	Mammalia
Pseudechis australis	8670	Pseudechis	Elapidae	Squamata	Lepidosauria
Ctenotus striaticeps	480787	Ctenotus	Scincidae	Squamata	Lepidosauria
Crotalus atrox	8730	Crotalus	Viperidae	Squamata	Lepidosauria
Cacosternum namaquense	937763	Cacosternum	Pyxicephalidae	Anura	Amphibia
Charadrius dubius	225396	Charadrius	Charadriidae	Charadriiformes	Aves
Ingerophrynus divergens	223859	Ingerophrynus	Bufonidae	Anura	Amphibia
Arthroleptella villiersi	150246	Arthroleptella	Pyxicephalidae	Anura	Amphibia
Chelonoidis abingdonii	106734	Chelonoidis	Testudinidae	Testudines	Testudinata
Gekko crombota	655675	Gekko	Gekkonidae	Squamata	Lepidosauria
Lagonosticta rara	247512	Lagonosticta	Estrildidae	Passeriformes	Aves
Dinornis novaezealandiae	8818	Dinornis	Dinornithidae	Dinornithiformes	Aves
Actenoides concretus	342375	Actenoides	Alcedinidae	Coraciiformes	Aves
Oryzomys mexicanus	478564	Oryzomys	Cricetidae	Rodentia	Mammalia
Ramphocelus carbo	36730	Ramphocelus	Thraupidae	Passeriformes	Aves
Molothrus rufoaxillaris	84837	Molothrus	Icteridae	Passeriformes	Aves
Alcedo hercules	390725	Alcedo	Alcedinidae	Coraciiformes	Aves
Chrotogale owstoni	94184	Chrotogale	Viverridae	Carnivora	Mammalia
Sphaerodactylus ramsdeni	58697	Sphaerodactylus	Sphaerodactylidae	Squamata	Lepidosauria
Otus scops	126827	Otus	Strigidae	Strigiformes	Aves
Brotogeris jugularis	503983	Brotogeris	Psittacidae	Psittaciformes	Aves
Formicivora grisea	88171	Formicivora	Thamnophilidae	Passeriformes	Aves
Lepidothrix coeruleocapilla	321402	Lepidothrix	Pipridae	Passeriformes	Aves
Sceloporus cryptus	59697	Sceloporus	Phrynosomatidae	Squamata	Lepidosauria
Tarentola ephippiata	178382	Tarentola	Phyllodactylidae	Squamata	Lepidosauria
Anolis christophei	38888	Anolis	Dactyloidae	Squamata	Lepidosauria
Eira barbara	204263	Eira	Mustelidae	Carnivora	Mammalia
Darevskia derjugini	122334	Darevskia	Lacertidae	Squamata	Lepidosauria
Chironius quadricarinatus	876615	Chironius	Colubridae	Squamata	Lepidosauria
Lanius ludovicianus	28713	Lanius	Laniidae	Passeriformes	Aves
Cyrtodactylus annulatus	751986	Cyrtodactylus	Gekkonidae	Squamata	Lepidosauria
Toxostoma guttatum	99879	Toxostoma	Mimidae	Passeriformes	Aves
Grallaria watkinsi	117168	Grallaria	Formicariidae	Passeriformes	Aves
Cycloramphus bandeirensis	1036301	Cycloramphus	Cycloramphidae	Anura	Amphibia
Culicicapa helianthea	107206	Culicicapa	Stenostiridae	Passeriformes	Aves
Stachyris leucotis	1149670	Stachyris	Timaliidae	Passeriformes	Aves
Eremiascincus isolepis	1353949	Eremiascincus	Scincidae	Squamata	Lepidosauria
Mastomys coucha	35658	Mastomys	Muridae	Rodentia	Mammalia
Aplastodiscus perviridis	318259	Aplastodiscus	Hylidae	Anura	Amphibia
Ploceus manyar	414896	Ploceus	Ploceidae	Passeriformes	Aves
Epomophorus crypturus	59450	Epomophorus	Pteropodidae	Chiroptera	Mammalia
Arthroleptis reichei	577200	Arthroleptis	Arthroleptidae	Anura	Amphibia
Pogona nullarbor	206603	Pogona	Agamidae	Squamata	Lepidosauria
Spheniscus magellanicus	37081	Spheniscus	Spheniscidae	Sphenisciformes	Aves
Plethodon ocmulgee	320952	Plethodon	Plethodontidae	Caudata	Amphibia
Reithrodontomys spectabilis	319463	Reithrodontomys	Cricetidae	Rodentia	Mammalia
Tropiocolotes tripolitanus	930273	Tropiocolotes	Gekkonidae	Squamata	Lepidosauria
Cyanolyca cucullata	247975	Cyanolyca	Corvidae	Passeriformes	Aves
Cardioglossa elegans	466267	Cardioglossa	Arthroleptidae	Anura	Amphibia
Cynopterus sphinx	9400	Cynopterus	Pteropodidae	Chiroptera	Mammalia
Anolis argillaceus	38883	Anolis	Dactyloidae	Squamata	Lepidosauria
Phoca vitulina	9720	Phoca	Phocidae	Carnivora	Mammalia
Petroica rosea	461222	Petroica	Petroicidae	Passeriformes	Aves
Herpestes ichneumon	9700	Herpestes	Herpestidae	Carnivora	Mammalia
Oligodon maculatus	928515	Oligodon	Colubridae	Squamata	Lepidosauria
Crocidura russula	36802	Crocidura	Soricidae	Eulipotyphla	Mammalia
Oreobates sanctaecrucis	509611	Oreobates	Strabomantidae	Anura	Amphibia
Micromys minutus	13151	Micromys	Muridae	Rodentia	Mammalia
Platymantis bimaculatus	472301	Platymantis	Ceratobatrachidae	Anura	Amphibia
Epipedobates espinosai	384899	Epipedobates	Dendrobatidae	Anura	Amphibia
Chilonatalus tumidifrons	290568	Chilonatalus	Natalidae	Chiroptera	Mammalia
Hemidactylus karenorum	343447	Hemidactylus	Gekkonidae	Squamata	Lepidosauria
Saproscincus mustelinus	297528	Saproscincus	Scincidae	Squamata	Lepidosauria
Conirostrum speciosum	200156	Conirostrum	Thraupidae	Passeriformes	Aves
Storeria dekayi	183614	Storeria	Colubridae	Squamata	Lepidosauria
Sceloporus hunsakeri	59702	Sceloporus	Phrynosomatidae	Squamata	Lepidosauria
Hieraaetus wahlbergi	252787	Hieraaetus	Accipitridae	Accipitriformes	Aves
Pyroderus scutatus	114375	Pyroderus	Cotingidae	Passeriformes	Aves
Ammodramus aurifrons	218195	Ammodramus	Passerellidae	Passeriformes	Aves
Catharus ustulatus	91951	Catharus	Turdidae	Passeriformes	Aves
Leptobrachium chapaense	161698	Leptobrachium	Megophryidae	Anura	Amphibia
Craugastor sartori	228438	Craugastor	Craugastoridae	Anura	Amphibia
Hyperolius cinnamomeoventris	191616	Hyperolius	Hyperoliidae	Anura	Amphibia
Arremonops rufivirgatus	95653	Arremonops	Passerellidae	Passeriformes	Aves
Pardofelis marmorata	61410	Pardofelis	Felidae	Carnivora	Mammalia
Cercotrichas paena	869903	Cercotrichas	Muscicapidae	Passeriformes	Aves
Merops pusillus	325341	Merops	Meropidae	Coraciiformes	Aves
Francolinus levaillantoides	57761	Francolinus	Phasianidae	Galliformes	Aves
Uromyias agilis	1208753	Uromyias	Tyrannidae	Passeriformes	Aves
Inezia inornata	377285	Inezia	Tyrannidae	Passeriformes	Aves
Tolmomyias assimilis	360234	Tolmomyias	Tyrannidae	Passeriformes	Aves
Microcerculus marginatus	241545	Microcerculus	Certhiidae	Passeriformes	Aves
Petrochelidon pyrrhonota	72884	Petrochelidon	Hirundinidae	Passeriformes	Aves
Charadrius pecuarius	985690	Charadrius	Charadriidae	Charadriiformes	Aves
Allobates kingsburyi	248950	Allobates	Dendrobatidae	Anura	Amphibia
Rhombophryne laevipes	508484	Rhombophryne	Microhylidae	Anura	Amphibia
Centropus unirufus	1118519	Centropus	Centropidae	Cuculiformes	Aves
Helarctos malayanus	9634	Helarctos	Ursidae	Carnivora	Mammalia
Diplothrix legata	106283	Diplothrix	Muridae	Rodentia	Mammalia
Orthogonys chloricterus	1271578	Orthogonys	Fringillidae	Passeriformes	Aves
Spermestes cucullata	158614	Spermestes	Estrildidae	Passeriformes	Aves
Lacertaspis rohdei	245625	Lacertaspis	Scincidae	Squamata	Lepidosauria
Podarcis tiliguerta	65485	Podarcis	Lacertidae	Squamata	Lepidosauria
Tijuca atra	381439	Tijuca	Cotingidae	Passeriformes	Aves
Neotoma magister	85047	Neotoma	Cricetidae	Rodentia	Mammalia
Pomatorhinus ferruginosus	932021	Pomatorhinus	Timaliidae	Passeriformes	Aves
Brachyurophis semifasciatus	529684	Brachyurophis	Elapidae	Squamata	Lepidosauria
Eugongylus rufescens	220764	Eugongylus	Scincidae	Squamata	Lepidosauria
Pseudoferania polylepis	338839	Pseudoferania	Homalopsidae	Squamata	Lepidosauria
Hemitriccus nidipendulus	478603	Hemitriccus	Tyrannidae	Passeriformes	Aves
Emberiza pusilla	74588	Emberiza	Fringillidae	Passeriformes	Aves
Oenanthe bottae	391716	Oenanthe	Muscicapidae	Passeriformes	Aves
Aves	8782	Platysteira concreta	Platysteira	Passeriformes	Aves
Cercartetus nanus	190653	Cercartetus	Burramyidae	Diprotodontia	Mammalia
Laliostoma labrosum	129011	Laliostoma	Mantellidae	Anura	Amphibia
Melanoptila glabrirostris	111990	Melanoptila	Mimidae	Passeriformes	Aves
Miopithecus ogouensis	100488	Miopithecus	Cercopithecidae	Primates	Mammalia
Pseudacris cadaverina	242581	Pseudacris	Hylidae	Anura	Amphibia
Rulyrana adiazeta	526137	Rulyrana	Centrolenidae	Anura	Amphibia
Atticora melanoleuca	317124	Atticora	Hirundinidae	Passeriformes	Aves
Thomasomys notatus	89111	Thomasomys	Cricetidae	Rodentia	Mammalia
Chironius laurenti	876612	Chironius	Colubridae	Squamata	Lepidosauria
Liolaemus nigromaculatus	235415	Liolaemus	Iguanidae	Squamata	Lepidosauria
Akodon toba	29101	Akodon	Cricetidae	Rodentia	Mammalia
Calamonastides gracilirostris	68492	Calamonastides	Acrocephalidae	Passeriformes	Aves
Phrynopus barthlenae	332546	Phrynopus	Strabomantidae	Anura	Amphibia
Cyrtodactylus triedrus	401564	Cyrtodactylus	Gekkonidae	Squamata	Lepidosauria
Gallirallus pendiculentus	570943	Gallirallus	Rallidae	Gruiformes	Aves
Rhogeessa parvula	153298	Rhogeessa	Vespertilionidae	Chiroptera	Mammalia
Pipistrellus pipistrellus	59474	NA	NA	NA	NA
Psaltriparus minimus	88120	Psaltriparus	Aegithalidae	Passeriformes	Aves
Tropidophorus microlepis	338360	Tropidophorus	Scincidae	Squamata	Lepidosauria
Hylaeamys megacephalus	89099	Hylaeamys	Cricetidae	Rodentia	Mammalia
Chimarrogale styani	1365920	Chimarrogale	Soricidae	Eulipotyphla	Mammalia
Leopoldamys edwardsi	83756	Leopoldamys	Muridae	Rodentia	Mammalia
Fossa fossana	143320	Fossa	Eupleridae	Carnivora	Mammalia
Indosylvirana montana	1569968	Indosylvirana	Ranidae	Anura	Amphibia
Boophis xerophilus	128996	Boophis	Mantellidae	Anura	Amphibia
Cyrtodactylus tuberculatus	1089828	Cyrtodactylus	Gekkonidae	Squamata	Lepidosauria
Staurois parvus	386267	Staurois	Ranidae	Anura	Amphibia
Saproscincus basiliscus	260892	Saproscincus	Scincidae	Squamata	Lepidosauria
Zonotrichia capensis	44391	Zonotrichia	Passerellidae	Passeriformes	Aves
Illadopsis cleaveri	201329	Illadopsis	Timaliidae	Passeriformes	Aves
