host_species	taxid	host_genus	host_family	host_order	host_class
Pyrrhura picta	51910	Pyrrhura	Psittacidae	Psittaciformes	Aves
Patagioenas squamosa	372312	Patagioenas	Columbidae	Columbiformes	Aves
Anser fabalis	132587	Anser	Anatidae	Anseriformes	Aves
Myotis welwitschii	160974	Myotis	Vespertilionidae	Chiroptera	Mammalia
Ceratotherium simum	9807	Ceratotherium	Rhinocerotidae	Perissodactyla	Mammalia
Zonosaurus rufipes	174285	Zonosaurus	Gerrhosauridae	Squamata	Lepidosauria
Epthianura tricolor	266354	Epthianura	Meliphagidae	Passeriformes	Aves
Gerbillus occiduus	1100085	Gerbillus	Muridae	Rodentia	Mammalia
Leucippus taczanowskii	1315738	Leucippus	Trochilidae	Apodiformes	Aves
Arses telescopthalmus	338444	Arses	Monarchidae	Passeriformes	Aves
Corvus caurinus	279967	Corvus	Corvidae	Passeriformes	Aves
Lamprophis guttatus	292890	Lamprophis	Lamprophiidae	Squamata	Lepidosauria
Pseudotriccus ruficeps	495155	Pseudotriccus	Tyrannidae	Passeriformes	Aves
Peropteryx macrotis	249015	Peropteryx	Emballonuridae	Chiroptera	Mammalia
Anthus richardi	45799	Anthus	Motacillidae	Passeriformes	Aves
Isothrix negrensis	490302	Isothrix	Echimyidae	Rodentia	Mammalia
Colaptes chrysoides	1734471	Colaptes	Picidae	Piciformes	Aves
Selenidera spectabilis	91795	Selenidera	Ramphastidae	Piciformes	Aves
Testudo hermanni	86976	Testudo	Testudinidae	Testudines	Testudinata
Trochalopteron affine	520161	Trochalopteron	Leiothrichidae	Passeriformes	Aves
Lanius tigrinus	466050	Lanius	Laniidae	Passeriformes	Aves
Scincella gemmingeri	245655	Scincella	Scincidae	Squamata	Lepidosauria
Ixos siquijorensis	690610	Ixos	Pycnonotidae	Passeriformes	Aves
Dendrocopos atratus	1517794	Dendrocopos	Picidae	Piciformes	Aves
Tiliqua gigas	96725	Tiliqua	Scincidae	Squamata	Lepidosauria
Chloropsis media	1218691	Chloropsis	Irenidae	Passeriformes	Aves
Lachesis stenophrys	88085	Lachesis	Viperidae	Squamata	Lepidosauria
Dendrocygna javanica	60182	Dendrocygna	Anatidae	Anseriformes	Aves
Ascaphus truei	8439	Ascaphus	Ascaphidae	Anura	Amphibia
Paracontias sp. FGZC 1347	665584	Paracontias	Scincidae	Squamata	Lepidosauria
Urogale everetti	192726	Urogale	Tupaiidae	Scandentia	Mammalia
Diporiphora australis	206585	Diporiphora	Agamidae	Squamata	Lepidosauria
Thamnosophis stumpffi	414905	Thamnosophis	Lamprophiidae	Squamata	Lepidosauria
Podiceps nigricollis	85099	Podiceps	Podicipedidae	Podicipediformes	Aves
Trogon violaceus	59418	Trogon	Trogonidae	Trogoniformes	Aves
Callonetta leucophrys	75871	Callonetta	Anatidae	Anseriformes	Aves
Proedromys liangshanensis	575527	Proedromys	Cricetidae	Rodentia	Mammalia
Chunga burmeisteri	1352770	Chunga	Cariamidae	Cariamiformes	Aves
Diplodactylus klugei	460092	Diplodactylus	Diplodactylidae	Squamata	Lepidosauria
Phrynocephalus przewalskii	171649	Phrynocephalus	Agamidae	Squamata	Lepidosauria
Rhinolophus affinis	59477	Rhinolophus	Rhinolophidae	Chiroptera	Mammalia
Alauda arvensis	88112	Alauda	Alaudidae	Passeriformes	Aves
Bubalus mindorensis	56639	Bubalus	Bovidae	Artiodactyla	Mammalia
Blythipicus rubiginosus	381858	Blythipicus	Picidae	Piciformes	Aves
Liolaemus poecilochromus	109432	Liolaemus	Iguanidae	Squamata	Lepidosauria
Pseudothecadactylus australis	630713	Pseudothecadactylus	Diplodactylidae	Squamata	Lepidosauria
Tretanorhinus nigroluteus	699599	Tretanorhinus	Dipsadidae	Squamata	Lepidosauria
Phrynobatrachus natalensis	327965	Phrynobatrachus	Phrynobatrachidae	Anura	Amphibia
Aves	8782	Batis molitor	Batis	Passeriformes	Aves
Draco quinquefasciatus	89030	Draco	Agamidae	Squamata	Lepidosauria
Leucophaeus modestus	1471025	Leucophaeus	Laridae	Charadriiformes	Aves
Ploceus hypoxanthus	414894	Ploceus	Ploceidae	Passeriformes	Aves
Crossoptilon mantchuricum	9097	Crossoptilon	Phasianidae	Galliformes	Aves
Acropternis orthonyx	589933	Acropternis	Rhinocryptidae	Passeriformes	Aves
Platyceps collaris	166096	Platyceps	Colubridae	Squamata	Lepidosauria
Pleurodema nebulosum	1273187	Pleurodema	Leptodactylidae	Anura	Amphibia
Auriparus flaviceps	142859	Auriparus	Certhiidae	Passeriformes	Aves
Lamprotornis bicolor	1851198	Lamprotornis	Sturnidae	Passeriformes	Aves
Elephantulus fuscipes	483426	Elephantulus	Macroscelididae	Macroscelidea	Mammalia
Myrmia micrura	689232	Myrmia	Trochilidae	Apodiformes	Aves
Amphiglossus sp. FGZC 482	665582	Amphiglossus	Scincidae	Squamata	Lepidosauria
Hipposideros terasensis	186991	Hipposideros	Hipposideridae	Chiroptera	Mammalia
Heleia crassirostris	634299	Heleia	Zosteropidae	Passeriformes	Aves
Sminthopsis granulipes	90759	Sminthopsis	Dasyuridae	Dasyuromorphia	Mammalia
Turdus falcklandii	411538	Turdus	Turdidae	Passeriformes	Aves
Dicrurus megarhynchus	450177	Dicrurus	Dicruridae	Passeriformes	Aves
Phacellodomus rufifrons	555304	Phacellodomus	Furnariidae	Passeriformes	Aves
Pachycephala rufiventris	381037	Pachycephala	Pachycephalidae	Passeriformes	Aves
Hemiphyllodactylus sp. 6 PLW-2014	1472355	Hemiphyllodactylus	Gekkonidae	Squamata	Lepidosauria
Toxicocalamus loriae	703225	Toxicocalamus	Elapidae	Squamata	Lepidosauria
Macrelaps microlepidotus	292831	Macrelaps	Lamprophiidae	Squamata	Lepidosauria
Halichoerus grypus	9711	Halichoerus	Phocidae	Carnivora	Mammalia
Empidonax flaviventris	183529	Empidonax	Tyrannidae	Passeriformes	Aves
Pericrocotus solaris	424836	Pericrocotus	Campephagidae	Passeriformes	Aves
Trioceros fuelleborni	179912	Trioceros	Chamaeleonidae	Squamata	Lepidosauria
Amytornis barbatus	722644	Amytornis	Maluridae	Passeriformes	Aves
Acanthodactylus grandis	1325132	Acanthodactylus	Lacertidae	Squamata	Lepidosauria
Pionus maximiliani	303305	Pionus	Psittacidae	Psittaciformes	Aves
Niceforonia dolops	696022	Niceforonia	Strabomantidae	Anura	Amphibia
Phyllomyias plumbeiceps	456415	Phyllomyias	Tyrannidae	Passeriformes	Aves
Charadrius hiaticula	371911	Charadrius	Charadriidae	Charadriiformes	Aves
Eriocnemis glaucopoides	555250	Eriocnemis	Trochilidae	Apodiformes	Aves
Ochotona iliensis	221160	Ochotona	Ochotonidae	Lagomorpha	Mammalia
