"","preprocessing_id","preprocessing_batch","sequence_id","index_id","reference_species","reference_closenees","reads_pre_fastp","reads_post_fastp","bases_pre_fastp","bases_post_fastp","adapter_trimmed_reads","adapter_trimmed_bases","host_reads","metagenomic_bases","host_bases","bacterial_archaeal_bases","singlem_fraction","nonpareil_coverage"
"250","PR00930","PRB0016","EHI00492","ADE05E1L1I1","Sciurus vulgaris","Same",26895182,21684012,4034277300,2313372258,21492716,1261361589,13251182,879840635,1433531623,109546204,"12%",0.5199
"251","PR00931","PRB0016","EHI00497","ABQ18E1L1I1","Sciurus vulgaris","Same",40257994,39468730,6038699100,5699450636,6112350,244500204,13356226,3678223604,2021227032,1891236586,"51%",0.7012
"252","PR00932","PRB0016","EHI00498","AGF91E1L1I1","Sciurus vulgaris","Same",36544142,35219638,5481621300,4872197381,11161919,467064648,27093090,1092627957,3779569424,669392296,"61%",0.6609
"253","PR00933","PRB0016","EHI00510","AGF98E1L1I1","Sciurus vulgaris","Same",29509156,27979356,4426373400,3781749143,10346057,488844307,7590502,2778759646,1002989497,1888713412,"68%",0.8454
"254","PR00934","PRB0016","EHI00521","ABQ01E1L1I1","Sciurus vulgaris","Same",37639486,37129466,5645922900,5430689509,4118566,149070959,5315048,4652790825,777898684,3189101721,"69%",0.86
"255","PR00935","PRB0016","EHI00528","ADD97E1L1I1","Sciurus vulgaris","Same",39293856,37859972,5894078400,5344490160,8933227,397214472,2081850,5088833874,255656286,3672558898,"72%",0.9392
"256","PR00936","PRB0016","EHI00530","ABP99E1L1I1","Sciurus vulgaris","Same",44873098,44120340,6730964700,6347156659,8228087,284624216,11843352,4539792764,1807363895,2401084135,"53%",0.6964
"257","PR00937","PRB0016","EHI00539","ADD83E1L1I1","Sciurus vulgaris","Same",42472260,41874046,6370839000,6042882913,6987086,245413521,38653536,0,6042882913,0,"0%",0.8572
"258","PR00938","PRB0016","EHI00545","ADD87E1L1I1","Sciurus vulgaris","Same",27203622,26860828,4080543300,3859109740,5004016,178604102,6992914,2846606757,1012502983,1940592625,"68%",0.8555
"259","PR00939","PRB0016","EHI00553","AB13E1L1I1","Sciurus vulgaris","Same",13825604,12689362,2073840600,1664622317,5881799,284032176,2346196,1384671072,279951245,293656857,"21%",0.5698
"260","PR00940","PRB0016","EHI00584","ABS28E1L2I1","Sciurus vulgaris","Same",50691164,46859768,7603674600,6698419170,11767150,547496799,38689320,1102107077,5596312093,402003819,"36%",0.8025
"261","PR00941","PRB0016","EHI00592","ABS26E1L2I1","Sciurus vulgaris","Same",36758194,34338346,5513729100,4915775141,8196636,370541825,30123270,0,4915775141,0,"0%",0.9672
"262","PR00942","PRB0016","EHI00600","AGF90E1L1I1","Sciurus vulgaris","Same",47686722,44432020,7153008300,6047877151,15852084,765624887,8489656,4966612685,1081264466,3428012315,"69%",0.8736
"263","PR00943","PRB0016","EHI00612","ABS40E1L2I1","Sciurus vulgaris","Same",55467472,54261730,8320120800,7853353386,8390721,306680752,33034198,2959008638,4894344748,410959089,"14%",0.6325
"264","PR00944","PRB0016","EHI00623","ABS92E1L2I1","Sciurus vulgaris","Same",650849416,619932722,97627412400,84753508599,229549473,9716707649,440993700,24104137852,60649370747,19576963476,"81%",0.9908
"265","PR00945","PRB0016","EHI00627","ABS12E1L2I1","Sciurus vulgaris","Same",41114756,40112928,6167213400,5799061887,6571431,244212587,33808130,850670804,4948391083,830684628,"98%",0.9379
"266","PR00946","PRB0016","EHI00631","AGF86E1L1I1","Sciurus vulgaris","Same",49493686,46394288,7424052900,6349537379,16425430,771550438,9080370,5156352694,1193184685,3425961812,"66%",0.8764
"267","PR00947","PRB0016","EHI00644","ABS96E1L2I1","Sciurus vulgaris","Same",37073434,36158624,5561015100,5209981804,6042181,233133560,32596716,0,5209981804,0,"0%",0.6594
"268","PR00948","PRB0017","EHI00369","AFW26E1L1I1","Peromyscus maniculatus","Same",24471100,24045778,3670665000,3508869186,3022636,104319844,1330016,3305144737,203724449,1870809987,"57%",0.724
"269","PR00949","PRB0017","EHI00378","AFW30E1L1I1","Peromyscus maniculatus","Same",24176614,23732902,3626492100,3468311546,2882496,96625084,1541436,3229810280,238501266,2088192675,"65%",0.7621
"270","PR00950","PRB0017","EHI00379","AFV57E1L1I1","Peromyscus maniculatus","Same",21610164,21195010,3241524600,3065784026,3426447,120832735,193744,3036493481,29290545,1815598852,"60%",0.634
"271","PR00951","PRB0017","EHI00386","AFW32E1L1I1","Peromyscus maniculatus","Same",31675728,31001536,4751359200,4479869798,5161862,181303376,757420,4365859630,114010168,2517172221,"58%",0.7151
"272","PR00952","PRB0017","EHI00390","AFW18E1L1I1","Peromyscus maniculatus","Same",20093690,19719468,3014053500,2852868506,3218545,110919386,90422,2839237139,13631367,1677359193,"59%",0.699
"273","PR00953","PRB0017","EHI00395","AFW28E1L1I1","Peromyscus maniculatus","Same",27150222,26680220,4072533300,3848452454,4658844,162125050,458158,3778964518,69487936,2123119191,"56%",0.7274
"274","PR00954","PRB0017","EHI00396","AFV48E1L1I1","Peromyscus maniculatus","Same",26753634,26310498,4013045100,3820624311,3950187,131825398,389906,3761715816,58908495,2231979817,"59%",0.7563
"275","PR00955","PRB0017","EHI00401","AFV39E1L1I1","Peromyscus maniculatus","Same",38454852,37815084,5768227800,5461116201,6458681,223497131,1098568,5294165032,166951169,3262569712,"62%",0.774
"276","PR00956","PRB0017","EHI00440","AFV60E1L1I1","Peromyscus maniculatus","Same",32751240,31975000,4912686000,4605496176,5583619,211971159,22093474,1226888466,3378607710,745283313,"61%",0.6281
"277","PR00957","PRB0017","EHI00449","AFW01E1L1I1","Peromyscus maniculatus","Same",35867166,35111058,5380074900,5150916765,3362067,129595662,4738672,4405404689,745512076,661033745,"15%",0.9291
"278","PR00958","PRB0017","EHI00452","AFW10E1L1I1","Peromyscus maniculatus","Same",44695414,43650810,6704312100,6277373024,7653077,304952353,15228764,3936902690,2340470334,2339443192,"59%",0.7918
"279","PR00959","PRB0017","EHI00466","AFW12E1L1I1","Peromyscus maniculatus","Same",42661654,41985864,6399248100,6043397214,7770333,262677409,10690054,4410513791,1632883423,2973771895,"67%",0.8151
"280","PR00960","PRB0017","EHI00471","AFV82E1L1I1","Peromyscus maniculatus","Same",32073998,31555776,4811099700,4559475440,5248404,183248597,4907196,3806156008,753319432,1781653302,"47%",0.8063
"281","PR00961","PRB0017","EHI00486","AFW06E1L1I1","Peromyscus maniculatus","Same",33625522,33101044,5043828300,4834971550,3913348,144398345,10440466,3208291480,1626680070,2260691229,"70%",0.7413
"282","PR00962","PRB0017","EHI00505","AFV34E1L1I1","Peromyscus maniculatus","Same",40384024,39783642,6057603600,5809582364,4730370,172521258,1614816,5556668347,252914017,3147128513,"57%",0.7384
"283","PR00963","PRB0017","EHI00526","AFV64E1L1I1","Peromyscus maniculatus","Same",41398254,40837718,6209738100,5979370151,4659267,153266547,5037784,5189801914,789568237,2997166167,"58%",0.8319
"284","PR00964","PRB0017","EHI00543","AFV44E1L1I1","Peromyscus maniculatus","Same",53694320,52964204,8054148000,7660254597,8301325,300299320,1098750,7496913035,163341562,3654124363,"49%",0.9263
"285","PR00965","PRB0017","EHI00544","AFV96E1L1I1","Peromyscus maniculatus","Same",55493004,54533488,8323950600,7817767707,10473789,384338123,2315146,7470861360,346906347,4381994807,"59%",0.8483
"286","PR00966","PRB0017","EHI00548","AFW08E1L1I1","Peromyscus maniculatus","Same",49619614,48910324,7442942100,7094014892,7107766,259574709,646258,6996120838,97894054,4729079124,"68%",0.8054
"287","PR00967","PRB0017","EHI00550","AFV67E1L1I1","Peromyscus maniculatus","Same",34107600,33622154,5116140000,4829064452,6322360,229085154,2545912,4450362659,378701793,2986258991,"67%",0.8058
"288","PR00968","PRB0017","EHI00551","AFW84E1L1I1","Peromyscus maniculatus","Same",29453930,28979016,4418089500,4189383651,4832981,170769881,10803242,2549069771,1640313880,1676911683,"66%",0.7648
"289","PR00969","PRB0017","EHI00562","AFV78E1L1I1","Peromyscus maniculatus","Same",63244638,62397236,9486695700,8922270134,12577317,459675278,4535954,8249254911,673015223,5092331881,"62%",0.7998
"290","PR00970","PRB0017","EHI00614","AFV24E1L1I1","Peromyscus maniculatus","Same",57274462,49816842,8591169300,6799642709,22719705,1136404184,16931538,4516680540,2282962169,2915177831,"65%",0.933
"291","PR00971","PRB0018","EHI00304","ADF30E1L1I2","Muscardinus avellanarius","Same",45518490,33492926,6827773500,4669057858,20073772,1120291916,19631320,1839763976,2829293882,803366364,"44%",0.8041
"292","PR00972","PRB0018","EHI00311","ADF10E1L1I2","Muscardinus avellanarius","Same",39838596,31313910,5975789400,3925276897,23170444,1282331968,1721514,3700136400,225140497,400439687,"11%",0.7395
"293","PR00973","PRB0018","EHI00316","ADF01E1L1I2","Muscardinus avellanarius","Same",47631248,46563210,7144687200,6841986097,4513616,145204476,44575816,0,6841986097,0,"0%",0.528
"294","PR00974","PRB0018","EHI00326","ADF33E1L1I2","Muscardinus avellanarius","Same",38254788,31694990,5738218200,4147083011,18683894,999730553,2492562,3806486514,340596497,122983588,"3%",0.7418
"295","PR00975","PRB0018","EHI00347","ADF26E1L1I2","Muscardinus avellanarius","Same",6974456,6648892,1046168400,952796922,1359075,51373544,6113936,0,952796922,0,"0%",0
"296","PR00976","PRB0018","EHI00444","AGF18E1L1I1","Muscardinus avellanarius","Same",27664592,26807580,4149688800,3856528021,4673110,183733972,26149742,0,3856528021,0,"0%",0
"297","PR00977","PRB0018","EHI00468","AGH38E1L1I1","Muscardinus avellanarius","Same",31716972,26537236,4757545800,3323626076,17082871,936709020,21343834,0,3323626076,0,"0%",0.469
"298","PR00978","PRB0018","EHI00495","ABZ58E1L1I1","Muscardinus avellanarius","Same",37986548,36841460,5697982200,5269949251,7069604,284883549,35494996,0,5269949251,0,"0%",0
"299","PR00979","PRB0018","EHI00513","AGH23E1L1I1","Muscardinus avellanarius","Same",38072868,37137428,5710930200,5362025837,5820928,227685063,32338732,0,5362025837,0,"0%",0.5458
"300","PR00980","PRB0018","EHI00517","AGF24E1L1I1","Muscardinus avellanarius","Same",20125582,19320268,3018837300,2784834071,3151442,130878767,18774672,0,2784834071,0,"0%",0
"301","PR00981","PRB0018","EHI00640","ACX42E1L2I1","Muscardinus avellanarius","Same",45009962,44051152,6751494300,6454097985,4990196,161090684,35506960,764164071,5689933914,255303418,"33%",0.5962
"302","PR00982","PRB0018","EHI00647","ACX40E1L2I1","Muscardinus avellanarius","Same",40500328,38117730,6075049200,5423668134,8495017,355467850,30999796,706723808,4716944326,189842026,"27%",0.7982
"303","PR00983","PRB0018","EHI00649","AGH20E1L1I1","Muscardinus avellanarius","Same",29884198,29010158,4482629700,4169616313,5140535,204648276,25016108,0,4169616313,0,"0%",0.5229
"304","PR00984","PRB0018","EHI00650","ABZ56E1L1I1","Muscardinus avellanarius","Same",46735278,39939500,7010291700,5171813035,23097183,1232681114,18200976,2630839611,2540973424,699977721,"27%",0.7816
"305","PR00985","PRB0018","EHI00658","ACX32E1L2I1","Muscardinus avellanarius","Same",43845280,42846992,6576792000,6174464927,7080953,272250522,36319680,0,6174464927,0,"0%",0.5492
"306","PR00986","PRB0018","EHI00661","AGF26E1L1I1","Muscardinus avellanarius","Same",33603458,26992652,5040518700,3291557436,20565712,1161401454,21427032,0,3291557436,0,"0%",0.9567
"307","PR00987","PRB0018","EHI00664","AGH37E1L1I1","Muscardinus avellanarius","Same",58548896,56362938,8782334400,8083526091,10184241,420539286,45274656,1020231105,7063294986,33144648,"3%",0.7455
"308","PR00988","PRB0018","EHI00614","AFV24E1L1I1","Muscardinus avellanarius","Other",57274462,49816842,8591169300,6799642709,22719705,1136404184,170918,6775286550,24356159,2914714154,"43%",0
"309","PR00989","PRB0018","EHI00240","AAT07E2L2I1","Muscardinus avellanarius","Other",38781384,37181238,5817207600,5393938514,6665474,259819851,90978,5370141395,23797119,725016360,"14%",0.935
"310","PR00990","PRB0019","EHI00494","AGH43E1L1I1","Apodemus sylvaticus","Other",43433994,38927544,6515099100,5628879656,6193089,240520633,14832452,3330371852,2298507804,2189263816,"66%",0.8738
"311","PR00991","PRB0019","EHI00561","AGH24E1L1I1","Apodemus sylvaticus","Other",39624184,38303112,5943627600,5477339321,7722441,280729532,5129970,4691209870,786129451,3061409795,"65%",0.8805
"312","PR00992","PRB0019","EHI00565","AGH22E1L1I1","Apodemus sylvaticus","Other",28673296,28071944,4300994400,4022685156,5202678,210741448,3784780,3450630216,572054940,2404203193,"70%",0.8155
"313","PR00993","PRB0019","EHI00638","ABZ64E1L1I1","Apodemus sylvaticus","Other",27951098,25251932,4192664700,3150431336,15893099,791227916,3912240,2639976157,510455179,1496453164,"57%",0.6947
"314","PR00994","PRB0019","EHI00532","ABZ62E1L1I1","Apodemus sylvaticus","Same",19626266,18663100,2943939900,2646209956,4191616,178036562,7012012,1635018507,1011191449,953520312,"58%",0.7326
"315","PR00995","PRB0019","EHI00556","AGF06E1L1I1","Apodemus sylvaticus","Same",30151756,28862802,4522763400,4094484006,6489170,275928742,1816050,3840344742,254139264,2848259365,"74%",0.8795
"316","PR00996","PRB0019","EHI00559","ABZ68E1L1I1","Apodemus sylvaticus","Same",34285610,33067684,5142841500,4631702262,8635286,375171002,20946898,1612926885,3018775377,843004298,"52%",0.6575
"317","PR00997","PRB0019","EHI00560","AGF10E1L1I1","Apodemus sylvaticus","Same",30382052,29018548,4557307800,4071597681,7624292,307881981,10231502,2561883560,1509714121,1586871824,"62%",0.7527
"318","PR00998","PRB0020","EHI00045","AAC91E1L1I2","Falco peregrinus","Other",32184918,31126604,4827737700,4516868194,4632911,181445057,30299350,0,4516868194,0,"0%",0
"319","PR00999","PRB0020","EHI00046","AAD12E2L1I2","Falco peregrinus","Other",16089220,15060172,2413383000,2163334420,3198686,140296860,14602472,0,2163334420,0,"0%",0
"320","PR01000","PRB0020","EHI00047","AAC91E2L1I2","Falco peregrinus","Other",27134860,26045626,4070229000,3733993708,5155373,207888619,25446624,0,3733993708,0,"0%",0
"321","PR01002","PRB0020","EHI00049","AD79E1L1I2","Falco peregrinus","Other",17139424,16588838,2570913600,2397945179,2684021,106799524,16165200,0,2397945179,0,"0%",0
"322","PR01003","PRB0020","EHI00050","AAD12E1L1I2","Falco peregrinus","Other",21983952,20109876,3297592800,2877888563,5062572,228905824,19552026,0,2877888563,0,"0%",0
"323","PR01004","PRB0020","EHI00051","AAC83E2L1I2","Falco peregrinus","Other",23064256,22074266,3459638400,3203724934,3576042,139357792,21495742,0,3203724934,0,"0%",0
"324","PR01005","PRB0020","EHI00052","AAD16E2L1I2","Falco peregrinus","Other",24033550,22428822,3605032500,3241385425,4383551,189348200,21831584,0,3241385425,0,"0%",0
"325","PR01006","PRB0020","EHI00053","AAD16E1L1I2","Falco peregrinus","Other",15938848,14911794,2390827200,2142252986,2820111,110533853,14336090,0,2142252986,0,"0%",0
"326","PR01007","PRB0020","EHI00054","AD74E2L1I2","Falco peregrinus","Other",28793386,27415720,4319007900,3865946123,7271972,297317970,26071050,0,3865946123,0,"0%",0
"327","PR01008","PRB0020","EHI00055","AAC62E1L1I2","Falco peregrinus","Other",17956472,16528046,2693470800,2399735113,2415003,90852320,15522412,0,2399735113,0,"0%",0
"328","PR01009","PRB0020","EHI00056","AAD10E2L1I2","Falco peregrinus","Other",18070262,17443530,2710539300,2540410414,2256821,84436656,16960666,0,2540410414,0,"0%",0
"329","PR01010","PRB0020","EHI00057","AAB85E1L1I2","Falco peregrinus","Other",10267456,9813834,1540118400,1404054400,1989276,81041890,9448360,0,1404054400,0,"0%",0
"330","PR01011","PRB0020","EHI00058","AAC96E2L1I2","Falco peregrinus","Other",14036360,13516462,2105454000,1956628607,2144822,83964579,13131520,0,1956628607,0,"0%",0
"331","PR01012","PRB0020","EHI00059","AD85E1L1I2","Falco peregrinus","Other",18439988,17921650,2765998200,2603347000,2508639,92500925,17421278,0,2603347000,0,"0%",0
"332","PR01013","PRB0020","EHI00060","AD85E2L1I2","Falco peregrinus","Other",27834974,27116508,4175246100,3943928920,3680286,139560363,26340910,0,3943928920,0,"0%",0
"333","PR01014","PRB0020","EHI00061","AAC83E1L1I2","Falco peregrinus","Other",23730800,22898894,3559620000,3336554794,3389833,129047264,22323006,0,3336554794,0,"0%",0
"334","PR01015","PRB0020","EHI00062","AAC62E2L1I2","Falco peregrinus","Other",24447514,22079554,3667127100,3183199570,5358933,254069623,21190624,0,3183199570,0,"0%",0
"335","PR01016","PRB0020","EHI00063","AAB85E2L1I2","Falco peregrinus","Other",19740248,17990264,2961037200,2576985717,4415773,206730595,16721344,0,2576985717,0,"0%",0
"336","PR01017","PRB0020","EHI00064","AD79E2L1I2","Falco peregrinus","Other",21952946,20873004,3292941900,2874056740,6898206,307596054,19900478,0,2874056740,0,"0%",0
"337","PR01018","PRB0021","EHI00065","AD74E1L1I2","Falco peregrinus","Other",17530364,17008674,2629554600,2474473490,2282816,88566362,16484976,0,2474473490,0,"0%",0
"338","PR01019","PRB0021","EHI00066","AAD25E1L1I2","Falco peregrinus","Other",15022872,13759100,2253430800,2012919023,1620282,55076066,13360752,0,2012919023,0,"0%",0
"339","PR01020","PRB0021","EHI00067","AAD10E1L1I2","Falco peregrinus","Other",22477608,21684430,3371641200,3130473296,3560421,140595997,21097350,0,3130473296,0,"0%",0
"340","PR01021","PRB0021","EHI00068","AAC96E1L1I2","Falco peregrinus","Other",27337416,24606454,4100612400,3411017548,9073851,407474651,23766762,0,3411017548,0,"0%",0
"341","PR01022","PRB0021","EHI00140","AAC33E2L1I1","Falco peregrinus","Other",39651330,38625582,5947699500,5597186982,5761659,213078159,37430212,0,5597186982,0,"0%",0
"342","PR01023","PRB0021","EHI00141","AAB69E2L1I1","Falco peregrinus","Other",34300564,32218988,5145084600,4693830356,5239119,191919272,26165602,795685137,3898145219,191200846,"24%",0.9756
"343","PR01024","PRB0021","EHI00143","AAC06E2L1I1","Falco peregrinus","Other",22055010,21214652,3308251500,3033511435,4564243,166802300,19299680,0,3033511435,0,"0%",0.5577
"344","PR01025","PRB0021","EHI00146","AAB84E2L1I1","Falco peregrinus","Other",13347408,12962554,2002111200,1864454384,2298856,83513327,11468180,0,1864454384,0,"0%",0.494
"345","PR01026","PRB0021","EHI00147","AAC07E2L1I1","Falco peregrinus","Other",42728936,37501276,6409340400,5406861266,10436545,478388840,30648866,906011391,4500849875,36876930,"4%",0.9641
"346","PR01027","PRB0021","EHI00152","AAB74E2L1I1","Falco peregrinus","Other",11055956,7036212,1658393400,1007965630,4301185,229959887,6054174,0,1007965630,0,"0%",0
"347","PR01028","PRB0021","EHI00154","AAC28E2L1I1","Falco peregrinus","Other",29814534,28647600,4472180100,4096409222,6018641,224338406,21011850,1051308667,3045100555,60435316,"6%",0.7324
"348","PR01029","PRB0021","EHI00155","AAC36E2L1I1","Falco peregrinus","Other",42030874,40354614,6304631100,5707442439,9895307,365169703,32710752,1008032833,4699409606,482974707,"48%",0.7393
"349","PR01030","PRB0021","EHI00156","AAC40E2L1I1","Falco peregrinus","Other",21578682,18991756,3236802300,2798012854,3436742,140501159,18266904,0,2798012854,0,"0%",0
"350","PR01031","PRB0021","EHI00157","AAC26E2L1I1","Falco peregrinus","Other",27645418,26685504,4146812700,3796308556,6105469,236546345,22022126,0,3796308556,0,"0%",0.565
"351","PR01032","PRB0021","EHI00159","AAC09E2L1I1","Falco peregrinus","Other",20367352,19602296,3055102800,2807259582,3755862,143527330,19034062,0,2807259582,0,"0%",0
"352","PR01033","PRB0021","EHI00160","AAC55E2L1I1","Falco peregrinus","Other",30922914,30013038,4638437100,4238782115,7560195,276228059,28820762,0,4238782115,0,"0%",0
"353","PR01034","PRB0021","EHI00162","AAB64E2L1I1","Falco peregrinus","Other",43061992,36970764,6459298800,5282506080,13075711,610727189,34479176,0,5282506080,0,"0%",0.9267
"354","PR01035","PRB0021","EHI00163","AAC15E2L1I1","Falco peregrinus","Other",37893606,25665394,5684040900,3634783059,16646000,946323817,23775752,0,3634783059,0,"0%",0.9812
"355","PR01036","PRB0021","EHI00164","AAC79E2L1I1","Falco peregrinus","Other",26765492,25702336,4014823800,3710609079,4666051,157676139,24832034,0,3710609079,0,"0%",0
"356","PR01037","PRB0021","EHI00171","AAC21E2L1I1","Falco peregrinus","Other",45660294,44316910,6849044100,6308916419,9752503,364135993,42168240,0,6308916419,0,"0%",0.6388
"357","PR01038","PRB0021","EHI00173","AAC14E2L1I1","Falco peregrinus","Other",29671008,27262964,4450651200,3966280288,4976459,176192795,25876042,0,3966280288,0,"0%",0
"358","PR01039","PRB0021","EHI00174","AAB78E2L1I1","Falco peregrinus","Other",29548920,26353638,4432338000,3791832220,6377042,263418680,23961742,0,3791832220,0,"0%",0.9845
"359","PR01040","PRB0021","EHI00280","AAC71E1L1I2","Falco peregrinus","Other",82738882,80997680,12410832300,11983654457,5415729,185181834,79032340,0,11983654457,0,"0%",0
"360","PR01041","PRB0022","EHI00229","AAH33E1L1I1","Miniopterus schreibersii","Same",22305090,21515620,3345763500,3114849822,3147006,125658739,7032874,2089244357,1025605465,401109649,"19%",0.9815
"361","PR01042","PRB0022","EHI00265","AAH19E1L1I1","Miniopterus schreibersii","Same",37907732,33261126,5686159800,4809575295,10444165,414486071,32217328,0,4809575295,0,"0%",0
"362","PR01043","PRB0022","EHI00279","AAH18E1L1I1","Miniopterus schreibersii","Same",79382538,76087922,11907380700,11115523860,11409937,328085856,70303250,778851368,10336672492,399971296,"51%",0.9707
"363","PR01044","PRB0022","EHI00297","AAH27E1L1I1","Miniopterus schreibersii","Same",46433338,44914870,6965000700,6614228300,4358073,132244167,21667584,3377673550,3236554750,1652648689,"49%",0.9161
"364","PR01045","PRB0022","EHI00318","AAH32E1L1I1","Miniopterus schreibersii","Same",47215080,46183834,7082262000,6815415391,4261346,122280849,44803816,0,6815415391,0,"0%",0.906
"365","PR01046","PRB0023","EHI00245","ABU30E2L2I1","Sceloporus tristichus","Other",36836496,36085098,5525474400,5311549740,3219527,109703772,18763546,1436629918,3874919822,57883738,"4%",0.636
"366","PR01047","PRB0023","EHI00274","ABU44E2L2I1","Sceloporus tristichus","Other",50499448,49335908,7574917200,7270983001,4200708,136633369,25356466,2075128328,5195854673,244350645,"12%",0.6903
"367","PR01048","PRB0023","EHI00290","ABU28E2L2I1","Sceloporus tristichus","Other",44312962,43523178,6646944300,6423511499,3369979,108881500,22646534,1701591519,4721919980,173236905,"10%",0.659
"368","PR01049","PRB0023","EHI00209","ABU59E2L2I1","Sceloporus tristichus","Other",23629764,23116982,3544464600,3396667233,2239537,77151065,12073696,930853254,2465813979,73433720,"8%",0.592
"369","PR01050","PRB0023","EHI00223","ABU55E2L2I1","Sceloporus tristichus","Other",32740038,29651162,4911005700,4345148305,3302605,115666583,15573616,1169706633,3175441672,33266066,"3%",0.6007
"370","PR01051","PRB0023","EHI00260","ABU57E2L2I1","Sceloporus tristichus","Other",32282492,31649900,4842373800,4662558478,2668995,92367502,16574076,1227083796,3435474682,84747847,"7%",0.6251
"371","PR01052","PRB0023","EHI00203","ABU62E1L2I1","Sceloporus tristichus","Other",33187006,27640104,4978050900,4065039335,7298901,406552725,17287582,850511037,3214528298,112983821,"13%",0.9265
"372","PR01053","PRB0023","EHI00202","ABT69E2L2I1","Sceloporus tristichus","Other",12356076,12134976,1853411400,1787014746,1051434,34640323,9287958,0,1787014746,0,"0%",0.4875
"373","PR01054","PRB0023","EHI00215","ABT68E2L2I1","Sceloporus tristichus","Other",40694630,39333632,6104194500,5768629114,4103819,138937592,29878882,0,5768629114,0,"0%",0.6428
"374","PR01055","PRB0023","EHI00275","ABT71E2L2I1","Sceloporus tristichus","Other",40911508,39843952,6136726200,5861686220,3626508,123424928,30581370,0,5861686220,0,"0%",0.6044
"375","PR01056","PRB0023","EHI00199","ABT47E1L2I1","Sceloporus tristichus","Other",34486502,33726558,5172975300,4950467742,3669340,122327711,18575992,1507972114,3442495628,510376353,"34%",0.7952
"376","PR01057","PRB0023","EHI00256","ABT33E1L1I2","Sceloporus tristichus","Other",33021636,30201524,4953245400,4451747182,4365677,213272236,17968742,1037591285,3414155897,300781272,"29%",0.8461
"377","PR01058","PRB0023","EHI00285","ABU54E1L1I2","Sceloporus tristichus","Other",40054112,38998136,6008116800,5784739575,2047227,69593339,30055080,0,5784739575,0,"0%",0.5776
"378","PR01061","PRB0023","EHI00300","ABU40E1L1I2","Sceloporus tristichus","Other",47552730,44859074,7132909500,6651981632,2549352,90174218,25574462,2128058000,4523923632,1326324540,"62%",0.8203
"379","PR01062","PRB0023","EHI00206","ABT53E2L2I1","Sceloporus tristichus","Other",15000802,14452850,2250120300,2128760721,1307546,41529013,7032048,0,2128760721,0,"0%",0.8072
"380","PR01063","PRB0023","EHI00207","ABT55E2L2I1","Sceloporus tristichus","Other",31383826,30727514,4707573900,4542403286,2166465,72504544,15529152,1301644238,3240759048,210585708,"16%",0.6537
"381","PR01064","PRB0023","EHI00210","ABT51E2L2I1","Sceloporus tristichus","Other",41208408,39840770,6181261200,5847448712,4128935,143080073,15755426,2653823936,3193624776,723410387,"27%",0.7352
"382","PR01065","PRB0023","EHI00251","ABT13E1L1I2","Sceloporus tristichus","Other",29614220,24477368,4442133000,3616574895,3691401,190208344,14575544,798070879,2818504016,122233039,"15%",0.9485
"383","PR01066","PRB0023","EHI00252","ABT15E1L1I2","Sceloporus tristichus","Other",33204438,32310616,4980665700,4786082831,1901624,65814988,18210082,1141003278,3645079553,283397323,"25%",0.7065
"384","PR01067","PRB0023","EHI00337","ABT11E1L1I2","Sceloporus tristichus","Other",26898306,26145016,4034745900,3859286634,1966859,67718733,14111496,1103967906,2755318728,422797856,"38%",0.7464
"385","PR01068","PRB0023","EHI00249","ABT87E1L1I2","Sceloporus tristichus","Other",35916988,34635130,5387548200,5128566219,2187831,77315779,3911718,3824089744,1304476475,1075094835,"28%",0.7659
"386","PR01069","PRB0023","EHI00268","ABT86E1L1I2","Sceloporus tristichus","Other",45068226,43001314,6760233900,6344738526,3814266,144975538,4992116,4780406179,1564332347,1352573083,"28%",0.8597
"387","PR01070","PRB0023","EHI00271","ABT03E1L1I2","Sceloporus tristichus","Other",27219946,26304106,4082991900,3761168761,6330335,205075350,2822484,3246618056,514550705,2002019575,"62%",0.7722
"388","PR01071","PRB0024","EHI00006","AAS27E1L1I1","Strix occidentalis","Other",37617850,28586346,5642677500,4021947313,14611650,754808492,27107086,0,4021947313,0,"0%",0
"389","PR01072","PRB0024","EHI00007","AAS35E1L1I1","Strix occidentalis","Other",22532948,19792570,3379942200,2427669620,12627354,701507551,15242774,0,2427669620,0,"0%",0.4495
"390","PR01073","PRB0024","EHI00008","AAS36E1L1I1","Strix occidentalis","Other",21707262,20767656,3256089300,2972360001,4241615,179401420,18785868,0,2972360001,0,"0%",0.5385
"391","PR01074","PRB0024","EHI00009","AAS39E1L1I1","Strix occidentalis","Other",32654234,30554642,4898135100,4196281594,9772265,472110837,27249746,0,4196281594,0,"0%",0.4715
"392","PR01075","PRB0024","EHI00010","AAS37E1L1I1","Strix occidentalis","Other",17694738,16551916,2654210700,2319329374,5052514,211531971,11644796,0,2319329374,0,"0%",0.6669
"393","PR01076","PRB0024","EHI00011","AAS42E1L1I1","Strix occidentalis","Other",20846840,18474650,3127026000,2601040945,6173915,284012537,13912794,0,2601040945,0,"0%",0.8579
"394","PR01077","PRB0024","EHI00012","AAS19E1L1I1","Strix occidentalis","Other",19932640,19014844,2989896000,2663601638,5072232,229869053,1362444,2389194935,274406703,25697696,"1%",0.5803
"395","PR01078","PRB0024","EHI00013","AAS17E1L1I1","Strix occidentalis","Other",22131412,18818138,3319711800,2420052959,10544027,591124117,10589322,968487273,1451565686,522626030,"54%",0.5461
