extraction_concentration	extraction_volume	extraction_id	extraction_total	sample_id
0.072	45	AEZ50E1	3.2399999999999998	AEZ50
0.954	45	ACJ40E1	42.93	ACJ40
8.4	45	AAD47E1	378	AAD47
1.64	45	AFI38E1	73.8	AFI38
18.2	45	AAN61E2	819	AAN61
13.8	45	AAV72E1	621	AAV72
7.23	45	AEL51E1	325.35	AEL51
0.148	45	ACE18E1	6.659999999999999	ACE18
30.2	45	ADE14E1	1359	ADE14
88.7	45	AIG22E2	3991.5	AIG22
0	45	C1_EXB0061E1	0	C1_EXB0061
0.892	45	AIR28E1	40.14	AIR28
5.84	45	AAV32E1	262.8	AAV32
32.1	45	AII26E1	1444.5	AII26
2.76	45	ADJ82E1	124.19999999999999	ADJ82
2.75	45	AHQ54E1	123.75	AHQ54
0.027	45	AHN83E1	1.215	AHN83
16.5	45	AJP58E1	742.5	AJP58
0.338	45	AFN28E2	15.21	AFN28
0.132	45	AGI03E1	5.94	AGI03
2.14	45	AEY27E1	96.30000000000001	AEY27
2.55	45	AGJ21E1	114.74999999999999	AGJ21
20.1	45	AEM11E1	904.5000000000001	AEM11
9.35	45	ACE35E1	420.75	ACE35
6.68	45	AIQ50E1	300.59999999999997	AIQ50
8.06	45	ABB88E1	362.70000000000005	ABB88
0.815	45	AEZ90E1	36.675	AEZ90
0	45	C1_EXB0017E1	0	C1_EXB0017
0.117	45	ACD90E2	5.265000000000001	ACD90
0.132	45	AHO98E1	5.94	AHO98
0.0329	45	AKD74E1	1.4805	AKD74
2.75	45	AHE88E1	123.75	AHE88
0.407	45	ADU37E1	18.314999999999998	ADU37
0.0301	45	ACD44E1	1.3544999999999998	ACD44
6.55	45	ACK42E1	294.75	ACK42
4.08	45	AIQ78E1	183.6	AIQ78
12.6	45	AAU70E1	567	AAU70
3.15	45	ACX37E2	141.75	ACX37
0	45	ACX49E1	0	ACX49
0.653	45	AEY80E1	29.385	AEY80
1.02	45	AFU96E1	45.9	AFU96
1.03	45	AHB47E1	46.35	AHB47
0.291	45	NSAP20E1	13.094999999999999	NSAP20
2.84	45	ABQ42E1	127.8	ABQ42
0.102	45	AFQ89E1	4.59	AFQ89
0	45	OPAU39E2	0	OPAU39
0.304	45	AGI11E1	13.68	AGI11
11.7	45	AHI50E1	526.5	AHI50
11.2	45	AIH53E2	503.99999999999994	AIH53
29.4	45	ABK29E1	1323	ABK29
1.01	45	AFQ65E2	45.45	AFQ65
7.92	45	ADM62E1	356.4	ADM62
0.34	45	AAL46E1	15.3	AAL46
4.95	45	AHC60E1	222.75	AHC60
6.43	45	AII02E1	289.34999999999997	AII02
2.64	45	ADV92E1	118.80000000000001	ADV92
0.0365	45	AHO60E1	1.6424999999999998	AHO60
63	45	AHI41E2	2835	AHI41
1.92	45	AAE21E1	86.39999999999999	AAE21
0.822	45	ABS91E1	36.989999999999995	ABS91
0.152	45	OPAU36E1	6.84	OPAU36
30	45	AEA80E1	1350	AEA80
14	45	AGN77E1	630	AGN77
0.037	45	C1_EXB0030E1	1.6649999999999998	C1_EXB0030
0.564	45	ABW69E1	25.38	ABW69
1.42	45	AHB82E1	63.9	AHB82
0.236	45	OPAU34E1	10.62	OPAU34
0.587	45	ACX69E1	26.415	ACX69
0.0242	45	AIZ90E1	1.089	AIZ90
21.1	45	AEV79E1	949.5000000000001	AEV79
7.87	45	ABL86E1	354.15	ABL86
1.24	45	ACZ32E1	55.8	ACZ32
0.549	45	AIR91E1	24.705000000000002	AIR91
0	45	AFU75E1	0	AFU75
0.205	45	AFT03E1	9.225	AFT03
0.062	45	ADU90E1	2.79	ADU90
0.0637	45	ACZ87E1	2.8665000000000003	ACZ87
6.05	45	AFT04E1	272.25	AFT04
0	45	ACC15E1	0	ACC15
20.6	45	AGD36E1	927.0000000000001	AGD36
0	45	ACD17E1	0	ACD17
5.11	45	AIG44E1	229.95000000000002	AIG44
9.79	45	BATC11E1	440.54999999999995	BATC11
12.7	45	ABI38E1	571.5	ABI38
0.363	45	AFN32E1	16.335	AFN32
0	45	AAB78E2	0	AAB78
17.8	45	AHI92E1	801	AHI92
0.461	45	C1_EXB0020E1	20.745	C1_EXB0020
0	45	C1_EXB0091E1	0	C1_EXB0091
14.7	45	AA83E1	661.5	AA83
10	45	AAU89E1	450	AAU89
0.13	45	AFP55E2	5.8500000000000005	AFP55
9	45	ADK28E1	405	ADK28
6.23	45	ABA48E1	280.35	ABA48
0.332	45	AHI32E2	14.940000000000001	AHI32
0.118	45	AEY96E1	5.31	AEY96
0.0261	45	ACD68E1	1.1745	ACD68
5.12	45	AJP42E1	230.4	AJP42
0	45	ADM21E1	0	ADM21
0.0833	45	AKD89E1	3.7485	AKD89
8.58	45	ADM14E1	386.1	ADM14
6.95	45	AA89E1	312.75	AA89
2.88	45	AEA54E1	129.6	AEA54
12.3	45	AAH29E1	553.5	AAH29
0.307	45	AFT11E1	13.815	AFT11
0	45	ACD88E1	0	ACD88
3.35	45	AGO11E1	150.75	AGO11
0.052	45	ACE20E1	2.34	ACE20
0.121	45	AFN20E1	5.445	AFN20
0.042	45	ADG37E1	1.8900000000000001	ADG37
11.2	45	AIG13E1	503.99999999999994	AIG13
0.922	45	ABS92E1	41.49	ABS92
0.0387	45	AIZ74E1	1.7414999999999998	AIZ74
19.4	45	ABO21E1	872.9999999999999	ABO21
2.47	45	ABA95E1	111.15	ABA95
1.89	45	AGN83E1	85.05	AGN83
2.1	45	AFO83E1	94.5	AFO83
0.082	45	AHI31E1	3.69	AHI31
0.0189	45	ACD87E1	0.8505	ACD87
0.0239	45	AHO66E1	1.0755000000000001	AHO66
25.2	45	ABB26E1	1134	ABB26
2.67	45	AAD36E1	120.14999999999999	AAD36
12.5	45	BATA10E1	562.5	BATA10
0	45	AIV46E1	0	AIV46
23.7	45	AHB67E1	1066.5	AHB67
10.3	45	AFU79E1	463.50000000000006	AFU79
7.68	45	ABB91E1	345.59999999999997	ABB91
2.4	45	ABG37E1	108	ABG37
35.3	45	AII15E1	1588.4999999999998	AII15
3.21	45	ADL59E1	144.45	ADL59
0.332	45	ACB58E1	14.940000000000001	ACB58
7.75	45	OPAU33E2	348.75	OPAU33
2.47	45	AAD59E1	111.15	AAD59
0.0204	45	AHO44E1	0.918	AHO44
0.112	45	AAH59E1	5.04	AAH59
0.616	45	AGY85E1	27.72	AGY85
0.0538	45	AEY83E1	2.421	AEY83
21.6	45	AHQ55E1	972.0000000000001	AHQ55
9.94	45	OPAU53E2	447.29999999999995	OPAU53
10.8	45	BATA11E1	486.00000000000006	BATA11
0.278	45	AFN10E1	12.510000000000002	AFN10
0.285	45	AGZ77E1	12.825	AGZ77
0.0256	45	AIZ89E1	1.1520000000000001	AIZ89
24.2	45	AGN36E1	1089	AGN36
0.587	45	ABS40E1	26.415	ABS40
8.79	45	AAV26E1	395.54999999999995	AAV26
0.0513	45	AAD34E1	2.3085	AAD34
