"","preprocessing_id","preprocessing_batch","sequence_id","index_id","reference_species","reference_closenees","reads_pre_fastp","reads_post_fastp","bases_pre_fastp","bases_post_fastp","adapter_trimmed_reads","adapter_trimmed_bases","host_reads","metagenomic_bases","host_bases","bacterial_archaeal_bases","singlem_fraction","nonpareil_coverage","sequence_batch","index_library_molarity","pooling_index","pooling_dilution","pooling_volume","pooling_moles","pooling_adator_library_ratio","sequence_data","sequence_q20","sequence_q30","sequence_gc","library_id","library_batch","sample_id","extraction_id","sequencing_datasets","library_input_volume","library_input_dna","library_input_dna_concentration","library_adaptor_molarity","library_PCR_cycles_required","extraction_batch","extraction_concentration","extraction_volume","extraction_total","sample_type","sample_freshness","sample_freezing","specimen_id","specimen_species","specimen_order","specimen_family","specimen_class","specimen_development","specimen_sex","specimen_length","specimen_weight","capture_id","capture_event_id","capture_place","capture_country","capture_biome","capture_environment","capture_latitude","capture_longitude","host_dup_percent","host_percent","tax_group"
"11","PR00688","PRB0001","EHI00075","ABK18E1L1I1","Podarcis muralis","Same",27761050,26811026,4164157500,3893937036,3810225,135306522,2898518,3449546649,444390387,2082382555,0.6,0.8448,"SEB001",26.84,123,2,1,13.4,0,5.6,94.33,87.43,44.91,"ABK18E1L1","LIB0004","ABK18","ABK18E1","EHI00075",15,189,12.6,20,10,"EXB0003",12.6,45,567,"Faecal","< 1 minute","< 14 days","SD00619","Podarcis muralis","Squamata","Lacertidae","Reptilia","Unknown","Male",60,5.7,"SD0061901","MS0016",NA,"Spain","1000221 - Temperate woodland","Boulders and rocky slopes",42.737,-0.59,0.171306,0.114123670437284,"Reptiles"
"12","PR00689","PRB0001","EHI00076","ABI40E1L1I1","Podarcis muralis","Same",37817906,37084126,5672685900,5337631223,6604876,240049556,540936,5256239320,81391903,3236813130,0.62,0.9222,"SEB001",37.54,124,3,1,12.5,0,7.6,95.4,88.78,45.56,"ABI40E1L1","LIB0004","ABI40","ABI40E1","EHI00076",15,192,12.8,20,10,"EXB0003",12.8,45,576,"Faecal","< 1 minute","< 14 days","SD00647","Podarcis muralis","Squamata","Lacertidae","Reptilia","Unknown","Male",59,4.9,"SD0064701","MS0016",NA,"Spain","1000221 - Temperate woodland","Boulders and rocky slopes",42.789,-0.597,0.176794,0.0152486935870129,"Reptiles"
"13","PR00690","PRB0001","EHI00077","ABL45E1L1I1","Podarcis muralis","Same",17069218,16764914,2560382700,2425033217,2710059,94504800,4283760,1783262590,641770627,1107916777,0.62,0.7719,"SEB001",24.34,125,2,1.1,13.4,0,8.1,95.92,89.8,44.08,"ABL45E1L1","LIB0004","ABL45","ABL45E1","EHI00077",24,122.6,5.11,20,10,"EXB0003",5.11,45,230,"Faecal","< 1 minute","< 21 days","SD00567","Podarcis muralis","Squamata","Lacertidae","Reptilia","Adult","Male",66,6.6,"SD0056701","MS0016",NA,"Spain","1000221 - Temperate woodland","Shrubs and boulders",42.637,0.755,0.161493,0.264644056213767,"Reptiles"
"14","PR00691","PRB0001","EHI00079","ABL19E1L1I1","Podarcis muralis","Same",29550864,28540588,4432629600,4094839007,5585349,199028908,18228964,1373801946,2721037061,641550644,0.47,0.7107,"SEB001",26.36,127,2,1,13.2,0,2.9,94.86,88.06,44.21,"ABL19E1L1","LIB0004","ABL19","ABL19E1","EHI00079",24,14.8,0.62,10,13,"EXB0003",0.62,45,28,"Faecal","< 1 minute","< 21 days","SD00554","Podarcis muralis","Squamata","Lacertidae","Reptilia","Adult","Male",62,6.7,"SD0055401","MS0016",NA,"Spain","1000221 - Temperate woodland","Shrubs and rocks near river",42.506,0.719,0.184563,0.664504039438052,"Reptiles"
"15","PR00692","PRB0001","EHI00080","ABL37E1L1I1","Podarcis muralis","Same",49225742,47196770,7383861300,6654664880,11828393,471855084,10724514,5049477727,1605187153,2266915570,0.45,0.8266,"SEB001",42.19,128,4,1.2,12.7,0,3.6,95.31,88.72,41.84,"ABL37E1L1","LIB0004","ABL37","ABL37E1","EHI00080",24,87.1,3.63,20,13,"EXB0003",3.63,45,163,"Faecal","< 1 minute","< 21 days","SD00563","Podarcis muralis","Squamata","Lacertidae","Reptilia","Adult","Male",61,4.8,"SD0056301","MS0016",NA,"Spain","1000221 - Temperate woodland","Shrubs and boulders",42.637,0.755,0.185459,0.241212319770489,"Reptiles"
"16","PR00693","PRB0001","EHI00081","ABK88E1L1I1","Podarcis muralis","Same",18955172,18098526,2843275800,2624857793,2631304,98455036,4787646,1897409703,727448090,996753151,0.53,0.7867,"SEB001",32.24,129,3,1.2,12.9,0,3.6,94.66,87.87,41.46,"ABK88E1L1","LIB0004","ABK88","ABK88E1","EHI00081",19,193.8,10.2,20,10,"EXB0003",10.2,45,459,"Faecal","< 1 minute","< 21 days","SD00539","Podarcis muralis","Squamata","Lacertidae","Reptilia","Adult","Male",65,7.5,"SD0053901","MS0016",NA,"Spain","1000221 - Temperate woodland","Shrubs and rocks near river",42.598,0.763,0.160507,0.277138095610348,"Reptiles"
"17","PR00694","PRB0001","EHI00085","ABL25E1L1I1","Podarcis muralis","Same",19580084,18818378,2937012600,2707003928,3370809,123867421,1445814,2494742094,212261834,1440094037,0.58,0.8842,"SEB001",19.1,133,2,1.4,13.4,0,4,95.15,88.45,43.7,"ABL25E1L1","LIB0004","ABL25","ABL25E1","EHI00085",24,12.3,0.51,10,13,"EXB0003",0.51,45,23,"Faecal","< 1 minute","< 21 days","SD00557","Podarcis muralis","Squamata","Lacertidae","Reptilia","Adult","Male",58,4.4,"SD0055701","MS0016",NA,"Spain","1000221 - Temperate woodland","Shrubs and rocks near river",42.506,0.719,0.189977,0.0784120893968647,"Reptiles"
"18","PR00695","PRB0001","EHI00086","ABK90E1L1I1","Podarcis muralis","Same",23905550,22681308,3585832500,3238714910,4640598,184890777,2767528,2821121298,417593612,1472589954,0.52,0.8424,"SEB001",21.79,134,2,1.2,13.1,0,2.8,94.8,87.87,44.24,"ABK90E1L1","LIB0004","ABK90","ABK90E1","EHI00086",24,190.3,7.93,20,10,"EXB0003",7.93,45,357,"Faecal","< 1 minute","< 21 days","SD00540","Podarcis muralis","Squamata","Lacertidae","Reptilia","Adult","Male",57,4.2,"SD0054001","MS0016",NA,"Spain","1000221 - Temperate woodland","Shrubs and rocks near river",42.598,0.763,0.154573,0.128938058336231,"Reptiles"
"19","PR00696","PRB0001","EHI00088","ABK71E1L1I1","Podarcis muralis","Same",25795800,25127798,3869370000,3641503731,3761769,134693905,476216,3569734521,71769210,2347788681,0.66,0.8893,"SEB001",18.64,136,2,1.4,13.1,0,8.1,95.14,88.37,38.12,"ABK71E1L1","LIB0004","ABK71","ABK71E1","EHI00088",18,190.8,10.6,20,10,"EXB0003",10.6,45,477,"Faecal","< 1 minute","< 14 days","SD00643","Podarcis muralis","Squamata","Lacertidae","Reptilia","Unknown","Male",61,5.8,"SD0064301","MS0016",NA,"Spain","1000221 - Temperate woodland","Rocky outcrops in forest and stone-walls",42.712,-0.607,0.161885,0.0197086740263455,"Reptiles"
"20","PR00697","PRB0001","EHI00089","ABI56E1L1I1","Podarcis muralis","Same",17893358,17349180,2684003700,2508812734,2725687,99611634,233090,2473897563,34915171,1473981993,0.6,0.8756,"SEB001",21.84,137,2,1.2,13.1,0,3.8,95.01,88.15,42.21,"ABI56E1L1","LIB0004","ABI56","ABI56E1","EHI00089",18,190.8,10.6,20,10,"EXB0003",10.6,45,477,"Faecal","< 1 minute","< 14 days","SD00655","Podarcis muralis","Squamata","Lacertidae","Reptilia","Unknown","Male",67,4.4,"SD0065501","MS0016",NA,"Spain","1000221 - Temperate woodland","Boulders and rocky slopes",42.789,-0.597,0.170672,0.0139170096383926,"Reptiles"
