"","preprocessing_id","preprocessing_batch","sequence_id","index_id","reference_species","reference_closenees","reads_pre_fastp","reads_post_fastp","bases_pre_fastp","bases_post_fastp","adapter_trimmed_reads","adapter_trimmed_bases","host_reads","metagenomic_bases","host_bases","bacterial_archaeal_bases","singlem_fraction","nonpareil_coverage","sequence_batch","index_library_molarity","pooling_index","pooling_dilution","pooling_volume","pooling_moles","pooling_adator_library_ratio","sequence_data","sequence_q20","sequence_q30","sequence_gc","library_id","library_batch","sample_id","extraction_id","sequencing_datasets","library_input_volume","library_input_dna","library_input_dna_concentration","library_adaptor_molarity","library_PCR_cycles_required","extraction_batch","extraction_concentration","extraction_volume","extraction_total","sample_type","sample_freshness","sample_freezing","specimen_id","specimen_species","specimen_order","specimen_family","specimen_class","specimen_development","specimen_sex","specimen_length","specimen_weight","capture_id","capture_event_id","capture_place","capture_country","capture_biome","capture_environment","capture_latitude","capture_longitude","host_dup_percent","host_percent","tax_group"
"238","PR00918","PRB0015","EHI00427","AB02E1L1I1","Sciurus vulgaris","Same",23443350,22987426,3516502500,3329657517,3325604,126288217,20724530,0,3329657517,0,0,0.6338,"SEB004",1.01,41,1,15,15.2,0.48,3.5,97.25,92.89,42.3,"AB02E1L1","LIB0033","AB02","AB02E1","EHI00427",24,29.8,1.24,10,6,"EXB0029",1.24,45,56,"Anal/cloacal swab","< 1 minute","< 14 days","SD02147","Sciurus vulgaris","Rodentia","Sciuridae","Mammalia","Adult","Male",NA,310,"SD0214701","MS0010",NA,"United Kingdom","1000197 - Broadleaf forest",NA,53.196,-4.186,0.149285,1,"Rodents"
"239","PR00919","PRB0015","EHI00436","ADE11E1L1I1","Sciurus vulgaris","Same",42043884,40367682,6306582600,5361171370,17103874,771512620,3955758,4848658457,512512913,1816747313,0.37,0.7408,"SEB004",1.96,49,1,9,17.6,0.07,6.3,97.35,93.17,45.42,"ADE11E1L1","LIB0033","ADE11","ADE11E1","EHI00436",24,22.8,0.95,10,7,"EXB0029",0.95,45,43,"Faecal","< 3 hours","< 1 day","SD01888","Sciurus vulgaris","Rodentia","Sciuridae","Mammalia","Adult","Female",NA,370,"SD0188801","MS0050",NA,"Portugal","1000196 - Coniferous forest","~2100h extent area of planted forest managed for timber and resin; forest patches also covered with invasive sepcies (Acacia)",40.933,-8.64,0.150198,0.0955971890523619,"Rodents"
"240","PR00920","PRB0015","EHI00437","AB05E1L1I1","Sciurus vulgaris","Same",39362392,38621180,5904358800,5543042170,7194494,256397688,25097126,1898413504,3644628666,1160834149,0.61,0.7819,"SEB004",2.05,48,1,8.61,17.6,0.35,5.9,97.28,93,43.61,"AB05E1L1","LIB0033","AB05","AB05E1","EHI00437",24,9.4,0.39,5,7,"EXB0029",0.39,45,17,"Anal/cloacal swab","< 1 minute","< 14 days","SD02148","Sciurus vulgaris","Rodentia","Sciuridae","Mammalia","Nursing","Female",NA,345,"SD0214801","MS0010",NA,"United Kingdom","1000197 - Broadleaf forest",NA,53.196,-4.186,0.17006,0.657514150934197,"Rodents"
"241","PR00921","PRB0015","EHI00453","ADD90E1L1I1","Sciurus vulgaris","Same",70260812,68383464,10539121800,9628337448,17136260,677399893,49394390,2603071706,7025265742,1545603954,0.59,0.7947,"SEB004",2.99,43,1,5.9,17.7,0.17,10.5,97.14,92.75,43.64,"ADD90E1L1","LIB0033","ADD90","ADD90E1","EHI00453",24,22.8,0.95,10,6,"EXB0029",0.95,45,43,"Faecal","< 1 hour","< 1 day","SD01880","Sciurus vulgaris","Rodentia","Sciuridae","Mammalia","Adult","Female",NA,360,"SD0188001","MS0050",NA,"Portugal","1000248 - Dense settlement","34h extent park with an agricultural-forest landscape surrounded by dense urban area",41.099,-8.555,0.161954,0.729644736689125,"Rodents"
"242","PR00922","PRB0015","EHI00454","ADE15E1L1I1","Sciurus vulgaris","Same",35655128,31044214,5348269200,3909362330,17593204,899704633,1486532,3751949767,157412563,2402232826,0.64,0.8632,"SEB004",3.01,58,1,5.86,17.6,0.24,5.3,95.66,91.29,48.52,"ADE15E1L1","LIB0033","ADE15","ADE15E1","EHI00454",24,58.3,2.43,20,10,"EXB0029",2.43,45,109,"Faecal","< 3 hours","< 1 day","SD01889","Sciurus vulgaris","Rodentia","Sciuridae","Mammalia","Adult","Female",NA,420,"SD0188901","MS0050",NA,"Portugal","1000196 - Coniferous forest","~2100h extent area of planted forest managed for timber and resin; forest patches also covered with invasive sepcies (Acacia)",40.948,-8.647,0.186271,0.0402655343026237,"Rodents"
"243","PR00923","PRB0015","EHI00455","ABS02E1L2I1","Sciurus vulgaris","Same",33954970,32978684,5093245500,4682415810,7136575,300617059,31947638,0,4682415810,0,0,0,"SEB004",3.02,146,1,5.84,17.6,0.18,5.1,97.19,92.75,41.75,"ABS02E1L2","LIB0035","ABS02","ABS02E1","EHI00455",14,116.5,8.32,20,7,"EXB0014",8.32,45,374,"Anal/cloacal swab","< 1 minute","< 14 days","SD01489","Sciurus vulgaris","Rodentia","Sciuridae","Mammalia","Adult","Male",61,350,"SD0148901","MS0045",NA,"Japan","1000197 - Broadleaf forest","Conifer forests ",143.091,42.736,0.173963,1,"Rodents"
"244","PR00924","PRB0015","EHI00459","ABP91E1L1I1","Sciurus vulgaris","Same",34554456,33702204,5183168400,4841878585,5880445,235129474,8917650,3439764216,1402114369,1475052533,0.43,0.5813,"SEB004",3.29,37,1,5.36,17.6,0.09,5.2,97.17,92.74,44.58,"ABP91E1L1","LIB0033","ABP91","ABP91E1","EHI00459",24,140.4,5.85,20,5,"EXB0015",5.85,45,263,"Faecal","< 6 hours","< 1 day","SD01852","Sciurus vulgaris","Rodentia","Sciuridae","Mammalia","Adult","Male",70.4,301,"SD0185201","MS0044",NA,"Ireland","1000198 - Mixed forest","Mixed forest",54.136,-9.143,0.146003,0.289580654364963,"Rodents"
"245","PR00925","PRB0015","EHI00460","ADD91E1L1I1","Sciurus vulgaris","Same",38824664,38175936,5823699600,5541199069,5319367,191833401,30012108,1131039345,4410159724,920882478,0.81,0.9858,"SEB004",3.29,44,1,5.36,17.6,0.08,5.8,97.01,92.25,40.33,"ADD91E1L1","LIB0033","ADD91","ADD91E1","EHI00460",24,48.7,2.03,10,6,"EXB0029",2.03,45,91,"Anal/cloacal swab","< 1 minute","< 1 day","SD01881","Sciurus vulgaris","Rodentia","Sciuridae","Mammalia","Adult","Female",NA,380,"SD0188101","MS0050",NA,"Portugal","1000248 - Dense settlement","34h extent park with an agricultural-forest landscape surrounded by dense urban area",41.099,-8.56,0.15491,0.795885451701681,"Rodents"
"246","PR00926","PRB0015","EHI00463","AA58E1L1I1","Sciurus vulgaris","Same",37486672,36925876,5623000800,5364318443,5029000,178592975,35780096,0,5364318443,0,0,0,"SEB004",3.59,30,1,4.92,17.6,0.04,5.6,97.07,92.43,40.52,"AA58E1L1","LIB0033","AA58","AA58E1","EHI00463",24,53.5,2.23,20,5,"EXB0029",2.23,45,100,"Anal/cloacal swab","< 1 minute","< 14 days","SD02121","Sciurus vulgaris","Rodentia","Sciuridae","Mammalia","Adult","Female",NA,240,"SD0212101","MS0010",NA,"United Kingdom","1000196 - Coniferous forest",NA,53.069,-3.553,0.179489,1,"Rodents"
"247","PR00927","PRB0015","EHI00475","ABP77E1L1I1","Sciurus vulgaris","Same",55838238,54680670,8375735700,7882799510,8873388,352115603,25266146,4169513100,3713286410,2205216391,0.53,0.742,"SEB004",4.37,22,1,4.04,17.6,0.18,8.4,97.14,92.57,45.46,"ABP77E1L1","LIB0033","ABP77","ABP77E1","EHI00475",22.9,200,8.73,20,4,"EXB0015",8.73,45,393,"Anal/cloacal swab",NA,"< 3 days","SD01843","Sciurus vulgaris","Rodentia","Sciuridae","Mammalia","Adult","Male",65,276,"SD0184301","MS0044",NA,"Ireland","1000198 - Mixed forest","Mixed forest",54.136,-9.143,0.184914,0.47106188674333,"Rodents"
"248","PR00928","PRB0016","EHI00478","AA74E1L1I1","Sciurus vulgaris","Same",39834722,38878056,5975208300,5645352863,5198466,202264010,37764092,0,5645352863,0,0,0,"SEB004",4.41,31,1,4,17.6,0.08,6,96.71,91.78,41.59,"AA74E1L1","LIB0033","AA74","AA74E1","EHI00478",24,46.3,1.93,10,5,"EXB0029",1.93,45,87,"Anal/cloacal swab","< 1 minute","< 14 days","SD02117","Sciurus vulgaris","Rodentia","Sciuridae","Mammalia","Pregnant","Female",NA,325,"SD0211701","MS0010",NA,"United Kingdom","1000197 - Broadleaf forest",NA,53.196,-4.186,0.172907,1,"Rodents"
"249","PR00929","PRB0016","EHI00491","AGF95E1L1I1","Sciurus vulgaris","Same",33173646,30553068,4976046900,4055125755,13144341,676716585,3153328,3690292938,364832817,2500260901,0.68,0.8794,"SEB004",6.09,135,1,2.9,17.7,0.07,5,97.14,92.93,49.9,"AGF95E1L1","LIB0034","AGF95","AGF95E1","EHI00491",24,53.5,2.23,20,6,"EXB0030",2.23,45,100,"Faecal","< 1 minute","< 1 day","SD02161","Sciurus vulgaris","Rodentia","Sciuridae","Mammalia","Adult","Male",NA,335,"SD0216101","MS0057",NA,"United Kingdom","1000198 - Mixed forest","Small island nature reserve",50.694,-1.965,0.146364,0.0899683114759532,"Rodents"
"250","PR00930","PRB0016","EHI00492","ADE05E1L1I1","Sciurus vulgaris","Same",26895182,21684012,4034277300,2313372258,21492716,1261361589,13251182,879840635,1433531623,109546204,0.12,0.5199,"SEB004",6.24,57,1,2.83,17.7,0.17,4,95.89,91.01,47.73,"ADE05E1L1","LIB0033","ADE05","ADE05E1","EHI00492",24,6,0.25,5,10,"EXB0029",0.25,45,11,"Faecal","< 3 hours","< 1 day","SD01886","Sciurus vulgaris","Rodentia","Sciuridae","Mammalia","Adult","Male",NA,400,"SD0188601","MS0050",NA,"Portugal","1000196 - Coniferous forest","~2100h extent area of planted forest managed for timber and resin; forest patches also covered with invasive sepcies (Acacia)",40.947,-8.646,0.1524,0.619671831043458,"Rodents"
"251","PR00931","PRB0016","EHI00497","ABQ18E1L1I1","Sciurus vulgaris","Same",40257994,39468730,6038699100,5699450636,6112350,244500204,13356226,3678223604,2021227032,1891236586,0.51,0.7012,"SEB004",6.79,38,1,2.6,17.6,0.1,6,97.14,92.85,46.39,"ABQ18E1L1","LIB0033","ABQ18","ABQ18E1","EHI00497",16,200,12.5,20,5,"EXB0015",12.5,45,563,"Anal/cloacal swab",NA,"< 3 days","SD01842","Sciurus vulgaris","Rodentia","Sciuridae","Mammalia","Adult","Female",65.1,291,"SD0184201","MS0044",NA,"Ireland","1000198 - Mixed forest","Mixed forest",54.136,-9.143,0.150294,0.354635413320913,"Rodents"
"252","PR00932","PRB0016","EHI00498","AGF91E1L1I1","Sciurus vulgaris","Same",36544142,35219638,5481621300,4872197381,11161919,467064648,27093090,1092627957,3779569424,669392296,0.61,0.6609,"SEB004",6.8,126,1,2.6,17.7,0.31,5.5,97.37,93.29,44.76,"AGF91E1L1","LIB0034","AGF91","AGF91E1","EHI00498",24,27.1,1.13,10,5,"EXB0030",1.13,45,51,"Faecal","< 1 minute","< 1 day","SD02157","Sciurus vulgaris","Rodentia","Sciuridae","Mammalia","Adult","Female",NA,315,"SD0215701","MS0057",NA,"United Kingdom","1000198 - Mixed forest","Small island nature reserve",50.694,-1.965,0.134098,0.775742263385942,"Rodents"
"253","PR00933","PRB0016","EHI00510","AGF98E1L1I1","Sciurus vulgaris","Same",29509156,27979356,4426373400,3781749143,10346057,488844307,7590502,2778759646,1002989497,1888713412,0.68,0.8454,"SEB004",8.47,136,1,2.08,17.6,0.1,4.4,97.06,92.86,47.4,"AGF98E1L1","LIB0034","AGF98","AGF98E1","EHI00510",24,25.2,1.05,10,6,"EXB0030",1.05,45,47,"Faecal","< 1 hour","< 1 day","SD02153","Sciurus vulgaris","Rodentia","Sciuridae","Mammalia","Adult","Male",NA,300,"SD0215301","MS0057",NA,"United Kingdom","1000198 - Mixed forest","Small island nature reserve",50.694,-1.965,0.142195,0.265218410601488,"Rodents"
"254","PR00934","PRB0016","EHI00521","ABQ01E1L1I1","Sciurus vulgaris","Same",37639486,37129466,5645922900,5430689509,4118566,149070959,5315048,4652790825,777898684,3189101721,0.69,0.86,"SEB004",9.52,20,1,1.85,17.6,0.08,5.6,97.45,93.19,49.21,"ABQ01E1L1","LIB0033","ABQ01","ABQ01E1","EHI00521",24,194.4,8.1,20,4,"EXB0015",8.1,45,365,"Faecal","< 3 hours","< 3 days","SD01846","Sciurus vulgaris","Rodentia","Sciuridae","Mammalia","Adult","Female",66.5,276,"SD0184601","MS0044",NA,"Ireland","1000198 - Mixed forest","Mixed forest",54.136,-9.143,0.166703,0.143241237178231,"Rodents"
"255","PR00935","PRB0016","EHI00528","ADD97E1L1I1","Sciurus vulgaris","Same",39293856,37859972,5894078400,5344490160,8933227,397214472,2081850,5088833874,255656286,3672558898,0.72,0.9392,"SEB004",10.44,128,1,1.69,17.6,0.09,5.9,97.13,92.77,47.8,"ADD97E1L1","LIB0033","ADD97","ADD97E1","EHI00528",24,130.8,5.45,20,5,"EXB0029",5.45,45,245,"Faecal","< 1 hour","< 1 day","SD01883","Sciurus vulgaris","Rodentia","Sciuridae","Mammalia","Adult","Male",NA,380,"SD0188301","MS0050",NA,"Portugal","1000248 - Dense settlement","34h extent park with an agricultural-forest landscape surrounded by dense urban area",41.099,-8.56,0.145442,0.0478354863319647,"Rodents"
"256","PR00936","PRB0016","EHI00530","ABP99E1L1I1","Sciurus vulgaris","Same",44873098,44120340,6730964700,6347156659,8228087,284624216,11843352,4539792764,1807363895,2401084135,0.53,0.6964,"SEB004",10.84,19,1,1.63,17.7,0.05,6.7,97.66,93.76,46.14,"ABP99E1L1","LIB0033","ABP99","ABP99E1","EHI00530",17.5,200,11.4,20,4,"EXB0015",11.4,45,513,"Anal/cloacal swab",NA,NA,"SD01839","Sciurus vulgaris","Rodentia","Sciuridae","Mammalia","Adult","Male",65.7,286,"SD0183901","MS0044",NA,"Ireland","1000198 - Mixed forest","Mixed forest",54.136,-9.143,0.152214,0.284751738786411,"Rodents"
"257","PR00937","PRB0016","EHI00539","ADD83E1L1I1","Sciurus vulgaris","Same",42472260,41874046,6370839000,6042882913,6987086,245413521,38653536,0,6042882913,0,0,0.8572,"SEB004",12.97,14,1,1.36,17.6,0.01,6.4,97.44,93.23,41.76,"ADD83E1L1","LIB0033","ADD83","ADD83E1","EHI00539",24,55.7,2.32,20,4,"EXB0029",2.32,45,104,"Anal/cloacal swab","< 1 minute","< 1 day","SD01878","Sciurus vulgaris","Rodentia","Sciuridae","Mammalia","Adult","Female",NA,360,"SD0187801","MS0050",NA,"Portugal","1000248 - Dense settlement","34h extent park with an agricultural-forest landscape surrounded by dense urban area",41.099,-8.56,0.171459,1,"Rodents"
"258","PR00938","PRB0016","EHI00545","ADD87E1L1I1","Sciurus vulgaris","Same",27203622,26860828,4080543300,3859109740,5004016,178604102,6992914,2846606757,1012502983,1940592625,0.68,0.8555,"SEB004",15.83,15,1,1.11,17.6,0.01,4.1,97.67,93.74,46.67,"ADD87E1L1","LIB0033","ADD87","ADD87E1","EHI00545",12.6,200,15.9,20,4,"EXB0029",15.9,45,716,"Faecal","< 1 hour","< 1 day","SD01879","Sciurus vulgaris","Rodentia","Sciuridae","Mammalia","Adult","Female",NA,360,"SD0187901","MS0050",NA,"Portugal","1000248 - Dense settlement","34h extent park with an agricultural-forest landscape surrounded by dense urban area",41.099,-8.56,0.153849,0.262366983894063,"Rodents"
"259","PR00939","PRB0016","EHI00553","AB13E1L1I1","Sciurus vulgaris","Same",13825604,12689362,2073840600,1664622317,5881799,284032176,2346196,1384671072,279951245,293656857,0.21,0.5698,"SEB004",18.96,56,4,3.72,17.6,0.11,2.1,96.31,91.97,44.31,"AB13E1L1","LIB0033","AB13","AB13E1","EHI00553",24,32.9,1.37,10,8,"EXB0029",1.37,45,62,"Anal/cloacal swab",NA,NA,"SD02151","Sciurus vulgaris","Rodentia","Sciuridae","Mammalia","Adult","Female",NA,270,"SD0215101","MS0010",NA,"United Kingdom","1000197 - Broadleaf forest",NA,53.196,-4.186,0.134567,0.168177034598774,"Rodents"
"260","PR00940","PRB0016","EHI00584","ABS28E1L2I1","Sciurus vulgaris","Same",50691164,46859768,7603674600,6698419170,11767150,547496799,38689320,1102107077,5596312093,402003819,0.36,0.8025,"SEB005",2.11,253,1,8.36,17.7,0.86,7.6,96.85,92.22,43.94,"ABS28E1L2","LIB0035","ABS28","ABS28E1","EHI00584",20,69.8,3.49,20,13,"EXB0014",3.49,45,157,"Anal/cloacal swab","< 1 minute","< 14 days","SD01502","Sciurus vulgaris","Rodentia","Sciuridae","Mammalia","Adult","Male",65,340,"SD0150201","MS0045",NA,"Japan","1000197 - Broadleaf forest","Broadleaf forest ",143.137,42.914,0.452628,0.83546758585429,"Rodents"
"261","PR00941","PRB0016","EHI00592","ABS26E1L2I1","Sciurus vulgaris","Same",36758194,34338346,5513729100,4915775141,8196636,370541825,30123270,0,4915775141,0,0,0.9672,"SEB005",3.1,249,1,5.69,17.6,0.74,5.5,97.17,92.68,43.88,"ABS26E1L2","LIB0035","ABS26","ABS26E1","EHI00592",20,68.2,3.41,20,12,"EXB0014",3.41,45,153,"Anal/cloacal swab","< 1 minute","< 14 days","SD01501","Sciurus vulgaris","Rodentia","Sciuridae","Mammalia","Adult","Male",63.5,340,"SD0150101","MS0045",NA,"Japan","1000197 - Broadleaf forest","Broadleaf forest ",143.137,42.914,0.363612,1,"Rodents"
"262","PR00942","PRB0016","EHI00600","AGF90E1L1I1","Sciurus vulgaris","Same",47686722,44432020,7153008300,6047877151,15852084,765624887,8489656,4966612685,1081264466,3428012315,0.69,0.8736,"SEB005",3.54,204,1,4.99,17.7,0.16,7.2,96.37,91.58,49.1,"AGF90E1L1","LIB0034","AGF90","AGF90E1","EHI00600",24,32.2,1.34,10,9,"EXB0030",1.34,45,60,"Faecal","< 1 hour","< 1 day","SD02158","Sciurus vulgaris","Rodentia","Sciuridae","Mammalia","Adult","Female",NA,305,"SD0215801","MS0057",NA,"United Kingdom","1000198 - Mixed forest","Small island nature reserve",50.694,-1.965,0.193861,0.178784131853805,"Rodents"
"263","PR00943","PRB0016","EHI00612","ABS40E1L2I1","Sciurus vulgaris","Same",55467472,54261730,8320120800,7853353386,8390721,306680752,33034198,2959008638,4894344748,410959089,0.14,0.6325,"SEB005",5.11,205,1,3.45,17.6,0.07,8.3,96.95,92.22,42.02,"ABS40E1L2","LIB0035","ABS40","ABS40E1","EHI00612",20,11.7,0.59,10,9,"EXB0014",0.59,45,26,"Anal/cloacal swab","< 1 minute","< 14 days","SD01508","Sciurus vulgaris","Rodentia","Sciuridae","Mammalia","Adult","Male",67,350,"SD0150801","MS0045",NA,"Japan","1000197 - Broadleaf forest","Broadleaf forest ",143.187,42.906,0.223346,0.623217179647746,"Rodents"
"264","PR00944","PRB0016","EHI00623","ABS92E1L2I1","Sciurus vulgaris","Same",650849416,619932722,97627412400,84753508599,229549473,9716707649,440993700,24104137852,60649370747,19576963476,0.81,0.9908,"SEB005",6.87,273,1,2.57,17.7,0,97.6,96.99,92.58,45.41,"ABS92E1L2","LIB0035","ABS92","ABS92E1","EHI00623",20,18.4,0.92,10,21,"EXB0014",0.92,45,41,"Anal/cloacal swab","< 1 minute","< 3 days","SD01534","Sciurus vulgaris","Rodentia","Sciuridae","Mammalia","Adult","Female",60,310,"SD0153401","MS0045",NA,"Japan","1000197 - Broadleaf forest","Conifer forests ",143.091,42.736,0.495479,0.715597168182788,"Rodents"
"265","PR00945","PRB0016","EHI00627","ABS12E1L2I1","Sciurus vulgaris","Same",41114756,40112928,6167213400,5799061887,6571431,244212587,33808130,850670804,4948391083,830684628,0.98,0.9379,"SEB005",7.28,248,1,2.42,17.6,0.26,6.2,97.14,92.63,43.39,"ABS12E1L2","LIB0035","ABS12","ABS12E1","EHI00627",5,5,0.99,5,12,"EXB0014",0.99,45,45,"Anal/cloacal swab","< 1 minute","< 1 day","SD01494","Sciurus vulgaris","Rodentia","Sciuridae","Mammalia","Adult","Male",58.5,320,"SD0149401","MS0045",NA,"Japan","1000197 - Broadleaf forest","Conifer forests ",143.165,42.79,0.340296,0.853308893649336,"Rodents"
"266","PR00946","PRB0016","EHI00631","AGF86E1L1I1","Sciurus vulgaris","Same",49493686,46394288,7424052900,6349537379,16425430,771550438,9080370,5156352694,1193184685,3425961812,0.66,0.8764,"SEB005",7.78,170,1,2.27,17.7,0.12,7.4,97.18,92.94,48.74,"AGF86E1L1","LIB0034","AGF86","AGF86E1","EHI00631",24,9.6,0.4,5,8,"EXB0030",0.4,45,18,"Faecal","< 1 minute","< 1 day","SD02156","Sciurus vulgaris","Rodentia","Sciuridae","Mammalia","Adult","Male",NA,330,"SD0215601","MS0057",NA,"United Kingdom","1000198 - Mixed forest","Small island nature reserve",50.694,-1.965,0.173103,0.187916790433623,"Rodents"
"267","PR00947","PRB0016","EHI00644","ABS96E1L2I1","Sciurus vulgaris","Same",37073434,36158624,5561015100,5209981804,6042181,233133560,32596716,0,5209981804,0,0,0.6594,"SEB005",9.27,172,1,1.9,17.6,0.06,5.6,96.53,91.6,41.79,"ABS96E1L2","LIB0035","ABS96","ABS96E1","EHI00644",17,40.8,2.4,10,8,"EXB0014",2.4,45,108,"Anal/cloacal swab","< 1 minute","< 3 days","SD01536","Sciurus vulgaris","Rodentia","Sciuridae","Mammalia","Adult","Female",63,310,"SD0153601","MS0045",NA,"Japan","1000197 - Broadleaf forest","Conifer forests ",143.091,42.736,0.181345,1,"Rodents"
"268","PR00948","PRB0017","EHI00369","AFW26E1L1I1","Peromyscus maniculatus","Same",24471100,24045778,3670665000,3508869186,3022636,104319844,1330016,3305144737,203724449,1870809987,0.57,0.724,"SEB003",3,17,1,4.12,12.4,0.28,3.67,96.89,91.8,49.11,"AFW26E1L1","LIB0030","AFW26","AFW26E1","EHI00369",20,21.6,1.08,10,6,"EXB0022",1.08,45,49,"Faecal","< 1 minute","< 21 days","SD02088","Peromyscus maniculatus","Rodentia","Cricetidae","Mammalia","Adult","Male",88,20.6,"SD0208801","MS0056",NA,"Canada","1001805 - Temperate forest",NA,49.272,-123.199,0.1632,0.058059858661257,"Rodents"
"269","PR00949","PRB0017","EHI00378","AFW30E1L1I1","Peromyscus maniculatus","Same",24176614,23732902,3626492100,3468311546,2882496,96625084,1541436,3229810280,238501266,2088192675,0.65,0.7621,"SEB003",7.37,16,1,1.68,12.4,0.13,3.63,96.62,91.36,49.77,"AFW30E1L1","LIB0030","AFW30","AFW30E1","EHI00378",20,73.8,3.69,20,4,"EXB0022",3.69,45,166,"Faecal","< 1 minute","< 21 days","SD02090","Peromyscus maniculatus","Rodentia","Cricetidae","Mammalia","Adult","Unknown",NA,20.5,"SD0209001","MS0056",NA,"Canada","1001805 - Temperate forest",NA,49.272,-123.199,0.152624,0.0687658138078926,"Rodents"
"270","PR00950","PRB0017","EHI00379","AFV57E1L1I1","Peromyscus maniculatus","Same",21610164,21195010,3241524600,3065784026,3426447,120832735,193744,3036493481,29290545,1815598852,0.6,0.634,"SEB003",7.53,15,1,1.64,12.4,0.09,3.24,96.81,91.76,50.7,"AFV57E1L1","LIB0030","AFV57","AFV57E1","EHI00379",20,62.2,3.11,20,4,"EXB0022",3.11,45,140,"Faecal","< 1 minute","< 21 days","SD02085","Peromyscus maniculatus","Rodentia","Cricetidae","Mammalia","Adult","Male",78,20,"SD0208501","MS0056",NA,"Canada","1001805 - Temperate forest",NA,49.272,-123.199,0.15057,0.00955401448751628,"Rodents"
"271","PR00951","PRB0017","EHI00386","AFW32E1L1I1","Peromyscus maniculatus","Same",31675728,31001536,4751359200,4479869798,5161862,181303376,757420,4365859630,114010168,2517172221,0.58,0.7151,"SEB003",11.01,12,1,1.12,12.3,0.12,4.75,96.76,91.63,48.67,"AFW32E1L1","LIB0030","AFW32","AFW32E1","EHI00386",16.3,200,12.3,20,3,"EXB0022",12.3,45,554,"Faecal","< 1 minute","< 21 days","SD02091","Peromyscus maniculatus","Rodentia","Cricetidae","Mammalia","Adult","Female",75,21,"SD0209101","MS0056",NA,"Canada","1001805 - Temperate forest",NA,49.272,-123.199,0.163135,0.0254494378499346,"Rodents"
"272","PR00952","PRB0017","EHI00390","AFW18E1L1I1","Peromyscus maniculatus","Same",20093690,19719468,3014053500,2852868506,3218545,110919386,90422,2839237139,13631367,1677359193,0.59,0.699,"SEB003",12.95,14,4,3.82,12.4,0.11,3.01,97.02,92.08,48.47,"AFW18E1L1","LIB0030","AFW18","AFW18E1","EHI00390",13.5,200,14.8,20,4,"EXB0022",14.8,45,666,"Faecal","< 1 minute","< 21 days","SD02084","Peromyscus maniculatus","Rodentia","Cricetidae","Mammalia","Adult","Unknown",82.7,24,"SD0208401","MS0056",NA,"Canada","1001805 - Temperate forest",NA,49.306,-123.144,0.166796,0.00477812663686785,"Rodents"
"273","PR00953","PRB0017","EHI00395","AFW28E1L1I1","Peromyscus maniculatus","Same",27150222,26680220,4072533300,3848452454,4658844,162125050,458158,3778964518,69487936,2123119191,0.56,0.7274,"SEB003",14.43,11,4,3.42,12.3,0.11,4.07,97.19,92.51,51.43,"AFW28E1L1","LIB0030","AFW28","AFW28E1","EHI00395",18.3,200,10.9,20,3,"EXB0022",10.9,45,491,"Faecal","< 1 minute","< 21 days","SD02089","Peromyscus maniculatus","Rodentia","Cricetidae","Mammalia","Adult","Female",82,17,"SD0208901","MS0056",NA,"Canada","1001805 - Temperate forest",NA,49.272,-123.199,0.151852,0.0180560723643021,"Rodents"
"274","PR00954","PRB0017","EHI00396","AFV48E1L1I1","Peromyscus maniculatus","Same",26753634,26310498,4013045100,3820624311,3950187,131825398,389906,3761715816,58908495,2231979817,0.59,0.7563,"SEB003",14.54,9,4,3.4,12.4,0.08,4.01,97.05,92.14,49.86,"AFV48E1L1","LIB0030","AFV48","AFV48E1","EHI00396",20,152.2,7.61,20,3,"EXB0022",7.61,45,342,"Faecal","< 1 minute","< 21 days","SD02086","Peromyscus maniculatus","Rodentia","Cricetidae","Mammalia","Adult","Female",91,20.5,"SD0208601","MS0056",NA,"Canada","1001805 - Temperate forest",NA,49.272,-123.199,0.169451,0.0154185521016542,"Rodents"
"275","PR00955","PRB0017","EHI00401","AFV39E1L1I1","Peromyscus maniculatus","Same",38454852,37815084,5768227800,5461116201,6458681,223497131,1098568,5294165032,166951169,3262569712,0.62,0.774,"SEB003",16.02,10,4,3.08,12.3,0.09,5.77,97.25,92.54,49.81,"AFV39E1L1","LIB0030","AFV39","AFV39E1","EHI00401",20,134.8,6.74,20,3,"EXB0022",6.74,45,303,"Faecal","< 1 minute","< 21 days","SD02087","Peromyscus maniculatus","Rodentia","Cricetidae","Mammalia","Adult","Male",80.5,18,"SD0208701","MS0056",NA,"Canada","1001805 - Temperate forest",NA,49.272,-123.199,0.14733,0.0305708874990481,"Rodents"
"276","PR00956","PRB0017","EHI00440","AFV60E1L1I1","Peromyscus maniculatus","Same",32751240,31975000,4912686000,4605496176,5583619,211971159,22093474,1226888466,3378607710,745283313,0.61,0.6281,"SEB004",2.13,50,1,8.29,17.7,0.57,4.9,97.22,93.01,45.64,"AFV60E1L1","LIB0033","AFV60","AFV60E1","EHI00440",24,9.4,0.39,5,7,"EXB0029",0.39,45,18,"Faecal","< 1 minute","> 28 days","SD02049","Peromyscus maniculatus","Rodentia","Cricetidae","Mammalia","Adult","Male",NA,18,"SD0204901","MS0056",NA,"Canada","1001805 - Temperate forest",NA,48.809,-123.462,0.182074,0.733603412289534,"Rodents"
