sequence_id	sequence_data	sequence_q20	sequence_q30	sequence_gc	index_id
EHI02036	7.3114329	96.24	90.99	49.04	AAA50E1L1I1
EHI00559	5.1	97.29	93.14	44.13	ABZ68E1L1I1
EHI01500	3.8108877	96.11	91.14	47.15	ACH57E1L1I1
EHI00819	7.236402	97.13	92.71	46.08	AAH83E1L1I1
EHI01427	2.0169798	96.52	91.49	45.5	AEV47E1L1I1
EHI00656	97.4	96.94	92.4	43.03	OPAU64E1L1I1
EHI00823	6.556203	97.35	92.83	43.98	ACD21E1L1I1
EHI00073	5.2	94.54	87.39	40.18	ABL01E1L1I1
EHI02625	2.6531106	98.47	95.8	46.8	AJP65E1L1I1
EHI00650	7	96.35	91.73	49.96	ABZ56E1L1I1
EHI00059	4.2	94.81	87.74	41.74	AD85E1L1I2
EHI00512	10.6	97.08	92.56	44.31	ADL74E1L1I1
EHI00157	4.1	95.59	89.21	43.78	AAC26E2L1I1
EHI00653	12.3	96.61	91.94	42.66	OPAU42E1L1I1
EHI02066	NA	NA	NA	NA	AHW95E2L1I1
EHI00497	6	97.14	92.85	46.39	ABQ18E1L1I1
EHI02085	NA	NA	NA	NA	AGO69E3L1I1
EHI01577	2.6678676	96.36	91.58	42.54	AEV02E1L1I1
EHI00562	9.5	97.68	93.79	51.06	AFV78E1L1I1
EHI01789	9.0285702	96.68	91.81	42.95	AII81E1L1I1
EHI02426	3.3566022	97.29	93.28	41.84	AAH11E1L1I1
EHI02185	NA	NA	NA	NA	ABM23E1L1I1
EHI00999	4.3639158	97.21	92.58	48.17	ACD28E1L1I1
EHI00671	3.5213874	96.95	92.22	45.02	ABQ46E1L1I1
EHI01133	6.2714217	97.07	92.84	44.9	AIH55E1L1I1
EHI02088	NA	NA	NA	NA	AJP51E1L1I1
EHI01685	20.1343239	95.79	92.31	36.67	OPAU2E1L1I1
EHI02690	8.0047572	97.79	94.35	49.46	AHO54E1L1I1
EHI01447	2.47185	96.72	91.87	51.23	AAO96E1L1I1
EHI02263	NA	NA	NA	NA	AAZ81E1L1I1
EHI02146	NA	NA	NA	NA	ABM38E1L1I1
EHI00021	2.7	94.64	88.12	44.34	AAS31E1L1I1
EHI01972	7.3839009	96.82	91.96	49.69	AIQ86E1L1I1
EHI01574	1.961124	96.24	91.43	46.59	AEV28E1L1I1
EHI02214	NA	NA	NA	NA	ABR23E1L1I1
EHI01029	5.9654394	97.22	92.5	41.16	AA01E1L1I1
EHI01635	13.6226421	96.61	91.43	42.56	AIG42E1L1I1
EHI01977	6.8246697	96.94	92.34	49.34	AIQ81E1L1I1
EHI02447	5.1010305	97.39	93.43	36.8	AEY80E1L1I1
EHI02310	NA	NA	NA	NA	C1_EXB0082E1L1I1
EHI01465	5.4430095	96.59	91.56	46.87	AAV06E1L1I1
EHI00360	0.45	93.46	87.23	62.31	C1_EXB0022E1L1I1
EHI01418	6.274953	96.41	91.16	45.22	ABP55E1L1I1
EHI02489	3.5101437	97.09	92.66	49.06	AFI81E1L1I1
EHI02341	4.0442997	96.44	91.43	46.21	AFI38E1L1I1
EHI02516	3.2541645	97.04	92.7	41.31	AEZ78E1L1I1
EHI00006	3	94.7	88.14	43.81	AAS27E1L1I1
EHI00173	4.5	94.25	87.33	43.57	AAC14E2L1I1
EHI00589	7	96.83	92.13	44.2	ADK10E2L3I1
EHI00681	1.5277902	96.97	92.27	44.9	AEX12E1L1I1
EHI00046	2.4	95.05	88.44	43.61	AAD12E2L1I2
EHI00523	6.7	96.45	91.81	44.44	OPAU20E1L1I1
EHI00159	3.1	94.76	87.87	42.11	AAC09E2L1I1
EHI01344	5.5375833	96.87	91.95	41.14	AEA63E1L1I1
EHI01397	3.7303059	97.18	93.03	44.31	ACK80E1L1I1
