sequence_id	sequence_data	sequence_q20	sequence_q30	sequence_gc	index_id
EHI00942	5.3791374	96.68	91.37	39.69	ABO44E1L1I1
EHI01504	3.9802122	96.83	92.18	44.01	ADV92E1L1I1
EHI01553	4.5596538	96.89	92.35	46.76	ACH53E1L1I1
EHI02202	NA	NA	NA	NA	AHB77E1L1I1
EHI02094	NA	NA	NA	NA	AFV18E1L1I1
EHI01580	2.5351791	96.82	92.28	40.89	AEV27E1L1I1
EHI02379	5.002458	96.73	91.99	54.82	AEZ01E1L1I1
EHI00503	5.2	97.23	93	43.57	ACB20E1L1I1
EHI01848	1.259439	98.29	95.21	45.24	AFV01E1L2I1
EHI01592	5.4480852	96.73	91.8	46.65	AEU54E1L1I1
EHI01375	3.6108444	96.83	92.49	44.29	AGZ75E1L1I1
EHI02481	4.9427709	97.11	92.9	38.83	AFN35E1L1I1
EHI01245	10.2610401	97.1	93	47.49	AAW17E1L1I1
EHI00950	2.9342694	96.99	92.21	46.55	AAN40E2L1I1
EHI01458	17.3368968	96.31	91.25	45.62	ACH13E1L1I1
EHI02303	NA	NA	NA	NA	AEM20E1L1I1
EHI02145	NA	NA	NA	NA	ABI27E1L1I1
EHI00208	1	93.62	86.98	74	C1_EXB0019E1L1I1
EHI01656	9.6965598	95.98	91.1	46.1	AIJ20E1L1I1
EHI02305	NA	NA	NA	NA	AEU13E1L1I1
EHI02533	2.4464091	90.82	81.5	48.96	AIV69E1L1I1
EHI00009	2.7	94.44	88.17	47.05	AAS39E1L1I1
EHI01589	4.6025976	96.51	91.57	52.22	AEU91E1L1I1
EHI00329	4.5	96.84	92.05	59.14	BATB11E1L1I2
EHI00174	4.4	93.8	86.56	44.52	AAB78E2L1I1
EHI00965	3.2096214	96.5	91.47	44.94	ACD62E1L1I1
EHI00336	6.7	96.67	91.23	39.74	AAL47E1L1I2
EHI01039	6.4568025	97.33	92.65	40.8	AA05E1L1I1
EHI00721	1.9991094	96.4	91.22	44.31	AFM87E1L1I1
EHI01201	4.1748297	96.7	91.5	40.99	AAE24E1L1I1
EHI02512	6.2165763	96.69	91.83	53.01	AEY76E1L1I1
EHI02031	5.1474594	96.73	91.94	49.29	AEU32E1L1I1
EHI02382	4.6131009	97.22	92.97	43.12	ABC99E1L1I1
EHI00319	3.3	97.06	92.3	50.37	BATC18E1L1I2
EHI01605	3.6904374	96.56	91.54	48.87	AFW40E1L1I1
EHI00930	6.1635825	97.34	92.65	44.44	ADA18E1L1I1
EHI00018	3.4	94.71	88.26	45.84	AAS32E1L1I1
EHI01325	3.6227211	97.15	92.4	40.46	AGB90E1L1I1
EHI01832	1.6694193	98.28	95.37	43.63	AFV10E1L2I1
EHI01405	7.4524767	96.38	91.24	36.6	AGZ41E1L1I1
EHI00186	NA	NA	NA	NA	OPAU8E1L1I1
EHI00440	4.9	97.22	93.01	45.64	AFV60E1L1I1
EHI02166	NA	NA	NA	NA	AHB97E1L1I1
EHI00673	0.8782695	96.93	92.15	44.67	ABR14E1L1I1
EHI02696	11.4399165	98.13	95.03	48.84	AKD82E1L1I1
EHI01339	5.4049938	97.3	93.17	49.68	AHQ48E1L1I1
EHI01239	40.488288	96.96	92.36	46.24	AAW20E1L1I1
EHI01825	NA	NA	NA	NA	AHV51E1L1I1
EHI00952	4.0123548	96.8	91.46	36.76	ADJ86E1L1I1
EHI00162	6.5	95.12	88.69	46.81	AAB64E2L1I1
EHI02576	5.8811367	98.53	95.94	38.75	AGO08E1L1I1
EHI02362	5.1508416	97.57	93.6	42.82	ADM65E1L1I1
EHI01703	12.3677604	96.38	91.18	43.97	ABI39E1L1I1
EHI00025	5.8	94.27	87.34	41.67	NSAP67E1L1I1
EHI02300	NA	NA	NA	NA	AEM14E1L1I1
EHI01157	5.8996773	97.31	93.03	43.58	AAE15E1L1I1
EHI00800	4.5429291	96.93	92.32	46.12	AAI06E1L1I1
EHI02500	6.9091275	97.05	92.61	43.12	AAD67E1L1I1
EHI01084	6.7551747	97.26	92.37	45.61	ACX77E1L1I1
EHI01968	7.2419889	97.29	93.01	45.28	AJP58E1L1I1
EHI00090	3.8	95.27	89.32	45.57	AAW14E1L1I1
EHI02497	6.3796338	96.83	92.35	46.36	ACP08E1L1I1
EHI00877	3.8147151	97.19	92.68	47.75	ACE45E1L1I1
EHI00692	5.0992257	96.96	92.18	44.37	AEX59E1L1I1
EHI00941	4.8949143	96.96	91.97	40.68	ABO35E1L1I1
EHI02521	4.8134319	94.82	88.69	50.66	AEZ43E1L1I1
EHI01604	2.4651726	96.38	91.11	45.58	AEU76E1L1I1
EHI02357	13.9699638	97.36	93.13	41.14	ADM39E1L1I1
EHI02458	4.2035625	97.31	93.21	42.9	AAD54E1L1I1
EHI00436	6.3	97.35	93.17	45.42	ADE11E1L1I1
EHI01140	3.7650579	97	91.98	42.51	AIG42E1L1I1
EHI01371	7.9331388	96.78	92.47	62.03	AEA84E1L1I1
EHI01710	11.3825826	96.14	90.86	44.09	ABK06E1L1I1
EHI01691	3.2213574	95.65	92.03	41.35	ACJ39E1L1I1
EHI00057	1.5	94.66	87.75	43.43	AAB85E1L1I2
EHI01766	4.5289893	97.02	92.29	48.7	AGI69E1L1I1
EHI01964	4.9739604	96.64	91.79	46.75	AIQ80E1L1I1
EHI02529	1.1028357	96.13	90.78	43.97	AEY85E1L1I1
EHI01669	7.9041198	96.87	94.35	44.61	ACP23E1L1I1
EHI02584	5.4944631	98.56	95.97	42.77	AJP53E1L1I1
EHI01609	4.6451283	95.88	90.23	44.93	AFV99E1L1I1
EHI01454	4.0221921	96.36	91.34	48.37	AEU09E1L1I1
EHI00332	13.1	96.57	90.99	40.05	ABG37E1L1I2
EHI01360	6.308199	96.94	92.26	44.31	ADD79E1L1I1
EHI02608	3.5830977	98.33	95.47	42.74	AGP53E1L1I1
EHI01663	1.766001	96.12	92.92	45.64	OPAU38E1L1I1
EHI02485	3.9381801	96.98	92.36	43.12	AFH79E1L1I1
EHI01350	6.5626974	96.61	91.56	39.89	ACJ97E1L1I1
EHI02633	7.1379591	98.47	95.71	45.61	AJP44E1L1I1
EHI02266	NA	NA	NA	NA	AAN34E1L1I1
EHI01423	12.9316524	96.73	91.75	42.93	ABW32E1L1I2
EHI02563	2.0244666	96.39	91.26	51.29	AHO04E1L1I1
EHI01676	14.2980009	96.26	93.22	42.65	OPAU18E1L1I1
EHI01301	5.134305	96.75	91.7	41.19	AGD38E1L1I1
EHI00094	6.2	95.19	88.84	44.04	AAW21E1L1I1
EHI00288	6.4	95.59	89.82	44.54	ACE28E1L1I1
EHI01985	5.7975801	97.02	92.44	46.06	AJP55E1L1I1
EHI00078	6.7	95.33	88.77	41.9	AAW11E1L1I1
EHI00312	5	96.55	91.44	50.13	BATA05E1L1I2
EHI00610	4.8	96.53	91.65	44.07	OPAU11E2L1I1
EHI01665	3.8277786	96.48	93.61	43.02	OPAU62E1L1I1
EHI00868	4.4529579	97.18	92.57	38.98	ACB35E1L1I1
EHI02656	NA	NA	NA	NA	NA
EHI00827	4.7336616	97.39	93.22	56.96	ACD27E1L1I1
EHI00629	10.5	96.82	92.34	43.07	ACJ48E1L1I1
EHI00597	5.6	96.76	91.98	45.94	ACP12E1L2I1
EHI00429	3.9	96.79	92.21	43.21	OPAU55E2L1I1
EHI02034	5.3450277	96.75	91.86	48.94	AAV94E1L1I1
EHI00507	7.6	97.02	92.44	44.05	ADM79E1L1I1
EHI02122	NA	NA	NA	NA	AGI58E3L1I1
EHI01138	7.7548458	97.35	93.14	45.47	AIH79E1L1I1
EHI00154	4.5	95.15	88.54	42.16	AAC28E2L1I1
EHI02011	5.6494785	96.99	92.52	45.57	ACG49E1L1I1
EHI01209	4.2951375	97.05	92.33	40.45	AAE10E1L1I1
EHI01052	5.9215965	96.94	92.02	43.17	AFP35E1L1I1
EHI00666	3.1734915	96.75	91.89	46.83	ABG09E1L1I1
EHI02483	3.7695537	96.57	91.5	46.25	AFI35E1L1I1
EHI02123	NA	NA	NA	NA	AHW95E1L1I1
EHI00830	5.8599156	97.36	92.89	41.49	AAH59E1L1I1
EHI01655	14.8228722	96.37	91.48	44.15	AIG75E1L1I1
EHI00300	7.1	94.78	88.31	43.11	ABU40E1L1I2
EHI00566	9.9	97.75	93.82	43.89	ADK11E1L1I1
EHI00976	6.6625257	96.93	91.8	41.36	ABG01E1L1I1
EHI00860	0.1845087	97.12	92.55	43.85	ABW35E1L1I1
EHI00064	2.8	94.82	87.86	41.91	AD79E2L1I2
EHI00908	3.7447728	96.18	90.79	43.28	AAQ45E1L1I1
EHI02200	NA	NA	NA	NA	AHB55E1L1I1
EHI01486	4.2531204	96.55	91.61	51.8	AEM06E1L1I1
EHI01168	5.2786545	97.13	92.81	43.95	AAD39E1L1I1
EHI00315	5.2	97.19	92.58	50.99	BATA08E1L1I2
EHI00493	7.6	97.25	92.8	41.19	ADM19E1L1I1
EHI00674	1.038585	96.74	92.02	45.88	AEV73E1L1I1
EHI01208	5.7127107	96.71	91.59	41.58	AAE67E1L1I1
EHI01527	3.5178519	96.74	92.04	49.38	ABB06E1L1I1
EHI01799	9.1474176	96.36	91.3	43.46	AIJ59E1L1I1
EHI00770	4.7227974	97.6	93.33	45.16	AFU85E1L1I1
EHI00949	3.9276675	96.74	91.76	40.68	ABS11E1L1I1
EHI01120	5.0579244	96.84	92.52	46.47	AII97E1L1I1
EHI01765	3.8541414	96.69	91.65	37.13	AGI38E1L1I1
EHI02370	4.7033154	97.39	93.3	44.76	ABC89E1L1I1
EHI01513	5.0707317	96.52	91.56	47.76	ABA80E1L1I1
EHI02224	NA	NA	NA	NA	AHC94E1L1I1
EHI02210	NA	NA	NA	NA	AHG57E1L1I1
EHI00701	11.6228595	96.65	91.56	44.35	AEY21E1L1I1
EHI00528	5.9	97.13	92.77	47.8	ADD97E1L1I1
EHI01443	2.826663	96.3	90.94	47.71	AAP46E1L1I1
EHI01195	2.9078814	97.32	92.92	45.07	AIF64E1L1I1
EHI02600	3.5434635	98.22	95.2	52.29	AGP23E1L1I1
EHI02281	NA	NA	NA	NA	AHB84E1L1I1
EHI00614	8.6	97.19	93.02	49.38	AFV24E1L1I1
EHI01169	7.8751935	96.71	92.2	43.53	AAD62E1L1I1
EHI02067	NA	NA	NA	NA	AJP51E3L1I1
EHI01347	6.7902981	97.19	92.72	41.33	ACK84E1L1I1
EHI00239	3.8	96.94	92.02	50.77	BATA01E1L1I2
EHI01855	13.645908	98.38	95.52	46.26	AFV17E1L2I1
EHI02422	3.3649134	97.43	93.41	37.29	AAD66E1L1I1
EHI00351	0.3	96.52	91.25	44.66	ADM62E1L1I2
EHI00055	2.7	93.92	87.02	43.72	AAC62E1L1I2
EHI01468	1.9140321	96.61	91.63	46.92	ABB40E1L1I1
EHI00420	3.08	96.88	91.86	53.91	ADV29E1L1I1
EHI01104	7.7222103	96.83	92.49	46.57	AII37E1L1I1
EHI01529	4.5509649	96.05	90.74	47.23	ABA78E1L1I1
EHI00485	7.3	97.2	92.71	42.6	OPAU32E1L1I1
EHI02264	NA	NA	NA	NA	AEM55E1L1I1
EHI02054	NA	NA	NA	NA	AFT07E1L1I1
EHI00349	0.8	96.65	91.11	39.89	ABG11E1L1I2
EHI01093	6.2994783	97.1	93.08	46.5	AIF79E1L1I1
EHI01584	5.9733804	96.77	92.06	45.6	AAQ19E1L1I1
EHI00484	7.2	97.61	93.42	43.56	ADM42E1L1I1
EHI01462	6.2964351	96.56	91.68	50.24	ACH19E1L1I1
EHI02436	6.5546862	97.75	93.89	28.83	ACK42E1L1I1
EHI01109	3.6536676	97.38	93.34	45.24	AIH70E1L1I1
EHI01528	7.6539702	96.53	91.68	46.46	AEM07E1L1I1
EHI01470	7.5498573	96.49	91.49	50.35	ADV61E1L1I1
EHI00307	6.3	97.08	92.23	49.63	BATA20E1L1I2
EHI02494	4.3966833	95.09	89.56	45.67	AAH20E1L1I1
EHI01466	0.7109094	96.59	91.7	46.75	ACG72E1L1I1
EHI01054	6.9564777	97.46	92.79	46.29	AFQ69E1L1I1
EHI00872	2.5847547	97.14	92.35	42.06	ABS08E1L1I1
EHI02453	6.0823647	97	92.43	41.89	AGJ22E1L1I1
EHI02655	NA	NA	NA	NA	NA
EHI01448	5.4053745	96.85	92.01	42.98	AGO82E1L1I1
EHI02631	5.8733994	98.1	94.95	53.11	AGO05E1L1I1
EHI00487	5	97.14	93.03	44.8	ABO05E1L1I1
EHI00246	4.3	96.8	91.75	51.62	BATC20E1L1I2
EHI01733	5.9993448	96.49	91.32	40.54	AAM86E1L1I1
EHI00857	3.2156634	97.48	93.42	69.5	ACE06E1L1I1
EHI01681	6.2655501	96.63	93.94	40.4	ACB34E1L1I1
EHI01780	2.585976	96.96	92.15	42.86	AGI11E1L1I1
EHI01025	7.2108909	96.34	91.02	42.67	AAQ51E1L1I1
EHI00654	10.2	96.25	91.34	42.46	OPAU70E1L1I1
EHI01223	2.3404119	97.17	93.07	46.67	AIH64E1L1I1
EHI01083	7.3420698	97.01	92.02	47.52	AFQ40E1L1I1
EHI00445	5	96.58	91.79	43.19	OPAU35E2L1I1
EHI02419	3.8854449	97.21	93.1	43.09	AAD99E1L1I1
EHI01091	8.5002261	96.36	92.1	45.99	AIF77E1L1I1
EHI02670	11.3907366	97.76	94.43	44.84	AHO56E1L1I1
EHI02545	4.3850388	97.01	92.51	48.21	AHO38E1L1I1
EHI02367	4.0406052	97.41	93.15	43.47	ADG53E1L1I1
EHI02052	NA	NA	NA	NA	AFT22E1L1I1
EHI00211	11.7	97.03	92.36	42.55	AAX76E1L1I1
EHI01022	5.3163315	97.07	92.14	46.31	AAN49E2L1I1
EHI00178	5.7	95.44	88.86	42.23	ABI38E1L2I1
EHI00863	4.1474496	96.92	92.91	64.12	ACD68E1L1I1
EHI01597	4.2016611	96.82	91.91	44.2	AFW42E1L1I1
EHI02301	NA	NA	NA	NA	AEM45E1L1I1
EHI02457	3.23361	94.75	88.42	43.23	AAH24E1L1I1
EHI01689	5.2081395	96.14	92.8	44	ACZ32E1L1I2
EHI00601	13.9	95.92	90.93	42.87	OPAU71E2L1I1
EHI01971	5.3247705	96.97	92.33	48.41	AIQ56E1L1I1
EHI02151	NA	NA	NA	NA	AEY30E1L1I1
EHI00136	4.6	94.7	87.95	44.67	AAW32E1L1I1
EHI00119	10.3	94.78	87.85	45.47	ABK59E1L1I1
EHI02074	NA	NA	NA	NA	AEC23E2L1I1
EHI01475	5.8805733	96.72	92.08	48.29	AAU62E1L1I1
EHI02296	NA	NA	NA	NA	ABQ47E1L1I1
EHI01173	5.8123662	96.98	93.17	61.02	AEA85E1L1I1
EHI02618	3.7181958	98.33	95.47	45.16	AGO47E1L1I1
EHI02014	4.8203994	96.82	92.07	47.59	AEM52E1L1I1
EHI00205	8.8	95.7	89.66	43.52	ABM07E1L1I2
EHI01113	4.0114089	97.44	93.56	46.05	AIG11E1L1I1
EHI00920	5.4011259	97.21	92.35	40.82	ABG29E1L1I1
EHI01167	4.2817518	97.15	92.74	42.76	AAE22E1L1I1
EHI00433	6.7	96.66	92.16	44.32	ADI93E1L1I1
EHI00585	13	96.93	92.32	42.38	ACJ42E1L1I1
EHI00352	0.2	96.84	91.96	44.11	ACB36E1L1I2
EHI01737	4.4527491	96.49	91.38	43.02	ABW96E1L1I1
EHI00537	4.4	97.11	92.74	41.14	ADM66E1L1I1
EHI01674	3.0274281	96.69	94.04	40.47	AAQ52E1L1I1
EHI00103	4.3	92.76	85.6	43.59	ABJ75E1L1I1
EHI00221	6.2	95.79	90.17	43.03	AAH61E1L1I1
EHI00224	4.1	96.87	92.13	57.89	ACD03E1L1I1
EHI00166	3	93.99	86.65	42.62	AAS06E2L1I1
EHI01154	4.6750881	97	92.61	46.57	AIJ22E1L1I1
EHI00455	5.1	97.19	92.75	41.75	ABS02E1L2I1
EHI01165	NA	NA	NA	NA	AAD37E1L1I1
EHI00348	1.3	95.84	89.91	36.48	ACB37E1L1I2
EHI01142	4.9682184	97	92.87	45.32	AIG33E1L1I1
EHI00231	6.1	95.42	89.32	46.24	ABA65E1L1I1
EHI02317	NA	NA	NA	NA	NA
EHI01637	15.0833961	96.64	92.04	45.42	AIH70E1L1I1
EHI01501	8.7318708	96.3	91.21	51.49	AAW09E1L1I1
EHI00236	3.7	96.26	90.98	53.34	AFN31E1L1I1
EHI00249	5.4	95.58	89.39	42.65	ABT87E1L1I2
EHI00169	2.9	95.17	88.31	39.38	AAU91E1L1I1
EHI02095	NA	NA	NA	NA	AGO69E1L1I1
EHI00385	4.5	94.72	89.06	47.99	AAB02E1L1I1
EHI00210	6.2	96.41	91.14	43.31	ABT51E2L2I1
EHI00932	2.7907122	96.67	91.41	46.47	AAN19E2L1I1
EHI02487	3.7615521	96.89	92.35	56.16	AEY77E1L1I1
EHI02302	NA	NA	NA	NA	AEU35E1L1I1
EHI00043	4.4	94.73	87.76	45.08	NSAP34E1L1I1
EHI02597	4.3154553	98.35	95.57	42.83	AGO45E1L1I1
EHI01702	12.4281045	95.48	91.26	47.97	AHI76E1L1I1
EHI02568	4.8958293	96.52	91.48	50.83	AHO54E1L1I1
EHI02022	3.6950658	96.6	91.71	48.68	ADU78E1L1I1
EHI01122	5.2530996	96.69	92.29	46.72	AIG24E1L1I1
EHI01792	4.8181224	96.79	92.03	42.32	AIJ48E1L1I1
EHI02390	4.4453625	97.62	93.82	40.48	ABD35E1L1I1
EHI02566	4.7254086	97.12	92.58	49.94	AHO40E1L1I1
EHI02315	NA	NA	NA	NA	NA
EHI01197	3.8285493	96.14	90.54	41.23	AAE69E1L1I1
EHI00865	5.3336556	97.77	93.68	52.11	ACD58E1L1I1
EHI02242	NA	NA	NA	NA	AEM28E1L1I1
EHI02021	4.4715834	96.7	91.8	50.22	AEM30E1L1I1
EHI02414	4.6397586	97.3	93.53	42.09	AAD63E1L1I1
EHI01112	5.9189472	96.13	91.6	45.74	AIH99E1L1I1
EHI01595	2.7676845	96.58	91.73	47.25	AEV42E1L1I1
EHI00750	3.3565773	96.72	91.85	41.88	AFM63E1L1I1
EHI01493	6.8594454	96.54	91.55	44.78	AEM26E1L1I1
EHI01777	7.944777	96.19	91.12	45.04	ADU27E1L1I1
EHI00380	3.49	95.17	89.85	48.62	ADW18E1L1I1
EHI00482	6.1	96.91	92.44	43.26	OPAU41E2L1I1
EHI00368	4.18	96.37	91.23	48.8	ADV43E1L1I1
EHI02092	NA	NA	NA	NA	AHW91E3L1I1
EHI01751	6.2468661	96.43	91.51	47.81	AAA81E1L1I1
EHI02119	NA	NA	NA	NA	AHW95E3L1I1
EHI00495	5.7	96.72	92	44.05	ABZ58E1L1I1
EHI02672	13.0596792	97.89	94.64	47.91	AHN49E1L1I1
EHI02386	4.3793697	96.23	91.28	45.7	AFI46E1L1I1
EHI02536	0.8547609	93.07	84.26	52.84	AIV66E1L1I1
EHI00881	2.1546333	96.7	91.67	43.09	ACC19E1L1I1
EHI00662	7.1	97.12	92.82	44.32	OPAU65E2L1I1
EHI02648	7.6427403	97.89	94.68	45.67	AIY87E1L1I1
EHI01793	7.1878647	96.24	91.26	43.77	AII53E1L1I1
EHI00621	9.1	96.44	91.57	43.17	ACC01E2L1I1
EHI02079	NA	NA	NA	NA	AJP52E3L1I1
EHI00937	4.7211624	96.86	91.85	42.77	AAQ43E1L1I1
EHI01184	2.8300476	96.3	91.32	42.37	AIH48E1L1I1
EHI00842	11.73096	97.35	93.26	59.08	ACE40E1L1I1
EHI00412	2.22	96.73	91.32	40.16	AA17E1L1I1
EHI01431	2.5079622	96.33	91.15	49.48	AFV81E1L1I1
EHI01063	10.389783	97.56	93.05	45.75	AFO99E1L1I1
EHI00727	6.8948217	96.64	91.62	44.23	ABQ50E1L1I1
EHI02289	NA	NA	NA	NA	AHG65E1L1I1
EHI02006	6.2298765	96.88	92.2	47.69	AAV58E1L1I1
EHI00330	10.1	96.49	91.02	40.58	AAM59E1L1I2
EHI00791	5.7819873	96.61	91.56	40.55	AGG16E1L1I1
EHI02628	2.5313865	98.29	95.43	44.26	AGP60E1L1I1
EHI01369	7.2395589	97.14	92.93	56.31	AGZ38E1L1I1
EHI00275	6.1	96.04	90.27	41.54	ABT71E2L2I1
EHI02105	NA	NA	NA	NA	AJP51E2L1I1
EHI00469	4.9	96.66	92.11	43.27	OPAU57E2L1I1
EHI01040	6.3097221	96.78	91.61	41.05	ABS19E1L1I1
EHI01762	15.6454002	96.52	91.54	42.36	ADU55E1L1I1
EHI02504	6.4646826	96.4	91.41	51.8	AEZ69E1L1I1
EHI00444	4.1	96.65	91.9	43.84	AGF18E1L1I1
EHI00517	3	96.36	91.66	43.57	AGF24E1L1I1
EHI01124	2.1702924	96.1	92.15	47.01	AII02E1L1I1
EHI02259	NA	NA	NA	NA	AEA89E1L1I1
EHI00864	5.2045059	97.22	92.47	42.22	AAL55E1L1I1
EHI00853	8.8881723	96.95	92.48	53.08	ACE43E1L1I1
EHI01410	3.7851747	96.76	92.97	53.86	AGZ21E1L1I1
EHI02186	NA	NA	NA	NA	ABM25E1L1I1
EHI01137	6.0077352	97.02	92.76	45.06	AIG13E1L1I1
EHI01728	3.077685	96.4	91.5	48.9	ABB91E1L1I1
EHI02621	4.5252225	98.53	95.98	39.5	AGO49E1L1I1
EHI01144	5.5914594	96.94	92.55	45.33	AIG46E1L1I1
EHI02657	NA	NA	NA	NA	NA
EHI02081	NA	NA	NA	NA	ACB61E1L1I1
EHI02324	NA	NA	NA	NA	NA
EHI01810	4.7415582	96.63	91.63	44.92	AHV57E1L1I1
EHI01559	3.5661375	96.14	91.29	51.58	ABC03E1L1I1
EHI01763	2.1685956	96.3	91.02	39.73	ADE10E1L1I1
EHI01670	2.2772157	96.89	94.45	38.06	ACB35E1L1I1
EHI02265	NA	NA	NA	NA	AEM66E1L1I1
EHI01644	11.0109246	96.13	91.08	44.06	AIJ15E1L1I1
EHI00403	3.54	96.97	91.88	40.31	AA95E1L1I1
EHI01850	3.8660379	98.53	95.81	44.69	AFV12E1L2I1
EHI01285	5.6605293	97.06	92.23	39.54	AGC29E1L1I1
EHI02269	NA	NA	NA	NA	AFZ59E1L1I1
EHI00940	5.1924537	97.12	92.61	64.04	ACD44E1L1I1
EHI00120	4.2	94.35	87.04	41.06	ABK16E1L1I1
EHI00501	6.5	97.59	93.49	44.3	ABZ29E1L1I1
EHI02089	NA	NA	NA	NA	AAZ65E2L1I1
EHI02140	NA	NA	NA	NA	AGI42E1L1I1
EHI00549	7.8	97.33	93.13	42.19	ABZ43E1L1I1
EHI01262	6.8529588	97.32	92.88	40.28	ACS09E1L1I1
EHI00283	17.6	96.53	91.35	46.16	AAH51E1L1I1
EHI00655	4.9	97.52	93.35	47.41	ACZ33E2L3I1
EHI00645	10.6	96.34	91.4	42.71	ACC02E2L1I1
EHI01349	7.3263123	97.09	92.46	41.59	AFT57E1L1I1
EHI02465	6.2805312	97.09	92.67	42.77	AAE64E1L1I1
EHI00947	3.7119444	97.17	92.62	49.96	ACD61E1L1I1
EHI01062	5.9116122	97.26	92.4	47.25	AFQ09E1L1I1
EHI00717	4.2387717	96.78	91.68	44.48	AFM60E1L1I1
EHI01378	3.5995833	96.74	91.76	34.41	AGY86E1L1I1
EHI02239	NA	NA	NA	NA	AEL17E1L1I1
EHI02319	NA	NA	NA	NA	NA
EHI00149	4.6	95.13	88.7	44.24	AAS14E2L1I1
EHI00837	6.6269253	97.01	92.57	46.62	ACC91E1L1I1
EHI00948	3.8706687	97.02	92.12	41.93	ACD32E1L1I1
EHI01555	NA	NA	NA	NA	AAV42E1L1I1
EHI00354	0.2	96.22	90.82	44.73	ADK21E1L1I2
EHI00779	4.1925102	97	92.2	40.52	AGG11E1L1I1
EHI02488	3.1007502	96.76	92.21	47.11	AEZ87E1L1I1
EHI02238	NA	NA	NA	NA	ACG11E1L1I1
EHI00281	12.6	96.1	90.7	42.24	AAH60E1L1I1
EHI00536	9.5	97.58	93.47	44.99	ADK30E1L1I1
EHI01337	5.9502339	96.74	91.82	43.17	AAX78E1L1I1
EHI00694	5.636328	96.63	91.68	45.41	AEX63E1L1I1
EHI01543	8.2351077	96.42	91.22	42.35	AAW62E1L1I1
EHI00098	3.5	94.59	87.55	40.83	ABJ51E1L1I1
EHI00548	7.4	97.45	93.33	52.85	AFW08E1L1I1
EHI01259	4.9183677	96.81	92.07	48.05	AHQ46E1L1I1
EHI00855	8.3377488	96.97	92.86	63.06	ACD88E1L1I1
EHI01506	7.3546773	96.21	90.99	46.97	AEL96E1L1I1
EHI02040	NA	NA	NA	NA	AFT17E1L1I1
EHI00093	2.7	95.33	89.15	45.36	ABL92E1L1I1
EHI01535	8.9078877	96.85	92.04	46.82	AAW63E1L1I1
EHI00161	3.7	95.68	89.61	42.9	AAV40E1L1I1
EHI00228	8.2	95.24	89.18	43.55	ABH62E1L1I2
EHI01316	3.1507464	96.88	92.09	41.67	AGD02E1L1I1
EHI00355	0.3	96.38	90.94	44.25	ADM46E1L1I2
EHI02199	NA	NA	NA	NA	AHG82E1L1I1
EHI01086	5.4104211	97.4	92.81	47.97	ACY05E1L1I1
EHI01162	6.5981064	96.9	92.28	43.51	AAE17E1L1I1
EHI02190	NA	NA	NA	NA	ABM42E1L1I1
EHI00707	2.1745383	96.49	91.28	43.85	AFK92E1L1I1
EHI00587	11.1	96.93	92.88	59.67	ACC15E1L1I1
EHI00719	6.6952029	96.83	92.03	46.31	AFM77E1L1I1
EHI01331	3.628308	96.87	91.94	43	AGD04E1L1I1
EHI02472	4.1502009	96.94	92.41	44.15	AFF20E1L1I1
EHI00197	3.4	96.41	90.82	43.72	AFN06E1L1I1
EHI01229	4.031616	96.48	91.11	39.6	AAD32E1L1I1
EHI02594	3.1776246	98.2	95.18	53.51	AGO13E1L1I1
EHI00308	6.3	97.17	92.53	48.66	BATA13E1L1I2
EHI01346	5.4770097	96.83	91.54	32.77	AFN30E1L1I1
EHI00784	0.0108744	95.93	91.07	46.54	ADC15E1L1I1
EHI00400	3.65	96.49	91.1	47.88	ADV34E1L1I1
EHI01128	8.9893662	97.23	92.96	45.62	AII26E1L1I1
EHI00007	3.3	94.85	88.22	43.64	AAS35E1L1I1
EHI02004	6.9596355	96.89	92.14	47.52	ABB81E1L1I1
EHI01401	5.5271937	97.03	92.8	43.84	AGZ07E1L1I1
EHI00361	28.37	96.58	91.58	54	AEL24E1L1I1
EHI01374	4.6360263	96.67	91.91	44.37	AGZ51E1L1I1
EHI00552	7.3	97.7	93.74	41.71	ABZ36E1L1I1
EHI00392	2.63	96.6	91.16	45.89	AEL44E1L1I1
EHI00058	2.1	94.76	87.81	42.78	AAC96E2L1I2
EHI00439	6.5	96.13	91.62	43.72	ACC29E2L1I1
EHI00207	4.7	96.11	90.36	41.96	ABT55E2L2I1
EHI00156	3.2	94.19	87.53	46.1	AAC40E2L1I1
EHI00615	5.3	96.41	91.64	47.02	OPAU34E1L1I1
EHI01141	3.2616999	96.99	92.73	46.04	AII33E1L1I1
EHI00142	3.1	94.48	87.06	39.47	ABB05E1L1I1
EHI01645	12.0103617	96.34	91.5	45.27	AII04E1L1I1
EHI02046	NA	NA	NA	NA	AFT25E1L1I1
EHI02349	4.599153	96.14	91.1	43.34	AFI83E1L1I1
EHI00342	7.5	96.57	91.06	41.35	ABW28E1L1I2
EHI00624	6	97.16	92.76	44.79	ADA65E1L2I1
EHI00836	6.7203708	96.97	92.42	46.68	ACC86E1L1I1
EHI01730	4.5689385	96.64	91.54	39.85	AAM68E1L1I1
EHI02087	NA	NA	NA	NA	ACB56E1L1I1
EHI02182	NA	NA	NA	NA	AHD01E1L1I1
EHI02237	NA	NA	NA	NA	ABB56E1L1I1
EHI00936	5.4726981	96.98	92.17	40.91	ADE09E1L1I1
