metagenomic_bases	nonpareil_coverage	preprocessing_id	host_bases	reference_closenees	sequence_id	reads_pre_fastp	reads_post_fastp	bases_pre_fastp	bases_post_fastp	adapter_trimmed_reads	adapter_trimmed_bases	host_reads	singlem_fraction	host_duplicate_fraction	reference_id	sample_id
5386730586	0.613264316759584	PR02952	245149333	Other	EHI02285	41728836	40206980	6259325400	5631879919	13753783	410489940	1557661	0.1875	0.09748	G0001	AHC22
4723029455	0.845951842440111	PR01366	309336578	Other	EHI00744	35270402	34476782	5290560300	5032366033	4949865	142229626	1702966	0.4119	NA	G0001	AEY28
3932186602	0.945458639755439	PR02100	15028892	Same	EHI01294	26848854	26506642	4027328100	3947215494	1173977	29765069	103835	0.9666	0.201924	G0056	AGD15
1588576275	0.79280600213845	PR02345	3320139729	Other	EHI01537	34423260	33423030	5163489000	4908716004	3553671	117707853	21930216	0.3055	0.284535	G0005	AAW69
2165102568	0.852690964793321	PR03047	248050903	Same	EHI02391	17300524	16915760	2595078600	2413153471	4137144	125914070	1738593	0.6452	0.443955	G0023	ABC96
0	0.494008818607855	PR01025	1864454384	Other	EHI00146	13347408	12962554	2002111200	1864454384	2298856	83513327	11468180	0	NA	G0004	AAB84
1003335820	0.992721113448815	PR02912	520421	Other	EHI02130	30376698	6961802	4556504700	1003856241	23044254	1312878823	3809	0.9107999999999999	0.94062	G0033	C1_EXB0076
0	0	PR01104	2828797640	Other	EHI00039	20011548	19372226	3001732200	2828797640	2392209	91396753	18284212	0	NA	G0003	AAS07
3972887832	0.855984442479376	PR02805	96468784	Other	EHI02179	28470068	27599256	4270510200	4069356616	2683118	71598704	590152	0.7009000000000001	0.108751	G0001	AHC89
0	0.900253595120105	PR01981	4367173880	Other	EHI01148	34269710	32211404	5140456500	4367173880	12984826	568307629	26118028	0	NA	G0054	AIH68
0	0.574663314984245	PR01694	2313200769	Other	EHI00983	16560254	16146668	2484038100	2313200769	3286689	121161476	11601248	0	NA	G0037	ACD50
0	0	PR01243	8603908712	Same	EHI00572	63083480	60152614	9462522000	8603908712	11510668	475880201	58500460	0	NA	G0032	OPAU23
0	0.928581697882405	PR01914	5050484690	Same	EHI01112	39459648	36628014	5918947200	5050484690	12990856	582835051	30229088	0	NA	G0054	AIH99
764164071	0.596234405117776	PR00981	5689933914	Same	EHI00640	45009962	44051152	6751494300	6454097985	4990196	161090684	35506960	0.33409999999999995	NA	G0016	ACX42
3380864943	0.887699204109889	PR02221	4006385	Same	EHI01272	23400562	22918214	3510084300	3384871328	1973223	55557819	25930	0.8743000000000001	0.216526	G0065	AHQ52
1175830256	0.745743558023309	PR03290	691752752	Other	EHI02685	13389826	12792920	2008473900	1867583008	2252209	72187272	4514355	0.61240000000000006	0.385362	G0070	AHO04
2789984997	0.834569264915156	PR02215	194713827	Other	EHI01264	20630018	20094512	3094502700	2984698824	1177802	30992028	1282532	0.7726999999999999	0.232067	G0065	AEC29
8002339393	0.965398581122356	PR01313	4104165	Other	EHI00677	55628064	54425914	8344209600	8006443558	5519896	164365675	22850	0.7116	NA	G0001	AEX06
0	0.466548258606539	PR01083	2218435392	Other	EHI00018	17787874	16398178	2668181100	2218435392	7382208	317474333	13527236	0	NA	G0003	AAS32
4431298741	0.996672083780064	PR01440	535030574	Other	EHI00841	39519272	33789094	5927890800	4966329315	8594568	448764196	3357138	0.8256	NA	G0031	ACD78
3528358847	0.879163057094924	PR03363	600853	Other	EHI02626	24860814	24015624	3729122100	3528959700	2885145	74133442	3414	0.6504000000000001	0.010647	G0047	AGP44
4392267285	0.78044575050549	PR02722	53262250	Same	EHI02014	32135996	30419484	4820399400	4445529535	4234502	127120433	367908	0.6927	0.077761	G0002	AEM52
0	0	PR00761	191017494	Same	EHI00354	1372838	1304450	205925700	191017494	164830	6469510	1199006	0	NA	G0001	ADK21
6721463851	0.969286557603106	PR02119	22459522	Same	EHI01313	46573566	45323804	6986034900	6743923373	2163054	57102898	162306	0.9625	0.202812	G0056	AGD21
2457455449	0.726466227457378	PR02613	235329737	Other	EHI01781	18452218	18209722	2767832700	2692785186	1508825	42380240	1536194	0.39289999999999997	0.445169	G0051	AGI34
0	0	PR01214	3522365576	Same	EHI00425	26126364	25058436	3918954600	3522365576	6295908	273421826	24172876	0	NA	G0032	ACC18
1272893251	0.725627819815989	PR00881	4540547810	Same	EHI00546	41506444	40829132	6225966600	5813441061	8873354	332750479	31451282	0.5942000000000001	NA	G0002	ABZ39
2250961187	0.89607987275304	PR02486	5295257446	Same	EHI01669	52694132	51441890	7904119800	7546218633	6486791	176975187	35856464	0.6698000000000001	0.079652	G0071	ACP23
948633294	0.994614470715508	PR02914	14580954	Other	EHI02136	37080540	6736210	5562081000	963214248	29809886	1727950968	119651	0.77	0.950404	G0033	C2_EXB0076
4885223653	0.868998306118332	PR03345	2994709	Other	EHI02599	34223842	33169034	5133576300	4888218362	3377193	90465740	17659	0.5314	0.045441	G0047	AGP61
4061874903	0.715380559743064	PR03242	89289050	Other	EHI02508	33552930	29650110	5032939500	4151163953	9530010	341162988	589457	0.0187	0.150617	G0089	AEZ90
2475239550	0.78558093081431	PR02826	80410048	Other	EHI02189	18194034	17378034	2729105100	2555649598	1868699	52976110	495233	0.5975	0.128023	G0001	ABM39
7793182719	0.971642471489235	PR02112	62257650	Same	EHI01306	54130990	52828344	8119648500	7855440369	2719265	70638634	461682	0.8538	0.204554	G0056	AGC06
2953671640	0.75676760485363	PR01311	5907583	Other	EHI00675	20679530	20232518	3101929500	2959579223	2476831	79381572	36006	0.5091	NA	G0001	AEV79
3214627263	0.968855651382857	PR01367	132267214	Other	EHI00754	23979546	23079382	3596931900	3346894477	3299264	119094443	1105632	0.6382	NA	G0001	AEY26
0	0.480972665686301	PR00880	5656478421	Same	EHI00535	39166634	38575786	5874995100	5656478421	3795238	143823239	35424456	0	NA	G0002	ABP37
0	0	PR02917	44906204	Other	EHI02141	6006336	310038	900950400	44906204	5303863	324117718	422	0	0.985782	G0033	C1_EXB0076
6808225730	0.855761822402636	PR02565	407212332	Other	EHI01807	49363482	48539302	7404522300	7215438062	2541214	65807910	1929493	0.5145000000000001	0.221151	G0001	AHV39
5624025816	0.796971855876592	PR02730	617878710	Same	EHI02032	46986176	42855276	7047926400	6241904526	6602040	195877077	4231971	0.6686	0.083884	G0002	ABC51
5412338431	0.965205978058948	PR02130	205005134	Same	EHI01324	38527284	37758512	5779092600	5617343565	1865248	47911768	1365756	0.9488	0.227632	G0056	AGD11
4892287465	0.948012993937124	PR03070	2101475	Other	EHI02373	34066970	33449590	5110045500	4894388940	4596249	121718916	11520	0.6764	0.03807	G0077	AFH80
3956433891	0.973741257841741	PR01593	1946681309	Same	EHI00912	45407940	41807248	6811191000	5903115200	12769231	534379985	13804839	0.652	NA	G0008	ABQ79
6863580505	0.861538910894448	PR02801	459282745	Other	EHI02175	51329518	49708728	7699427700	7322863250	4938483	133544134	2748636	0.6677	0.120071	G0001	AHC60
0	0	PR00838	6494722222	Same	EHI00336	44974242	44128774	6746136300	6494722222	4053182	139078858	42711388	0	NA	G0002	AAL47
0	0	PR01014	3336554794	Other	EHI00061	23730800	22898894	3559620000	3336554794	3389833	129047264	22323006	0	NA	G0004	AAC83
907749446	0.756626848047371	PR00888	5630911537	Same	EHI00564	46406840	45786358	6961026000	6538660983	9925804	343050899	38936020	0.6415000000000001	NA	G0002	AB09
5055363554	0.839207672517017	PR01376	19363486	Same	EHI00718	35522784	34276482	5328417600	5074727040	2400374	73654423	118492	0.6640999999999999	NA	G0001	AFM65
2614148585	0.889067228014233	PR01097	16447027	Other	EHI00032	18294066	17912244	2744109900	2630595612	1730536	62027201	114758	0.8715	NA	G0003	NSAP54
1839763976	0.80411256792448	PR00971	2829293882	Same	EHI00304	45518490	33492926	6827773500	4669057858	20073772	1120291916	19631320	0.43670000000000003	NA	G0016	ADF30
3740503911	0.863318595284162	PR01172	1044926513	Other	EHI00234	33171776	32500864	4975766400	4785430424	2892122	98944102	6180968	0.0698	NA	G0025	ACP16
3209083089	0.776552498068273	PR01663	225524552	Same	EHI00913	25862942	24995104	3879441300	3434607641	8429031	346786286	1657991	0.23989999999999997	NA	G0032	AAQ52
1198980527	0.606772000365439	PR02509	621246021	Same	EHI01692	13532970	12750330	2029945500	1820226548	2916587	112762634	4348060	0.1298	0.179678	G0071	OPAU6
3655412429	0.889566322617312	PR02412	120351562	Same	EHI01551	26720336	25771154	4008050400	3775763991	3089726	97412862	879508	0.7317	0.276965	G0002	AAA54
5591124650	0.884250534561017	PR01419	808219384	Same	EHI00818	45736002	44378568	6860400300	6399344034	8558703	285106180	5392652	0.6208	NA	G0016	ADC11
2715032540	0.823842366458683	PR01550	4475822607	Same	EHI00951	51190070	49989734	7678510500	7190855147	9251788	334045259	30831578	0.0195	NA	G0002	AA84
0	0	PR02967	0	Same	EHI02239	NA	NA	NA	NA	NA	NA	NA	NA	NA	G0002	AEL17
1717520972	0.835536186501245	PR02492	281154984	Same	EHI01675	14159230	13591812	2123884500	1998675956	1451027	46919759	1899472	0.597	0.108141	G0071	ACZ48
0	0.876007432511531	PR01935	2935187528	Same	EHI01147	22889162	21537840	3433374300	2935187528	8332739	372782586	17335962	0	NA	G0054	AIG37
8792439064	0.866098662575492	PR01647	1091254010	Other	EHI01063	69265220	68109526	10389783000	9883693074	9721340	354943940	6378316	0.6631999999999999	NA	G0023	AFO99
1008032833	0.739332446393038	PR01029	4699409606	Other	EHI00155	42030874	40354614	6304631100	5707442439	9895307	365169703	32710752	0.47909999999999997	NA	G0004	AAC36
4207633886	0.866006007186491	PR02784	296836029	Other	EHI02206	31335112	30347132	4700266800	4504469915	2078529	47988520	1829801	0.6762999999999999	0.101144	G0001	ABQ54
4341738423	0.99574849355112	PR01234	474346683	Same	EHI00511	34715058	33856592	5207258700	4816085106	7159965	294362252	3320820	0.8220999999999999	NA	G0032	OPAU30
2928733595	0.545627647033145	PR02303	52425047	Other	EHI01629	20834634	20190978	3125195100	2981158642	1760734	58218587	276111	0.0060999999999999995	0.090586	G0047	AAP72
3879260126	0.892320112753197	PR03327	451116	Other	EHI02575	26984742	26241360	4047711300	3879711242	2246227	57357705	3224	0.7595000000000001	0.021053	G0047	AGO89
0	0	PR02971	0	Same	EHI02265	NA	NA	NA	NA	NA	NA	NA	NA	NA	G0002	AEM66
0	0	PR00975	952796922	Same	EHI00347	6974456	6648892	1046168400	952796922	1359075	51373544	6113936	0	NA	G0016	ADF26
2370357063	0.649677550305116	PR03112	510528985	Other	EHI02492	21838254	19935344	3275738100	2880886048	4521235	129594940	3406678	0.0302	0.316294	G0086	AEZ88
5310203237	0.889187382823788	PR01651	49254469	Other	EHI01077	37705586	37004972	5655837900	5359457706	5594622	201587143	289939	0.4664	NA	G0023	AFP19
4654403622	0.867590286230819	PR02794	5294109	Other	EHI02168	32832038	31760902	4924805700	4659697731	3747478	108466272	32509	0.6195	0.104895	G0001	AHC08
1696946557	0.740000121680607	PR02383	151042974	Same	EHI01468	12760214	12453422	1914032100	1847989531	786119	20620546	1018097	0.6768000000000001	0.192558	G0002	ABB40
0	0.617608068032985	PR02038	3214378136	Other	EHI01215	22061854	21604444	3309278100	3214378136	1020537	28406614	19718858	0	NA	G0025	AAD44
