"","assembly_input_id","assembly_id","assembly_batch","preprocessing_id","sequence_id","assembly_type","assembly_input_bases","assembly_length","assembly_n50","assembly_l50","assembly_num_contigs","assembly_largest_contig","assembly_num_bins","assembly_mapping_percent"
"728","EHA01213","EHA01202","ABB0171","PR01106","EHI00041","Coassembly",1886189859,659526929,6090,18736,152414,786068,146,81
"729","EHA01214","EHA01202","ABB0171","PR01108","EHI00043","Coassembly",3432092414,659526929,6090,18736,152414,786068,146,47
"730","EHA01215","EHA01202","ABB0171","PR01109","EHI00044","Coassembly",3036113602,659526929,6090,18736,152414,786068,146,13
"731","EHA01216","EHA01202","ABB0171","PR01114","EHI00168","Coassembly",2361883336,659526929,6090,18736,152414,786068,146,24
"732","EHA01217","EHA01217","ABB0172","PR01518","EHI01070","Individual",5870500771,191708046,13039,2353,30554,579445,31,78
"733","EHA01218","EHA01218","ABB0172","PR01519","EHI01079","Individual",5678561384,195388010,10885,2802,34136,709348,31,69
"734","EHA01219","EHA01219","ABB0172","PR01520","EHI01047","Individual",6619285861,211887523,16653,2311,30514,1054675,37,83
"735","EHA01220","EHA01220","ABB0172","PR01521","EHI01049","Individual",5338113104,150967538,12370,2220,24356,941462,23,73
"736","EHA01221","EHA01221","ABB0172","PR01522","EHI01050","Individual",7784654503,233626968,12015,3431,39432,609057,38,79
"737","EHA01222","EHA01222","ABB0172","PR01523","EHI01052","Individual",5448582639,182865817,6974,4386,37125,522616,25,72
"738","EHA01223","EHA01223","ABB0172","PR01524","EHI01054","Individual",6610572998,205487080,12551,2740,33795,658302,43,84
"739","EHA01224","EHA01224","ABB0172","PR01525","EHI01056","Individual",7088408184,260738543,14577,2851,39045,940199,47,79
"740","EHA01225","EHA01225","ABB0172","PR01526","EHI01058","Individual",6084448756,134150537,18186,1428,17335,622755,24,83
"741","EHA01226","EHA01226","ABB0172","PR01527","EHI01060","Individual",4753454952,138114688,10913,2509,23407,446613,13,78
"742","EHA01227","EHA01227","ABB0172","PR01528","EHI01064","Individual",5680895511,0,0,0,0,0,0,0
"743","EHA01228","EHA01228","ABB0172","PR01529","EHI01066","Individual",3011002880,111742566,17098,1036,16250,677144,22,69
"744","EHA01229","EHA01229","ABB0172","PR01530","EHI01068","Individual",6306613746,166483022,20786,1531,22266,489327,32,86
"745","EHA01230","EHA01230","ABB0172","PR01531","EHI01071","Individual",4686237240,165180755,14322,1954,26937,453542,25,79
"746","EHA01231","EHA01231","ABB0172","PR01532","EHI01073","Individual",8412549333,272005695,13764,3695,42101,680700,45,82
"747","EHA01232","EHA01232","ABB0172","PR01534","EHI00864","Individual",1021831000,0,0,0,0,0,0,0
"748","EHA01233","EHA01233","ABB0172","PR01535","EHI00871","Individual",2394357538,74258788,10067,1114,13835,509178,20,56
"749","EHA01234","EHA01234","ABB0172","PR01536","EHI00874","Individual",805696147,0,0,0,0,0,0,0
"750","EHA01235","EHA01235","ABB0172","PR01539","EHI00880","Individual",3115633559,79175741,7156,1673,16625,508725,20,59
"751","EHA01236","EHA01236","ABB0172","PR01543","EHI00896","Individual",2605169150,69028167,6096,1612,15343,457557,18,47
"752","EHA01237","EHA01237","ABB0172","PR01547","EHI00939","Individual",2363982788,69006592,6208,1674,15412,384130,15,52
"753","EHA01238","EHA01238","ABB0172","PR01548","EHI00941","Individual",762701367,0,0,0,0,0,0,0
"754","EHA01239","EHA01239","ABB0172","PR01550","EHI00951","Individual",2715032540,0,0,0,0,0,0,0
"755","EHA01240","EHA01240","ABB0172","PR01562","EHI01005","Individual",1699759854,0,0,0,0,0,0,0
"756","EHA01241","EHA01241","ABB0172","PR01566","EHI01013","Individual",3802137962,0,0,0,0,0,0,0
"757","EHA01242","EHA01242","ABB0173","PR01577","EHI01039","Individual",1205601465,0,0,0,0,0,0,0
"758","EHA01243","EHA01243","ABB0173","PR01582","EHI00873","Individual",3174500277,0,0,0,0,0,0,0
"759","EHA01244","EHA01244","ABB0173","PR01584","EHI00888","Individual",4200753878,0,0,0,0,0,0,0
"760","EHA01245","EHA01245","ABB0173","PR01585","EHI00890","Individual",1591542124,0,0,0,0,0,0,0
"761","EHA01246","EHA01246","ABB0173","PR01587","EHI00897","Individual",1370636725,0,0,0,0,0,0,0
"762","EHA01247","EHA01247","ABB0173","PR01588","EHI00898","Individual",4203829874,0,0,0,0,0,0,0
"763","EHA01248","EHA01248","ABB0173","PR01591","EHI00904","Individual",1327653451,0,0,0,0,0,0,0
"764","EHA01249","EHA01249","ABB0173","PR01592","EHI00910","Individual",963301742,0,0,0,0,0,0,0
"765","EHA01250","EHA01250","ABB0173","PR01593","EHI00912","Individual",3956433891,0,0,0,0,0,0,0
"766","EHA01251","EHA01251","ABB0173","PR01594","EHI00914","Individual",1103263655,0,0,0,0,0,0,0
"767","EHA01252","EHA01252","ABB0173","PR01598","EHI00925","Individual",3745834481,116927263,12920,1785,18381,287560,29,78
"768","EHA01253","EHA01253","ABB0173","PR01599","EHI00927","Individual",4153359502,0,0,0,0,0,0,0
"769","EHA01254","EHA01254","ABB0173","PR01603","EHI00957","Individual",2007548878,0,0,0,0,0,0,0
"770","EHA01255","EHA01255","ABB0173","PR01605","EHI00972","Individual",3837827701,130438467,15325,1360,20283,691232,32,79
"771","EHA01256","EHA01256","ABB0173","PR01606","EHI00978","Individual",1264074622,0,0,0,0,0,0,0
"772","EHA01257","EHA01257","ABB0173","PR01610","EHI00996","Individual",1970662955,0,0,0,0,0,0,0
"773","EHA01258","EHA01258","ABB0173","PR01612","EHI00998","Individual",2316239049,0,0,0,0,0,0,0
"774","EHA01259","EHA01259","ABB0173","PR01613","EHI01001","Individual",6991286454,184836998,12557,2343,31150,824044,40,68
"775","EHA01260","EHA01260","ABB0173","PR01618","EHI01019","Individual",2640507115,98067039,10782,1721,16819,266329,20,67
"776","EHA01261","EHA01261","ABB0173","PR01627","EHI00884","Individual",4044666556,0,0,0,0,0,0,0
"777","EHA01262","EHA01262","ABB0173","PR01628","EHI00919","Individual",2668529501,0,0,0,0,0,0,0
"778","EHA01263","EHA01263","ABB0173","PR01629","EHI00928","Individual",5090456561,0,0,0,0,0,0,0
"779","EHA01264","EHA01264","ABB0173","PR01630","EHI00915","Individual",5414237561,0,0,0,0,0,0,0
"780","EHA01265","EHA01265","ABB0173","PR01631","EHI00971","Individual",5472573521,0,0,0,0,0,0,0
"781","EHA01266","EHA01266","ABB0173","PR01632","EHI01020","Individual",2611973119,0,0,0,0,0,0,0
"782","EHA01267","EHA01267","ABB0174","PR01633","EHI00924","Individual",3631786690,0,0,0,0,0,0,0
"783","EHA01268","EHA01268","ABB0174","PR01634","EHI00970","Individual",2724561477,0,0,0,0,0,0,0
"784","EHA01269","EHA01269","ABB0174","PR01635","EHI00987","Individual",4933221377,0,0,0,0,0,0,0
"785","EHA01270","EHA01270","ABB0174","PR01636","EHI01003","Individual",5708127332,0,0,0,0,0,0,0
"786","EHA01271","EHA01271","ABB0174","PR01637","EHI01022","Individual",3685486363,0,0,0,0,0,0,0
"787","EHA01272","EHA01272","ABB0174","PR01639","EHI00954","Individual",2400016625,0,0,0,0,0,0,0
"788","EHA01273","EHA01273","ABB0174","PR01640","EHI00984","Individual",2195915533,0,0,0,0,0,0,0
"789","EHA01274","EHA01274","ABB0174","PR01641","EHI00952","Individual",3627235635,0,0,0,0,0,0,0
"790","EHA01275","EHA01275","ABB0174","PR01642","EHI00979","Individual",6306509453,0,0,0,0,0,0,0
"791","EHA01276","EHA01276","ABB0174","PR01644","EHI01055","Individual",5724608789,0,0,0,0,0,0,0
"792","EHA01277","EHA01277","ABB0174","PR01645","EHI01059","Individual",6602694866,0,0,0,0,0,0,0
"793","EHA01278","EHA01278","ABB0174","PR01646","EHI01061","Individual",6087279968,0,0,0,0,0,0,0
"794","EHA01279","EHA01279","ABB0174","PR01647","EHI01063","Individual",8792439064,0,0,0,0,0,0,0
"795","EHA01280","EHA01280","ABB0174","PR01648","EHI01067","Individual",8599037503,0,0,0,0,0,0,0
"796","EHA01281","EHA01281","ABB0174","PR01649","EHI01069","Individual",6385402460,0,0,0,0,0,0,0
"797","EHA01282","EHA01282","ABB0174","PR01650","EHI01076","Individual",5928479166,0,0,0,0,0,0,0
"798","EHA01283","EHA01283","ABB0174","PR01651","EHI01077","Individual",5310203237,0,0,0,0,0,0,0
"799","EHA01284","EHA01284","ABB0174","PR01652","EHI01078","Individual",6704384435,0,0,0,0,0,0,0
"800","EHA01285","EHA01285","ABB0174","PR01653","EHI01085","Individual",6235153964,0,0,0,0,0,0,0
"801","EHA01286","EHA01286","ABB0174","PR01654","EHI00938","Individual",1464135142,0,0,0,0,0,0,0
"802","EHA01287","EHA01287","ABB0174","PR01655","EHI00868","Individual",1941981490,0,0,0,0,0,0,0
"803","EHA01288","EHA01288","ABB0174","PR01657","EHI00878","Individual",738211865,0,0,0,0,0,0,0
"804","EHA01289","EHA01289","ABB0174","PR01659","EHI00885","Individual",3407354018,0,0,0,0,0,0,0
"805","EHA01290","EHA01290","ABB0174","PR01660","EHI00894","Individual",3475727633,0,0,0,0,0,0,0
"806","EHA01291","EHA01291","ABB0174","PR01661","EHI00899","Individual",2465372168,0,0,0,0,0,0,0
"807","EHA01292","EHA01292","ABB0175","PR01663","EHI00913","Individual",3209083089,0,0,0,0,0,0,0
"808","EHA01293","EHA01293","ABB0175","PR01664","EHI00923","Individual",3924745362,0,0,0,0,0,0,0
"809","EHA01294","EHA01294","ABB0175","PR01665","EHI00930","Individual",4412084456,0,0,0,0,0,0,0
"810","EHA01295","EHA01295","ABB0175","PR01673","EHI01007","Individual",4030351754,0,0,0,0,0,0,0
"811","EHA01296","EHA01296","ABB0175","PR01678","EHI01046","Individual",7330684294,219550299,10020,4831,39345,365068,23,67
"812","EHA01297","EHA01297","ABB0175","PR01679","EHI01057","Individual",5445757571,150428841,14978,1690,23692,726194,30,80
"813","EHA01298","EHA01298","ABB0175","PR01680","EHI01062","Individual",5665812734,206242890,12316,3097,33360,374716,36,82
"814","EHA01299","EHA01299","ABB0175","PR01681","EHI01065","Individual",7316931343,138892085,16842,1583,19966,615354,26,83
"815","EHA01300","EHA01300","ABB0175","PR01682","EHI01074","Individual",6886987107,197390337,16814,2154,29251,722461,43,82
"816","EHA01301","EHA01301","ABB0175","PR01683","EHI01075","Individual",7176970437,206359628,13130,3031,33726,737189,40,80
"817","EHA01302","EHA01302","ABB0175","PR01684","EHI01080","Individual",6974639487,90773738,23931,776,10957,516750,22,93
"818","EHA01303","EHA01303","ABB0175","PR01685","EHI01081","Individual",6743027415,187267458,10390,3106,33267,304605,30,78
"819","EHA01304","EHA01304","ABB0175","PR01686","EHI01082","Individual",7309863158,182957721,20348,1686,25467,886434,39,82
"820","EHA01305","EHA01305","ABB0175","PR01687","EHI01083","Individual",7064068032,187632822,10295,3329,32568,585445,32,78
"821","EHA01306","EHA01306","ABB0175","PR01691","EHI00906","Individual",2967835243,0,0,0,0,0,0,0
"822","EHA01307","EHA01307","ABB0175","PR01692","EHI00882","Individual",1046542773,0,0,0,0,0,0,0
"823","EHA01308","EHA01308","ABB0175","PR01693","EHI00893","Individual",950674838,0,0,0,0,0,0,0
"824","EHA01309","EHA01309","ABB0175","PR01696","EHI00993","Individual",3225978437,0,0,0,0,0,0,0
"825","EHA01310","EHA01310","ABB0175","PR01698","EHI01004","Individual",1924242441,0,0,0,0,0,0,0
"826","EHA01311","EHA01311","ABB0175","PR01699","EHI00857","Individual",868330517,0,0,0,0,0,0,0
"827","EHA01312","EHA01312","ABB0175","PR01700","EHI00940","Individual",1299980896,0,0,0,0,0,0,0
"828","EHA01313","EHA01313","ABB0175","PR01702","EHI00900","Individual",1634168316,0,0,0,0,0,0,0
"829","EHA01314","EHA01314","ABB0175","PR01703","EHI00961","Individual",2306856646,0,0,0,0,0,0,0
"830","EHA01315","EHA01315","ABB0175","PR01704","EHI00994","Individual",3206666775,0,0,0,0,0,0,0
"831","EHA01316","EHA01316","ABB0175","PR01705","EHI00947","Individual",820091082,0,0,0,0,0,0,0
"832","EHA01317","EHA01317","ABB0176","PR01706","EHI01002","Individual",1139721792,0,0,0,0,0,0,0
"833","EHA01318","EHA01318","ABB0176","PR01707","EHI00866","Individual",2994227294,0,0,0,0,0,0,0
"834","EHA01319","EHA01319","ABB0176","PR01708","EHI00867","Individual",1646048685,0,0,0,0,0,0,0
"835","EHA01320","EHA01320","ABB0176","PR01709","EHI00901","Individual",958535801,0,0,0,0,0,0,0
"836","EHA01321","EHA01321","ABB0176","PR01711","EHI00968","Individual",1607156347,0,0,0,0,0,0,0
"837","EHA01322","EHA01322","ABB0176","PR01712","EHI00955","Individual",1914442467,0,0,0,0,0,0,0
"838","EHA01323","EHA01323","ABB0176","PR01713","EHI00926","Individual",1222224040,0,0,0,0,0,0,0
"839","EHA01324","EHA01324","ABB0176","PR01714","EHI00917","Individual",1299733727,0,0,0,0,0,0,0
"840","EHA01325","EHA01325","ABB0176","PR01715","EHI00877","Individual",911549009,0,0,0,0,0,0,0
"841","EHA01326","EHA01326","ABB0176","PR01716","EHI00950","Individual",2690681079,75075130,13270,1028,13532,310481,17,48
"842","EHA01327","EHA01327","ABB0176","PR01717","EHI00967","Individual",4650833564,133218771,6986,3280,28754,455117,31,60
"843","EHA01328","EHA01328","ABB0176","PR01718","EHI00977","Individual",5066418163,188996704,7050,5389,39396,243371,25,64
"844","EHA01329","EHA01329","ABB0176","PR01719","EHI00948","Individual",1227908508,0,0,0,0,0,0,0
"845","EHA01330","EHA01330","ABB0176","PR01720","EHI00876","Individual",2211299663,0,0,0,0,0,0,0
"846","EHA01331","EHA01331","ABB0176","PR01721","EHI00932","Individual",2613077645,92626543,6435,2486,20527,340560,18,51
"847","EHA01332","EHA01332","ABB0176","PR01722","EHI00969","Individual",4695455646,130550290,3843,7043,36835,323149,18,51
"848","EHA01333","EHA01333","ABB0176","PR01723","EHI00863","Individual",2528259809,0,0,0,0,0,0,0
"849","EHA01334","EHA01334","ABB0176","PR01729","EHI01018","Individual",1081877273,0,0,0,0,0,0,0
"850","EHA01335","EHA01335","ABB0176","PR01730","EHI00911","Individual",2743871405,0,0,0,0,0,0,0
"851","EHA01336","EHA01336","ABB0176","PR01731","EHI00953","Individual",3439253710,0,0,0,0,0,0,0
"852","EHA01337","EHA01337","ABB0176","PR01732","EHI01016","Individual",2244130451,0,0,0,0,0,0,0
"853","EHA01338","EHA01338","ABB0176","PR01733","EHI01053","Individual",5786922273,167772608,8667,2894,32195,551683,27,69
"854","EHA01339","EHA01339","ABB0176","PR01734","EHI01084","Individual",6467098041,108568610,47301,465,11643,946405,25,94
"855","EHA01340","EHA01340","ABB0176","PR01738","EHI00999","Individual",1578312750,0,0,0,0,0,0,0
"856","EHA01341","EHA01341","ABB0176","PR01739","EHI01051","Individual",5083324849,136285691,11798,1926,23837,565964,23,48
"857","EHA01342","EHA01342","ABB0176","PR01740","EHI01072","Individual",6676714562,186591781,20327,1558,25611,758659,34,85
"858","EHA01343","EHA01343","ABB0176","PR01741","EHI01086","Individual",5231676029,216995299,9669,3775,39195,510447,35,70
"859","EHA01344","EHA01344","ABB0176","PR01744","EHI00865","Individual",791036721,0,0,0,0,0,0,0
"860","EHA01345","EHA01345","ABB0177","PR01425","EHI00811","Coassembly",993691144,0,0,0,0,0,0,0
"861","EHA01346","EHA01345","ABB0177","PR01426","EHI00812","Coassembly",911384865,0,0,0,0,0,0,0
"862","EHA01347","EHA01345","ABB0177","PR01427","EHI00813","Coassembly",877776563,0,0,0,0,0,0,0
"863","EHA01348","EHA01345","ABB0177","PR01428","EHI00814","Coassembly",959715963,0,0,0,0,0,0,0
"864","EHA01349","EHA01345","ABB0177","PR01429","EHI00815","Coassembly",842765736,0,0,0,0,0,0,0
"865","EHA01350","EHA01345","ABB0177","PR01430","EHI00817","Coassembly",915035314,0,0,0,0,0,0,0
"866","EHA01351","EHA01345","ABB0177","PR01431","EHI00820","Coassembly",1855782336,0,0,0,0,0,0,0
"867","EHA01352","EHA01345","ABB0177","PR01432","EHI00821","Coassembly",1054574555,0,0,0,0,0,0,0
"868","EHA01353","EHA01345","ABB0177","PR01433","EHI00822","Coassembly",1964777937,0,0,0,0,0,0,0
"869","EHA01354","EHA01345","ABB0177","PR01434","EHI00824","Coassembly",988649995,0,0,0,0,0,0,0
"870","EHA01355","EHA01345","ABB0177","PR01435","EHI00825","Coassembly",1218904405,0,0,0,0,0,0,0
"871","EHA01356","EHA01345","ABB0177","PR01436","EHI00828","Coassembly",2353087695,0,0,0,0,0,0,0
"872","EHA01357","EHA01345","ABB0177","PR01437","EHI00829","Coassembly",2125780156,0,0,0,0,0,0,0
"873","EHA01358","EHA01345","ABB0177","PR01438","EHI00834","Coassembly",2953156284,0,0,0,0,0,0,0
"874","EHA01359","EHA01345","ABB0177","PR01439","EHI00839","Coassembly",1526659613,0,0,0,0,0,0,0
"875","EHA01360","EHA01345","ABB0177","PR01440","EHI00841","Coassembly",4431298741,0,0,0,0,0,0,0
"876","EHA01361","EHA01345","ABB0177","PR01441","EHI00842","Coassembly",7371677862,0,0,0,0,0,0,0
"877","EHA01362","EHA01345","ABB0177","PR01442","EHI00843","Coassembly",737605567,0,0,0,0,0,0,0
"878","EHA01363","EHA01363","ABB0178","PR01180","EHI00230","Coassembly",3681608774,12505983,12026,229,2196,117568,2,71
"879","EHA01364","EHA01363","ABB0178","PR01181","EHI00235","Coassembly",4331782986,12505983,12026,229,2196,117568,2,87
"880","EHA01365","EHA01363","ABB0178","PR01488","EHI00832","Coassembly",1631363776,12505983,12026,229,2196,117568,2,71
"881","EHA01366","EHA01363","ABB0178","PR01489","EHI00837","Coassembly",1212472145,12505983,12026,229,2196,117568,2,40
"882","EHA01367","EHA01363","ABB0178","PR01491","EHI00845","Coassembly",1165415712,12505983,12026,229,2196,117568,2,91
"883","EHA01368","EHA01363","ABB0178","PR01492","EHI00846","Coassembly",797102900,12505983,12026,229,2196,117568,2,93
"884","EHA01369","EHA01363","ABB0178","PR01493","EHI00850","Coassembly",5049545389,12505983,12026,229,2196,117568,2,67
"885","EHA01370","EHA01363","ABB0178","PR01494","EHI00851","Coassembly",1362081486,12505983,12026,229,2196,117568,2,62
"886","EHA01371","EHA01363","ABB0178","PR01495","EHI00852","Coassembly",4913324642,12505983,12026,229,2196,117568,2,73
"887","EHA01372","EHA01363","ABB0178","PR01496","EHI00856","Coassembly",4942882225,12505983,12026,229,2196,117568,2,82
"888","EHA01373","EHA01373","ABB0179","PR01175","EHI00224","Coassembly",3022781113,9870266,15186,156,1251,153925,2,72
"889","EHA01374","EHA01373","ABB0179","PR01408","EHI00836","Coassembly",1212039713,9870266,15186,156,1251,153925,2,72
"890","EHA01375","EHA01373","ABB0179","PR01409","EHI00840","Coassembly",1473001775,9870266,15186,156,1251,153925,2,89
"891","EHA01376","EHA01373","ABB0179","PR01411","EHI00848","Coassembly",927185226,9870266,15186,156,1251,153925,2,16
"892","EHA01377","EHA01373","ABB0179","PR01412","EHI00849","Coassembly",3401408855,9870266,15186,156,1251,153925,2,56
"893","EHA01378","EHA01373","ABB0179","PR01413","EHI00853","Coassembly",3452791338,9870266,15186,156,1251,153925,2,74
"894","EHA01379","EHA01373","ABB0179","PR01414","EHI00855","Coassembly",6807782147,9870266,15186,156,1251,153925,2,90
"895","EHA01380","EHA01380","ABB0180","PR01630","EHI00915","Coassembly",5414237561,7194354,55308,35,261,268470,1,83
"896","EHA01381","EHA01380","ABB0180","PR01631","EHI00971","Coassembly",5472573521,7194354,55308,35,261,268470,1,93
"897","EHA01382","EHA01380","ABB0180","PR01632","EHI01020","Coassembly",2611973119,7194354,55308,35,261,268470,1,87
"898","EHA01383","EHA01383","ABB0181","PR01723","EHI00863","Coassembly",2528259809,18617949,31003,134,1731,244910,3,67
"899","EHA01384","EHA01383","ABB0181","PR01729","EHI01018","Coassembly",1081877273,18617949,31003,134,1731,244910,3,68
"900","EHA01385","EHA01385","ABB0182","PR01497","EHI00823","Coassembly",6314492193,16933160,3092,435,4730,377924,1,56
"901","EHA01386","EHA01385","ABB0182","PR01498","EHI00826","Coassembly",1329232286,16933160,3092,435,4730,377924,1,83
"902","EHA01387","EHA01385","ABB0182","PR01499","EHI00827","Coassembly",1170487889,16933160,3092,435,4730,377924,1,80
"903","EHA01388","EHA01388","ABB0183","PR01627","EHI00884","Coassembly",4044666556,0,0,0,0,0,0,0
"904","EHA01389","EHA01388","ABB0183","PR01628","EHI00919","Coassembly",2668529501,0,0,0,0,0,0,0
"905","EHA01390","EHA01388","ABB0183","PR01629","EHI00928","Coassembly",5090456561,0,0,0,0,0,0,0
"906","EHA01391","EHA01391","ABB0184","PR01702","EHI00900","Coassembly",1634168316,8603517,14527,145,1201,125241,1,59
"907","EHA01392","EHA01391","ABB0184","PR01703","EHI00961","Coassembly",2306856646,8603517,14527,145,1201,125241,1,83
"908","EHA01393","EHA01391","ABB0184","PR01704","EHI00994","Coassembly",3206666775,8603517,14527,145,1201,125241,1,14
"909","EHA01394","EHA01394","ABB0185","PR01707","EHI00866","Coassembly",2994227294,9536870,18778,117,878,299609,3,70
"910","EHA01395","EHA01394","ABB0185","PR01708","EHI00867","Coassembly",1646048685,9536870,18778,117,878,299609,3,72
"911","EHA01396","EHA01396","ABB0186","PR01735","EHI00892","Individual",3639420730,130366751,6504,3261,27731,397325,31,58
"912","EHA01397","EHA01397","ABB0186","PR01736","EHI00945","Individual",4187940253,144951687,8424,3409,28277,227242,34,62
"913","EHA01398","EHA01398","ABB0186","PR01737","EHI00995","Individual",6617523799,182272831,7462,4409,38032,346436,37,64
"914","EHA01399","EHA01399","ABB0187","PR01735","EHI00892","Coassembly",3639420730,375925279,9147,7793,68851,390080,110,73
"915","EHA01400","EHA01399","ABB0187","PR01736","EHI00945","Coassembly",4187940253,375925279,9147,7793,68851,390080,110,70
"916","EHA01401","EHA01399","ABB0187","PR01737","EHI00995","Coassembly",6617523799,375925279,9147,7793,68851,390080,110,74
"917","EHA01402","EHA01402","ABB0188","PR01339","EHI00732","Coassembly",2327784651,237901222,7096,5797,49899,1035397,38,50
"918","EHA01403","EHA01402","ABB0188","PR01340","EHI00733","Coassembly",5045191845,237901222,7096,5797,49899,1035397,38,73
"919","EHA01404","EHA01404","ABB0189","PR01331","EHI00695","Coassembly",5365124132,566825615,10022,10620,103572,417477,135,85
"920","EHA01405","EHA01404","ABB0189","PR01332","EHI00696","Coassembly",5257899032,566825615,10022,10620,103572,417477,135,77
"921","EHA01406","EHA01404","ABB0189","PR01334","EHI00698","Coassembly",2117738762,566825615,10022,10620,103572,417477,135,63
"922","EHA01407","EHA01404","ABB0189","PR01335","EHI00699","Coassembly",2832033716,566825615,10022,10620,103572,417477,135,77
"923","EHA01408","EHA01404","ABB0189","PR01336","EHI00700","Coassembly",2345994448,566825615,10022,10620,103572,417477,135,76
"924","EHA01409","EHA01409","ABB0190","PR01315","EHI00679","Coassembly",2964925892,490316364,5415,17814,114616,537872,105,64
"925","EHA01410","EHA01409","ABB0190","PR01318","EHI00682","Coassembly",1361957203,490316364,5415,17814,114616,537872,105,65
"926","EHA01411","EHA01409","ABB0190","PR01337","EHI00730","Coassembly",4609595390,490316364,5415,17814,114616,537872,105,65
"927","EHA01412","EHA01409","ABB0190","PR01344","EHI00752","Coassembly",7665499851,490316364,5415,17814,114616,537872,105,51
"928","EHA01413","EHA01409","ABB0190","PR01345","EHI00753","Coassembly",2835928106,490316364,5415,17814,114616,537872,105,63
"929","EHA01414","EHA01409","ABB0190","PR01346","EHI00757","Coassembly",4208979646,490316364,5415,17814,114616,537872,105,61
"930","EHA01415","EHA01415","ABB0191","PR01320","EHI00684","Coassembly",2302460325,585423491,7854,14027,116326,644177,114,64
"931","EHA01416","EHA01415","ABB0191","PR01321","EHI00685","Coassembly",5926233449,585423491,7854,14027,116326,644177,114,63
"932","EHA01417","EHA01415","ABB0191","PR01322","EHI00686","Coassembly",4109320243,585423491,7854,14027,116326,644177,114,83
"933","EHA01418","EHA01415","ABB0191","PR01323","EHI00687","Coassembly",1243450710,585423491,7854,14027,116326,644177,114,58
"934","EHA01419","EHA01415","ABB0191","PR01324","EHI00688","Coassembly",3605222761,585423491,7854,14027,116326,644177,114,85
"935","EHA01420","EHA01415","ABB0191","PR01338","EHI00731","Coassembly",2697223372,585423491,7854,14027,116326,644177,114,83
"936","EHA01421","EHA01421","ABB0192","PR01313","EHI00677","Coassembly",8002339393,466520660,10749,7480,84200,489436,93,85
"937","EHA01422","EHA01421","ABB0192","PR01314","EHI00678","Coassembly",3646847093,466520660,10749,7480,84200,489436,93,72
"938","EHA01423","EHA01421","ABB0192","PR01316","EHI00680","Coassembly",3400132859,466520660,10749,7480,84200,489436,93,93
"939","EHA01424","EHA01421","ABB0192","PR01317","EHI00681","Coassembly",1460631850,466520660,10749,7480,84200,489436,93,65
"940","EHA01425","EHA01421","ABB0192","PR01319","EHI00683","Coassembly",1930783069,466520660,10749,7480,84200,489436,93,73
"941","EHA01426","EHA01426","ABB0193","PR01310","EHI00674","Coassembly",977987360,514427746,6277,16558,112908,428560,106,76
"942","EHA01427","EHA01426","ABB0193","PR01311","EHI00675","Coassembly",2953671640,514427746,6277,16558,112908,428560,106,67
"943","EHA01428","EHA01426","ABB0193","PR01312","EHI00676","Coassembly",3478492119,514427746,6277,16558,112908,428560,106,63
"944","EHA01429","EHA01426","ABB0193","PR01341","EHI00742","Coassembly",5095352709,514427746,6277,16558,112908,428560,106,73
"945","EHA01430","EHA01426","ABB0193","PR01342","EHI00743","Coassembly",6012075874,514427746,6277,16558,112908,428560,106,69
"946","EHA01431","EHA01426","ABB0193","PR01343","EHI00751","Coassembly",4233687505,514427746,6277,16558,112908,428560,106,72
"947","EHA01432","EHA01432","ABB0194","PR01351","EHI00668","Coassembly",3029830288,716747661,11050,11019,126515,727457,162,50
"948","EHA01433","EHA01432","ABB0194","PR01353","EHI00670","Coassembly",3732441847,716747661,11050,11019,126515,727457,162,69
"949","EHA01434","EHA01432","ABB0194","PR01361","EHI00726","Coassembly",4686635776,716747661,11050,11019,126515,727457,162,87
"950","EHA01435","EHA01432","ABB0194","PR01363","EHI00728","Coassembly",14290818487,716747661,11050,11019,126515,727457,162,76
"951","EHA01436","EHA01436","ABB0195","PR01348","EHI00665","Coassembly",1762209969,324141166,6239,9369,71232,419925,66,74
"952","EHA01437","EHA01436","ABB0195","PR01349","EHI00666","Coassembly",3037088293,324141166,6239,9369,71232,419925,66,73
"953","EHA01438","EHA01436","ABB0195","PR01364","EHI00729","Coassembly",3929545056,324141166,6239,9369,71232,419925,66,61
"954","EHA01439","EHA01439","ABB0196","PR01352","EHI00669","Coassembly",2194433186,330447244,9549,5798,61746,488728,74,58
"955","EHA01440","EHA01439","ABB0196","PR01354","EHI00671","Coassembly",3308347271,330447244,9549,5798,61746,488728,74,73
"956","EHA01441","EHA01439","ABB0196","PR01355","EHI00672","Coassembly",2479040467,330447244,9549,5798,61746,488728,74,56
"957","EHA01442","EHA01439","ABB0196","PR01356","EHI00673","Coassembly",836797758,330447244,9549,5798,61746,488728,74,70
"958","EHA01443","EHA01443","ABB0197","PR01357","EHI00701","Coassembly",10895078347,638321235,9884,12021,115026,567061,139,82
"959","EHA01444","EHA01443","ABB0197","PR01358","EHI00702","Coassembly",2961343788,638321235,9884,12021,115026,567061,139,59
"960","EHA01445","EHA01443","ABB0197","PR01360","EHI00725","Coassembly",3881468660,638321235,9884,12021,115026,567061,139,69
"961","EHA01446","EHA01443","ABB0197","PR01362","EHI00727","Coassembly",3334917431,638321235,9884,12021,115026,567061,139,75
"962","EHA01447","EHA01447","ABB0198","PR01350","EHI00667","Coassembly",2081398594,453575339,7423,11579,93430,524901,93,77
