library_id	library_adaptor_molarity	library_PCR_cycles_required	library_input_dna	library_input_volume	extraction_id	sample_id	sequencing_datasets
AAE22E1L1	10	7	41.28	24	AAE22E1	AAE22	EHI01167
AAS43E2L1	10	13	10.638	27	AAS43E2	AAS43	NA
AJP59E1L1	10	7	45.84	24	AJP59E1	AJP59	EHI02619
AGZ06E1L1	5	14	2.3472	24	AGZ06E1	AGZ06	NA
ACS51E1L1	5	12	4.08	24	ACS51E1	ACS51	EHI01409
ADK10E1L2	20	10	42.24	24	ADK10E1	ADK10	NA
AIQ54E1L1	20	5	200	10.9	AIQ54E1	AIQ54	EHI01986
ACP11E1L1	10	9	23.4	24	ACP11E1	ACP11	EHI02468
AAT26E1L1	10	20	0	27	AAT26E1	AAT26	NA
ADD86E1L1	20	4	200	5.1	ADD86E1	ADD86	EHI01026
AAU83E1L1	20	13	195.5	17	AAU83E1	AAU83	NA
AHC47E1L1	20	3	200	10.3	AHC47E1	AHC47	EHI02171
ABJ49E1L1	20	NA	199.2	24	ABJ49E1	ABJ49	NA
AFQ25E1L1	20	4	198.5	23	AFQ25E1	AFQ25	EHI01085
BATB10E1L1	10	10	22.08	24	BATB10E1	BATB10	EHI00278
AEU91E1L1	5	15	3.192	24	AEU91E1	AEU91	EHI01589
AAV76E1L1	20	5	200	9.3	AAV76E1	AAV76	EHI01478
ABR12E1L1	20	3	200	9.7	ABR12E1	ABR12	EHI02148
AAW37E1L1	10	8	12.048	24	AAW37E1	AAW37	EHI01545
AGZ72E1L1	5	13	4.68	24	AGZ72E1	AGZ72	EHI01569
AEX44E1L1	20	6	184.8	11	AEX44E1	AEX44	EHI00688
AGZ80E1L1	10	11	10.92	24	AGZ80E1	AGZ80	EHI01407
OPAU41E2L1	20	6	200	24	OPAU41E2	OPAU41	EHI00482
AJP68E1L1	20	5	176.64	24	AJP68E1	AJP68	EHI02617
AGD19E1L1	20	5	200	8.3	AGD19E1	AGD19	EHI01318
AEZ77E1L1	5	12	2.784	24	AEZ77E1	AEZ77	EHI02518
AIY73E1L1	5	15	0.9744	24	AIY73E1	AIY73	NA
AFU67E1L1	20	6	184	9	AFU67E1	AFU67	EHI00762
AEL38E1L1	20	5	91.44	24	AEL38E1	AEL38	EHI02017
AAD40E1L1	10	11	42	24	AAD40E1	AAD40	EHI01230
ACR75E1L1	20	4	200	4.5	ACR75E1	ACR75	EHI01172
AAS47E2L1	10	11	64.8	27	AAS47E2	AAS47	NA
C1_EXB0073E1L1	2	23	0.006144	24	C1_EXB0073E1	C1_EXB0073	NA
AGO06E1L1	20	6	102.72	24	AGO06E1	AGO06	EHI02620
C1_EXB0023E1L1	2	20	0	24	C1_EXB0023E1	C1_EXB0023	EHI00362
AEZ05E1L1	5	17	1.5456	24	AEZ05E1	AEZ05	NA
AAP48E1L1	10	10	14.04	24	AAP48E1	AAP48	EHI01446
AEX59E1L1	10	5	20.688	24	AEX59E1	AEX59	EHI00692
AHB53E1L1	20	3	200	6.4	AHB53E1	AHB53	EHI02156
AII33E1L1	20	7	191.76	24	AII33E1	AII33	EHI01141
AEY49E1L1	5	10	2.52	24	AEY49E1	AEY49	EHI02509
AAH21E1L1	20	10	108	24	AAH21E1	AAH21	EHI00799
AEY85E1L1	5	16	0.2952	24	AEY85E1	AEY85	EHI02529
AGI41E3L1	5	13	2.52	24	AGI41E3	AGI41	EHI02108
AAS01E1L1	10	23	8.424	27	AAS01E1	AAS01	NA
ACC98E1L1	2	20	0	24	ACC98E1	ACC98	EHI00849
ADW11E1L1	10	10	16.536	24	ADW11E1	ADW11	EHI01524
AGZ16E1L1	5	14	2.3544	24	AGZ16E1	AGZ16	NA
AIR28E1L1	10	5	21.36	24	AIR28E1	AIR28	NA
ACG84E1L1	10	17	18	24	ACG84E1	ACG84	NA
ABO05E1L1	20	5	185.52	24	ABO05E1	ABO05	EHI00487
AFQ67E2L1	20	6	83.5	24	AFQ67E2	AFQ67	EHI01058
AFM33E1L1	20	8	192.51	23	AFM33E1	AFM33	EHI00737
ABC77E1L1	10	7	19.44	24	ABC77E1	ABC77	EHI02352
ACZ58E1L1	20	16	54.24	24	ACZ58E1	ACZ58	EHI00356
AIV72E1L1	5	14	0	24	AIV72E1	AIV72	EHI02537
ABA43E1L1	20	9	125.52	24	ABA43E1	ABA43	EHI01523
AFU77E1L1	20	7	198	15	AFU77E1	AFU77	NA
AGG10E1L1	20	7	200	1.7	AGG10E1	AGG10	EHI00787
ABT69E2L1	20	16	63.36	24	ABT69E2	ABT69	NA
AAD39E1L1	10	7	44.88	24	AAD39E1	AAD39	EHI01168
AAD09E1L1	10	12	0	24	AAD09E1	AAD09	NA
AEV46E1L1	20	6	177.36	24	AEV46E1	AEV46	EHI01603
ACD22E1L1	2	18	0	24	ACD22E1	ACD22	EHI00971
AFI17E1L1	20	6	53.76	24	AFI17E1	AFI17	EHI02430
AIG15E1L1	20	4	200	12.7	AIG15E1	AIG15	EHI01139, EHI01641
AIG97E1L1	5	13	3.288	24	AIG97E1	AIG97	EHI01828
ADK29E1L1	20	13	81.6	24	ADK29E1	ADK29	EHI00353
AIG42E1L1	20	6	200	20.5	AIG42E1	AIG42	EHI01140, EHI01635
AFN36E1L1	5	8	8.38	20	AFN36E1	AFN36	EHI00373
AAA55E1L1	20	4	200	13.3	AAA55E1	AAA55	EHI00398
OPAU38E1L1	5	10	5.04	24	OPAU38E1	OPAU38	EHI00570, EHI01663
AAT41E1L1	10	10	93.15	27	AAT41E1	AAT41	NA
AJP51E2L1	10	13	24.48	24	AJP51E2	AJP51	EHI02105
C1_EXB0071E1L1	2	20	0.0912	24	C1_EXB0071E1	C1_EXB0071	NA
L1	10	16	5.875	25	NA	NA	NA
AIG33E1L1	20	5	200	13.1	AIG33E1	AIG33	EHI01142
AFI35E1L1	5	16	0.7104	24	AFI35E1	AFI35	EHI02483
ACC04E2L1	20	9	65.04	24	ACC04E2	ACC04	EHI00628
ADG65E1L1	5	11	2.304	24	ADG65E1	ADG65	EHI00954
AIH86E1L1	10	11	34.8	24	AIH86E1	AIH86	EHI01224
AFV06E1L2	10	7	42	24	AFV06E1	AFV06	EHI01835
AEY35E1L1	5	17	1.8456	24	AEY35E1	AEY35	NA
AAD68E1L1	20	7	53.76	24	AAD68E1	AAD68	EHI02432
ABI58E1L1	20	10	153.6	24	ABI58E1	ABI58	EHI00091
ADU62E1L1	5	20	4.92	24	ADU62E1	ADU62	NA
AGD77E1L1	20	4	200	3.5	AGD77E1	AGD77	EHI02250
AGG13E1L1	20	5	200	1.5	AGG13E1	AGG13	EHI00774
OPAU42E1L1	10	8	25.2	24	OPAU42E1	OPAU42	EHI00653
ACX32E1L1	20	7	90	24	ACX32E1	ACX32	NA
ABQ43E1L1	20	10	56.4	24	ABQ43E1	ABQ43	EHI00726
ABT15E1L1	20	10	200	21.3	ABT15E1	ABT15	EHI00252
AAB74E2L1	10	19	0	24	AAB74E2	AAB74	EHI00152
AEC29E1L1	20	6	200	17.4	AEC29E1	AEC29	EHI01264
BATC07E1L1	20	10	197.6	13	BATC07E1	BATC07	EHI00314
C1_EXB0031E1L1	2	26	0	24	C1_EXB0031E1	C1_EXB0031	NA
AAE63E1L1	2	12	5.352	24	AAE63E1	AAE63	EHI01231
ABJ91E1L1	20	10	195.3	21	ABJ91E1	ABJ91	EHI00092
C1_EXB0058E1L1	2	20	0	24	C1_EXB0058E1	C1_EXB0058	NA
ACP12E1L1	10	10	8.184	24	ACP12E1	ACP12	NA
AHC10E1L1	10	6	11.472	24	AHC10E1	AHC10	EHI02218
ABZ31E1L1	20	5	200	2.4	ABZ31E1	ABZ31	EHI01012
AFN19E1L1	10	9	20.88	24	AFN19E1	AFN19	EHI01590
AIG26E1L1	20	7	200	6.1	AIG26E1	AIG26	EHI01143, EHI01651
AEL44E1L1	20	4	200	12.3	AEL44E1	AEL44	EHI00392
ABO03E1L1	20	4	200	8.4	ABO03E1	ABO03	EHI00534
AEU26E1L1	20	6	200	8.9	AEU26E1	AEU26	EHI02018
ABK70E1L1	20	4	193	14	ABK70E1	ABK70	EHI01724
AAV39E1L1	20	7	196.14	21	AAV39E1	AAV39	EHI00153
OPAU56E1L1	10	9	20.16	24	OPAU56E1	OPAU56	EHI00622
AAW76E1L1	20	7	91.44	24	AAW76E1	AAW76	EHI01489
AFP85E1L1	20	5	172	6	AFP85E1	AFP85	EHI01067
L1	5	17	0.732	24	NA	NA	NA
ABQ44E1L1	20	7	195.7	19	ABQ44E1	ABQ44	EHI00669
C1_EXB0091E1L1	2	23	0	24	C1_EXB0091E1	C1_EXB0091	NA
AIV44E1L1	5	12	0	24	AIV44E1	AIV44	EHI02532
AFV05E1L2	5	19	2.952	24	AFV05E1	AFV05	EHI01860
AAH65E1L1	20	6	59.04	24	AAH65E1	AAH65	EHI02431
AFT28E1L1	20	3	200	20.5	AFT28E1	AFT28	EHI02051
AD89E1L1	20	20	141.6	24	AD89E1	AD89	NA
ABU62E1L1	10	20	0	24	ABU62E1	ABU62	NA
OPAU10E1L1	10	13	5.592	24	OPAU10E1	OPAU10	EHI00187
AGJ34E1L1	10	7	34.32	24	AGJ34E1	AGJ34	EHI02417
AAD59E1L1	20	5	59.28	24	AAD59E1	AAD59	EHI02418
AA02E1L1	20	4	157.44	24	AA02E1	AA02	EHI00407
ADU90E1L2	10	15	1.2	20	ADU90E1	ADU90	EHI00232
AGN42E1L1	10	10	12.12	24	AGN42E1	AGN42	NA
AAD99E1L1	10	7	14.784	24	AAD99E1	AAD99	EHI02419
AAD45E1L1	5	10	4.056	24	AAD45E1	AAD45	EHI01204
AAH33E1L1	10	13	65.52	24	AAH33E1	AAH33	EHI00229
AAT58E2L1	10	10	44.55	27	AAT58E2	AAT58	NA
ABQ45E1L1	20	6	195.3	9	ABQ45E1	ABQ45	EHI00670
ACK74E1L1	10	10	31.92	24	ACK74E1	ACK74	NA
ACJ82E1L1	5	12	8.928	24	ACJ82E1	ACJ82	EHI01393
NSAP19E1L1	10	18	7.776	27	NSAP19E1	NSAP19	EHI00044
ACK90E1L1	10	12	15.36	24	ACK90E1	ACK90	EHI01394
AII48E1L1	20	4	200	15.2	AII48E1	AII48	EHI01791
ABA53E1L2	5	15	5.52	24	ABA53E1	ABA53	NA
ABT33E1L2	10	15	1.08	18	ABT33E1	ABT33	NA
AGZ41E1L1	5	12	2.3352	24	AGZ41E1	AGZ41	EHI01405
ABK71E1L1	20	10	190.8	18	ABK71E1	ABK71	EHI00088
ADW01E1L1	20	6	200	12.7	ADW01E1	ADW01	EHI02010
ACD99E1L1	5	11	3.072	24	ACD99E1	ACD99	EHI00811
C1_EXB0088E1L1	2	21	0.4392	24	C1_EXB0088E1	C1_EXB0088	NA
AGD38E1L1	20	4	200	11.2	AGD38E1	AGD38	EHI01301
AIS02E1L1	20	3	200	6.8	AIS02E1	AIS02	NA
AAA89E1L1	20	4	200	5.6	AAA89E1	AAA89	EHI00417
ADL74E1L1	20	4	198.88	22	ADL74E1	ADL74	EHI00512
AJP64E1L1	20	7	65.28	24	AJP64E1	AJP64	EHI02592
ABA58E1L1	20	13	136.8	24	ABA58E1	ABA58	NA
C1_EXB0101E1L1	2	25	0.24	24	C1_EXB0101E1	C1_EXB0101	NA
OPAU7E2L1	20	9	83.52	24	OPAU7E2	OPAU7	EHI00583
AGD17E1L1	20	4	200	15.5	AGD17E1	AGD17	EHI01302
ABD27E3L1	20	10	200	34	ABD27E3	ABD27	EHI02086
ACE11E1L1	20	9	63.36	24	ACE11E1	ACE11	EHI00797
AAB12E1L1	20	11	200	14.5	AAB12E1	AAB12	EHI00377
ADA17E2L1	20	8	53.04	24	ADA17E2	ADA17	EHI00657
AFM69E1L1	20	10	66.24	24	AFM69E1	AFM69	EHI00738
ABP75E1L1	10	9	31.92	24	ABP75E1	ABP75	EHI00898
BATA17E1L1	20	7	191.62	22	BATA17E1	BATA17	EHI00286
AAH16E1L1	20	8	200	14.6	AAH16E1	AAH16	EHI02452
ABP76E1L1	20	4	200	22.8	ABP76E1	ABP76	NA
AGO69E3L1	20	10	58.08	24	AGO69E3	AGO69	EHI02085
AGB79E1L1	20	6	192	24	AGB79E1	AGB79	EHI01300
AAH52E1L1	10	16	11.04	24	AAH52E1	AAH52	EHI00313
AIJ09E1L1	20	10	56.4	24	AIJ09E1	AIJ09	EHI01186
C1_EXB0086E1L1	2	20	0.1416	24	C1_EXB0086E1	C1_EXB0086	NA
AEY31E1L1	20	5	200	23.5	AEY31E1	AEY31	EHI02208
ABS26E1L1	20	7	81.84	24	ABS26E1	ABS26	NA
ABS40E1L1	10	10	14.088	24	ABS40E1	ABS40	NA
AFP61E1L1	20	4.35614381	130	24	AFP61E1	AFP61	EHI01070
AAW69E1L1	5	9	8.544	24	AAW69E1	AAW69	EHI01537
C1_EXB0045E1L1	2	18	0	24	C1_EXB0045E1	C1_EXB0045	NA
AAP51E1L1	20	6	60.48	24	AAP51E1	AAP51	EHI01614
AGZ59E1L1	10	25	17.16	24	AGZ59E1	AGZ59	EHI02142
L1	10	16	17.575	25	NA	NA	NA
AAD35E1L1	5	12	2.2392	24	AAD35E1	AAD35	EHI01226
AEU37E1L1	20	3	200	20.3	AEU37E1	AEU37	EHI02243
ABQ18E1L1	20	5	200	16	ABQ18E1	ABQ18	EHI00497
ADA01E1L1	20	10	58.66	24	ADA01E1	ADA01	EHI00579
ACC05E1L1	20	6	64.219	24	ACC05E1	ACC05	EHI00443
BATC14E1L1	20	7	192	20	BATC14E1	BATC14	EHI00222
AAV04E1L1	20	10	75.12	24	AAV04E1	AAV04	EHI01505
AFM47E1L1	20	7	198.72	23	AFM47E1	AFM47	EHI00714
ABD37E1L1	20	3	200	23.1	ABD37E1	ABD37	EHI02343
ADA70E1L2	10	7	25.16	17	ADA70E1	ADA70	EHI00442
AGI02E1L1	20	6	50.88	24	AGI02E1	AGI02	EHI01752
C1_EXB0029E1L1	5	22	1.656	24	C1_EXB0029E1	C1_EXB0029	EHI00423
ACZ93E1L1	10	6	46.32	24	ACZ93E1	ACZ93	EHI00934
AHB75E1L1	20	3	200	10.1	AHB75E1	AHB75	EHI02162
ACD60E1L1	5	15	1.4496	24	ACD60E1	ACD60	EHI00993
AFU97E1L1	20	12	120.72	24	AFU97E1	AFU97	NA
AAW10E2L1	20	13	96.72	24	AAW10E2	AAW10	EHI00145
AFU93E1L1	20	10	196.2	9	AFU93E1	AFU93	NA
AIZ89E1L1	5	14	0.6144	24	AIZ89E1	AIZ89	NA
OPAU8E1L1	10	10	9.456	24	OPAU8E1	OPAU8	EHI00186, EHI01687
ACG51E1L1	10	12	16.896	24	ACG51E1	ACG51	EHI01552
AIR30E1L1	20	3	200	23.1	AIR30E1	AIR30	NA
AGJ22E1L1	10	8	26.64	24	AGJ22E1	AGJ22	EHI02453
AGI41E2L1	5	18	7.44	24	AGI41E2	AGI41	EHI02127
AAH19E1L1	10	19	1.584	24	AAH19E1	AAH19	EHI00265
AEY97E1L1	10	9	14.736	24	AEY97E1	AEY97	EHI02378
ABL01E1L1	20	7	160.32	24	ABL01E1	ABL01	EHI00073
AEU44E1L1	5	11	6.552	24	AEU44E1	AEU44	EHI02306
ABL37E1L1	20	13	87.12	24	ABL37E1	ABL37	EHI00080
ABA56E1L1	20	7	188.1	11	ABA56E1	ABA56	NA
BATA01E1L1	20	7	186	12	BATA01E1	BATA01	EHI00239
AFV18E3L1	10	7	48	24	AFV18E3	AFV18	EHI02071
AEZ07E1L1	10	7	23.064	24	AEZ07E1	AEZ07	EHI02342
AFN07E1L1	10	8	11.66	20	AFN07E1	AFN07	EHI00384
AIF55E1L1	20	5	200	11.8	AIF55E1	AIF55	EHI01118
AIF77E1L1	20	5	84.24	24	AIF77E1	AIF77	EHI01091
ACC03E2L1	20	11	170.16	24	ACC03E2	ACC03	EHI00593
AEY33E1L1	5	20	0.2832	24	AEY33E1	AEY33	NA
ABE10E2L1	20	15	200	153	ABE10E2	ABE10	EHI02116
AGC48E1L1	20	6	53.76	24	AGC48E1	AGC48	EHI01303
AHC02E1L1	20	3	200	9.7	AHC02E1	AHC02	EHI02167
L1	20	16	103.5	25	NA	NA	NA
AEB01E1L1	10	11	19.824	24	AEB01E1	AEB01	EHI01388
ACS33E1L1	20	4	200	10.6	ACS33E1	ACS33	EHI01255
AEY34E1L1	5	17	0.6216	24	AEY34E1	AEY34	NA
AEL73E1L1	20	5	159.6	24	AEL73E1	AEL73	EHI00381
AAB64E1L2	10	0	9.12	24	AAB64E1	AAB64	NA
AGG17E1L1	20	6	200	2.9	AGG17E1	AGG17	EHI00780
C2_EXB0034E1L1	5	12	1.944	24	C2_EXB0034E1	C2_EXB0034	NA
AAD15E1L1	10	20	22.32	24	AAD15E1	AAD15	NA
L1	20	17	0	24	NA	NA	NA
ABU38E1L1	10	20	0	24	ABU38E1	ABU38	NA
AHB66E1L1	20	4	200	12.3	AHB66E1	AHB66	EHI02193
ACD65E1L1	2	18	0	24	ACD65E1	ACD65	EHI00847
AGZ31E1L1	20	5	199.2	24	AGZ31E1	AGZ31	EHI01279, EHI02397
AHB72E1L1	20	3	200	14.3	AHB72E1	AHB72	EHI02161
AIZ30E1L1	5	15	0.4248	24	AIZ30E1	AIZ30	NA
AAT08E1L1	10	8	116.1	27	AAT08E1	AAT08	NA
BATC12E1L1	20	10	192.48	24	BATC12E1	BATC12	EHI00334
ACJ37E1L1	10	22	2.1	20	ACJ37E1	ACJ37	EHI00192
ADA67E1L2	10	8	18.68	20	ADA67E1	ADA67	EHI00651, EHI01673
ACE08E1L1	2	16	0	24	ACE08E1	ACE08	EHI00838
AGH47E1L1	20	4	200	22	AGH47E1	AGH47	EHI02252
AHI32E1L1	10	9	13.776	24	AHI32E1	AHI32	EHI01696
AAS17E1L1	20	13	83.97	27	AAS17E1	AAS17	EHI00013
AGN64E1L1	20	7	200	20.2	AGN64E1	AGN64	NA
AIJ20E1L1	20	4	200	16.3	AIJ20E1	AIJ20	EHI01119, EHI01656
AFQ11E1L1	20	6	129.5	24	AFQ11E1	AFQ11	EHI01060
OPAU62E1L1	5	10	4.32	24	OPAU62E1	OPAU62	EHI00577, EHI01665
AEC24E2L1	20	5	200	99	AEC24E2	AEC24	EHI02064
ABH82E1L1	20	5	200	6	ABH82E1	ABH82	EHI02204
AEV93E1L1	20	3	200	12.7	AEV93E1	AEV93	EHI02150
AGF24E1L1	10	6	37.92	24	AGF24E1	AGF24	EHI00517
ACD19E1L1	2	18	0	24	ACD19E1	ACD19	EHI00846
AIQ55E1L1	20	4	200	18	AIQ55E1	AIQ55	EHI01976
AAD16E2L1	10	14	6	24	AAD16E2	AAD16	EHI00052
AIQ81E1L1	20	4	73.68	24	AIQ81E1	AIQ81	EHI01977
AGC09E1L1	20	5	200	8.1	AGC09E1	AGC09	EHI01304
AFQ69E1L1	20	6	192	9	AFQ69E1	AFQ69	EHI01054
ACD79E1L1	10	16	1.14	20	ACD79E1	ACD79	EHI00235
ACP15E1L1	10	14	0	0	ACP15E1	ACP15	EHI00284
AAV74E1L1	20	7	124.32	24	AAV74E1	AAV74	EHI02274
ABK60E1L1	20	4	197	4	ABK60E1	ABK60	EHI01721
ABB41E1L1	20	4	200	11	ABB41E1	ABB41	EHI01803
AHC27E1L1	20	8	183.36	24	AHC27E1	AHC27	EHI02286
AAD46E1L1	10	8	28.8	24	AAD46E1	AAD46	EHI01205
AIR89E1L1	20	4	200	7.2	AIR89E1	AIR89	NA
AHC09E1L1	20	3	200	14.5	AHC09E1	AHC09	EHI02169
AGO85E1L1	20	6	118.56	24	AGO85E1	AGO85	EHI01615
AAD60E1L1	10	6	32.88	24	AAD60E1	AAD60	EHI02420
ADC17E1L1	20	7	82.56	24	ADC17E1	ADC17	EHI00785
ABT33E1L1	10	15	1.44	24	ABT33E1	ABT33	EHI00256
ADD91E1L1	10	6	48.72	24	ADD91E1	ADD91	EHI00460, EHI01420
ABS31E1L1	20	8	106.08	24	ABS31E1	ABS31	EHI01008
AIR29E1L1	20	3	200	12.7	AIR29E1	AIR29	NA
ACD28E1L1	5	14	0.6504	24	ACD28E1	ACD28	EHI00999
AB12E1L1	10	6	25.68	24	AB12E1	AB12	EHI00888
ADU83E1L1	10	14	0	0	ADU83E1	ADU83	EHI00266
OPAU67E2L1	20	8	200	24	OPAU67E2	OPAU67	EHI00632
ACD78E1L1	5	16	1.2024	24	ACD78E1	ACD78	EHI00841
ACG72E1L1	20	7	167.28	24	ACG72E1	ACG72	EHI01466
AGF10E1L1	20	4	200	23	AGF10E1	AGF10	EHI00560
AHC48E1L1	20	3	200	21.8	AHC48E1	AHC48	EHI02172
ABJ53E1L1	20	10	189	15	ABJ53E1	ABJ53	EHI00130
ACZ56E1L1	10	6	27.12	24	ACZ56E1	ACZ56	NA
AJF25E1L1	5	10	3.12	24	AJF25E1	AJF25	NA
AGZ03E1L1	5	14	5.736	24	AGZ03E1	AGZ03	NA
ADK20E1L1	5	13	5.76	24	ADK20E1	ADK20	EHI00506
AAH61E1L1	10	13	18.24	24	AAH61E1	AAH61	EHI00221
AEL96E1L1	10	8	48.96	24	AEL96E1	AEL96	EHI01506
OPAU53E2L1	20	8	199.794	24	OPAU53E2	OPAU53	EHI00609
AIQ51E1L1	20	5	159.12	24	AIQ51E1	AIQ51	EHI01978
ABU57E2L2	20	6	144.8	20	ABU57E2	ABU57	EHI00260
AEX12E1L1	20	7	187.44	24	AEX12E1	AEX12	EHI00681
ACZ20E1L1	5	9	3.6	24	ACZ20E1	ACZ20	NA
AAH84E1L1	5	11	6.336	24	AAH84E1	AAH84	EHI00809
OPAU59E2L1	20	8	107.28	24	OPAU59E2	OPAU59	EHI00620
AED65E1L1	20	6	200	19.2	AED65E1	AED65	EHI01256
AAW73E1L1	10	9	11.832	24	AAW73E1	AAW73	EHI01538
AFV30E1L1	20	5	200	7	AFV30E1	AFV30	EHI01598
AKD88E1L1	5	15	1.1184	24	AKD88E1	AKD88	NA
ABD36E1L1	20	4	200	9	ABD36E1	ABD36	EHI02344
ACP13E1L2	10	10	12.232	22	ACP13E1	ACP13	EHI00581
AGO80E1L1	20	6	81.84	24	AGO80E1	AGO80	EHI01616
AAV18E1L1	20	4	200	7.7	AAV18E1	AAV18	EHI01467
AAH67E1L1	10	11	18.696	24	AAH67E1	AAH67	EHI00806
AFU75E1L1	20	7	122.64	24	AFU75E1	AFU75	NA
AFN09E1L1	5	10	3.56	20	AFN09E1	AFN09	EHI00364
AGM98E1L1	10	9	24	24	AGM98E1	AGM98	NA
AAC55E1L2	10	0	6.72	24	AAC55E1	AAC55	NA
ABS39E1L1	20	5	196.8	24	ABS39E1	ABS39	EHI00870
AGO12E1L1	10	6	46.08	24	AGO12E1	AGO12	EHI02593
AFU98E1L1	20	11	186	6	AFU98E1	AFU98	NA
AHV57E1L1	20	4	200	8.3	AHV57E1	AHV57	EHI01810
AHU97E1L1	20	9	152.64	24	AHU97E1	AHU97	EHI02076
AGI42E1L1	5	21	4.656	24	AGI42E1	AGI42	EHI02140
AII31E1L1	10	9	25.2	24	AII31E1	AII31	EHI01187
AAQ43E1L1	20	7	153.12	24	AAQ43E1	AAQ43	EHI00937
L1	2	21	0	24	NA	NA	NA
ACK86E1L1	10	9	23.52	24	ACK86E1	ACK86	EHI01353
ACB35E1L1	10	10	15.864	24	ACB35E1	ACB35	EHI00868, EHI01670
AAZ81E1L1	20	5	168.48	24	AAZ81E1	AAZ81	EHI02263
AFH59E1L1	10	9	12.936	24	AFH59E1	AFH59	EHI02454
ADA63E1L1	20	7	58.08	24	ADA63E1	ADA63	NA
AEC23E1L1	20	13	200	174	AEC23E1	AEC23	EHI02100
ABS94E1L1	10	7	31.44	24	ABS94E1	ABS94	NA
AFH52E1L1	20	7	54.48	24	AFH52E1	AFH52	EHI02421
AIG20E1L1	10	11	36.96	24	AIG20E1	AIG20	EHI01221
AAT03E1L1	10	19	1.89	27	AAT03E1	AAT03	NA
AAM59E1L1	20	16	33.84	24	AAM59E1	AAM59	EHI00330
AFT11E1L1	5	10	7.368	24	AFT11E1	AFT11	EHI02058
AFQ51E1L1	20	10	185	7	AFQ51E1	AFQ51	EHI01046
ADG51E1L1	5	8	3.672	24	ADG51E1	ADG51	EHI02384
ABL72E1L2	20	7	198	11	ABL72E1	ABL72	EHI00179
AFH81E1L1	5	7	8.976	24	AFH81E1	AFH81	EHI02360
ADI75E1L1	20	5	198.8	14	ADI75E1	ADI75	EHI00477
ABT87E1L1	10	12	42.72	24	ABT87E1	ABT87	EHI00249
AGO34E1L1	5	11	7.128	24	AGO34E1	AGO34	EHI02646
AJP48E1L1	20	2	200	19.2	AJP48E1	AJP48	EHI01979
L1	10	16	NA	25	NA	NA	NA
AFV06E1L1	10	13	42	24	AFV06E1	AFV06	NA
ADK02E1L1	20	4	196.8	12	ADK02E1	ADK02	NA
AAB84E1L1	10	9	49.44	24	AAB84E1	AAB84	NA
AHO56E1L1	5	13	1.2552	24	AHO56E1	AHO56	EHI02548, EHI02670
ABD18E1L1	20	4	200	5.8	ABD18E1	ABD18	EHI02345
ADJ92E1L1	20	NA	192.4	20	ADJ92E1	ADJ92	NA
ADM74E1L1	20	3	201.3	11	ADM74E1	ADM74	EHI00496
ABA36E1L1	20	10	97.2	24	ABA36E1	ABA36	EHI01507
ABC82E1L1	20	4	66.96	24	ABC82E1	ABC82	EHI02346
AEY65E1L1	5	10	3.984	24	AEY65E1	AEY65	EHI02505
C1_EXB0004E1L1	10	22	0	27	C1_EXB0004E1	C1_EXB0004	NA
C1_EXB0019E1L1	10	20	0	0	C1_EXB0019E1	C1_EXB0019	EHI00208
AFT04E1L1	20	4	145.2	24	AFT04E1	AFT04	EHI02045
C1_EXB0062E1L1	5	22	1.7856	24	C1_EXB0062E1	C1_EXB0062	NA
AGG16E1L1	20	7	200	3.4	AGG16E1	AGG16	EHI00791
AAW10E1L1	20	12	73.2	24	AAW10E1	AAW10	NA
ADU64E1L1	10	5	44.88	24	ADU64E1	ADU64	EHI01740
ABL72E1L1	20	NA	432	24	ABL72E1	ABL72	NA
AGO13E1L1	20	7	51.6	24	AGO13E1	AGO13	EHI02594
AIQ59E1L1	20	3	200	8.2	AIQ59E1	AIQ59	EHI01980
AAW22E1L1	20	13	71.28	24	AAW22E1	AAW22	EHI00135
AEU94E1L1	20	6	55.92	24	AEU94E1	AEU94	EHI01599
AGB81E1L1	10	9	15.96	24	AGB81E1	AGB81	EHI01381
AGG21E1L1	20	5	200	6.3	AGG21E1	AGG21	EHI00776
AFM58E1L1	20	6	186.3	9	AFM58E1	AFM58	EHI00716
ABJ73E1L1	20	13	55.68	24	ABJ73E1	ABJ73	EHI00110
ABS25E1L1	20	7	200	16	ABS25E1	ABS25	EHI00916
AGZ50E1L1	5	13	3.984	24	AGZ50E1	AGZ50	EHI01568
ABP28E1L1	20	6	200	23.9	ABP28E1	ABP28	EHI00981
ABU44E2L1	10	16	16.08	24	ABU44E2	ABU44	NA
ACZ97E1L1	10	7	32.64	24	ACZ97E1	ACZ97	EHI00885
ADA31E1L1	20	13	38.4	24	ADA31E1	ADA31	EHI00298
ADJ72E1L1	20	3	200	15.6	ADJ72E1	ADJ72	EHI02361
AAN10E1L1	20	4	58.56	24	AAN10E1	AAN10	EHI02244
AAU73E1L1	20	4	200	13.4	AAU73E1	AAU73	EHI01739
ADF33E1L1	20	19	29.28	24	ADF33E1	ADF33	EHI00326
AGN23E1L1	20	6	200	19.4	AGN23E1	AGN23	NA
ACP07E1L1	10	8	20.904	24	ACP07E1	ACP07	EHI02456
AAM53E2L3	5	12	8.034	7.8	AAM53E2	AAM53	EHI00663
OPAU24E1L1	10	8	16.8	24	OPAU24E1	OPAU24	EHI00555
C1_EXB0067E1L1	2	20	0	24	C1_EXB0067E1	C1_EXB0067	NA
