library_id	library_adaptor_molarity	library_PCR_cycles_required	library_input_dna	library_input_volume	extraction_id	sample_id	sequencing_datasets
AFV10E1L1	20	21	191.2	20	AFV10E1	AFV10	NA
AAC26E2L1	10	13	1.68	24	AAC26E2	AAC26	EHI00157
ABZ38E1L1	20	5	200	2.5	ABZ38E1	ABZ38	EHI01024
ACE10E1L1	5	16	0.4368	24	ACE10E1	ACE10	EHI00858
AGF91E1L1	10	5	27.12	24	AGF91E1	AGF91	EHI00498, EHI01452
AAC09E1L2	10	0	32.4	24	AAC09E1	AAC09	NA
AAV84E1L1	20	7	200	12.3	AAV84E1	AAV84	EHI01474
ACD27E1L1	5	14	1.152	24	ACD27E1	ACD27	EHI00827
AGJ21E1L1	20	9	61.2	24	AGJ21E1	AGJ21	EHI01356
AFN33E1L1	10	7	37.44	24	AFN33E1	AFN33	EHI02427
AHO48E1L1	5	17	0.3576	24	AHO48E1	AHO48	NA
AAT07E2L1	10	19	3.84	24	AAT07E2	AAT07	NA
AAW11E1L1	10	16	3.89	24	AAW11E1	AAW11	EHI00078
AAU62E1L1	20	7	200	16.9	AAU62E1	AAU62	EHI01475
ACS26E1L1	20	6	200	11.4	ACS26E1	ACS26	EHI01261
ABQ86E1L1	20	8	56.64	24	ABQ86E1	ABQ86	EHI01019
AGN24E1L1	20	8	200	22.8	AGN24E1	AGN24	NA
AAM01E1L1	10	8	33.6	24	AAM01E1	AAM01	EHI00959
ABI57E1L1	20	3	172	3	ABI57E1	ABI57	EHI01707
OPAU48E1L1	10	8	26.88	24	OPAU48E1	OPAU48	EHI00660
AIZ74E1L1	5	16	0.9288	24	AIZ74E1	AIZ74	NA
ACJ62E2L1	20	10	60.96	24	ACJ62E2	ACJ62	EHI00595
AAA92E1L1	20	7	93.12	24	AAA92E1	AAA92	EHI00247
AAD51E1L1	20	6	84.96	24	AAD51E1	AAD51	EHI01164
ABZ41E1L1	20	9	147.84	24	ABZ41E1	ABZ41	EHI00880
AHB69E1L1	10	7	34.08	24	AHB69E1	AHB69	EHI02221
AII42E1L1	20	8	67.92	24	AII42E1	AII42	EHI01823
ABT69E2L2	20	10	52.8	20	ABT69E2	ABT69	EHI00202
AAQ48E1L1	5	13	3.096	24	AAQ48E1	AAQ48	EHI00923
AIV66E1L1	5	16	0.119	24	AIV66E1	AIV66	EHI02536
AAE10E1L1	10	8	28.8	24	AAE10E1	AAE10	EHI01209
AGZ04E1L1	20	8	110.88	24	AGZ04E1	AGZ04	EHI01376
AGM55E1L1	20	5	200	14.1	AGM55E1	AGM55	NA
ABA80E1L1	20	8	200	7.7	ABA80E1	ABA80	EHI01513
ACS22E1L1	20	5	200	16.4	ACS22E1	ACS22	EHI01178
AIH88E1L1	20	5	200	10.4	AIH88E1	AIH88	EHI01129
AEY29E1L1	5	15	2.0856	24	AEY29E1	AEY29	EHI00755
OPAU70E1L1	5	8	7.44	24	OPAU70E1	OPAU70	EHI00654, EHI01682
ACE20E1L1	5	14	1.248	24	ACE20E1	ACE20	EHI00968
ADL26E1L1	20	5	132.72	24	ADL26E1	ADL26	EHI00488
ACE31E1L1	5	15	0.612	24	ACE31E1	ACE31	EHI00946
ADL98E1L1	20	5	203.4	6	ADL98E1	ADL98	EHI00473
ACG94E1L1	10	7	25.92	24	ACG94E1	ACG94	EHI02015
AFO83E2L1	10	18	17.952	24	AFO83E2	AFO83	EHI02126
AJP66E1L1	20	7	76.08	24	AJP66E1	AJP66	EHI02612
AAH81E1L1	10	9	37.44	24	AAH81E1	AAH81	EHI02464
AA58E1L1	20	5	53.52	24	AA58E1	AA58	EHI00463
AAH93E1L1	10	6	46.8	24	AAH93E1	AAH93	EHI02428
AFI82E1L1	10	6	37.2	24	AFI82E1	AFI82	EHI02446
ABM42E1L1	20	4	200	9.6	ABM42E1	ABM42	EHI02190
AFM37E1L1	20	7	183.84	24	AFM37E1	AFM37	EHI00713
AAC83E2L1	10	14	9.6	24	AAC83E2	AAC83	EHI00051
AAC83E1L1	10	16	1.68	24	AAC83E1	AAC83	EHI00061
AFU94E1L2	20	5	182	10	AFU94E1	AFU94	EHI01841
ADU42E1L1	10	7	24	24	ADU42E1	ADU42	EHI01745
AGI42E2L1	5	19	8.928	24	AGI42E2	AGI42	EHI02132
AHO23E1L1	5	11	2.0952	24	AHO23E1	AHO23	EHI02551, EHI02673
L1	10	18	0	24	NA	NA	NA
ADL70E1L1	20	4	206.4	8	ADL70E1	ADL70	EHI00567
AGC05E1L1	20	5	200	22.5	AGC05E1	AGC05	EHI01317
ABZ43E1L1	20	3	149.76	24	ABZ43E1	ABZ43	EHI00549
ADU36E1L1	5	28	6.048	24	ADU36E1	ADU36	NA
AFQ40E1L1	20	5	197	13	AFQ40E1	AFQ40	EHI01083
AAX82E1L1	10	11	30.72	24	AAX82E1	AAX82	NA
AKD86E1L1	5	11	3.48	24	AKD86E1	AKD86	EHI02697
ADE05E1L1	5	10	6	24	ADE05E1	ADE05	EHI00492, EHI01422
AHV37E1L1	5	11	4.2	24	AHV37E1	AHV37	EHI01830
AAD50E1L1	10	7	29.76	24	AAD50E1	AAD50	EHI02429
AAB35E1L1	20	4	200	9.8	AAB35E1	AAB35	EHI01746
AEM45E1L1	10	10	28.8	24	AEM45E1	AEM45	EHI02301
ACJ42E1L1	10	9	36.24	24	ACJ42E1	ACJ42	EHI00585
AEZ50E1L1	5	13	1.728	24	AEZ50E1	AEZ50	EHI02517
ABK18E1L1	20	10	189	15	ABK18E1	ABK18	EHI00075
AHE94E1L1	20	5	200	10.7	AHE94E1	AHE94	NA
ADG35E1L1	20	5	200	20.4	ADG35E1	ADG35	EHI00984
ACG11E1L1	20	3	200	14	ACG11E1	ACG11	EHI02238
AEX41E1L1	20	6	192.24	24	AEX41E1	AEX41	EHI00687
AAD37E1L1	10	7	38.16	24	AAD37E1	AAD37	EHI01165
AAE64E1L1	10	8	17.16	24	AAE64E1	AAE64	EHI02465
ABU62E1L2	10	16	0	20	ABU62E1	ABU62	EHI00203
AGH23E1L1	10	5	42.72	24	AGH23E1	AGH23	EHI00513
AAW62E1L1	10	9	10.104	24	AAW62E1	AAW62	EHI01543
AGN66E1L1	20	5	200	17.2	AGN66E1	AGN66	NA
ACS09E1L1	20	5	108.24	24	ACS09E1	ACS09	EHI01262
ADA13E2L1	20	11	114	24	ADA13E2	ADA13	EHI00598
AAC15E1L2	10	0	1.68	24	AAC15E1	AAC15	NA
AEU32E1L1	20	8	49.68	24	AEU32E1	AEU32	EHI02031
ADA65E1L2	5	11	4.482	18	ADA65E1	ADA65	EHI00624, EHI01684
ABL76E1L1	20	10	193.8	19	ABL76E1	ABL76	EHI00128
ACH54E1L1	20	8	165.6	24	ACH54E1	ACH54	EHI01515
AAP03E1L1	5	11	4.08	24	AAP03E1	AAP03	EHI01585
ABC67E1L1	10	21	0	24	ABC67E1	ABC67	NA
ABM38E1L1	20	3	200	5.6	ABM38E1	ABM38	EHI02146
ABJ55E1L1	20	10	189.12	24	ABJ55E1	ABJ55	EHI00134
AFV96E1L1	20	3	200	22	AFV96E1	AFV96	EHI00544
ADU48E1L1	5	13	2.3184	24	ADU48E1	ADU48	EHI01772
L1	10	12	0	24	NA	NA	NA
AEX38E1L1	20	7	200.2	14	AEX38E1	AEX38	EHI00686
AGO83E1L1	20	6	74.64	24	AGO83E1	AGO83	EHI01626
AAV11E1L1	20	13	164.64	24	AAV11E1	AAV11	NA
AGH37E1L1	10	16	16.08	24	AGH37E1	AGH37	EHI00664
AIF66E1L1	20	7	200	15.6	AIF66E1	AIF66	EHI01130
AAU49E1L1	20	8	200	19.2	AAU49E1	AAU49	EHI01514
AAD32E1L1	10	12	10.56	24	AAD32E1	AAD32	EHI01229
AHC85E1L1	20	3	80.64	24	AHC85E1	AHC85	EHI02178
AAQ19E1L1	20	11	73.92	24	AAQ19E1	AAQ19	EHI01584
AGP34E1L1	20	6	76.8	24	AGP34E1	AGP34	EHI02613
ABL51E1L1	10	13	39.84	24	ABL51E1	ABL51	EHI00074
AA75E1L1	5	13	2.208	24	AA75E1	AA75	EHI00873
AAN46E1L1	20	5	200	7.6	AAN46E1	AAN46	EHI01276
AAT49E2L1	10	13	8.478	27	AAT49E2	AAT49	NA
AGM44E1L1	20	7	158.4	24	AGM44E1	AGM44	NA
AAW60E1L1	10	8	12.6	24	AAW60E1	AAW60	EHI01544
AAE62E1L1	10	10	12.624	24	AAE62E1	AAE62	EHI01210
AFV43E1L1	20	6	129.12	24	AFV43E1	AFV43	EHI01602
ADA65E1L1	10	10	5.976	24	ADA65E1	ADA65	NA
AGM92E1L1	20	5	200	13.8	AGM92E1	AGM92	NA
AAE11E1L1	10	9	16.704	24	AAE11E1	AAE11	EHI01211
ABU28E2L2	20	8	75.8	20	ABU28E2	ABU28	EHI00290
AAA50E1L1	20	11	66	24	AAA50E1	AAA50	EHI02036
AHB56E1L1	20	6	114.48	24	AHB56E1	AHB56	EHI02217
AGJ38E1L1	10	14	32.4	24	AGJ38E1	AGJ38	NA
ACH48E1L1	20	6	133.44	24	ACH48E1	ACH48	EHI01476
ACS42E1L1	20	5	200	9.7	ACS42E1	ACS42	EHI01263
AEZ90E1L1	10	10	19.56	24	AEZ90E1	AEZ90	EHI02508
AEU92E1L1	5	11	4.224	24	AEU92E1	AEU92	EHI01579
ABZ50E1L1	10	6	17.04	24	ABZ50E1	ABZ50	EHI00476
AHB65E1L1	20	5	95.76	24	AHB65E1	AHB65	EHI02209
AGN28E1L1	20	5	200	10.1	AGN28E1	AGN28	NA
ADD84E1L1	20	3	200	5.1	ADD84E1	ADD84	EHI01042
AEX22E1L1	20	9	58.56	24	AEX22E1	AEX22	EHI00730
ABS10E1L1	20	6	54.24	24	ABS10E1	ABS10	EHI00897
AEX72E1L1	10	9	47.04	24	AEX72E1	AEX72	EHI00732
AAQ17E1L1	20	7	51.12	24	AAQ17E1	AAQ17	EHI01627
AEX36E1L1	20	5	189	5	AEX36E1	AEX36	EHI00685
ADM61E1L1	20	9	208.8	8	ADM61E1	ADM61	EHI00568
AIF68E1L1	20	6	200	15.6	AIF68E1	AIF68	EHI01131
AHE93E1L1	20	5	200	15.3	AHE93E1	AHE93	NA
ACZ35E1L1	5	9	8.88	24	ACZ35E1	ACZ35	NA
AGP16E1L1	10	8	15.36	24	AGP16E1	AGP16	EHI02637
AEL37E1L1	10	7	43.2	24	AEL37E1	AEL37	EHI02016
AFN12E1L1	10	6	30.6	20	AFN12E1	AFN12	EHI00200
ACD05E1L1	2	20	0	24	ACD05E1	ACD05	EHI00850
ABO34E1L1	20	5	200	4.5	ABO34E1	ABO34	EHI00509, EHI01419
AHO42E1L1	5	12	1.4616	24	AHO42E1	AHO42	EHI02552, EHI02674
AHC80E1L1	20	6	200	20.2	AHC80E1	AHC80	EHI02220
ACP06E1L1	10	10	8.8	20	ACP06E1	ACP06	EHI00191
ACD80E1L1	2	20	0	24	ACD80E1	ACD80	EHI00852
C2_LIB0072E1L1	5	20	0.24	24	C2_LIB0072E1	C2_LIB0072	EHI02139
ADV55E1L1	10	13	2.064	24	ADV55E1	ADV55	NA
AGO48E1L1	20	6	68.4	24	AGO48E1	AGO48	EHI02614
