"index_id","index_batch","library_id","extraction_id","sample_id","library_input_dna","library_PCR_cycles_given","index_adaptors_molarity","index_library_molarity","index_volume","index_library_moles"
"ACD09E1L1I1","INB0040","ACD09E1L1","ACD09E1","ACD09",0,19,39.22,12.83,35,449
"ACD22E1L1I1","INB0040","ACD22E1L1","ACD22E1","ACD22",0,19,26.22,25.57,35,895
"ACD96E1L1I1","INB0040","ACD96E1L1","ACD96E1","ACD96",0,19,31.28,14.22,35,498
"ACE25E1L1I1","INB0040","ACE25E1L1","ACE25E1","ACE25",0,19,59.68,12.52,35,438
"ACE39E1L1I1","INB0040","ACE39E1L1","ACE39E1","ACE39",0,19,62.06,8.7,35,305
"C1_EXB0050E1L1I1","INB0040","C1_EXB0050E1L1","C1_EXB0050E1","C1_EXB0050",0,19,67.53,1.09,35,38
"AIG04E1L1I1","INB0041","AIG04E1L1","AIG04E1","AIG04",200,7,28.92,140.99,35,4935
"AIF90E1L1I1","INB0041","AIF90E1L1","AIF90E1","AIF90",118.6,7,36.4,165.88,35,5806
"AIF81E1L1I1","INB0041","AIF81E1L1","AIF81E1","AIF81",118.3,7,22.76,110.49,35,3867
"AIF92E1L1I1","INB0041","AIF92E1L1","AIF92E1","AIF92",181.9,7,55.4,223.19,35,7812
"AIF77E1L1I1","INB0041","AIF77E1L1","AIF77E1","AIF77",84.2,7,19.89,112.46,35,3936
"AIG77E1L1I1","INB0041","AIG77E1L1","AIG77E1","AIG77",182.4,7,41.27,154.27,35,5399
"AIF79E1L1I1","INB0041","AIF79E1L1","AIF79E1","AIF79",200,7,82.28,236.7,35,8284
"AIG79E1L1I1","INB0041","AIG79E1L1","AIG79E1","AIG79",144.2,7,30.37,177.06,35,6197
"AIG75E1L1I1","INB0041","AIG75E1L1","AIG75E1","AIG75",151.2,7,28.43,148.89,35,5211
"AIF88E1L1I1","INB0041","AIF88E1L1","AIF88E1","AIF88",200,7,44.09,177.71,35,6220
"AIG81E1L1I1","INB0041","AIG81E1L1","AIG81E1","AIG81",200,7,34.55,158.76,35,5557
"AIF97E1L1I1","INB0041","AIF97E1L1","AIF97E1","AIF97",76.6,7,91.16,253.33,35,8867
"AIG02E1L1I1","INB0041","AIG02E1L1","AIG02E1","AIG02",150.7,7,38.66,166.23,35,5818
"AIF99E1L1I1","INB0041","AIF99E1L1","AIF99E1","AIF99",87.8,7,50.56,172.8,35,6048
"AIF53E1L1I1","INB0041","AIF53E1L1","AIF53E1","AIF53",200,7,29.32,132.35,35,4632
"AII13E1L1I1","INB0041","AII13E1L1","AII13E1","AII13",200,7,41.81,172.85,35,6050
"AIH22E1L1I1","INB0041","AIH22E1L1","AIH22E1","AIH22",200,7,27.46,147.86,35,5175
"AII37E1L1I1","INB0041","AII37E1L1","AII37E1","AII37",200,7,54.68,175.44,35,6141
"AIJ26E1L1I1","INB0041","AIJ26E1L1","AIJ26E1","AIJ26",200,7,44.33,195.63,35,6847
"AIJ15E1L1I1","INB0041","AIJ15E1L1","AIJ15E1","AIJ15",200,7,25.83,154.08,35,5393
"AIH81E1L1I1","INB0041","AIH81E1L1","AIH81E1","AIH81",200,7,37.22,170.87,35,5981
"AII24E1L1I1","INB0041","AII24E1L1","AII24E1","AII24",200,7,24.57,129.48,35,4532
"AIH70E1L1I1","INB0041","AIH70E1L1","AIH70E1","AIH70",200,7,27.27,130.08,35,4553
"AIH59E1L1I1","INB0041","AIH59E1L1","AIH59E1","AIH59",200,7,25.91,151.24,35,5293
"AIH46E1L1I1","INB0041","AIH46E1L1","AIH46E1","AIH46",200,7,67.76,281.05,35,9837
"AIH99E1L1I1","INB0041","AIH99E1L1","AIH99E1","AIH99",200,7,29.48,176.39,35,6174
"AIG11E1L1I1","INB0041","AIG11E1L1","AIG11E1","AIG11",200,7,81.66,279,35,9765
"AII11E1L1I1","INB0041","AII11E1L1","AII11E1","AII11",200,7,32.18,168.05,35,5882
"AII99E1L1I1","INB0041","AII99E1L1","AII99E1","AII99",200,7,24.68,126.99,35,4445
"AII04E1L1I1","INB0041","AII04E1L1","AII04E1","AII04",200,7,58.91,188.86,35,6610
"AIH26E1L1I1","INB0041","AIH26E1L1","AIH26E1","AIH26",200,7,30.96,93.97,35,3289
"AIF55E1L1I1","INB0041","AIF55E1L1","AIF55E1","AIF55",200,7,18.07,122.26,35,4279
"AIJ20E1L1I1","INB0041","AIJ20E1L1","AIJ20E1","AIJ20",200,7,54.12,172.31,35,6031
"AII97E1L1I1","INB0041","AII97E1L1","AII97E1","AII97",200,7,78.96,227.82,35,7974
"AIH92E1L1I1","INB0041","AIH92E1L1","AIH92E1","AIH92",200,7,191.84,226.8,35,7938
"AIG24E1L1I1","INB0041","AIG24E1L1","AIG24E1","AIG24",200,7,91.12,158.16,35,5536
"AIG35E1L1I1","INB0041","AIG35E1L1","AIG35E1","AIG35",200,7,136.69,257.24,35,9003
"AII02E1L1I1","INB0041","AII02E1L1","AII02E1","AII02",154.3,7,93.35,264.09,35,9243
"AIJ04E1L1I1","INB0041","AIJ04E1L1","AIJ04E1","AIJ04",200,7,146.7,302.55,35,10589
"AIF59E1L1I1","INB0041","AIF59E1L1","AIF59E1","AIF59",134.6,7,71.39,229.6,35,8036
"AIF70E1L1I1","INB0041","AIF70E1L1","AIF70E1","AIF70",62.6,7,49.4,238.19,35,8337
"AII26E1L1I1","INB0041","AII26E1L1","AII26E1","AII26",200,7,61.33,235,35,8225
"AIH88E1L1I1","INB0041","AIH88E1L1","AIH88E1","AIH88",200,7,78.8,254.59,35,8911
"AIF66E1L1I1","INB0041","AIF66E1L1","AIF66E1","AIF66",200,7,33.18,167.33,35,5857
"AIF68E1L1I1","INB0041","AIF68E1L1","AIF68E1","AIF68",200,7,49.98,213.42,35,7470
"AIH66E1L1I1","INB0041","AIH66E1L1","AIH66E1","AIH66",195.8,7,31.08,155.34,35,5437
"AIH55E1L1I1","INB0041","AIH55E1L1","AIH55E1","AIH55",200,7,22.56,142.1,35,4974
"AIJ13E1L1I1","INB0041","AIJ13E1L1","AIJ13E1","AIJ13",200,7,30.57,212.93,35,7452
"AIF57E1L1I1","INB0041","AIF57E1L1","AIF57E1","AIF57",200,7,26.7,168.75,35,5906
"AIH57E1L1I1","INB0041","AIH57E1L1","AIH57E1","AIH57",115,7,19.68,159.73,35,5590
"AIG13E1L1I1","INB0041","AIG13E1L1","AIG13E1","AIG13",200,7,38.27,178.36,35,6243
"AIH79E1L1I1","INB0041","AIH79E1L1","AIH79E1","AIH79",200,7,26,145.46,35,5091
"AIG15E1L1I1","INB0041","AIG15E1L1","AIG15E1","AIG15",200,7,50.84,201.09,35,7038
"AIG42E1L1I1","INB0041","AIG42E1L1","AIG42E1","AIG42",200,7,19.14,107.96,35,3779
"AII33E1L1I1","INB0041","AII33E1L1","AII33E1","AII33",191.8,7,40.03,215.48,35,7542
"AIG33E1L1I1","INB0041","AIG33E1L1","AIG33E1","AIG33",200,7,17.82,131.61,35,4606
"AIG26E1L1I1","INB0041","AIG26E1L1","AIG26E1","AIG26",200,7,30.69,159.1,35,5568
"AIG46E1L1I1","INB0041","AIG46E1L1","AIG46E1","AIG46",200,7,26.59,142.7,35,4995
"AIH77E1L1I1","INB0041","AIH77E1L1","AIH77E1","AIH77",200,7,35.98,151.26,35,5294
"AIG09E1L1I1","INB0041","AIG09E1L1","AIG09E1","AIG09",140.9,7,75.28,235.02,35,8226
"AIG37E1L1I1","INB0041","AIG37E1L1","AIG37E1","AIG37",200,7,30.48,164.29,35,5750
"AIH68E1L1I1","INB0041","AIH68E1L1","AIH68E1","AIH68",200,7,48.83,189.52,35,6633
"AII22E1L1I1","INB0041","AII22E1L1","AII22E1","AII22",200,7,20.09,136.76,35,4787
"AIH90E1L1I1","INB0041","AIH90E1L1","AIH90E1","AIH90",200,7,30.25,181.58,35,6355
"AII35E1L1I1","INB0041","AII35E1L1","AII35E1","AII35",200,7,25.48,154.5,35,5407
"AII15E1L1I1","INB0041","AII15E1L1","AII15E1","AII15",200,7,17.02,117,35,4095
"AIH24E1L1I1","INB0041","AIH24E1L1","AIH24E1","AIH24",170.2,7,27.39,168.45,35,5896
"AIJ22E1L1I1","INB0041","AIJ22E1L1","AIJ22E1","AIJ22",200,7,54.69,187.27,35,6554
"AIH44E1L1I1","INB0041","AIH44E1L1","AIH44E1","AIH44",200,7,31.96,174.66,35,6113
"AAE19E1L1I1","INB0041","AAE19E1L1","AAE19E1","AAE19",30.7,7,22.59,149.14,35,5220
"AAE15E1L1I1","INB0041","AAE15E1L1","AAE15E1","AAE15",12.7,7,31.63,171.06,35,5987
"AAD43E1L1I1","INB0041","AAD43E1L1","AAD43E1","AAD43",81.6,7,49.97,202.77,35,7097
"AAE12E1L1I1","INB0041","AAE12E1L1","AAE12E1","AAE12",43.9,7,34.88,197.66,35,6918
"AAE21E1L1I1","INB0041","AAE21E1L1","AAE21E1","AAE21",46.1,7,22.38,142.65,35,4993
"AAD41E1L1I1","INB0041","AAD41E1L1","AAD41E1","AAD41",46.3,7,14.35,123.32,35,4316
"AAE17E1L1I1","INB0041","AAE17E1L1","AAE17E1","AAE17",98.2,7,26.52,180.42,35,6315
"AAD33E1L1I1","INB0041","AAD33E1L1","AAD33E1","AAD33",58.6,7,21.56,154.03,35,5391
"AAD51E1L1I1","INB0041","AAD51E1L1","AAD51E1","AAD51",85,7,9.67,114.04,35,3991
"AAD37E1L1I1","INB0041","AAD37E1L1","AAD37E1","AAD37",38.2,7,25.79,187.36,35,6558
"AAD36E1L1I1","INB0041","AAD36E1L1","AAD36E1","AAD36",64.1,7,28.24,153.71,35,5380
"AAE22E1L1I1","INB0041","AAE22E1L1","AAE22E1","AAE22",41.3,7,23.36,141.16,35,4941
"AAD39E1L1I1","INB0041","AAD39E1L1","AAD39E1","AAD39",44.9,7,29.63,152.18,35,5326
"AAD62E1L1I1","INB0041","AAD62E1L1","AAD62E1","AAD62",82.6,7,32.18,155.59,35,5446
"AAE20E1L1I1","INB0041","AAE20E1L1","AAE20E1","AAE20",57.6,7,54.87,207.04,35,7246
"AAD57E1L1I1","INB0041","AAD57E1L1","AAD57E1","AAD57",52.3,7,35.85,145.33,35,5086
"ACR75E1L1I1","INB0041","ACR75E1L1","ACR75E1","ACR75",200,7,32.23,155.21,35,5432
"AEA85E1L1I1","INB0041","AEA85E1L1","AEA85E1","AEA85",50.9,7,22.81,122.82,35,4299
"AEA58E1L1I1","INB0041","AEA58E1L1","AEA58E1","AEA58",200,7,33.72,165.17,35,5781
"AEA48E1L1I1","INB0041","AEA48E1L1","AEA48E1","AEA48",200,7,30.98,175.57,35,6145
"AEA94E1L1I1","INB0041","AEA94E1L1","AEA94E1","AEA94",200,7,29.31,156.4,35,5474
"AEB37E1L1I1","INB0041","AEB37E1L1","AEB37E1","AEB37",200,7,33.73,155.76,35,5451
"ACS22E1L1I1","INB0041","ACS22E1L1","ACS22E1","ACS22",200,7,29.6,149.14,35,5220
"ACR94E1L1I1","INB0041","ACR94E1L1","ACR94E1","ACR94",200,7,29.74,146.23,35,5118
"AEA75E1L1I1","INB0041","AEA75E1L1","AEA75E1","AEA75",182.2,7,31.22,138.49,35,4847
"AIG22E1L1I1","INB0042","AIG22E1L1","AIG22E1","AIG22",200,10,14.96,31.77,35,1112
"AII09E1L1I1","INB0042","AII09E1L1","AII09E1","AII09",200,10,18.04,162.38,35,5683
"AIJ11E1L1I1","INB0042","AIJ11E1L1","AIJ11E1","AIJ11",200,10,14.7,23.23,35,813
"AIH48E1L1I1","INB0042","AIH48E1L1","AIH48E1","AIH48",200,10,16.28,23.78,35,832
"AIH53E1L1I1","INB0042","AIH53E1L1","AIH53E1","AIH53",34.6,10,13.28,8.92,35,312
"AIJ09E1L1I1","INB0042","AIJ09E1L1","AIJ09E1","AIJ09",56.4,10,15.57,7.34,35,257
"AII31E1L1I1","INB0042","AII31E1L1","AII31E1","AII31",25.2,10,17.71,6.45,35,226
"AIH75E1L1I1","INB0042","AIH75E1L1","AIH75E1","AIH75",58.1,10,14.11,11.06,35,387
"AIG31E1L1I1","INB0042","AIG31E1L1","AIG31E1","AIG31",193.9,10,12.53,22.04,35,771
"AIJ02E1L1I1","INB0042","AIJ02E1L1","AIJ02E1","AIJ02",170.4,10,15.6,71.3,35,2496
"AIJ24E1L1I1","INB0042","AIJ24E1L1","AIJ24E1","AIJ24",35,10,15.88,11.88,35,416
"AIH42E1L1I1","INB0042","AIH42E1L1","AIH42E1","AIH42",19.2,10,15.93,5.95,35,208
"AIH97E1L1I1","INB0042","AIH97E1L1","AIH97E1","AIH97",13.8,10,15.86,7.74,35,271
"AIG44E1L1I1","INB0042","AIG44E1L1","AIG44E1","AIG44",122.6,10,13.23,24.76,35,866
"AIF64E1L1I1","INB0042","AIF64E1L1","AIF64E1","AIF64",18.3,10,14.84,5.56,35,195
"AIG48E1L1I1","INB0042","AIG48E1L1","AIG48E1","AIG48",72,10,13.74,7.48,35,262
"AAE69E1L1I1","INB0042","AAE69E1L1","AAE69E1","AAE69",36.5,10,13.88,16.19,35,567
"AAD56E1L1I1","INB0042","AAD56E1L1","AAD56E1","AAD56",20.6,10,14.41,18.98,35,664
"AAD31E1L1I1","INB0042","AAD31E1L1","AAD31E1","AAD31",13.1,10,13.37,20.82,35,729
"AAE13E1L1I1","INB0042","AAE13E1L1","AAE13E1","AAE13",14.7,10,15.19,23.67,35,829
"AAE24E1L1I1","INB0042","AAE24E1L1","AAE24E1","AAE24",20.9,10,16.06,29.28,35,1025
"AAE66E1L1I1","INB0042","AAE66E1L1","AAE66E1","AAE66",32.4,10,14.62,14.44,35,505
"AAD38E1L1I1","INB0042","AAD38E1L1","AAD38E1","AAD38",16.3,10,14.86,10.39,35,364
"AAD45E1L1I1","INB0042","AAD45E1L1","AAD45E1","AAD45",4.1,10,18.17,6.52,35,228
"AAD46E1L1I1","INB0042","AAD46E1L1","AAD46E1","AAD46",28.8,10,13.54,36.9,35,1292
"AAD42E1L1I1","INB0042","AAD42E1L1","AAD42E1","AAD42",14.3,10,12.19,29.03,35,1016
"AAD30E1L1I1","INB0042","AAD30E1L1","AAD30E1","AAD30",13,10,14.28,12.89,35,451
"AAE67E1L1I1","INB0042","AAE67E1L1","AAE67E1","AAE67",75.6,10,13.2,45.45,35,1591
"AAE10E1L1I1","INB0042","AAE10E1L1","AAE10E1","AAE10",28.8,10,13.3,29.49,35,1032
"AAE62E1L1I1","INB0042","AAE62E1L1","AAE62E1","AAE62",12.6,10,17.01,9.18,35,321
"AAE11E1L1I1","INB0042","AAE11E1L1","AAE11E1","AAE11",16.7,10,15.96,9.13,35,320
"AAE23E1L1I1","INB0042","AAE23E1L1","AAE23E1","AAE23",16.7,10,14.99,14.05,35,492
"AAD53E1L1I1","INB0042","AAD53E1L1","AAD53E1","AAD53",23.3,10,13.91,19.65,35,688
"AAE25E1L1I1","INB0042","AAE25E1L1","AAE25E1","AAE25",29,10,13.86,24.49,35,857
"AAD44E1L1I1","INB0042","AAD44E1L1","AAD44E1","AAD44",36.2,10,17.71,12.2,35,427
"AAE14E1L1I1","INB0042","AAE14E1L1","AAE14E1","AAE14",8.7,10,13.15,26.93,35,943
"AAE18E1L1I1","INB0042","AAE18E1L1","AAE18E1","AAE18",11.9,10,37.51,5.63,35,197
"AEB12E1L1I1","INB0042","AEB12E1L1","AEB12E1","AEB12",33.4,10,13.47,26.64,35,932
"AIF86E1L1I1","INB0042","AIF86E1L1","AIF86E1","AIF86",7,13,14.05,14.01,35,490
"AIH20E1L1I1","INB0042","AIH20E1L1","AIH20E1","AIH20",13.5,13,14.18,9.62,35,337
"AIG20E1L1I1","INB0042","AIG20E1L1","AIG20E1","AIG20",37,13,13.92,15.72,35,550
"AII20E1L1I1","INB0042","AII20E1L1","AII20E1","AII20",40.3,13,30.59,0.22,35,8
"AIH64E1L1I1","INB0042","AIH64E1L1","AIH64E1","AIH64",49.2,13,11.55,13.69,35,479
"AIH86E1L1I1","INB0042","AIH86E1L1","AIH86E1","AIH86",34.8,13,12.78,17.26,35,604
"AAD29E1L1I1","INB0042","AAD29E1L1","AAD29E1","AAD29",4.5,13,12.67,32.17,35,1126
"AAD35E1L1I1","INB0042","AAD35E1L1","AAD35E1","AAD35",2.2,13,11.87,14.27,35,499
"AAD61E1L1I1","INB0042","AAD61E1L1","AAD61E1","AAD61",2,13,17.27,7.33,35,256
"AAE16E1L1I1","INB0042","AAE16E1L1","AAE16E1","AAE16",1.5,13,18.03,3.95,35,138
"AAD32E1L1I1","INB0042","AAD32E1L1","AAD32E1","AAD32",10.6,13,14.01,12.35,35,432
"AAD40E1L1I1","INB0042","AAD40E1L1","AAD40E1","AAD40",42,13,11.78,58.38,35,2043
"AAE63E1L1I1","INB0042","AAE63E1L1","AAE63E1","AAE63",5.4,13,13.95,17.51,35,613
"AAE68E1L1I1","INB0042","AAE68E1L1","AAE68E1","AAE68",5.1,13,12.8,15.01,35,525
"AIF75E1L1I1","INB0042","AIF75E1L1","AIF75E1","AIF75",1.8,16,16.26,17.13,35,599
"AAD28E1L1I1","INB0042","AAD28E1L1","AAD28E1","AAD28",2.7,16,22.48,35.9,35,1256
"AAD34E1L1I1","INB0042","AAD34E1L1","AAD34E1","AAD34",1.2,16,18.27,22.32,35,781
"C1_EXB0054E1L1I1","INB0042","C1_EXB0054E1L1","C1_EXB0054E1","C1_EXB0054",0,19,53.48,0.88,35,31
"C1_EXB0058E1L1I1","INB0042","C1_EXB0058E1L1","C1_EXB0058E1","C1_EXB0058",0,19,82.19,1.08,35,38
"C1_EXB0056E1L1I1","INB0042","C1_EXB0056E1L1","C1_EXB0056E1","C1_EXB0056",0,19,68.94,0.94,35,33
"C1_EXB0060E1L1I1","INB0042","C1_EXB0060E1L1","C1_EXB0060E1","C1_EXB0060",0,19,85.93,1.31,35,46
