mapping_percentage	sequence_id	mapping_id
85.10441	EHI01484	DM03307
3.25777	EHI01193	DM01181
0.95561	EHI02400	DM03418
82.68853	EHI01314	DM01325
35.26829	EHI00478	DM01032
NA	NA	DM00406
36.38412	EHI00559	DM02176
19.08736	EHI00188	DM01575
64.79183	EHI02105	DM03769
85.82812	EHI01528	DM03201
70.93549	EHI02077	DM03152
80.22384	EHI01306	DM01405
48.53005	EHI01177	DM00701
63.06942	EHI01258	DM01487
43.04521	EHI02064	DM03072
NA	NA	DM00353
2.69262	EHI00803	DM02401
72.29629	EHI00751	DM01685
86.08097	EHI01218	DM00923
58.98194	EHI00856	DM02466
1.47696	EHI01164	DM03531
38.72395	EHI00038	DM00964
63.55758	EHI00715	DM02151
81.85011	EHI01519	DM01927
87.17111	EHI01281	DM01319
78.75612	EHI00144	DM01967
56.7599	EHI02248	DM03551
0.55508	EHI01238	DM01792
62.01958	EHI00673	DM01703
50.07042	EHI01232	DM03518
67.19577	EHI02629	DM03731
52.53768	EHI00851	DM02702
NA	NA	DM00340
80.92452	EHI01244	DM01776
23.4243	EHI01449	DM03761
72.45064	EHI01052	DM01374
22.69132	EHI02132	DM03125
49.32964	EHI00466	DM02607
81.63449	EHI00413	DM03311
1.63231	EHI02099	DM03664
10.20198	EHI00039	DM01013
75.26499	EHI01988	DM02972
36.56895	EHI00463	DM01034
79.48886	EHI01584	DM03682
32.35088	EHI02087	DM03134
57.17521	EHI00945	DM02445
40.43027	EHI00561	DM02156
0.10097	EHI01140	DM00870
21.16393	EHI01195	DM00847
80.11777	EHI02004	DM03344
23.08117	EHI01659	DM02272
24.85923	EHI01699	DM03600
NA	NA	DM00343
32.26685	EHI00832	DM02459
3.00997	EHI01098	DM02277
42.57361	EHI01185	DM02325
0.01089	EHI01055	DM01384
61.50021	EHI01506	DM02023
46.52467	EHI01211	DM03507
2.6839	EHI01144	DM01156
37.68247	EHI00367	DM01075
0.02257	EHI00445	DM01574
3.54958	EHI01093	DM00866
82.82196	EHI01993	DM02970
47.85142	EHI00707	DM02117
80.76129	EHI00895	DM00494
24.59456	EHI00135	DM00024
81.80503	EHI00491	DM00476
64.40492	EHI00511	DM01545
61.14738	EHI00742	DM01686
40.424	EHI00019	DM01008
68.74771	EHI00711	DM02142
59.1367	EHI00729	DM01719
76.95722	EHI01972	DM02961
64.89761	EHI00103	DM00804
56.73908	EHI00831	DM02680
0.04304	EHI01366	DM01747
77.45262	EHI00558	DM01223
33.57574	EHI00584	DM00474
78.80701	EHI00518	DM00672
35.94893	EHI00367	DM02033
82.49789	EHI01060	DM01356
14.47548	EHI01637	DM02300
30.76923	EHI02107	DM03141
NA	NA	DM00293
0.04645	EHI00979	DM01385
56.89639	EHI01030	DM01589
12.95129	EHI00030	DM00123
62.49992	EHI00230	DM02697
16.64975	EHI00031	DM00935
77.15607	EHI00506	DM00668
0.0014	EHI02124	DM02986
84.91433	EHI00400	DM03221
23.38495	EHI01699	DM02632
48.83754	EHI00838	DM02448
0.15186	EHI00645	DM01593
39.7829	EHI00436	DM01081
73.49822	EHI00521	DM00468
13.23379	EHI01695	DM03570
74.92289	EHI00119	DM02803
0	EHI00067	DM02235
35.64512	EHI01105	DM02937
NA	NA	DM00265
NA	NA	DM00426
7.0838	EHI02481	DM03381
74.59124	EHI01073	DM02507
86.15146	EHI01549	DM03232
3.0209	EHI01656	DM01856
0.0024	EHI00448	DM01527
84.40104	EHI01521	DM03331
3.42065	EHI01113	DM00831
75.33996	EHI01983	DM02968
21.69725	EHI01206	DM03472
NA	NA	DM00370
84.67003	EHI00406	DM02072
68.46361	EHI02097	DM03144
8.52045	EHI00581	DM01623
66.66665	EHI00130	DM02790
56.72224	EHI00756	DM02143
24.2692	EHI01110	DM01145
57.20715	EHI00845	DM02537
29.20283	EHI01545	DM01780
5.29495	EHI02424	DM03465
77.71888	EHI00387	DM01224
1.58614	EHI01398	DM01738
82.14223	EHI00376	DM03196
0.76421	EHI01108	DM00855
NA	NA	DM00373
70.18259	EHI01601	DM02264
79.52304	EHI00411	DM00473
32.25298	EHI00030	DM00985
0.62736	EHI01114	DM00859
26.27812	EHI00615	DM01535
66.1513	EHI01248	DM01489
77.08414	EHI00138	DM00800
61.06116	EHI00204	DM02391
73.4879	EHI00169	DM00558
7.59254	EHI02458	DM03511
83.43402	EHI01475	DM01978
83.06749	EHI02003	DM03263
56.90316	EHI00846	DM02473
3.01939	EHI01650	DM02273
77.35018	EHI00549	DM01268
34.74837	EHI00810	DM03364
0.00652	EHI00794	DM02397
83.84491	EHI01519	DM02106
0.578	EHI01099	DM01191
0.09954	EHI00635	DM01653
83.97231	EHI00608	DM01557
84.28034	EHI00418	DM01885
10.40726	EHI00029	DM01019
25.20521	EHI02118	DM03012
84.22123	EHI01505	DM03332
75.19181	EHI01003	DM03549
75.29264	EHI02581	DM03735
NA	NA	DM00359
67.27237	EHI02067	DM03806
16.28705	EHI01820	DM02950
56.64344	EHI00730	DM01672
74.69838	EHI00289	DM01276
77.44245	EHI00231	DM00552
90.74638	EHI00623	DM01094
36.58353	EHI00487	DM01244
2.31564	EHI01132	DM00863
56.34674	EHI00894	DM01540
NA	NA	DM00320
70.88234	EHI01522	DM02107
69.99319	EHI01361	DM03550
82.83297	EHI02126	DM03094
0.39057	EHI01150	DM02322
4.15024	EHI00479	DM02854
15.94308	EHI00007	DM00995
10.49275	EHI01219	DM02875
NA	NA	DM00310
40.4689	EHI00548	DM02621
63.68091	EHI01064	DM02509
33.15183	EHI01661	DM01862
70.48179	EHI00368	DM02055
2.46764	EHI00372	DM01548
0.5284	EHI01103	DM01160
52.62197	EHI00452	DM02603
77.02668	EHI01057	DM01114
36.60166	EHI01550	DM02068
12.9996	EHI01798	DM02882
4.50057	EHI00029	DM00118
78.60251	EHI00483	DM00670
88.56828	EHI01371	DM01477
84.07063	EHI01465	DM02099
84.54686	EHI01285	DM01320
1.3525	EHI01098	DM01146
40.39804	EHI00651	DM01584
2.5877	EHI01135	DM00888
0.16805	EHI00012	DM00998
5.86334	EHI02569	DM03593
0.05088	EHI00593	DM01525
77.70984	EHI01607	DM02623
77.51249	EHI00631	DM00507
8.59613	EHI01599	DM02328
2.45736	EHI01790	DM02868
82.20549	EHI01068	DM02508
2.5877	EHI01135	DM01180
56.90316	EHI00846	DM02569
20.22053	EHI00021	DM00119
64.41793	EHI01602	DM02604
11.82266	EHI02443	DM03506
92.89779	EHI02130	DM03126
2.42477	EHI02427	DM03385
50.22451	EHI00709	DM02128
78.56819	EHI00383	DM00512
74.94751	EHI01613	DM03744
NA	NA	DM00204
5.55747	EHI00146	DM02222
85.0895	EHI00276	DM03212
64.4268	EHI00093	DM02823
55.7636	EHI01581	DM02598
7.12235	EHI01219	DM00889
47.09892	EHI01116	DM02941
54.84792	EHI01585	DM03674
91.76651	EHI02135	DM03117
76.60261	EHI00462	DM02774
80.44999	EHI00339	DM00495
67.98359	EHI01451	DM01806
NA	NA	DM00209
NA	NA	DM00285
1.15739	EHI01136	DM02313
76.79999	EHI00695	DM00607
71.48576	EHI02345	DM03557
82.37062	EHI01445	DM03670
0.50411	EHI00077	DM00809
83.98254	EHI01474	DM03337
90.12732	EHI00150	DM01260
12.83863	EHI00043	DM00929
22.40741	EHI02441	DM03503
57.55594	EHI01345	DM02522
78.7045	EHI00504	DM02785
69.07254	EHI02234	DM03612
61.57804	EHI00455	DM00452
0.03374	EHI00140	DM02227
8.72499	EHI00040	DM01011
26.8	EHI01392	DM02216
NA	NA	DM00260
55.04307	EHI00272	DM02333
76.62454	EHI01019	DM01074
2.76071	EHI01088	DM01131
0.14133	EHI00572	DM01524
58.98194	EHI00856	DM02665
8.57777	EHI00022	DM00986
66.89767	EHI01861	DM02982
81.27788	EHI00850	DM02547
0.57887	EHI00164	DM02234
48.53005	EHI01177	DM00733
NA	NA	DM00434
81.16214	EHI02575	DM03715
66.70481	EHI02089	DM03220
57.20715	EHI00845	DM02477
0	EHI00050	DM02258
42.61644	EHI02410	DM03514
55.79239	EHI01548	DM01797
10.62206	EHI00020	DM01024
56.73908	EHI00831	DM02656
58.9481	EHI00027	DM01002
2.38013	EHI01569	DM03660
62.49992	EHI00230	DM02474
60.34396	EHI00170	DM00996
0.2979	EHI00617	DM01640
0.10786	EHI00586	DM01629
85.83874	EHI01476	DM01898
69.66682	EHI00694	DM00600
85.43623	EHI01551	DM02053
49.72472	EHI02064	DM03142
14.81694	EHI02111	DM02997
NA	NA	DM00276
17.9504	EHI01791	DM02932
43.98927	EHI00522	DM01238
49.99107	EHI01176	DM00710
70.30035	EHI00458	DM00687
23.28246	EHI00016	DM01015
85.46488	EHI01326	DM01439
5.04166	EHI01168	DM03487
9.87929	EHI00346	DM01240
36.22523	EHI02131	DM03609
20.96499	EHI00184	DM01620
63.75129	EHI00121	DM00803
32.26685	EHI00832	DM02646
2.9957	EHI01615	DM03724
78.57252	EHI00365	DM01044
81.90751	EHI01381	DM01326
45.36089	EHI00493	DM00680
1.67241	EHI01187	DM00841
81.63449	EHI00413	DM01995
0.03948	EHI00077	DM00079
69.85336	EHI00903	DM01067
79.55161	EHI00235	DM02669
NA	NA	DM00416
67.14384	EHI02593	DM03673
89.94661	EHI00460	DM01077
77.51249	EHI00631	DM01087
25.41058	EHI00252	DM02439
87.26651	EHI01486	DM01906
9.20775	EHI01104	DM02904
68.18095	EHI01266	DM02516
80.5175	EHI01461	DM02111
1.90128	EHI00555	DM01642
24.04106	EHI00102	DM00801
19.16399	EHI01347	DM02188
7.86183	EHI02556	DM03572
82.22159	EHI01465	DM01969
64.87619	EHI00139	DM00786
0.75446	EHI01220	DM00909
60.7393	EHI00634	DM01586
11.93333	EHI01147	DM02862
68.98531	EHI00671	DM01722
81.24879	EHI00393	DM01988
56.90316	EHI00846	DM02660
63.95598	EHI00117	DM00816
83.95379	EHI00120	DM02833
57.55919	EHI01270	DM02518
84.2427	EHI01502	DM01955
4.54272	EHI01123	DM01124
2.53899	EHI01622	DM01820
0.00293	EHI01095	DM01390
46.61987	EHI00559	DM03537
0.02869	EHI00079	DM00094
82.69984	EHI01499	DM03340
56.90316	EHI00846	DM02648
74.29971	EHI00091	DM02834
0.5706	EHI00107	DM01386
78.68159	EHI01071	DM00970
75.92081	EHI00392	DM00582
87.65653	EHI01308	DM01292
70.44492	EHI00437	DM01058
24.87998	EHI02509	DM03389
28.79659	EHI00639	DM01547
16.62019	EHI00010	DM00991
33.54106	EHI01105	DM01122
74.46687	EHI02626	DM03712
60.57144	EHI00119	DM00818
74.14074	EHI01268	DM02580
83.32693	EHI01078	DM01369
79.55161	EHI00235	DM02705
NA	EHI01173	DM01453
72.50614	EHI00368	DM00448
50.36682	EHI01178	DM00731
75.45484	EHI01973	DM02963
84.44561	EHI01326	DM01344
51.59758	EHI01609	DM02596
44.44872	EHI01182	DM00903
4.56043	EHI02562	DM03606
NA	NA	DM00362
75.85828	EHI01279	DM01731
27.56627	EHI01225	DM01756
71.13702	EHI00616	DM01213
66.8612	EHI00698	DM00630
61.90093	EHI02078	DM03067
NA	EHI01344	DM01467
NA	NA	DM00303
29.46788	EHI01225	DM03494
56.63347	EHI01262	DM01479
3.45585	EHI00172	DM00939
64.91215	EHI00724	DM02141
24.22238	EHI02566	DM03595
47.42524	EHI00250	DM02335
56.51137	EHI01647	DM01865
3.85528	EHI00070	DM02855
NA	EHI01274	DM01466
0.69298	EHI01108	DM02305
2.04932	EHI02697	DM03784
NA	EHI00077	DM00011
0.18292	EHI00641	DM01560
52.32142	EHI01594	DM02616
NA	EHI01262	DM01463
0.99706	EHI01095	DM00869
0.03402	EHI00610	DM01554
63.63838	EHI00687	DM01666
0.03948	EHI00077	DM00117
20.38123	EHI01648	DM02279
79.74852	EHI02006	DM03309
32.26685	EHI00832	DM02694
20.71259	EHI02060	DM03043
27.17687	EHI02388	DM03433
2.66016	EHI01134	DM01140
55.06585	EHI00320	DM01227
82.90085	EHI01552	DM03157
7.19775	EHI00197	DM02395
77.23174	EHI00691	DM01702
41.95283	EHI00952	DM03434
82.38386	EHI00855	DM02191
15.49545	EHI02452	DM03414
52.53768	EHI00851	DM02539
NA	NA	DM00383
42.28538	EHI01126	DM00852
NA	NA	DM00405
22.00428	EHI02407	DM03400
65.74279	EHI00713	DM02133
84.31227	EHI01471	DM02014
66.17454	EHI00113	DM00814
82.41702	EHI01453	DM01938
58.469	EHI00105	DM00815
72.41791	EHI01003	DM02713
2.69262	EHI00803	DM02638
23.46294	EHI01648	DM02884
NA	NA	DM00365
48.83754	EHI00838	DM02484
69.08503	EHI00674	DM00626
87.18261	EHI01076	DM01378
62.61882	EHI00718	DM02135
2.92978	EHI00182	DM00795
66.62201	EHI00678	DM01699
3.23323	EHI00017	DM00926
4.22522	EHI01643	DM02926
70.97613	EHI00880	DM00515
25.2366	EHI02545	DM03605
NA	NA	DM00223
64.07905	EHI01271	DM01500
54.63097	EHI00477	DM00651
0.17363	EHI01146	DM01208
1.03603	EHI01401	DM01741
NA	NA	DM00339
56.38301	EHI01966	DM03771
69.01064	EHI00498	DM00456
6.27356	EHI01188	DM02901
NA	NA	DM00352
30.60214	EHI02087	DM03011
21.16393	EHI01195	DM01129
4.7269	EHI01107	DM00844
40.22112	EHI01160	DM03492
56.90316	EHI00846	DM02545
30.37002	EHI02095	DM02993
66.07029	EHI02232	DM03539
0.03948	EHI00077	DM00111
86.87084	EHI01553	DM03315
NA	NA	DM00227
0.90448	EHI01131	DM00873
71.83818	EHI00404	DM01255
83.94968	EHI00387	DM02020
83.30791	EHI01491	DM02095
85.07539	EHI01967	DM03773
19.48338	EHI01170	DM03491
82.44838	EHI01520	DM03188
NA	NA	DM00308
53.8606	EHI02300	DM03178
62.49992	EHI00230	DM02673
74.50391	EHI01365	DM03655
84.87574	EHI01512	DM02101
NA	NA	DM00388
18.68395	EHI00037	DM00932
48.83754	EHI00838	DM02460
NA	NA	DM00378
80.12567	EHI02034	DM03305
2.69262	EHI00803	DM02399
0.04672	EHI00517	DM02351
68.1273	EHI00490	DM02793
0.4166	EHI00156	DM02252
5.15448	EHI01639	DM02923
81.75185	EHI00380	DM03334
83.0536	EHI00456	DM00665
NA	NA	DM00327
10.40726	EHI00029	DM00940
2.69262	EHI00803	DM02525
0.00971	EHI02103	DM02999
58.5795	EHI00708	DM02116
58.92408	EHI00987	DM02714
47.9927	EHI00868	DM01619
2.27034	EHI01097	DM02292
65.0978	EHI00178	DM02786
74.62161	EHI02079	DM03798
NA	NA	DM00347
54.89115	EHI00759	DM02123
74.39641	EHI01437	DM03737
57.50798	EHI01442	DM01816
38.19324	EHI00459	DM01040
80.56645	EHI01069	DM01352
64.00454	EHI00167	DM00567
0.0359	EHI02476	DM03419
0.02756	EHI00482	DM01587
0.03346	EHI00450	DM01585
90.17365	EHI01295	DM01331
84.08041	EHI00393	DM03190
72.10712	EHI00565	DM03630
58.34447	EHI01184	DM01860
38.67037	EHI01410	DM03640
9.5945	EHI01147	DM01201
74.06725	EHI02603	DM03789
76.79999	EHI00695	DM01698
3.87643	EHI00428	DM02842
86.71627	EHI01302	DM01301
41.61107	EHI00505	DM02612
35.94893	EHI00367	DM03259
85.43623	EHI01551	DM03218
87.15624	EHI01289	DM01415
35.79917	EHI00537	DM02779
2.85454	EHI02263	DM03287
80.23573	EHI00972	DM01071
17.68601	EHI00014	DM00134
77.47976	EHI02301	DM03328
80.76129	EHI00895	DM01039
83.51532	EHI02623	DM03697
69.53292	EHI01640	DM02863
NA	NA	DM00354
82.63102	EHI02339	DM03447
82.8884	EHI00408	DM01958
80.44999	EHI00339	DM01086
48.48574	EHI00571	DM01631
0	EHI00049	DM02230
65.11878	EHI00301	DM02339
79.55161	EHI00235	DM02542
13.51327	EHI00848	DM02159
81.37639	EHI02604	DM03703
38.72395	EHI00038	DM01014
79.31128	EHI00088	DM00780
42.45064	EHI02423	DM03411
18.08888	EHI01087	DM02301
72.03506	EHI01530	DM03295
15.30957	EHI01393	DM02373
13.54996	EHI00752	DM00200
37.37414	EHI00676	DM00181
78.47552	EHI01450	DM01813
1.21523	EHI01405	DM01729
8.57777	EHI00022	DM00937
59.22899	EHI00710	DM02124
41.48915	EHI00440	DM02625
86.72602	EHI01476	DM02084
55.55056	EHI00565	DM02220
18.02889	EHI00757	DM00198
55.33094	EHI01070	DM02157
74.63566	EHI00142	DM01280
30.93948	EHI02042	DM03037
61.77937	EHI00757	DM00627
77.99079	EHI01303	DM01297
NA	NA	DM00316
15.86182	EHI00643	DM01602
70.10707	EHI01544	DM01778
NA	NA	DM00319
88.5109	EHI01297	DM01416
84.23073	EHI01508	DM03293
2.61705	EHI01142	DM00881
85.40021	EHI01285	DM01434
6.48045	EHI00209	DM02430
NA	NA	DM00328
71.67319	EHI00738	DM02137
74.39383	EHI02274	DM03252
50.93672	EHI00461	DM01216
82.68618	EHI00792	DM03409
32.43297	EHI00227	DM01045
75.15915	EHI02070	DM03231
73.13947	EHI00402	DM01259
56.90316	EHI00846	DM02684
63.76686	EHI00403	DM01249
NA	NA	DM00210
61.33841	EHI00934	DM01660
69.51454	EHI01143	DM01186
81.15112	EHI01290	DM01399
86.13946	EHI01384	DM01411
46.61274	EHI01185	DM00885
39.73863	EHI01172	DM00700
65.13196	EHI02305	DM03321
0.02869	EHI00079	DM00078
NA	NA	DM00230
0.13261	EHI02010	DM03236
52.69792	EHI00539	DM00504
NA	NA	DM00402
83.61963	EHI01456	DM01962
82.89448	EHI01455	DM03202
3.62611	EHI02109	DM03085
72.0285	EHI01292	DM01333
32.13988	EHI01226	DM01762
3.42065	EHI01113	DM01164
7.37756	EHI01127	DM02294
55.44741	EHI00532	DM03543
81.09995	EHI00380	DM01973
96.50877	EHI00407	DM01250
31.97968	EHI00011	DM00947
85.84186	EHI00677	DM01701
43.21478	EHI00906	DM02213
45.27953	EHI01214	DM03519
60.102	EHI02309	DM03538
NA	NA	DM00254
81.50589	EHI00381	DM03247
44.33	EHI01620	DM03728
36.18257	EHI02583	DM03749
34.0905	EHI01255	DM01513
75.78911	EHI00380	DM01263
1.6002	EHI01128	DM00864
55.80422	EHI01264	DM02519
89.96689	EHI01324	DM01452
83.74869	EHI01278	DM03617
81.52613	EHI00142	DM03352
0.5872	EHI01153	DM01167
16.72689	EHI01243	DM01769
78.3987	EHI02598	DM03775
2.08289	EHI01194	DM00854
70.96363	EHI02016	DM03175
66.11173	EHI01339	DM02588
82.83028	EHI01831	DM03273
69.78058	EHI00837	DM02651
0.53682	EHI01100	DM02312
0.82454	EHI01102	DM00908
83.0428	EHI02000	DM03291
70.41313	EHI01796	DM02907
73.23644	EHI01443	DM03675
83.84491	EHI01519	DM03185
6.16898	EHI02122	DM03123
62.29153	EHI00134	DM00764
0.03948	EHI00077	DM00085
51.80979	EHI00530	DM01079
50.25827	EHI02082	DM03070
NA	NA	DM00411
73.99394	EHI00755	DM01718
80.12633	EHI00118	DM02840
3.8354	EHI01101	DM01204
NA	NA	DM00271
51.52538	EHI02067	DM03017
51.06708	EHI00748	DM02152
1.21477	EHI00160	DM02239
44.66824	EHI01595	DM02385
58.53348	EHI01256	DM01494
4.48756	EHI01119	DM02915
14.45219	EHI02134	DM03081
46.90071	EHI00800	DM03395
15.70794	EHI00563	DM01228
0.04418	EHI00662	DM01657
79.28819	EHI02612	DM03790
70.61754	EHI00897	DM00488
83.85998	EHI01457	DM02062
84.19194	EHI00518	DM02768
85.95504	EHI00394	DM03209
0.54227	EHI01633	DM03643
1.35699	EHI01158	DM03529
84.85883	EHI01515	DM03249
0.17498	EHI00628	DM01600
77.86647	EHI01448	DM03708
58.32239	EHI01089	DM02871
45.43692	EHI00457	DM00591
71.5136	EHI01364	DM01739
88.37238	EHI01309	DM01418
88.5816	EHI01323	DM01322
79.81353	EHI01461	DM01872
82.50239	EHI01516	DM02057
0.17363	EHI01146	DM00912
83.98438	EHI01314	DM01438
0.59862	EHI01138	DM00843
71.84622	EHI01978	DM02977
69.20638	EHI00995	DM03556
73.77435	EHI00111	DM02758
2.10229	EHI02538	DM03656
57.20715	EHI00845	DM02688
0.83167	EHI01403	DM01751
81.44869	EHI02304	DM03271
13.79325	EHI01403	DM03635
60.25118	EHI00093	DM00749
75.74599	EHI00728	DM01713
69.6279	EHI00363	DM03265
92.44631	EHI01498	DM03322
76.62454	EHI01019	DM00485
NA	NA	DM00259
35.73931	EHI00352	DM01658
26.564	EHI00579	DM01570
74.12167	EHI00414	DM00556
48.83754	EHI00838	DM02544
65.51053	EHI00512	DM00682
46.06741	EHI00489	DM01261
0.14095	EHI00152	DM02244
2.65926	EHI01155	DM00834
3.42546	EHI00079	DM02846
NA	NA	DM00439
NA	EHI01363	DM01462
NA	NA	DM00239
14.98757	EHI00806	DM02389
30.10001	EHI01235	DM01761
57.14123	EHI00034	DM00930
53.39895	EHI01792	DM02890
33.06963	EHI02486	DM03388
74.63566	EHI00142	DM00592
78.59864	EHI02306	DM03325
0.12494	EHI00636	DM01617
62.55774	EHI02078	DM03099
77.35018	EHI00549	DM00518
58.92408	EHI00987	DM02206
NA	NA	DM00342
81.11355	EHI00374	DM01089
0.02869	EHI00079	DM00106
77.23174	EHI00691	DM00622
27.59992	EHI00101	DM02838
14.42431	EHI00035	DM00133
22.61803	EHI00255	DM02340
21.59446	EHI00101	DM00811
35.10178	EHI00028	DM01010
80.80016	EHI00506	DM02812
77.22589	EHI00878	DM01544
40.01603	EHI00912	DM00501
84.30393	EHI01284	DM01318
30.12552	EHI02394	DM03649
92.49231	EHI00996	DM01055
15.70794	EHI00563	DM00522
70.48179	EHI00368	DM03280
11.80644	EHI01654	DM02306
57.32123	EHI02634	DM03768
NA	NA	DM00248
42.62441	EHI01196	DM01177
65.44886	EHI00088	DM00810
44.84602	EHI01252	DM01511
18.61266	EHI01159	DM01765
42.67641	EHI00743	DM00197
37.60703	EHI02384	DM03426
2.30174	EHI01649	DM01863
2.9146	EHI01412	DM03661
58.34602	EHI02114	DM03558
68.6991	EHI01045	DM01103
47.45588	EHI02371	DM03443
58.84635	EHI00283	DM01601
17.22365	EHI00927	DM01056
0.52636	EHI00079	DM00808
35.0942	EHI00663	DM00557
57.46273	EHI01697	DM02636
61.08689	EHI01506	DM01916
44.72953	EHI00386	DM02613
31.88169	EHI00035	DM01016
41.45709	EHI00752	DM00625
0.03948	EHI00077	DM00109
76.29903	EHI00852	DM02468
75.28846	EHI01049	DM00977
59.49882	EHI00732	DM00605
68.28497	EHI00945	DM03567
0.5872	EHI01153	DM00846
2.43129	EHI01220	DM02909
NA	NA	DM00213
10.6192	EHI02463	DM03379
29.23839	EHI00014	DM00925
37.10759	EHI01106	DM01128
26.38268	EHI00497	DM00451
NA	NA	DM00330
73.46551	EHI00665	DM01711
1.59255	EHI00219	DM01392
6.37375	EHI01101	DM02859
79.52304	EHI00411	DM01030
81.36894	EHI00411	DM01917
76.29903	EHI00852	DM02655
82.67927	EHI01075	DM01365
69.23398	EHI01254	DM01502
80.17858	EHI00438	DM00650
77.02531	EHI01045	DM01366
61.47979	EHI00472	DM00666
61.37553	EHI00540	DM01652
82.17182	EHI01455	DM01952
NA	NA	DM00425
73.76405	EHI01651	DM02861
27.21305	EHI00335	DM00575
0.02869	EHI00079	DM00084
15.42237	EHI00013	DM00125
69.8812	EHI00676	DM01674
3.40373	EHI00023	DM00153
0.03948	EHI00077	DM00099
5.92394	EHI00881	DM01655
82.47092	EHI00656	DM01598
0.52993	EHI02482	DM03402
0.38506	EHI00018	DM00129
85.28999	EHI01529	DM03156
82.62993	EHI01803	DM03181
59.56657	EHI00494	DM02217
60.69406	EHI01628	DM03745
89.45059	EHI01324	DM01330
12.82658	EHI02559	DM03580
81.72952	EHI01381	DM01409
77.45262	EHI00558	DM00585
86.72195	EHI00627	DM00502
87.18587	EHI01294	DM01299
0.23181	EHI02403	DM03413
3.12609	EHI00799	DM03405
83.41153	EHI01741	DM03216
69.68417	EHI00338	DM00466
17.29627	EHI00099	DM00020
0.61829	EHI01092	DM02283
68.61156	EHI01231	DM03526
17.11929	EHI01536	DM01789
74.4726	EHI00496	DM00695
79.11302	EHI01623	DM03691
78.27797	EHI00108	DM00760
77.10749	EHI01625	DM03718
70.77509	EHI01651	DM01851
NA	NA	DM00334
35.53149	EHI02437	DM03530
37.38841	EHI01410	DM01748
73.14998	EHI00462	DM00691
62.49992	EHI00230	DM02486
22.217	EHI01242	DM01786
74.47271	EHI00398	DM01264
12.96293	EHI02399	DM03495
75.86812	EHI01968	DM02952
33.78641	EHI02084	DM03149
86.26049	EHI01553	DM01918
21.59547	EHI01195	DM02304
73.13947	EHI00402	DM00521
0.72774	EHI01372	DM03636
2.45507	EHI01154	DM01141
15.921	EHI00042	DM01009
67.78462	EHI02376	DM03562
0.64619	EHI01145	DM00883
52.7157	EHI00970	DM02718
0.62308	EHI01149	DM02315
1.77222	EHI00833	DM02195
80.08049	EHI01240	DM01767
NA	NA	DM00203
43.56453	EHI01653	DM01854
61.81021	EHI02075	DM03058
15.41939	EHI02137	DM02990
0.62666	EHI01100	DM01135
16.56723	EHI00938	DM02645
2.01305	EHI01181	DM01154
25.93532	EHI00101	DM00778
23.38495	EHI01699	DM02730
5.98006	EHI02500	DM03525
58.54795	EHI00896	DM00527
74.76363	EHI01627	DM03765
58.33778	EHI01228	DM03516
72.55743	EHI00416	DM01219
16.02767	EHI00503	DM01611
4.70561	EHI01188	DM00835
85.3666	EHI01527	DM03169
84.4888	EHI02015	DM03292
90.11592	EHI01288	DM01315
6.34515	EHI00132	DM00022
65.73132	EHI02368	DM03427
62.79129	EHI00041	DM00983
25.08324	EHI01589	DM02329
2.66477	EHI01614	DM01840
2.69262	EHI00803	DM02405
80.96314	EHI02069	DM03005
58.98194	EHI00856	DM02562
85.26236	EHI01470	DM03167
47.71816	EHI02098	DM03086
83.88314	EHI01556	DM03320
73.70647	EHI00112	DM02755
76.07675	EHI01472	DM02051
65.05688	EHI02571	DM03757
66.66326	EHI02102	DM03148
NA	NA	DM00297
50.43956	EHI00561	DM02218
21.30543	EHI01152	DM00895
81.27788	EHI00850	DM02451
15.01199	EHI01213	DM03477
78.66334	EHI00365	DM01881
NA	NA	DM00267
67.9642	EHI02617	DM03776
78.39201	EHI00089	DM02798
NA	NA	DM00268
62.91364	EHI00465	DM00683
8.97079	EHI00290	DM02428
23.28246	EHI00016	DM00928
55.12748	EHI00196	DM02120
0.94126	EHI01133	DM02274
72.77681	EHI02607	DM03807
69.30082	EHI02065	DM03075
85.87129	EHI01554	DM03285
57.56666	EHI00267	DM03378
60.57948	EHI02123	DM03080
84.92932	EHI01067	DM01351
70.40272	EHI00074	DM00761
81.16577	EHI02578	DM03720
23.5458	EHI00249	DM02496
76.29903	EHI00852	DM02576
0.03948	EHI00077	DM00105
2.60484	EHI00245	DM02427
50.43956	EHI00561	DM02709
59.35934	EHI02096	DM03133
NA	NA	DM00400
91.96693	EHI01299	DM01425
74.12166	EHI00414	DM01243
69.15668	EHI01052	DM02504
85.29968	EHI00262	DM00589
88.87972	EHI00409	DM00547
81.27788	EHI00850	DM02698
46.39196	EHI01342	DM01504
5.61812	EHI02541	DM03585
85.70276	EHI01470	DM01889
92.55124	EHI00415	DM00534
48.16907	EHI00080	DM00753
4.7356	EHI01656	DM02883
82.48822	EHI01968	DM03788
21.85991	EHI00691	DM00190
76.26445	EHI00686	DM00617
77.02947	EHI02355	DM03457
15.55689	EHI00036	DM00160
53.83024	EHI00516	DM00549
3.42524	EHI01111	DM01187
52.53768	EHI00851	DM02491
0	EHI00052	DM02226
0.13351	EHI00661	DM02359
64.15839	EHI02080	DM03112
NA	EHI01390	DM01469
64.52525	EHI00979	DM03440
74.44644	EHI00743	DM00608
38.06851	EHI01223	DM02946
48.94283	EHI00534	DM01230
