sample_type	sample_origin	sample_freshness	sample_freezing	sample_id	capture_place	specimen_length	specimen_weight	specimen_id	specimen_family	specimen_species	capture_biome	capture_environment	specimen_development	specimen_sex	capture_latitude	capture_longitude	capture_country	specimen_order	specimen_class	capture_id	tax_group
Anal/cloacal swab	Animal	< 1 minute	< 1 day	ACH41	SaronnoScuolaElementare	51	21.6	SD01715	Vespertilionidae	Eptesicus serotinus	1000221 - Temperate woodland	parklike habitat	Adult	Female	45.62	9.04	recrACkHppgdXdQse	Chiroptera	Mammalia	SD0171501	Bats
Faecal	Animal	< 30 minutes	< 14 days	AAH53	Fou de Bor	46.1	6.7	SD00034	Vespertilionidae	Myotis crypticus	1000221 - Temperate woodland	Cave	Adult	Male	42.34	1.8	recIUTmSxiyqoU5lQ	Chiroptera	Mammalia	SD0003401	Bats
Faecal	Animal	< 1 minute	< 1 day	AFU99	NA	61	5.79	SD03779	Lacertidae	Podarcis muralis	1000198 - Mixed forest	NA	Adult	Male	43.31	-1.75	recIUTmSxiyqoU5lQ	Squamata	Reptilia	SD0377901	Reptiles
Tissue	Animal	< 1 minute	< 1 day	ACX28	NA	8.1	2.8	SD02525	Lacertidae	Podarcis sp.	1000199 - Mediterranean forest	NA	Sub-adult	Female	40.84	-8.16	recAf61NgigHFbcBU	Squamata	Reptilia	SD0252501	Reptiles
Tissue	Animal	< 1 minute	< 14 days	ABS03	NA	64.1	360	SD01490	Sciuridae	Sciurus vulgaris	1000197 - Broadleaf forest	Broadleaf forest 	Adult	Female	42.88	143.17	recUFOFTQQCc0Urlo	Rodentia	Mammalia	SD0149001	Mammals
Faecal	Trap	< 3 hours	< 1 day	AAU83	RS	61	465	SD00364	Sciuridae	Sciurus carolinensis	1000221 - Temperate woodland	parklike habitat	Adult	Male	44.95	7.6	recrACkHppgdXdQse	Rodentia	Mammalia	SD0036401	Mammals
Tissue	Animal	< 1 minute	< 14 days	AHA65	NA	57	3.66	SD04253	Lacertidae	Podarcis cretensis	1000215 - Temperate shrubland	islet (peninsula)	Adult	Female	35.27	23.52	rec8ZSYhXQpuQrkxi	Squamata	Reptilia	SD0425301	Reptiles
Anal/cloacal swab	Animal	< 1 minute	< 1 day	ADD88	NA	NA	360	SD01880	Sciuridae	Sciurus vulgaris	1000248 - Dense settlement	34h extent park with an agricultural-forest landscape surrounded by dense urban area	Adult	Female	41.1	-8.56	recAf61NgigHFbcBU	Rodentia	Mammalia	SD0188001	Mammals
Faecal	Trap	NA	< 1 day	AAP43	NA	NA	1.5	SD03425	Salamandridae	Lissotriton helveticus	1000252 - Lake or pond	NA	Adult	Male	43.33	-1.77	recIUTmSxiyqoU5lQ	Urodela	Amphibia	SD0342501	Amphibians
Tissue	Animal	< 1 minute	< 1 day	AKD18	NA	100	27.8	SD04437	Salamandridae	Salamandra salamandra gallaica	1000221 - Temperate woodland	Stone walls along a rural trail flanked by agrarian land.	Adult	Male	41.32	-8.73	recAf61NgigHFbcBU	Urodela	Amphibia	SD0443701	Amphibians
Skin swab	Animal	< 1 minute	< 1 day	AIZ72	NA	105	32.3	SD04468	Salamandridae	Salamandra salamandra gallaica	1000221 - Temperate woodland	Small stream with steep bank running through deciduous grove.	Adult	Male	41.18	-8.66	recAf61NgigHFbcBU	Urodela	Amphibia	SD0446801	Amphibians
Faecal	Animal	< 1 minute	< 14 days	AHA44	NA	63	5.24	SD04270	Lacertidae	Podarcis cretensis	1000215 - Temperate shrubland	islet	Adult	Female	35.34	26.18	rec8ZSYhXQpuQrkxi	Squamata	Reptilia	SD0427001	Reptiles
Oral swab	Animal	< 1 minute	< 1 day	AGY93	NA	NA	30.4	SD03218	Corvidae	Perisoreus infaustus	1000250 - Boreal forests or taiga	Forest	Juvenile	Unknown	65.66	19.15	recsoxFuQT1UqV2yf	Passeriformes	Aves	SD0321801	Birds
Faecal	Trap	< 3 hours	< 1 day	ADW26	ILO	NA	555	SD01762	Sciuridae	Sciurus carolinensis	1000221 - Temperate woodland	parklike habitat	Adult	Male	45.02	7.67	recrACkHppgdXdQse	Rodentia	Mammalia	SD0176201	Mammals
Anal/cloacal swab	Animal	< 1 minute	< 1 day	AAB73	Rapadura	62	158.2	SD00196	Falconidae	Falco eleonorae	1000048 - Ocean	Island	Juvenile	Unknown	29.4	-13.49	recIUTmSxiyqoU5lQ	Falconiformes	Aves	SD0019602	Birds
Tissue	Animal	< 1 minute	< 21 days	AFO02	NA	49.3	7.9	SD02024	Hipposideridae	Hipposideros ruber	1001803 - Tropical forest	River, forest	Juvenile	Female	1.11	11.15	reclcQpXVk25OgN5p	Chiroptera	Mammalia	SD0202401	Bats
Faecal	Animal	< 1 minute	< 3 days	AFT30	NA	55.4	25.7	SD03860	Vespertilionidae	Myotis blythii	1000245 - Cropland	At the cave entrance	Adult	Male	43.59	25.96	recIKcYqw1CyfqxgE	Chiroptera	Mammalia	SD0386001	Bats
Oral swab	Animal	< 1 minute	< 28 days	AFV52	NA	NA	14.5	SD02054	Cricetidae	Peromyscus maniculatus	1000215 - Temperate shrubland	NA	Juvenile	Male	48.63	-123.29	recqcwTGBWEwznXMJ	Rodentia	Mammalia	SD0205401	Mammals
Anal/cloacal swab	Animal	< 1 minute	< 1 day	ACD69	NA	56	13.3	SD01919	Alcedinidae	Chloroceryle aenea	1000252 - Lake or pond	Oxbow lake	Adult	Male	-12.43	-70.68	recBG9JQuOqHyhhMQ	Coraciiformes	Aves	SD0191901	Birds
Anal/cloacal swab	Animal	< 1 minute	< 3 days	ABN42	Aberdeen	55	560	SD01661	Sciuridae	Sciurus carolinensis	1000221 - Temperate woodland	Riparian hardwood 	Adult	Male	57.17	-2.13	recWNrlBagsRxnwjj	Rodentia	Mammalia	SD0166105	Mammals
Oral swab	Animal	< 1 minute	< 1 day	ADJ24	Tourmalet	143.13	4.7	SD00844	Lacertidae	Podarcis muralis	1000194 - Montane grassland	in ski resort	Adult	Female	42.91	0.17	recD0072mQhXdzBoy	Squamata	Reptilia	SD0084401	Reptiles
Faecal	Animal	< 10 minutes	< 1 day	ABM39	NA	73	8.13	SD01051	Lacertidae	Podarcis pityusensis	1000215 - Temperate shrubland	Stone walls between agricultural fields	Unknown	Female	38.7	1.42	recIUTmSxiyqoU5lQ	Squamata	Reptilia	SD0105101	Reptiles
Faecal	Animal	< 10 minutes	< 3 days	OPAU4	NA	41	NA	SD00710	Vespertilionidae	Plecotus auritus	1000221 - Temperate woodland	Woodland surrounding mansion	Adult	Female	55.15	-1.96	recWNrlBagsRxnwjj	Chiroptera	Mammalia	SD0071001	Bats
Anal/cloacal swab	Animal	< 1 minute	NA	ABS66	NA	62.5	370	SD01521	Sciuridae	Sciurus vulgaris	1000197 - Broadleaf forest	Conifer forests 	Adult	Female	42.79	143.17	recUFOFTQQCc0Urlo	Rodentia	Mammalia	SD0152101	Mammals
Anal/cloacal swab	Animal	< 1 minute	< 1 day	AAC64	Ladera sur	258	440	SD00276	Falconidae	Falco eleonorae	1000048 - Ocean	Island	Juvenile	Unknown	29.39	-13.52	recIUTmSxiyqoU5lQ	Falconiformes	Aves	SD0027601	Birds
Anal/cloacal swab	Animal	< 1 minute	< 1 day	AAA37	Valfurva	NA	325	SD00354	Sciuridae	Sciurus vulgaris	1000196 - Coniferous forest	Pinus cembra; Picea Abies; Larix decidua	Adult	Female	46.43	10.45	recrACkHppgdXdQse	Rodentia	Mammalia	SD0035401	Mammals
Faecal	Housing	< 10 minutes	< 1 day	AGI48	NA	NA	NA	SD03688	Thraupidae	Geospizopsis unicolor	1000216 - Montane shrubland	Polylepis, woodland, paramo	Adult	Unknown	-2.96	-79.27	recObZmxBDlCLf6We	Passeriformes	Aves	SD0368801	Birds
Oral swab	Housing	< 1 minute	< 3 days	ACX65	NA	NA	11	SD01449	Gliridae	Muscardinus avellanarius	1001805 - Temperate forest	Mixed forest National Park	Sub-adult	Female	50.64	23.07	recS6xIyDhfgVgMQw	Rodentia	Mammalia	SD0144901	Mammals
Skin swab: dorsal	Animal	< 1 minute	< 1 day	AKD88	NA	60	5.3	SD03845	Salamandridae	Calotriton asper	1000253 - River or stream	NA	Adult	Male	43.16	-1.91	recIUTmSxiyqoU5lQ	Urodela	Amphibia	SD0384501	Amphibians
Anal/cloacal swab	Animal	< 1 minute	< 1 day	ADW15	ILO	61	575	SD00394	Sciuridae	Sciurus carolinensis	1000221 - Temperate woodland	parklike habitat	Adult	Female	45.02	7.67	recrACkHppgdXdQse	Rodentia	Mammalia	SD0039402	Mammals
Tissue	Animal	< 1 minute	< 3 days	ABD40	NA	122.9	80.35	SD01467	Lacertidae	Lacerta viridis	1000247 - Rangeland	shrubland at city edge	Adult	Male	43.86	18.45	recPWJe1moDn1iat5	Squamata	Reptilia	SD0146701	Reptiles
Faecal	Trap	< 6 hours	< 7 days	AGN22	NA	15	20	SD04602	Muridae	Mus musculus	1000245 - Cropland	(FAG) Agricultural land	Juvenile	Male	-41.21	146.24	recKtBknH3LqSreF0	Rodentia	Mammalia	SD0460201	Mammals
Tissue	Animal	< 1 minute	< 21 days	ABL08	NA	58	4.6	SD00548	Lacertidae	Podarcis muralis	1000221 - Temperate woodland	Shrubs and rocks near river	Pregnant	Female	42.6	0.76	recIUTmSxiyqoU5lQ	Squamata	Reptilia	SD0054801	Reptiles
Faecal	Trap	< 6 hours	< 7 days	AGN24	NA	42.3	3400	SD04587	Phalangeridae	Trichosurus vulpecula	1000221 - Temperate woodland	(WVI) Eucalyptus viminalis wet forest	Adult	Male	-41.21	146.24	recKtBknH3LqSreF0	Diprotodontia	Mammalia	SD0458701	Mammals
Faecal	Other	< 30 minutes	< 1 day	AGO08	NA	NA	1.71	SD04491	Salamandridae	Lissotriton helveticus	1000252 - Lake or pond	NA	Adult	Male	43.28	-2.01	recIUTmSxiyqoU5lQ	Urodela	Amphibia	SD0449101	Amphibians
Faecal	Animal	< 1 minute	< 1 day	ADZ81	NA	158.19	4.67	SD00984	Lacertidae	Podarcis muralis	1000194 - Montane grassland	near housing	Pregnant	Female	42.8	-0.55	recD0072mQhXdzBoy	Squamata	Reptilia	SD0098401	Reptiles
Tissue	Animal	< 1 minute	< 14 days	AHB86	NA	66	7.68	SD04300	Lacertidae	Podarcis gaigeae	1000215 - Temperate shrubland	inland	Adult	Male	38.9	24.52	rec8ZSYhXQpuQrkxi	Squamata	Reptilia	SD0430001	Reptiles
Faecal	Housing	< 10 minutes	< 1 day	AGI50	NA	NA	NA	SD03695	Tyrannidae	Ochthoeca fumicolor	1000216 - Montane shrubland	Polylepis, woodland, paramo	Adult	Unknown	-2.96	-79.27	recObZmxBDlCLf6We	Passeriformes	Aves	SD0369501	Birds
Colon contents	Animal	NA	NA	AIH70	1.4 mi W of Hasan	NA	NA	SD02964	Cathartidae	Coragyps atratus	NA	NA	Adult	Female	29.86	-82.46	recTM9xQvYOxMLTyY	Accipitriformes	Aves	SD0296401	Birds
Oral swab	Animal	< 1 minute	< 1 day	AGZ68	NA	NA	16.5	SD03197	Corvidae	Perisoreus infaustus	1000250 - Boreal forests or taiga	Forest	Juvenile	Unknown	65.68	19.2	recsoxFuQT1UqV2yf	Passeriformes	Aves	SD0319701	Birds
Anal/cloacal swab	Animal	< 1 minute	< 1 day	AAC70	Caldera interior	203	225	SD00285	Falconidae	Falco eleonorae	1000048 - Ocean	Island	Juvenile	Unknown	29.4	-13.53	recIUTmSxiyqoU5lQ	Falconiformes	Aves	SD0028501	Birds
Faecal	Ground	< 30 minutes	< 14 days	AGD10	NA	NA	NA	SD03130	Canidae	Canis familiaris	1001625 - Polar Tundra	military station	Juvenile	Male	74.18	-20.22	recLVY3Rb8dPMd92q	Carnivora	Mammalia	SD0313001	Mammals
Tissue	Animal	NA	NA	AEV98	NA	71	7.24	SD02302	Lacertidae	Podarcis filfolensis	1000218 - Xeric shrubland	NA	NA	Female	35.79	14.41	rec4pSrz639KdTCof	Squamata	Reptilia	SD0230201	Reptiles
Oral swab	Animal	< 1 minute	< 28 days	AFV28	NA	NA	10	SD02063	Cricetidae	Peromyscus maniculatus	1000215 - Temperate shrubland	NA	Juvenile	Male	48.63	-123.29	recqcwTGBWEwznXMJ	Rodentia	Mammalia	SD0206301	Mammals
Anal/cloacal swab	Animal	< 1 minute	< 1 day	ACZ52	NA	38.35	7.9	SD01185	Vespertilionidae	Plecotus auritus	1000197 - Broadleaf forest	villiage in the forest	Adult	Male	52.7	23.85	recS6xIyDhfgVgMQw	Chiroptera	Mammalia	SD0118501	Bats
Tissue	Animal	< 1 minute	< 1 day	ABI04	NA	70	8.57	SD01029	Lacertidae	Podarcis pityusensis	1000215 - Temperate shrubland	Shrubs and dunes in a coastal natural park	Unknown	Male	38.74	1.43	recIUTmSxiyqoU5lQ	Squamata	Reptilia	SD0102901	Reptiles
Tissue	Animal	< 1 minute	< 1 day	ABI12	NA	68	7.29	SD01033	Lacertidae	Podarcis pityusensis	1000215 - Temperate shrubland	Stone walls between agricultural fields	Unknown	Male	38.7	1.42	recIUTmSxiyqoU5lQ	Squamata	Reptilia	SD0103301	Reptiles
Oral swab	Animal	< 1 hour	< 1 day	ABO32	Dumfries & Galloway	60	714	SD01646	Sciuridae	Sciurus carolinensis	1000198 - Mixed forest	Hardwood forest	Adult	Male	55.01	-3.36	recWNrlBagsRxnwjj	Rodentia	Mammalia	SD0164601	Mammals
Anal/cloacal swab	Animal	< 1 minute	< 1 day	AFQ87	NA	21	5.5	SD02590	Scincidae	Chalcides striatus	1000199 - Mediterranean forest	NA	Adult	Unknown	40.86	-8.25	recAf61NgigHFbcBU	Squamata	Reptilia	SD0259001	Reptiles
Tissue	Animal	< 10 minutes	< 3 days	OPAU43	NA	NA	NA	SD00730	Vespertilionidae	Plecotus auritus	1000221 - Temperate woodland	Woodland	Adult	Female	51.04	-0.61	recWNrlBagsRxnwjj	Chiroptera	Mammalia	SD0073001	Bats
Faecal	Trap	< 3 hours	< 1 day	AEL49	Varese	61	355	SD01695	Sciuridae	Sciurus vulgaris	1000221 - Temperate woodland	mixed conifer-deciduous wood	Adult	Female	45.84	8.81	recrACkHppgdXdQse	Rodentia	Mammalia	SD0169502	Mammals
Anal/cloacal swab	Animal	< 1 minute	< 1 day	ABA98	AddaNord	65	600	SD00461	Sciuridae	Sciurus carolinensis	1000221 - Temperate woodland	riparian woodland	Adult	Male	45.56	9.53	recrACkHppgdXdQse	Rodentia	Mammalia	SD0046102	Mammals
Faecal	NA	NA	NA	AEX41	NA	65	5	SD02321	Lacertidae	Podarcis filfolensis	1000245 - Cropland	NA	NA	Female	35.86	14.56	rec4pSrz639KdTCof	Squamata	Reptilia	SD0232101	Reptiles
Anal/cloacal swab	Animal	< 1 minute	< 1 day	AAY04	Montpellier	80.5	25.6	SD00085	Emberizidae	Emberiza cirlus	1000248 - Dense settlement	Field experiments on CNRS campus, north of the city of Montpellier	Adult	Female	43.64	3.86	recD0072mQhXdzBoy	Passeriformes	Aves	SD0008501	Birds
Faecal	Trap	NA	< 1 day	AAP52	NA	NA	1.42	SD03422	Salamandridae	Lissotriton helveticus	1000252 - Lake or pond	NA	Adult	Male	43.33	-1.77	recIUTmSxiyqoU5lQ	Urodela	Amphibia	SD0342201	Amphibians
Tissue	Animal	< 1 minute	< 1 day	AKD58	NA	95	18.9	SD04434	Salamandridae	Salamandra salamandra gallaica	1000221 - Temperate woodland	Narrow stone alley with deciduous leaf litter along the edges.	Adult	Male	41.15	-8.63	recAf61NgigHFbcBU	Urodela	Amphibia	SD0443401	Amphibians
Faecal	Animal	< 1 minute	< 1 day	ACZ95	NA	NA	NA	SD01414	Vespertilionidae	Plecotus auritus	1000198 - Mixed forest	NA	Adult	Female	52	13	recVYUv3aeAtg7Vdd	Chiroptera	Mammalia	SD0141401	Bats
Anal/cloacal swab	Animal	< 1 minute	< 1 day	AAV73	Golasecca	55	270	SD00385	Sciuridae	Sciurus vulgaris	1000221 - Temperate woodland	oak-hornbeam-chestnut forest	Adult	Female	45.69	8.66	recrACkHppgdXdQse	Rodentia	Mammalia	SD0038503	Mammals
Faecal	Animal	< 10 minutes	< 1 day	AAE22	NA	43.6	8.7	SD02794	Vespertilionidae	Myotis bechsteinii	1000221 - Temperate woodland	2FN Schwegler Bat box scheme in temperate deciduous woodland	Adult	Female	51.31	-2.18	recWNrlBagsRxnwjj	Chiroptera	Mammalia	SD0279401	Bats
Tissue	Trap	< 1 minute	< 1 day	ACS23	NA	NA	3100	SD02867	Macropodidae	Petrogale xanthopus	1000218 - Xeric shrubland	Gorge	Juvenile	Female	-30.56	139.16	recKtBknH3LqSreF0	Diprotodontia	Mammalia	SD0286701	Mammals
Tissue	Animal	< 1 minute	< 21 days	ABL30	NA	48	2.5	SD00559	Lacertidae	Podarcis muralis	1000221 - Temperate woodland	Shrubs and rocks near river	Adult	Male	42.51	0.72	recIUTmSxiyqoU5lQ	Squamata	Reptilia	SD0055901	Reptiles
Colon mucosa	Animal	NA	NA	AIJ16	3.3 mi SE of Cruz Calle, Howell Cattle Company	NA	NA	SD02977	Cathartidae	Cathartes aura	NA	NA	Adult	Male	27.35	-98.24	recTM9xQvYOxMLTyY	Accipitriformes	Aves	SD0297701	Birds
Tissue	Animal	< 1 minute	< 1 day	AFM19	NA	47	1.95	SD04402	Lacertidae	Podarcis liolepis	1000221 - Temperate woodland	Stone walls and ground crevices around mediterranean forest and private houses	Adult	Female	39.13	-0.37	recIUTmSxiyqoU5lQ	Squamata	Reptilia	SD0440201	Reptiles
Faecal	Animal	< 6 hours	< 1 day	AHQ45	NA	NA	1430	SD02879	Phalangeridae	Trichosurus vulpecula	1000245 - Cropland	NA	Adult	Female	-42.32	146.91	recKtBknH3LqSreF0	Diprotodontia	Mammalia	SD0287901	Mammals
Faecal	Other	< 3 hours	< 1 day	AGO47	NA	NA	1.84	SD04505	Salamandridae	Lissotriton helveticus	1000252 - Lake or pond	NA	Adult	Male	43.28	-2.12	recIUTmSxiyqoU5lQ	Urodela	Amphibia	SD0450501	Amphibians
Anal/cloacal swab	Animal	< 1 minute	< 1 day	ACG98	AddaNord	58	320	SD01697	Sciuridae	Sciurus vulgaris	1000221 - Temperate woodland	riparian woodland	Adult	Male	45.63	9.5	recrACkHppgdXdQse	Rodentia	Mammalia	SD0169701	Mammals
Faecal	Animal	< 1 minute	< 3 days	ADI21	NA	149.35	3.52	SD00947	Lacertidae	Podarcis muralis	1000246 - Village	cemetery	Adult	Female	42.91	-0.57	recD0072mQhXdzBoy	Squamata	Reptilia	SD0094701	Reptiles
Faecal	Animal	< 1 minute	< 1 day	ADJ02	Tourmalet	120.76	3.53	SD00853	Lacertidae	Podarcis muralis	1000246 - Village	cemetery	Adult	Female	43.02	0.18	recD0072mQhXdzBoy	Squamata	Reptilia	SD0085301	Reptiles
Skin swab	Animal	< 1 minute	< 1 day	AKD69	NA	59	4.5	SD03846	Salamandridae	Calotriton asper	1000253 - River or stream	NA	Adult	Male	43.03	-1.18	recIUTmSxiyqoU5lQ	Urodela	Amphibia	SD0384601	Amphibians
Oral swab	Animal	< 1 minute	< 3 days	ABN49	Aberdeen	64	600	SD01661	Sciuridae	Sciurus carolinensis	1000221 - Temperate woodland	Riparian hardwood 	Adult	Male	57.17	-2.13	recWNrlBagsRxnwjj	Rodentia	Mammalia	SD0166102	Mammals
Blood	Animal	< 1 minute	< 1 day	AAZ24	Montpellier	18.8	24.7	SD00123	Emberizidae	Emberiza cirlus	1000248 - Dense settlement	Field experiments on CNRS campus, north of the city of Montpellier	Adult	Female	43.64	3.86	recD0072mQhXdzBoy	Passeriformes	Aves	SD0012301	Birds
Tissue	Animal	< 1 minute	< 21 days	ABL77	NA	62	5.63	SD00514	Lacertidae	Podarcis muralis	1000221 - Temperate woodland	Village	Adult	Male	42.48	0.71	recIUTmSxiyqoU5lQ	Squamata	Reptilia	SD0051401	Reptiles
Tissue	Animal	< 1 minute	< 1 day	AFM16	NA	52	2.68	SD04410	Lacertidae	Podarcis liolepis	1000221 - Temperate woodland	Stone walls and ground crevices around mediterranean forest and private houses	Adult	Male	39.13	-0.37	recIUTmSxiyqoU5lQ	Squamata	Reptilia	SD0441001	Reptiles
Faecal	Animal	< 1 minute	< 3 days	ADI55	NA	156.87	4.43	SD00963	Lacertidae	Podarcis muralis	1000194 - Montane grassland	near housing	Pregnant	Female	42.84	-0.55	recD0072mQhXdzBoy	Squamata	Reptilia	SD0096301	Reptiles
Anal/cloacal swab	Animal	< 1 minute	< 1 day	ABO66	Dumfries & Galloway	60	487	SD01656	Sciuridae	Sciurus carolinensis	1000198 - Mixed forest	Hardwood forest	Adult	Female	55.19	-3.85	recWNrlBagsRxnwjj	Rodentia	Mammalia	SD0165601	Mammals
Faecal	Housing	< 10 minutes	< 1 day	AGI39	NA	NA	NA	SD03676	Tyrannidae	Mecocerculus leucophrys	1000216 - Montane shrubland	Polylepis, woodland, paramo	Adult	Unknown	-2.89	-79.32	recObZmxBDlCLf6We	Passeriformes	Aves	SD0367601	Birds
Anal/cloacal swab	Animal	< 1 minute	< 1 day	AGZ22	NA	NA	72.5	SD03201	Corvidae	Perisoreus infaustus	1000250 - Boreal forests or taiga	Forest	Juvenile	Unknown	65.67	19.23	recsoxFuQT1UqV2yf	Passeriformes	Aves	SD0320102	Birds
Anal/cloacal swab	Animal	< 1 minute	< 1 day	AFP57	NA	19.5	7.2	SD02623	Lacertidae	Psammodromus manuelae	1000199 - Mediterranean forest	NA	Adult	Female	40.92	-7.1	recAf61NgigHFbcBU	Squamata	Reptilia	SD0262301	Reptiles
Tissue	Animal	< 1 minute	< 3 days	ADI26	NA	162.85	4.16	SD00948	Lacertidae	Podarcis muralis	1000246 - Village	cemetery	Adult	Female	42.91	-0.57	recD0072mQhXdzBoy	Squamata	Reptilia	SD0094801	Reptiles
Oral swab	Animal	< 1 minute	< 1 day	ADM04	Sentein	109.59	7.14	SD00775	Lacertidae	Podarcis muralis	1000246 - Village	small montane village	Adult	Male	42.84	0.94	recD0072mQhXdzBoy	Squamata	Reptilia	SD0077501	Reptiles
Tissue	Animal	< 1 minute	< 21 days	AHO57	NA	38.7	5.6	SD03335	Bombinatoridae	Bombina sp.	1000198 - Mixed forest	Tire track 	Adult	Female	47.94	19.94	recswsHtDSgulNghS	Anura	Amphibia	SD0333501	Amphibians
Oral swab	Animal	< 1 minute	< 28 days	AFV23	NA	89.5	25	SD02061	Cricetidae	Peromyscus maniculatus	1000215 - Temperate shrubland	NA	Adult	Male	48.63	-123.29	recqcwTGBWEwznXMJ	Rodentia	Mammalia	SD0206101	Mammals
Anal/cloacal swab	Animal	< 1 minute	< 21 days	ABS22	NA	64	360	SD01499	Sciuridae	Sciurus vulgaris	1000197 - Broadleaf forest	Broadleaf forest 	Adult	Female	42.87	143.19	recUFOFTQQCc0Urlo	Rodentia	Mammalia	SD0149901	Mammals
Stomach contents	Animal	NA	NA	AIG86	4.1 mi N of Brooker	NA	NA	SD02957	Cathartidae	Cathartes aura	NA	NA	Adult	Male	29.95	-82.32	recTM9xQvYOxMLTyY	Accipitriformes	Aves	SD0295701	Birds
Faecal	Animal	< 10 minutes	< 1 day	AAD59	NA	42.7	NA	SD02762	Vespertilionidae	Myotis bechsteinii	1000221 - Temperate woodland	2FN Schwegler Bat box scheme in temperate deciduous woodland	Adult	Female	50.86	-2.69	recWNrlBagsRxnwjj	Chiroptera	Mammalia	SD0276201	Bats
NA	Animal	< 1 minute	< 3 days	NSAP28	Donostia	NA	290	SD01158	Strigidae	Strix aluco	1000197 - Broadleaf forest	NA	Juvenile	Unknown	43.3	-2.03	recIUTmSxiyqoU5lQ	Strigiformes	Aves	SD0115801	Birds
Tissue	Animal	< 1 minute	> 28 days	AHI85	NA	41	4	SD03486	Bombinatoridae	Bombina sp.	1000245 - Cropland	Tire track; onto a field (agriculture)	Adult	Male	45.37	18.16	rec2O52lSpnrJFgtK	Anura	Amphibia	SD0348601	Amphibians
Oral swab	Animal	< 1 minute	< 1 day	AIV58	NA	NA	80	SD03508	Corvidae	Perisoreus infaustus	1000250 - Boreal forests or taiga	Forest	Adult	Unknown	65.66	19.16	recsoxFuQT1UqV2yf	Passeriformes	Aves	SD0350801	Birds
Faecal	Animal	< 1 minute	< 1 day	AGE23	NA	50	3.55	SD03802	Lacertidae	Podarcis muralis	1000198 - Mixed forest	NA	Adult	Male	43.21	-1.79	recIUTmSxiyqoU5lQ	Squamata	Reptilia	SD0380201	Reptiles
Faecal	Animal	< 1 minute	< 1 day	AFL54	NA	47	1.95	SD04402	Lacertidae	Podarcis liolepis	1000221 - Temperate woodland	Stone walls and ground crevices around mediterranean forest and private houses	Adult	Female	39.13	-0.37	recIUTmSxiyqoU5lQ	Squamata	Reptilia	SD0440201	Reptiles
Anal/cloacal swab	Animal	< 1 minute	< 1 day	ABA25	Pineta	NA	320	SD00311	Sciuridae	Sciurus vulgaris	1000221 - Temperate woodland	mixed conifer-deciduous wood	Adult	Male	45.76	8.9	recrACkHppgdXdQse	Rodentia	Mammalia	SD0031101	Mammals
Faecal	Trap	< 6 hours	< 1 day	ACR87	NA	NA	3900	SD02858	Macropodidae	Petrogale xanthopus	1000218 - Xeric shrubland	Rocky hills	Adult	Female	-32.03	140.24	recKtBknH3LqSreF0	Diprotodontia	Mammalia	SD0285801	Mammals
Anal/cloacal swab	Animal	< 1 minute	< 3 days	NSAP54	Donostia	NA	280	SD01165	Strigidae	Strix aluco	1000197 - Broadleaf forest	NA	Juvenile	Unknown	43.3	-2.03	recIUTmSxiyqoU5lQ	Strigiformes	Aves	SD0116501	Birds
Anal/cloacal swab	Animal	< 1 minute	< 1 day	AAC73	Norte	271	395	SD00280	Falconidae	Falco eleonorae	1000048 - Ocean	Island	Juvenile	Unknown	29.41	-13.51	recIUTmSxiyqoU5lQ	Falconiformes	Aves	SD0028001	Birds
Faecal	Animal	< 10 minutes	< 1 day	AAE67	NA	42.1	7.5	SD02780	Vespertilionidae	Myotis bechsteinii	1000221 - Temperate woodland	2FN Schwegler Bat box scheme in temperate deciduous woodland	Juvenile	Male	50.86	-2.69	recWNrlBagsRxnwjj	Chiroptera	Mammalia	SD0278001	Bats
Oral swab	Animal	< 1 minute	< 1 day	AGZ96	NA	NA	58.7	SD03191	Corvidae	Perisoreus infaustus	1000250 - Boreal forests or taiga	Forest	Juvenile	Unknown	65.66	19.2	recsoxFuQT1UqV2yf	Passeriformes	Aves	SD0319101	Birds
Tissue	Animal	< 1 minute	< 21 days	ABJ20	NA	51	2.5	SD00574	Lacertidae	Podarcis liolepis	1000221 - Temperate woodland	Village	Unknown	Male	42.4	0.74	recIUTmSxiyqoU5lQ	Squamata	Reptilia	SD0057401	Reptiles
Anal/cloacal swab	Animal	< 1 minute	< 1 day	AAQ02	NA	NA	1.72	SD03414	Salamandridae	Lissotriton helveticus	1000252 - Lake or pond	NA	Adult	Male	43.06	-2.4	recIUTmSxiyqoU5lQ	Urodela	Amphibia	SD0341401	Amphibians
Faecal	Housing	< 1 minute	< 14 days	AGJ44	NA	45.8	13.7	SD02217	Miniopteridae	Miniopterus schreibersii	1000199 - Mediterranean forest	Mine roost monitoring	Adult	Male	41.95	2.59	recIUTmSxiyqoU5lQ	Chiroptera	Mammalia	SD0221701	Bats
Anal/cloacal swab	Animal	< 1 minute	< 1 day	AAM86	NA	54	377	SD01574	Sciuridae	Sciurus carolinensis	1000221 - Temperate woodland	City Park	Juvenile	Female	41.25	-75.89	recTM9xQvYOxMLTyY	Rodentia	Mammalia	SD0157404	Mammals
Faecal	Animal	< 1 minute	< 21 days	ABL74	NA	61	4.49	SD00513	Lacertidae	Podarcis muralis	1000221 - Temperate woodland	Village	Adult	Female	42.48	0.71	recIUTmSxiyqoU5lQ	Squamata	Reptilia	SD0051301	Reptiles
