sample_type	sample_origin	sample_freshness	sample_freezing	sample_id	capture_place	specimen_length	specimen_weight	specimen_id	specimen_family	specimen_species	capture_biome	capture_environment	specimen_development	specimen_sex	capture_latitude	capture_longitude	capture_country	specimen_order	specimen_class	capture_id	tax_group
Tissue	Animal	< 1 minute	< 1 day	ABB08	Piobesi	62	610	SD00344	Sciuridae	Sciurus carolinensis	1000221 - Temperate woodland	oak-hornbeam forest	Adult	Female	44.94	7.59	recrACkHppgdXdQse	Rodentia	Mammalia	SD0034403	Mammals
Faecal	Trap	< 6 hours	< 7 days	AGN65	NA	NA	NA	SD04690	Phalangeridae	Trichosurus vulpecula	1000221 - Temperate woodland	(NAD) Acacia dealbata forest	Unknown	Unknown	-41.08	145.6	recKtBknH3LqSreF0	Diprotodontia	Mammalia	SD0469001	Mammals
Skin swab	Animal	< 1 minute	< 1 day	AIZ78	NA	100	30.6	SD04471	Salamandridae	Salamandra salamandra gallaica	1000221 - Temperate woodland	Small stream with steep bank running through deciduous grove.	Adult	Male	41.18	-8.66	recAf61NgigHFbcBU	Urodela	Amphibia	SD0447101	Amphibians
Faecal	Housing	< 10 minutes	< 7 days	AFH40	NA	40	12	SD04005	Phyllostomidae	Artibeus watsoni	1000197 - Broadleaf forest	In front of a stream	Adult	Female	15.2	-87.59	recQgqRtcmwo7Cea8	Chiroptera	Mammalia	SD0400501	Bats
Faecal	Ground	< 6 hours	< 7 days	AHF14	NA	NA	NA	SD04701	Vombatidae	Vombatus ursinus	1000193 - Temperate grassland	In open grassland	Unknown	Unknown	-42.35	148.03	recKtBknH3LqSreF0	Diprotodontia	Mammalia	SD0470101	Mammals
Faecal	Animal	< 30 minutes	< 14 days	AAH13	Cova Rocafesa	45.2	9	SD00052	Rhinolophidae	Rhinolophus euryale	1000221 - Temperate woodland	Cave	Adult	Female	42.04	2.66	recIUTmSxiyqoU5lQ	Chiroptera	Mammalia	SD0005201	Bats
Faecal	Trap	< 6 hours	< 1 day	AED12	NA	NA	NA	SD02828	Phalangeridae	Trichosurus vulpecula	1000218 - Xeric shrubland	rocky	Adult	Unknown	-30.65	139.04	recKtBknH3LqSreF0	Diprotodontia	Mammalia	SD0282801	Mammals
Oral swab	Animal	< 1 minute	< 3 days	ABQ21	NA	74.9	331	SD01845	Sciuridae	Sciurus vulgaris	1000198 - Mixed forest	Mixed forest	Nursing	Female	54.14	-9.14	recRFp4BbEGSFTNHf	Rodentia	Mammalia	SD0184501	Mammals
Faecal	Housing	< 10 minutes	< 1 day	AGJ05	NA	NA	NA	SD03669	Tyrannidae	Ochthoeca fumicolor	1000216 - Montane shrubland	Polylepis, woodland, paramo	Adult	Unknown	-2.89	-79.32	recObZmxBDlCLf6We	Passeriformes	Aves	SD0366901	Birds
Faecal	Housing	< 10 minutes	< 1 day	AGI29	NA	NA	NA	SD03728	Furnariidae	Asthenes griseomurina	1000216 - Montane shrubland	Polylepis, woodland, paramo	Adult	Unknown	-2.96	-79.27	recObZmxBDlCLf6We	Passeriformes	Aves	SD0372801	Birds
Blood	Animal	< 1 minute	< 7 days	AFF22	NA	18.2	NA	SD03937	Tyrannidae	Rhynchocyclus brevirostris	1000197 - Broadleaf forest	In front of a forest patch	Juvenile	Unknown	14.61	-88.11	recQgqRtcmwo7Cea8	Passeriformes	Aves	SD0393701	Birds
Faecal	Animal	< 1 minute	< 1 day	AHV09	NA	121	2.1	SD03561	Lacertidae	Podarcis sp.	1000199 - Mediterranean forest	NA	Adult	Unknown	40.88	-8.27	recAf61NgigHFbcBU	Squamata	Reptilia	SD0356101	Reptiles
Faecal	Animal	< 1 minute	< 1 day	AFT09	NA	62.6	28	SD03877	Vespertilionidae	Myotis myotis	1000245 - Cropland	At the cave entrance	Adult	Female	43.59	25.96	recIKcYqw1CyfqxgE	Chiroptera	Mammalia	SD0387701	Bats
Faecal	Trap	< 3 hours	< 1 day	ABA89	AddaNord	65	600	SD00461	Sciuridae	Sciurus carolinensis	1000221 - Temperate woodland	riparian woodland	Adult	Male	45.56	9.53	recrACkHppgdXdQse	Rodentia	Mammalia	SD0046102	Mammals
