"","extraction_id","extraction_batch","extraction_concentration","extraction_volume","extraction_total","sample_id"
"617","ABO54E1","EXB0015",53,45,2385,"ABO54"
"618","ABP55E1","EXB0015",10.3,45,464,"ABP55"
"619","AAN19E1","EXB0015",28.7,45,1292,"AAN19"
"620","AAN22E1","EXB0015",33.1,45,1490,"AAN22"
"621","AAN40E1","EXB0015",7.16,45,322,"AAN40"
"622","AAN43E1","EXB0015",14.2,45,639,"AAN43"
"623","AAN49E1","EXB0015",17.4,45,783,"AAN49"
"624","AAN52E1","EXB0015",33,45,1485,"AAN52"
"625","AAN57E1","EXB0015",35.4,45,1593,"AAN57"
"626","AAN59E1","EXB0015",17.7,45,797,"AAN59"
"627","AAN61E1","EXB0015",24,45,1080,"AAN61"
"628","AAN63E1","EXB0015",17,45,765,"AAN63"
"629","AEJ95E1","EXB0015",0.63,45,28,"AEJ95"
"630","AEK05E1","EXB0015",1.3,45,59,"AEK05"
"631","AEK07E1","EXB0015",19.4,45,873,"AEK07"
"632","AAT07E1","EXB0015",8.13,45,366,"AAT07"
"633","AAT09E1","EXB0015",0.59,45,26,"AAT09"
"634","ABT51E1","EXB0015",10.4,45,468,"ABT51"
"635","ABT53E1","EXB0015",4.32,45,194,"ABT53"
"636","ABT55E1","EXB0015",7.89,45,355,"ABT55"
"637","ABU28E1","EXB0015",13.2,45,594,"ABU28"
"638","ABU30E1","EXB0015",2.57,45,116,"ABU30"
"639","ABU44E1","EXB0015",4.24,45,191,"ABU44"
"640","ABU55E1","EXB0015",12.4,45,558,"ABU55"
"641","ABU57E1","EXB0015",11.6,45,522,"ABU57"
"642","ABU59E1","EXB0015",7.33,45,330,"ABU59"
"643","ABT71E1","EXB0015",14.5,45,653,"ABT71"
"644","ABT69E1","EXB0015",2.21,45,99,"ABT69"
"645","ABT68E1","EXB0015",7.65,45,344,"ABT68"
"646","C1_EXB0015E1","EXB0015",0.33,45,15,"C1_EXB0015"
"647","BATA19E1","EXB0012",6.64,45,299,"BATA19"
"648","BATA05E1","EXB0012",13,45,585,"BATA05"
"649","BATC12E1","EXB0012",8.02,45,361,"BATC12"
"650","BATC07E1","EXB0012",15.2,45,684,"BATC07"
"651","BATC02E1","EXB0012",19.3,45,869,"BATC02"
"652","BATA06E1","EXB0012",16.4,45,738,"BATA06"
"653","BATC14E1","EXB0012",9.6,45,432,"BATC14"
"654","BATA07E1","EXB0012",14.8,45,666,"BATA07"
"655","BATA08E1","EXB0012",11.1,45,500,"BATA08"
"656","BATC17E1","EXB0012",8.22,45,370,"BATC17"
"657","BATA13E1","EXB0012",7.56,45,340,"BATA13"
"658","BATB12E1","EXB0012",2.28,45,103,"BATB12"
"659","BATC04E1","EXB0012",14.5,45,653,"BATC04"
"660","BATC18E1","EXB0012",10.9,45,491,"BATC18"
"661","BATA18E1","EXB0012",7.79,45,351,"BATA18"
"662","BATB17E1","EXB0012",1.85,45,83,"BATB17"
"663","BATB16E1","EXB0012",1.8,45,81,"BATB16"
"664","BATB05E1","EXB0012",1.4,45,63,"BATB05"
"665","BATB13E1","EXB0012",1.85,45,83,"BATB13"
"666","BATA20E1","EXB0012",8.2,45,369,"BATA20"
"667","BATC20E1","EXB0012",7.54,45,339,"BATC20"
"668","BATC11E1","EXB0012",9.79,45,441,"BATC11"
"669","BATA17E1","EXB0012",8.71,45,392,"BATA17"
"670","BATA16E1","EXB0012",9.17,45,413,"BATA16"
"671","BATA15E1","EXB0012",6.83,45,307,"BATA15"
"672","BATB11E1","EXB0012",1.82,45,82,"BATB11"
"673","BATB07E1","EXB0012",0.68,45,31,"BATB07"
"674","C1_EXB0012E1","EXB0012",0,45,0,"C1_EXB0012"
"675","BATB15E1","EXB0012",1.63,45,73,"BATB15"
"676","BATB14E1","EXB0012",1.62,45,73,"BATB14"
"677","BATC05E1","EXB0012",14.4,45,648,"BATC05"
"678","BATC16E1","EXB0012",9.91,45,446,"BATC16"
"679","BATC08E1","EXB0012",14.1,45,635,"BATC08"
"680","BATA01E1","EXB0012",15.5,45,698,"BATA01"
"681","BATB04E1","EXB0012",0.64,45,29,"BATB04"
"682","BATA09E1","EXB0012",11,45,495,"BATA09"
"683","BATA10E1","EXB0012",12.5,45,563,"BATA10"
"684","BATB03E1","EXB0012",0.73,45,33,"BATB03"
"685","BATA14E1","EXB0012",9.55,45,430,"BATA14"
"686","BATC15E1","EXB0012",8.13,45,366,"BATC15"
"687","BATB10E1","EXB0012",0.92,45,41,"BATB10"
"688","BATC13E1","EXB0012",15.8,45,711,"BATC13"
"689","BATA04E1","EXB0012",14.3,45,644,"BATA04"
"690","BATA03E1","EXB0012",12.5,45,563,"BATA03"
"691","BATB01E1","EXB0012",1.59,45,72,"BATB01"
"692","BATB08E1","EXB0012",0.74,45,33,"BATB08"
"693","BATA11E1","EXB0012",10.8,45,486,"BATA11"
"694","BATC06E1","EXB0012",26.3,45,1184,"BATC06"
"695","BATB09E1","EXB0012",0.63,45,28,"BATB09"
"696","BATC10E1","EXB0012",15.3,45,689,"BATC10"
"697","BATC01E1","EXB0012",14.9,45,671,"BATC01"
"698","BATB20E1","EXB0012",8.27,45,372,"BATB20"
"699","BATC19E1","EXB0012",8.54,45,384,"BATC19"
"700","BATC03E1","EXB0012",15.5,45,698,"BATC03"
"701","BATA12E1","EXB0012",6.24,45,281,"BATA12"
"702","BATB18E1","EXB0012",1.58,45,71,"BATB18"
"703","BATA02E1","EXB0012",12.3,45,554,"BATA02"
"704","BATC09E1","EXB0012",12.6,45,567,"BATC09"
"705","BATB19E1","EXB0012",1.4,45,63,"BATB19"
"706","BATB06E1","EXB0012",1.33,45,60,"BATB06"
"707","BATB02E1","EXB0012",1.03,45,46,"BATB02"
"708","ABS02E1","EXB0014",8.32,45,374,"ABS02"
"709","ABS12E1","EXB0014",0.99,45,45,"ABS12"
"710","ABS20E1","EXB0014",1.47,45,66,"ABS20"
"711","ABS26E1","EXB0014",3.41,45,153,"ABS26"
"712","ABS28E1","EXB0014",3.49,45,157,"ABS28"
"713","ABS32E1","EXB0014",1.55,45,70,"ABS32"
"714","ABS40E1","EXB0014",0.59,45,26,"ABS40"
"715","ABS42E1","EXB0014",1.74,45,78,"ABS42"
"716","ABS92E1","EXB0014",0.92,45,41,"ABS92"
"717","ABS94E1","EXB0014",1.31,45,59,"ABS94"
"718","ABS96E1","EXB0014",2.4,45,108,"ABS96"
"719","ACO90E1","EXB0014",2.51,45,113,"ACO90"
"720","ACO91E1","EXB0014",0.81,45,36,"ACO91"
"721","ACP12E1","EXB0014",0.34,45,15,"ACP12"
"722","ACP13E1","EXB0014",0.56,45,25,"ACP13"
"723","ACX32E1","EXB0014",3.75,45,169,"ACX32"
"724","ACX40E1","EXB0014",0.21,45,9,"ACX40"
"725","ACX42E1","EXB0014",0.46,45,21,"ACX42"
"726","ADA63E1","EXB0014",2.42,45,109,"ADA63"
"727","ADA65E1","EXB0014",0.25,45,11,"ADA65"
"728","ADA67E1","EXB0014",0.93,45,42,"ADA67"
"729","ADA68E1","EXB0014",1.01,45,45,"ADA68"
"730","ADA70E1","EXB0014",1.48,45,67,"ADA70"
"731","ADA72E1","EXB0014",1.05,45,47,"ADA72"
"732","ADV25E1","EXB0014",1.85,45,83,"ADV25"
"733","ADV55E1","EXB0014",0.09,45,4,"ADV55"
"734","ADV57E1","EXB0014",0,45,0,"ADV57"
"735","C1_EXB0014E1","EXB0014",0,45,0,"C1_EXB0014"
"736","ABC64E1","EXB0019",8.82,45,397,"ABC64"
"737","ABC73E1","EXB0019",2.56,45,115,"ABC73"
"738","ABC84E1","EXB0019",1.03,45,46,"ABC84"
"739","ABD12E1","EXB0019",6.63,45,298,"ABD12"
"740","ACH69E1","EXB0019",1.13,45,51,"ACH69"
"741","ACP06E1","EXB0019",0.44,45,20,"ACP06"
"742","ACP15E1","EXB0019",0,45,0,"ACP15"
"743","ACP16E1","EXB0019",0.46,45,21,"ACP16"
"744","ACP19E1","EXB0019",1.24,45,56,"ACP19"
"745","ACP22E1","EXB0019",1.03,45,46,"ACP22"
"746","ACP23E1","EXB0019",3.02,45,136,"ACP23"
"747","ADU83E1","EXB0019",0,45,0,"ADU83"
"748","ADU88E1","EXB0019",0,45,0,"ADU88"
"749","ADU91E1","EXB0019",0,45,0,"ADU91"
"750","ADU93E1","EXB0019",0,45,0,"ADU93"
"751","ADU95E1","EXB0019",0,45,0,"ADU95"
"752","ADV02E1","EXB0019",0.06,45,3,"ADV02"
"753","ADV08E1","EXB0019",0,45,0,"ADV08"
"754","ADV11E1","EXB0019",0.06,45,2,"ADV11"
"755","ADV19E1","EXB0019",0,45,0,"ADV19"
"756","ADV53E1","EXB0019",0,45,0,"ADV53"
"757","C1_EXB0019E1","EXB0019",0,45,0,"C1_EXB0019"
"758","AFN06E1","EXB0020",0.76,45,34,"AFN06"
"759","AFN08E1","EXB0020",0.34,45,15,"AFN08"
"760","AFN10E1","EXB0020",0.28,45,13,"AFN10"
"761","AFN12E1","EXB0020",1.53,45,69,"AFN12"
"762","AFN31E1","EXB0020",0.12,45,6,"AFN31"
"763","AFN23E1","EXB0020",0.13,45,6,"AFN23"
"764","AFN28E1","EXB0020",0.26,45,12,"AFN28"
"765","AFN29E1","EXB0020",0.12,45,6,"AFN29"
"766","ACJ37E1","EXB0020",0.11,45,5,"ACJ37"
"767","ACJ39E1","EXB0020",1.34,45,60,"ACJ39"
"768","ACE28E1","EXB0020",0.68,45,31,"ACE28"
"769","ACD03E1","EXB0020",0,45,0,"ACD03"
"770","ACD90E1","EXB0020",0.1,45,5,"ACD90"
"771","ACE34E1","EXB0020",0,45,0,"ACE34"
"772","ACD79E1","EXB0020",0.06,45,3,"ACD79"
"773","C1_EXB0020E1","EXB0020",0.46,45,21,"C1_EXB0020"
"774","ACC01E1","EXB0024",1.43,45,64,"ACC01"
"775","ACC02E1","EXB0024",1.4,45,63,"ACC02"
"776","ACC03E1","EXB0024",1.07,45,48,"ACC03"
"777","ACC18E1","EXB0024",0.74,45,33,"ACC18"
"778","ACC19E1","EXB0024",0.42,45,19,"ACC19"
"779","ACC29E1","EXB0024",0.89,45,40,"ACC29"
"780","ACJ38E1","EXB0024",0.33,45,15,"ACJ38"
"781","C1_EXB0024E1","EXB0024",0,45,0,"C1_EXB0024"
"782","ACC04E1","EXB0025",1.39,45,63,"ACC04"
"783","ACC05E1","EXB0025",1.49,45,67,"ACC05"
"784","ACC15E1","EXB0025",0,45,0,"ACC15"
"785","ACC16E1","EXB0025",1.04,45,47,"ACC16"
"786","ACC17E1","EXB0025",0.31,45,14,"ACC17"
"787","ACJ40E1","EXB0025",0.95,45,43,"ACJ40"
"788","ACJ42E1","EXB0025",0.76,45,34,"ACJ42"
"789","ACJ48E1","EXB0025",0.89,45,40,"ACJ48"
"790","ACJ62E1","EXB0025",0.63,45,28,"ACJ62"
"791","ACZ94E1","EXB0025",1.24,45,56,"ACZ94"
"792","ACZ96E1","EXB0025",0,45,0,"ACZ96"
"793","ACZ98E1","EXB0025",0.51,45,23,"ACZ98"
"794","ADA01E1","EXB0025",0.46,45,21,"ADA01"
"795","ADA11E1","EXB0025",0.69,45,31,"ADA11"
"796","ADA13E1","EXB0025",0.56,45,25,"ADA13"
"797","ADA15E1","EXB0025",0.41,45,18,"ADA15"
"798","ADA17E1","EXB0025",0.71,45,32,"ADA17"
"799","ADA19E1","EXB0025",0.33,45,15,"ADA19"
"800","OPAU25E1","EXB0025",1.45,45,65,"OPAU25"
"801","OPAU11E1","EXB0025",0.9,45,40,"OPAU11"
"802","OPAU13E1","EXB0025",0.53,45,24,"OPAU13"
"803","OPAU15E1","EXB0025",0.65,45,29,"OPAU15"
"804","C1_EXB0025E1","EXB0025",0.09,45,4,"C1_EXB0025"
"805","ADI75E1","EXB0028",14.2,45,639,"ADI75"
"806","ADI81E1","EXB0028",3.33,45,150,"ADI81"
"807","ADI93E1","EXB0028",0.6,45,27,"ADI93"
"808","ADI97E1","EXB0028",3.01,45,135,"ADI97"
"809","ADJ06E1","EXB0028",8.72,45,392,"ADJ06"
"810","ADJ26E1","EXB0028",9.05,45,407,"ADJ26"
"811","ADJ27E1","EXB0028",0.2,45,9,"ADJ27"
"812","ADJ34E1","EXB0028",0.66,45,29,"ADJ34"
"813","ADJ44E1","EXB0028",17.7,45,797,"ADJ44"
"814","ADJ93E1","EXB0028",16.2,45,729,"ADJ93"
"815","ADJ97E1","EXB0028",0.49,45,22,"ADJ97"
"816","ADK02E1","EXB0028",16.4,45,738,"ADK02"
"817","ADK06E1","EXB0028",16.3,45,734,"ADK06"
"818","ADK11E1","EXB0028",15.6,45,702,"ADK11"
"819","ADK20E1","EXB0028",0.24,45,11,"ADK20"
"820","ADK22E1","EXB0028",24.6,45,1107,"ADK22"
"821","ADK28E1","EXB0028",9,45,405,"ADK28"
"822","ADK30E1","EXB0028",22.9,45,1031,"ADK30"
"823","ADK32E1","EXB0028",0.09,45,4,"ADK32"
"824","ADK34E1","EXB0028",1.97,45,89,"ADK34"
"825","ADL20E1","EXB0028",4.64,45,209,"ADL20"
"826","ADL22E1","EXB0028",0.35,45,16,"ADL22"
"827","ADL26E1","EXB0028",5.53,45,249,"ADL26"
"828","ADL30E1","EXB0028",2.12,45,95,"ADL30"
"829","ADL33E1","EXB0028",3.86,45,174,"ADL33"
"830","ADL34E1","EXB0028",0.45,45,20,"ADL34"
"831","ADL59E1","EXB0028",3.21,45,144,"ADL59"
"832","ADL62E1","EXB0028",4.35,45,196,"ADL62"
"833","ADL63E1","EXB0028",27.3,45,1229,"ADL63"
"834","ADL70E1","EXB0028",25.8,45,1161,"ADL70"
"835","ADL72E1","EXB0028",21.6,45,972,"ADL72"
"836","ADL74E1","EXB0028",9.04,45,407,"ADL74"
"837","ADL76E1","EXB0028",1.48,45,67,"ADL76"
"838","ADL90E1","EXB0028",10.9,45,491,"ADL90"
"839","ADL93E1","EXB0028",0.26,45,12,"ADL93"
"840","ADL98E1","EXB0028",33.9,45,1526,"ADL98"
"841","ADM03E1","EXB0028",0.25,45,11,"ADM03"
"842","ADM14E1","EXB0028",8.58,45,386,"ADM14"
"843","ADM16E1","EXB0028",20.2,45,909,"ADM16"
"844","ADM19E1","EXB0028",4.59,45,207,"ADM19"
"845","ADM21E1","EXB0028",0,45,0,"ADM21"
"846","ADM28E1","EXB0028",0.11,45,5,"ADM28"
"847","ADM31E1","EXB0028",6,45,270,"ADM31"
"848","ADM42E1","EXB0028",6.38,45,287,"ADM42"
"849","ADM43E1","EXB0028",13.8,45,621,"ADM43"
"850","ADM56E1","EXB0028",16.3,45,734,"ADM56"
"851","ADM61E1","EXB0028",26.1,45,1175,"ADM61"
"852","ADM66E1","EXB0028",19.7,45,887,"ADM66"
"853","ADM74E1","EXB0028",18.3,45,824,"ADM74"
"854","ADM79E1","EXB0028",7.68,45,346,"ADM79"
"855","C1_EXB0026E1","EXB0028",0,45,0,"C1_EXB0026"
"856","OPAU17E1","EXB0027",0.55,45,25,"OPAU17"
"857","OPAU19E1","EXB0027",0.64,45,29,"OPAU19"
"858","OPAU23E1","EXB0027",0.29,45,13,"OPAU23"
"859","OPAU1E1","EXB0027",0.02,45,1,"OPAU1"
"860","OPAU27E1","EXB0027",0.51,45,23,"OPAU27"
"861","OPAU29E1","EXB0027",0.2,45,9,"OPAU29"
"862","OPAU3E1","EXB0027",0.91,45,41,"OPAU3"
"863","OPAU31E1","EXB0027",0.57,45,26,"OPAU31"
"864","OPAU33E1","EXB0027",0.66,45,30,"OPAU33"
"865","OPAU35E1","EXB0027",0.12,45,5,"OPAU35"
"866","OPAU37E1","EXB0027",0.11,45,5,"OPAU37"
"867","OPAU39E1","EXB0027",1.15,45,52,"OPAU39"
"868","OPAU41E1","EXB0027",0.16,45,7,"OPAU41"
"869","OPAU43E1","EXB0027",0.07,45,3,"OPAU43"
"870","OPAU45E1","EXB0027",0.12,45,5,"OPAU45"
"871","OPAU47E1","EXB0027",0.18,45,8,"OPAU47"
"872","OPAU49E1","EXB0027",0.31,45,14,"OPAU49"
"873","OPAU5E1","EXB0027",1.79,45,81,"OPAU5"
"874","OPAU51E1","EXB0027",0.34,45,15,"OPAU51"
"875","OPAU53E1","EXB0027",0.32,45,14,"OPAU53"
"876","OPAU55E1","EXB0027",0.07,45,3,"OPAU55"
"877","OPAU57E1","EXB0027",0.17,45,7,"OPAU57"
"878","OPAU59E1","EXB0027",0.1,45,5,"OPAU59"
"879","OPAU61E1","EXB0027",0.21,45,9,"OPAU61"
"880","OPAU63E1","EXB0027",0.21,45,9,"OPAU63"
"881","OPAU65E1","EXB0027",0.14,45,6,"OPAU65"
"882","OPAU67E1","EXB0027",0.06,45,3,"OPAU67"
"883","OPAU69E1","EXB0027",0.08,45,4,"OPAU69"
"884","OPAU7E1","EXB0027",1.29,45,58,"OPAU7"
"885","OPAU71E1","EXB0027",0.06,45,3,"OPAU71"
"886","OPAU9E1","EXB0027",1.3,45,59,"OPAU9"
"887","C1_EXB0027E1","EXB0027",0.06,45,3,"C1_EXB0027"
"888","ADM18E1","EXB0028",14.3,45,644,"ADM18"
"889","ADA11E2","EXB0032",1.31,45,59,"ADA11"
"890","ACJ38E2","EXB0032",0.3,45,14,"ACJ38"
"891","ACC17E2","EXB0032",0.44,45,20,"ACC17"
"892","ADA01E2","EXB0032",0.83,45,37,"ADA01"
"893","ADA15E2","EXB0032",2.19,45,99,"ADA15"
"894","ACC16E2","EXB0032",1,45,45,"ACC16"
"895","ACJ62E2","EXB0032",1.27,45,57,"ACJ62"
"896","ADA13E2","EXB0032",4.75,45,214,"ADA13"
"897","C3_EXB0032E1","EXB0032",0,45,0,"C3_EXB0032"
"898","C4_EXB0032E1","EXB0032",0,45,0,"C4_EXB0032"
"899","C1_EXB0032E1","EXB0032",0,45,0,"C1_EXB0032"
"900","C2_EXB0032E1","EXB0032",0,45,0,"C2_EXB0032"
"901","AA58E1","EXB0029",2.23,45,100,"AA58"
"902","AA74E1","EXB0029",1.93,45,87,"AA74"
"903","AA92E1","EXB0029",14.5,45,653,"AA92"
"904","AB02E1","EXB0029",1.24,45,56,"AB02"
"905","AB05E1","EXB0029",0.39,45,17,"AB05"
"906","AB06E1","EXB0029",12.9,45,581,"AB06"
"907","AB09E1","EXB0029",15.5,45,698,"AB09"
"908","AB13E1","EXB0029",1.37,45,62,"AB13"
"909","ABZ26E1","EXB0029",6.73,45,303,"ABZ26"
"910","ABZ29E1","EXB0029",3.18,45,143,"ABZ29"
"911","ABZ32E1","EXB0029",4.89,45,220,"ABZ32"
"912","ABZ36E1","EXB0029",7.63,45,343,"ABZ36"
"913","ABZ39E1","EXB0029",15.1,45,680,"ABZ39"
"914","ABZ43E1","EXB0029",6.24,45,281,"ABZ43"
"915","ABZ50E1","EXB0029",0.71,45,32,"ABZ50"
"916","ADD83E1","EXB0029",2.32,45,104,"ADD83"
"917","ADD87E1","EXB0029",15.9,45,716,"ADD87"
"918","ADD90E1","EXB0029",0.95,45,43,"ADD90"
"919","ADD91E1","EXB0029",2.03,45,91,"ADD91"
"920","ADD97E1","EXB0029",5.45,45,245,"ADD97"
"921","ADE05E1","EXB0029",0.25,45,11,"ADE05"
"922","ADE11E1","EXB0029",0.95,45,43,"ADE11"
"923","ADE15E1","EXB0029",2.43,45,109,"ADE15"
"924","AFV24E1","EXB0029",3.82,45,172,"AFV24"
"925","AFV34E1","EXB0029",46,45,2070,"AFV34"
"926","AFV44E1","EXB0029",4.8,45,216,"AFV44"
"927","AFV60E1","EXB0029",0.39,45,18,"AFV60"
"928","AFV64E1","EXB0029",0,45,0,"AFV64"
"929","AFV67E1","EXB0029",15,45,675,"AFV67"
"930","AFV78E1","EXB0029",7.87,45,354,"AFV78"
"931","AFV82E1","EXB0029",1.82,45,82,"AFV82"
"932","AFV96E1","EXB0029",9.09,45,409,"AFV96"
"933","AFW01E1","EXB0029",1.59,45,72,"AFW01"
"934","AFW06E1","EXB0029",23.6,45,1062,"AFW06"
"935","AFW08E1","EXB0029",25.9,45,1166,"AFW08"
"936","AFW10E1","EXB0029",2.97,45,134,"AFW10"
"937","AFW12E1","EXB0029",1.32,45,59,"AFW12"
"938","AFW84E1","EXB0029",7.04,45,317,"AFW84"
"939","C1_EXB0029E1","EXB0029",0.07,45,3,"C1_EXB0029"
"940","ACC01E2","EXB0033",8.77,45,395,"ACC01"
"941","ACC02E2","EXB0033",5.88,45,265,"ACC02"
"942","ACC03E2","EXB0033",7.09,45,319,"ACC03"
"943","ACC04E2","EXB0033",2.71,45,122,"ACC04"
"944","OPAU23E2","EXB0033",6.17,45,278,"OPAU23"
"945","ACC18E2","EXB0033",2.89,45,130,"ACC18"
"946","ACC19E2","EXB0033",0.92,45,41,"ACC19"
"947","ACC29E2","EXB0033",4.6,45,207,"ACC29"
"948","ACZ94E2","EXB0033",2.47,45,111,"ACZ94"
"949","OPAU27E2","EXB0033",6.34,45,285,"OPAU27"
"950","ACZ98E2","EXB0033",1.55,45,70,"ACZ98"
"951","ADA17E2","EXB0033",2.21,45,99,"ADA17"
"952","ADA19E2","EXB0033",1.21,45,54,"ADA19"
"953","OPAU1E2","EXB0033",5.35,45,241,"OPAU1"
"954","OPAU3E2","EXB0033",4.42,45,199,"OPAU3"
"955","OPAU5E2","EXB0033",1.57,45,71,"OPAU5"
"956","OPAU7E2","EXB0033",1.74,45,78,"OPAU7"
"957","OPAU9E2","EXB0033",4.14,45,186,"OPAU9"
"958","OPAU17E2","EXB0033",7.03,45,316,"OPAU17"
"959","OPAU19E2","EXB0033",5.99,45,270,"OPAU19"
"960","OPAU11E2","EXB0033",3,45,135,"OPAU11"
"961","OPAU13E2","EXB0033",3.62,45,163,"OPAU13"
"962","OPAU15E2","EXB0033",3.6,45,162,"OPAU15"
"963","OPAU25E2","EXB0033",1.47,45,66,"OPAU25"
"964","C1_EXB0033E1","EXB0033",0,45,0,"C1_EXB0033"
"965","OPAU29E2","EXB0035",9.8,45,441,"OPAU29"
"966","OPAU31E2","EXB0035",10.3,45,464,"OPAU31"
"967","OPAU33E2","EXB0035",7.75,45,349,"OPAU33"
"968","OPAU35E2","EXB0035",7.67,45,345,"OPAU35"
"969","OPAU37E2","EXB0035",8.12,45,365,"OPAU37"
"970","OPAU39E2","EXB0035",0,45,0,"OPAU39"
"971","OPAU41E2","EXB0035",10,45,450,"OPAU41"
"972","OPAU43E2","EXB0035",15.8,45,711,"OPAU43"
"973","OPAU45E2","EXB0035",12.8,45,576,"OPAU45"
"974","OPAU47E2","EXB0035",1.54,45,69,"OPAU47"
"975","OPAU49E2","EXB0035",1.58,45,71,"OPAU49"
"976","OPAU51E2","EXB0035",8.78,45,395,"OPAU51"
"977","OPAU53E2","EXB0035",9.94,45,447,"OPAU53"
"978","OPAU55E2","EXB0035",4.81,45,216,"OPAU55"
"979","OPAU57E2","EXB0035",5.47,45,246,"OPAU57"
"980","OPAU59E2","EXB0035",4.47,45,201,"OPAU59"
"981","OPAU61E2","EXB0035",6.08,45,274,"OPAU61"
"982","OPAU63E2","EXB0035",6.27,45,282,"OPAU63"
"983","OPAU65E2","EXB0035",5.82,45,262,"OPAU65"
"984","OPAU67E2","EXB0035",14.8,45,666,"OPAU67"
"985","OPAU69E2","EXB0035",7.01,45,315,"OPAU69"
"986","OPAU71E2","EXB0035",5.37,45,242,"OPAU71"
"987","C1_EXB0035E1","EXB0035",0,45,0,"C1_EXB0035"
"988","OPAU18E1","EXB0030",0.34,45,15,"OPAU18"
"989","OPAU20E1","EXB0030",0.39,45,18,"OPAU20"
"990","OPAU24E1","EXB0030",0.7,45,31,"OPAU24"
"991","OPAU26E1","EXB0030",0.54,45,24,"OPAU26"
"992","OPAU28E1","EXB0030",1.78,45,80,"OPAU28"
"993","OPAU30E1","EXB0030",1.66,45,75,"OPAU30"
"994","OPAU32E1","EXB0030",0.36,45,16,"OPAU32"
"995","OPAU34E1","EXB0030",0.24,45,11,"OPAU34"
"996","OPAU36E1","EXB0030",0.15,45,7,"OPAU36"
"997","OPAU38E1","EXB0030",0.21,45,9,"OPAU38"
"998","OPAU40E1","EXB0030",0.27,45,12,"OPAU40"
"999","OPAU42E1","EXB0030",1.05,45,47,"OPAU42"
"1000","OPAU44E1","EXB0030",2.42,45,109,"OPAU44"
"1001","OPAU46E1","EXB0030",0.29,45,13,"OPAU46"
"1002","OPAU48E1","EXB0030",1.12,45,50,"OPAU48"
"1003","OPAU50E1","EXB0030",1.74,45,78,"OPAU50"
"1004","OPAU52E1","EXB0030",0.16,45,7,"OPAU52"
"1005","OPAU54E1","EXB0030",0.08,45,4,"OPAU54"
"1006","OPAU56E1","EXB0030",0.84,45,38,"OPAU56"
"1007","OPAU58E1","EXB0030",0.9,45,41,"OPAU58"
"1008","OPAU60E1","EXB0030",1.16,45,52,"OPAU60"
"1009","OPAU62E1","EXB0030",0.18,45,8,"OPAU62"
"1010","OPAU64E1","EXB0030",0.59,45,27,"OPAU64"
"1011","OPAU66E1","EXB0030",0.48,45,22,"OPAU66"
"1012","OPAU68E1","EXB0030",1.72,45,77,"OPAU68"
"1013","OPAU70E1","EXB0030",0.31,45,14,"OPAU70"
"1014","OPAU72E1","EXB0030",0.69,45,31,"OPAU72"
"1015","ACB19E1","EXB0030",0.41,45,18,"ACB19"
"1016","ACB20E1","EXB0030",1.02,45,46,"ACB20"
"1017","ACB21E1","EXB0030",0.11,45,5,"ACB21"
"1018","ACB22E1","EXB0030",0.16,45,7,"ACB22"
"1019","ACB23E1","EXB0030",0.14,45,6,"ACB23"
"1020","ABZ56E1","EXB0030",0.06,45,3,"ABZ56"
"1021","ABZ58E1","EXB0030",1.22,45,55,"ABZ58"
"1022","ABZ62E1","EXB0030",3.73,45,168,"ABZ62"
"1023","ABZ64E1","EXB0030",0.18,45,8,"ABZ64"
"1024","ABZ66E1","EXB0030",5.05,45,227,"ABZ66"
"1025","ABZ68E1","EXB0030",3.77,45,170,"ABZ68"
"1026","AGF06E1","EXB0030",13.1,45,590,"AGF06"
"1027","AGF10E1","EXB0030",8.71,45,392,"AGF10"
"1028","AGF18E1","EXB0030",0.5,45,23,"AGF18"
"1029","AGF24E1","EXB0030",1.58,45,71,"AGF24"
"1030","AGF26E1","EXB0030",0.73,45,33,"AGF26"
"1031","AGF86E1","EXB0030",0.4,45,18,"AGF86"
"1032","AGF90E1","EXB0030",1.34,45,60,"AGF90"
"1033","AGF91E1","EXB0030",1.13,45,51,"AGF91"
"1034","AGF95E1","EXB0030",2.23,45,100,"AGF95"
"1035","AGF98E1","EXB0030",1.05,45,47,"AGF98"
"1036","AGH20E1","EXB0030",0.24,45,11,"AGH20"
"1037","AGH22E1","EXB0030",16.3,45,734,"AGH22"
"1038","AGH23E1","EXB0030",1.78,45,80,"AGH23"
"1039","AGH24E1","EXB0030",6.15,45,277,"AGH24"
"1040","AGH37E1","EXB0030",0.67,45,30,"AGH37"
"1041","AGH38E1","EXB0030",0.55,45,25,"AGH38"
"1042","AGH42E1","EXB0030",1.91,45,86,"AGH42"
"1043","AGH43E1","EXB0030",0.01,45,1,"AGH43"
"1044","AGH49E1","EXB0030",1.39,45,63,"AGH49"
"1045","C1_EXB0030E1","EXB0030",0.04,45,2,"C1_EXB0030"
"1046","ABS02E2","EXB0031",7.3,45,329,"ABS02"
"1047","ABS12E2","EXB0031",0.72,45,32,"ABS12"
"1048","ABS20E2","EXB0031",0,45,0,"ABS20"
"1049","ABS26E2","EXB0031",1.8,45,81,"ABS26"
"1050","ABS28E2","EXB0031",1.62,45,73,"ABS28"
"1051","ABS32E2","EXB0031",0.62,45,28,"ABS32"
"1052","ABS40E2","EXB0031",0.56,45,25,"ABS40"
"1053","ABS42E2","EXB0031",0.61,45,27,"ABS42"
"1054","ABS92E2","EXB0031",0.37,45,16,"ABS92"
