"library_id","library_batch","sample_id","extraction_id","sequencing_datasets","library_input_volume","library_input_dna","library_input_dna_concentration","library_adaptor_molarity","library_PCR_cycles_required"
"AAD09E1L1","LIB0002","AAD09","AAD09E1","",24,0,0,10,12
"AAC55E1L1","LIB0002","AAC55","AAC55E1","",24,6.7,0.28,10,12
"C1_EXB0002E1L1","LIB0002","C1_EXB0002","C1_EXB0002E1","",24,0,0,10,12
"AAC06E1L1","LIB0002","AAC06","AAC06E1","",24,0,0,10,12
"AAC15E1L1","LIB0002","AAC15","AAC15E1","",24,1.7,0.07,10,12
"ABJ89E1L1","LIB0004","ABJ89","ABJ89E1","EHI00069",24,130.6,5.44,20,10
"AAW14E1L1","LIB0004","AAW14","AAW14E1","EHI00090",24,121,5.04,20,10
"AAW26E1L1","LIB0004","AAW26","AAW26E1","EHI00096,EHI01242",24,5.6,0.23,10,16
"ABL25E1L1","LIB0004","ABL25","ABL25E1","EHI00085",24,12.3,0.51,10,13
"ABI56E1L1","LIB0004","ABI56","ABI56E1","EHI00089",18,190.8,10.6,20,10
"AAW13E1L1","LIB0004","AAW13","AAW13E1","EHI00071,EHI01236",24,22.9,0.95,10,13
"ABJ51E1L1","LIB0004","ABJ51","ABJ51E1","EHI00098",11,193.6,17.6,20,10
"ABL02E1L1","LIB0004","ABL02","ABL02E1","EHI00107",19,193.8,10.2,20,10
"ABK86E1L1","LIB0004","ABK86","ABK86E1","EHI00100",24,143.8,5.99,20,10
"ABL98E1L1","LIB0004","ABL98","ABL98E1","EHI00102",24,3.9,0.16,10,16
"ABL39E1L1","LIB0004","ABL39","ABL39E1","EHI00070",24,138,5.75,20,10
"ABK03E1L1","LIB0004","ABK03","ABK03E1","EHI00111",24,16,0.67,10,16
"ABL19E1L1","LIB0004","ABL19","ABL19E1","EHI00079",24,14.8,0.62,10,13
"ABI40E1L1","LIB0004","ABI40","ABI40E1","EHI00076",15,192,12.8,20,10
"AAW15E1L1","LIB0004","AAW15","AAW15E1","EHI00099,EHI01243",24,18.5,0.77,10,16
"ABJ75E1L1","LIB0004","ABJ75","ABJ75E1","EHI00103",24,167,6.96,20,7
"ABI38E1L1","LIB0004","ABI38","ABI38E1","",15,190.5,12.7,20,NA
"ABK71E1L1","LIB0004","ABK71","ABK71E1","EHI00088",18,190.8,10.6,20,10
"ABL01E1L1","LIB0004","ABL01","ABL01E1","EHI00073",24,160.3,6.68,20,7
"ABL37E1L1","LIB0004","ABL37","ABL37E1","EHI00080",24,87.1,3.63,20,13
"ABJ73E1L1","LIB0004","ABJ73","ABJ73E1","EHI00110",24,55.7,2.32,20,13
"ABL45E1L1","LIB0004","ABL45","ABL45E1","EHI00077",24,122.6,5.11,20,10
"ABL92E1L1","LIB0004","ABL92","ABL92E1","EHI00093",24,37,1.54,10,13
"ABK61E1L1","LIB0004","ABK61","ABK61E1","EHI00113",12,193.2,16.1,20,10
"AAW21E1L1","LIB0004","AAW21","AAW21E1","EHI00094,EHI01241",24,2.4,0.1,10,19
"ABK67E1L1","LIB0004","ABK67","ABK67E1","EHI00105",15,190.5,12.7,20,10
"ABK12E1L1","LIB0004","ABK12","ABK12E1","EHI00072",24,72,3,20,13
"AAW12E1L1","LIB0004","AAW12","AAW12E1","EHI00087,EHI01240",24,17.4,0.73,10,13
"AAW11E1L1","LIB0004","AAW11","AAW11E1","EHI00078",24,3.9,0.16,10,16
"ABK18E1L1","LIB0004","ABK18","ABK18E1","EHI00075",15,189,12.6,20,10
"ABL51E1L1","LIB0004","ABL51","ABL51E1","EHI00074",24,39.8,1.66,10,13
"ABK90E1L1","LIB0004","ABK90","ABK90E1","EHI00086",24,190.3,7.93,20,10
"ABJ49E1L1","LIB0004","ABJ49","ABJ49E1","",24,199.2,8.3,20,NA
"ABI58E1L1","LIB0004","ABI58","ABI58E1","EHI00091",24,153.6,6.4,20,10
"ABJ91E1L1","LIB0004","ABJ91","ABJ91E1","EHI00092",21,195.3,9.3,20,10
"ABL27E1L1","LIB0004","ABL27","ABL27E1","EHI00108",24,13,0.54,10,13
"ABK73E1L1","LIB0004","ABK73","ABK73E1","EHI00101",24,24,1,10,13
"AAW20E1L1","LIB0004","AAW20","AAW20E1","EHI00084,EHI01239",24,2,0.08,10,16
"ABM11E1L1","LIB0004","ABM11","ABM11E1","EHI00106",24,0,0,10,19
"ABJ79E1L1","LIB0004","ABJ79","ABJ79E1","",18,198,11,20,NA
"ABK20E1L1","LIB0004","ABK20","ABK20E1","EHI00112",11,184.8,16.8,20,10
"AAW31E1L1","LIB0004","AAW31","AAW31E1","EHI00082,EHI01237",24,5.8,0.24,10,16
"ABK88E1L1","LIB0004","ABK88","ABK88E1","EHI00081",19,193.8,10.2,20,10
"AAW19E1L1","LIB0004","AAW19","AAW19E1","EHI00083,EHI01238",24,22.8,0.95,10,13
"ABL86E1L1","LIB0004","ABL86","ABL86E1","EHI00095",24,188.9,7.87,20,10
"AAW18E1L1","LIB0004","AAW18","AAW18E1","EHI00109",24,22.2,0.92,10,13
"ABK46E1L1","LIB0004","ABK46","ABK46E1","EHI00097",24,4.1,0.17,10,16
"ABL31E1L1","LIB0004","ABL31","ABL31E1","EHI00104",19,191.9,10.1,20,7
"ABL29E1L1","LIB0005","ABL29","ABL29E1","EHI00114",24,133.4,5.56,20,10
"ABJ45E1L1","LIB0005","ABJ45","ABJ45E1","",13,185.9,14.3,20,NA
"ABK55E1L1","LIB0005","ABK55","ABK55E1","EHI00126",24,145,6.04,20,10
"ABJ83E1L1","LIB0005","ABJ83","ABJ83E1","EHI00139",20,192.6,9.63,20,10
"ABK16E1L1","LIB0005","ABK16","ABK16E1","EHI00120",19,197.6,10.4,20,10
