"library_id","library_batch","sample_id","extraction_id","sequencing_datasets","library_input_volume","library_input_dna","library_input_dna_concentration","library_adaptor_molarity","library_PCR_cycles_required"
"AAS15E2L1","LIB0012","AAS15","AAS15E2","EHI00151",24,4.6,0.19,10,10
"AAS06E2L1","LIB0012","AAS06","AAS06E2","EHI00166",24,20.6,0.86,10,10
"AAB64E2L1","LIB0012","AAB64","AAB64E2","EHI00162",24,0,0,10,19
"ABA68E1L1","LIB0012","ABA68","ABA68E1","",17,198.9,11.7,20,13
"AAB01E1L1","LIB0012","AAB01","AAB01E1","",6,185.4,30.9,20,10
"AAC36E2L1","LIB0012","AAC36","AAC36E2","EHI00155",24,4.6,0.19,10,13
"AAA73E1L1","LIB0012","AAA73","AAA73E1","",3,156,52,20,10
"AAC55E2L1","LIB0012","AAC55","AAC55E2","EHI00160",24,7,0.29,10,10
"ABB26E1L1","LIB0012","ABB26","ABB26E1","EHI00144",7,176.4,25.2,20,10
"AAC26E2L1","LIB0012","AAC26","AAC26E2","EHI00157",24,1.7,0.07,10,13
"AAV25E1L1","LIB0012","AAV25","AAV25E1","",3,171,57,20,10
"AAU97E1L1","LIB0012","AAU97","AAU97E1","",14,189,13.5,20,16
"ABA55E1L1","LIB0012","ABA55","ABA55E1","",24,93.4,3.89,20,10
"AAC06E2L1","LIB0012","AAC06","AAC06E2","EHI00143",24,4,0.16,10,13
"AAU83E1L1","LIB0012","AAU83","AAU83E1","",17,195.5,11.5,20,13
"AAV39E1L1","LIB0012","AAV39","AAV39E1","EHI00153",21,196.1,9.34,20,7
"AAB74E2L1","LIB0012","AAB74","AAB74E2","EHI00152",24,0,NA,10,19
"AAS05E2L1","LIB0012","AAS05","AAS05E2","EHI00148",24,13.4,0.56,10,13
"ABA64E1L1","LIB0012","ABA64","ABA64E1","",22,196.9,8.95,20,7
"ABA61E1L1","LIB0012","ABA61","ABA61E1","EHI00289",13,193.7,14.9,20,10
"AAC15E2L1","LIB0012","AAC15","AAC15E2","EHI00163",24,0,0,10,19
"AAA57E1L1","LIB0012","AAA57","AAA57E1","EHI00276",19,193.8,10.2,20,10
"AAC40E2L1","LIB0012","AAC40","AAC40E2","EHI00156",24,8.6,0.36,10,19
"AAA53E1L1","LIB0012","AAA53","AAA53E1","",24,105.4,4.39,20,19
"ABA60E1L1","LIB0012","ABA60","ABA60E1","",22,196.5,8.93,20,7
"AAC09E2L1","LIB0012","AAC09","AAC09E2","EHI00159",24,99.1,4.13,20,7
"AAW16E2L1","LIB0012","AAW16","AAW16E2","EHI00165",7,179.9,25.7,20,10
"AAA48E1L1","LIB0012","AAA48","AAA48E1","EHI00302",24,86.9,3.62,20,10
"AAC33E2L1","LIB0012","AAC33","AAC33E2","EHI00140",7,183.4,26.2,20,10
"AAU89E1L1","LIB0012","AAU89","AAU89E1","EHI00158",20,200,10,20,7
"AAB84E2L1","LIB0012","AAB84","AAB84E2","EHI00146",24,57.6,2.4,20,10
"C1_EXB0008E1L1","LIB0012","C1_EXB0008","C1_EXB0008E1","",0,0,0.06,10,19
"AAV40E1L1","LIB0012","AAV40","AAV40E1","EHI00161",5,180.5,36.1,20,7
"ABB03E1L1","LIB0013","ABB03","ABB03E1","EHI00167",24,27.8,1.16,10,10
"ABJ45E1L2","LIB0013","ABJ45","ABJ45E1","EHI00182",13,185.9,14.3,20,7
"ABJ79E1L2","LIB0013","ABJ79","ABJ79E1","EHI00176",18,198,11,20,13
"AAB37E1L1","LIB0013","AAB37","AAB37E1","",24,171.4,7.14,20,7
"AAU70E1L1","LIB0013","AAU70","AAU70E1","",15,189,12.6,20,7
"AAS13E2L1","LIB0013","AAS13","AAS13E2","EHI00168",24,15.8,0.66,10,10
"AAA56E1L1","LIB0013","AAA56","AAA56E1","",24,38.6,1.61,10,7
"AAB23E1L1","LIB0013","AAB23","AAB23E1","",10,199,19.9,20,7
"AAS16E2L1","LIB0013","AAS16","AAS16E2","EHI00170",24,36.5,1.52,10,7
"ABJ49E1L2","LIB0013","ABJ49","ABJ49E1","EHI00177",24,199.2,8.3,20,7
"ABK05E1L2","LIB0013","ABK05","ABK05E1","EHI00180",24,132.7,5.53,20,10
"AAU91E1L1","LIB0013","AAU91","AAU91E1","EHI00169",6,191.4,31.9,20,7
"ABA58E1L1","LIB0013","ABA58","ABA58E1","",24,136.8,5.7,20,13
"ABL72E1L2","LIB0013","ABL72","ABL72E1","EHI00179",11,198,18,20,7
"AAC21E2L1","LIB0013","AAC21","AAC21E2","EHI00171",24,3.8,0.16,10,13
"AAA64E1L1","LIB0013","AAA64","AAA64E1","EHI00242",24,73,3.04,20,7
"ABA65E1L1","LIB0013","ABA65","ABA65E1","EHI00231",6,178.2,29.7,20,7
"AAU84E1L1","LIB0013","AAU84","AAU84E1","",24,128.6,5.36,20,7
"AAC14E2L1","LIB0013","AAC14","AAC14E2","EHI00173",24,0,0,10,19
"AAV27E1L1","LIB0013","AAV27","AAV27E1","EHI00320",10,193,19.3,20,10
"ABI47E2L2","LIB0013","ABI47","ABI47E2","EHI00175",18,194.4,10.8,20,7
"AAA92E1L1","LIB0013","AAA92","AAA92E1","EHI00247",24,93.1,3.88,20,7
"AAB78E2L1","LIB0013","AAB78","AAB78E2","EHI00174",24,0,0,10,19
"AAB32E1L1","LIB0013","AAB32","AAB32E1","",21,199.5,9.5,20,7
"ABI38E1L2","LIB0013","ABI38","ABI38E1","EHI00178",15,190.5,12.7,20,7
"AAA75E1L1","LIB0013","AAA75","AAA75E1","",20,192.4,9.62,20,10
"ABJ71E1L2","LIB0013","ABJ71","ABJ71E1","EHI00181",24,71.3,14,20,7
"AAS01E2L1","LIB0013","AAS01","AAS01E2","EHI00172",24,9.4,0.39,10,10
"OPAU2E1L1","LIB0014","OPAU2","OPAU2E1","EHI00183",24,5.7,0.24,10,10
"OPAU6E1L1","LIB0014","OPAU6","OPAU6E1","EHI00185",24,14.2,0.59,10,13
"OPAU10E1L1","LIB0014","OPAU10","OPAU10E1","EHI00187",24,5.6,0.23,10,13
"OPAU8E1L1","LIB0014","OPAU8","OPAU8E1","EHI00186",24,9.5,0.39,10,10
"OPAU12E1L1","LIB0014","OPAU12","OPAU12E1","EHI00188",24,6.7,0.28,10,10
"OPAU4E1L1","LIB0014","OPAU4","OPAU4E1","EHI00184",24,3.7,0.15,10,10
"C1_EXB0009E1L1","LIB0014","C1_EXB0009","C1_EXB0009E1","",24,0,0,10,19
"OPAU14E1L1","LIB0014","OPAU14","OPAU14E1","EHI00189",24,16.4,0.68,10,13
"AAX73E1L1","LIB0015","AAX73","AAX73E1","EHI00217",24,31,1.29,10,10
"AAX75E1L1","LIB0015","AAX75","AAX75E1","EHI00226",24,4.3,0.18,10,16
"AAX76E1L1","LIB0015","AAX76","AAX76E1","EHI00211",24,1.3,0.06,10,16
"AAX83E1L1","LIB0015","AAX83","AAX83E1","",24,0,0,10,19
"AAH51E1L1","LIB0015","AAH51","AAH51E1","EHI00283",24,9.6,0.4,10,19
"AAH18E1L1","LIB0015","AAH18","AAH18E1","EHI00279",24,7.7,0.32,10,16
"AAI03E1L1","LIB0015","AAI03","AAI03E1","EHI00322",24,34.8,1.45,10,16
"AAH32E1L1","LIB0015","AAH32","AAH32E1","EHI00318",24,8.4,0.35,10,16
"AAH52E1L1","LIB0015","AAH52","AAH52E1","EHI00313",24,11,0.46,10,16
"AAH33E1L1","LIB0015","AAH33","AAH33E1","EHI00229",24,65.5,2.73,10,13
"AAH19E1L1","LIB0015","AAH19","AAH19E1","EHI00265",24,1.6,0.07,10,19
"AAH61E1L1","LIB0015","AAH61","AAH61E1","EHI00221",24,18.2,0.76,10,13
"AAI04E1L1","LIB0015","AAI04","AAI04E1","EHI00241",24,23.9,1,10,13
"L1","LIB0015","","","",24,0,NA,10,19
"C2_EXB0010E1L1","LIB0015","C2_EXB0010","C2_EXB0010E1","",24,0,0,10,19
"AAH27E1L1","LIB0015","AAH27","AAH27E1","EHI00297",24,42,1.75,10,16
"AAX93E1L1","LIB0015","AAX93","AAX93E1","EHI00233",24,29.8,1.24,10,13
"AAH60E1L1","LIB0015","AAH60","AAH60E1","EHI00281",24,16.8,0.7,10,13
"C1_EXB0010E1L1","LIB0015","C1_EXB0010","C1_EXB0010E1","",24,0,0,10,19
"AAX97E1L1","LIB0015","AAX97","AAX97E1","EHI00237",24,7.2,0.3,10,13
"AAX81E1L1","LIB0015","AAX81","AAX81E1","EHI00273",24,0,0,10,19
"L1","LIB0016","","","",25,4.8,NA,10,16
"L1","LIB0016","","","",25,7.7,NA,10,16
"L1","LIB0016","","","",25,10.6,NA,10,16
"L1","LIB0016","","","",25,28.3,NA,10,16
"L1","LIB0016","","","",25,12.6,NA,10,16
"L1","LIB0016","","","",25,42.5,NA,10,16
"L1","LIB0016","","","",25,24.8,NA,10,16
"L1","LIB0016","","","",25,13.9,NA,10,16
"L1","LIB0016","","","",25,6.6,NA,10,16
"L1","LIB0016","","","",25,NA,NA,10,16
"L1","LIB0016","","","",25,50.5,NA,20,16
"L1","LIB0016","","","",25,5.5,NA,10,16
"L1","LIB0016","","","",0,NA,NA,10,16
"L1","LIB0016","","","",25,12.6,NA,10,16
"L1","LIB0016","","","",25,17.6,NA,10,16
"L1","LIB0016","","","",25,103.5,NA,20,16
"L1","LIB0016","","","",25,NA,NA,10,16
"L1","LIB0016","","","",25,4.6,NA,10,16
"L1","LIB0016","","","",25,11.6,NA,10,16
"L1","LIB0016","","","",25,8,NA,10,16
"L1","LIB0016","","","",25,74.8,NA,20,16
"L1","LIB0016","","","",0,NA,NA,10,16
"L1","LIB0016","","","",25,11.1,NA,10,16
"L1","LIB0016","","","",25,125,NA,20,16
"L1","LIB0016","","","",25,29,NA,10,16
"L1","LIB0016","","","",25,6.8,NA,10,16
"L1","LIB0016","","","",25,5.7,NA,10,16
"L1","LIB0016","","","",25,2.4,NA,10,16
"L1","LIB0016","","","",25,2.3,NA,10,16
"L1","LIB0016","","","",25,5.9,NA,10,16
"L1","LIB0016","","","",25,NA,NA,10,16
"L1","LIB0016","","","",25,7.1,NA,10,16
"L1","LIB0016","","","",25,35.3,NA,10,16
"L1","LIB0016","","","",25,NA,NA,10,16
"ABW28E1L1","LIB0017","ABW28","ABW28E1","EHI00342",24,90.5,3.77,20,13
"ABW34E1L1","LIB0017","ABW34","ABW34E1","EHI00328",24,144.7,6.03,20,13
"ADF10E1L1","LIB0017","ADF10","ADF10E1","EHI00311",24,32.2,1.34,20,19
"AAL73E1L1","LIB0017","AAL73","AAL73E1","EHI00331",24,58.6,2.44,20,13
"AAM10E1L1","LIB0017","AAM10","AAM10E1","EHI00346",24,165.6,6.9,20,13
"ADF01E1L1","LIB0017","ADF01","ADF01E1","EHI00316",24,67,2.79,20,13
"ABG37E1L1","LIB0017","ABG37","ABG37E1","EHI00332",24,57.6,2.4,20,13
"AAM41E1L1","LIB0017","AAM41","AAM41E1","EHI00350",24,161.8,6.74,20,13
"ABG02E1L1","LIB0017","ABG02","ABG02E1","EHI00343",24,92.4,3.85,20,13
"ABW36E1L1","LIB0017","ABW36","ABW36E1","EHI00338",24,73.9,3.08,20,13
"ADA10E1L1","LIB0017","ADA10","ADA10E1","EHI00201",24,28.3,1.18,20,19
"ADM55E1L1","LIB0017","ADM55","ADM55E1","EHI00340",15,199.5,13.3,20,10
"ADK23E1L1","LIB0017","ADK23","ADK23E1","",23,193,8.39,20,NA
"AAM53E1L1","LIB0017","AAM53","AAM53E1","",24,74.4,3.1,20,NA
"ABW37E1L1","LIB0017","ABW37","ABW37E1","EHI00327",24,152.6,6.36,20,13
"AAN04E1L1","LIB0017","AAN04","AAN04E1","EHI00335",10,197,19.7,20,10
"ACZ32E1L1","LIB0017","ACZ32","ACZ32E1","EHI00357",24,29.8,1.24,20,19
"ABG28E1L1","LIB0017","ABG28","ABG28E1","",24,68.4,2.85,20,13
"ADJ98E1L1","LIB0017","ADJ98","ADJ98E1","EHI00299",24,101.8,4.24,20,13
"ADK21E1L1","LIB0017","ADK21","ADK21E1","EHI00354",24,57.6,2.4,20,16
"AAM59E1L1","LIB0017","AAM59","AAM59E1","EHI00330",24,33.8,1.41,20,16
"ADF33E1L1","LIB0017","ADF33","ADF33E1","EHI00326",24,29.3,1.22,20,19
"ADJ92E1L1","LIB0017","ADJ92","ADJ92E1","",20,192.4,9.62,20,NA
"ADA31E1L1","LIB0017","ADA31","ADA31E1","EHI00298",24,38.4,1.6,20,13
"ADF30E1L1","LIB0017","ADF30","ADF30E1","EHI00304",24,4.5,0.19,20,19
"ABG64E1L1","LIB0017","ABG64","ABG64E1","EHI00309",24,276,11.5,20,16
"AAM36E1L1","LIB0017","AAM36","AAM36E1","",20,193.2,9.66,20,19
"ACZ33E1L1","LIB0017","ACZ33","ACZ33E1","",24,77.5,3.23,20,NA
"ABG38E1L1","LIB0017","ABG38","ABG38E1","",24,42,1.75,20,NA
"ADK18E1L1","LIB0017","ADK18","ADK18E1","EHI00325",24,47,1.96,20,13
"ADK03E1L1","LIB0017","ADK03","ADK03E1","EHI00359",24,29.8,1.24,20,16
"ADM46E1L1","LIB0017","ADM46","ADM46E1","EHI00355",24,30,1.25,20,16
"ABG11E1L1","LIB0017","ABG11","ABG11E1","EHI00349",24,82.1,3.42,20,13
"ACB37E1L1","LIB0017","ACB37","ACB37E1","EHI00348",24,43.4,1.81,20,16
"ACZ48E1L1","LIB0017","ACZ48","ACZ48E1","EHI00358",24,38.4,1.6,20,16
"ADK29E1L1","LIB0017","ADK29","ADK29E1","EHI00353",24,81.6,3.4,20,13
"ACZ58E1L1","LIB0017","ACZ58","ACZ58E1","EHI00356",24,54.2,2.26,20,16
"C1_EXB0013E1L1","LIB0017","C1_EXB0013","C1_EXB0013E1","EHI00195",24,0,0,10,19
"ABW32E1L1","LIB0017","ABW32","ABW32E1","EHI00339",24,53.5,2.23,20,13
"ACZ34E1L1","LIB0017","ACZ34","ACZ34E1","EHI00345",24,50.2,2.09,20,16
"ADM62E1L1","LIB0017","ADM62","ADM62E1","EHI00351",24,190.1,7.92,20,13
"ADK10E1L1","LIB0017","ADK10","ADK10E1","",24,42.2,1.76,20,NA
"ADK31E1L1","LIB0017","ADK31","ADK31E1","",24,32.9,1.37,20,NA
"ABW39E1L1","LIB0017","ABW39","ABW39E1","EHI00341",24,135.8,5.66,20,13
"ADF26E1L1","LIB0017","ADF26","ADF26E1","EHI00347",24,49,2.04,20,19
"ABG57E1L1","LIB0017","ABG57","ABG57E1","",12,199.2,16.6,20,NA
"AAL47E1L1","LIB0017","AAL47","AAL47E1","EHI00336",24,158.4,6.6,20,13
"ACB36E1L1","LIB0017","ACB36","ACB36E1","EHI00352",24,33.8,1.41,20,19
"BATA19E1L1","LIB0018","BATA19","BATA19E1","EHI00295",24,159.4,6.64,20,10
"BATA08E1L1","LIB0018","BATA08","BATA08E1","EHI00315",18,199.8,11.1,20,10
"BATC11E1L1","LIB0018","BATC11","BATC11E1","EHI00248",20,195.8,9.79,20,7
"BATC02E1L1","LIB0018","BATC02","BATC02E1","EHI00310",10,193,19.3,20,10
"BATB05E1L1","LIB0018","BATB05","BATB05E1","EHI00323",24,33.6,1.4,10,13
"BATA07E1L1","LIB0018","BATA07","BATA07E1","EHI00303",13,192.4,14.8,20,10
"BATB12E1L1","LIB0018","BATB12","BATB12E1","EHI00293",24,54.7,2.28,20,10
"BATB04E1L1","LIB0018","BATB04","BATB04E1","EHI00194",24,15.4,0.64,10,13
"C1_EXB0012E1L1","LIB0018","C1_EXB0012","C1_EXB0012E1","EHI00193",24,0,0,10,19
"BATA17E1L1","LIB0018","BATA17","BATA17E1","EHI00286",22,191.6,8.71,20,7
"BATA01E1L1","LIB0018","BATA01","BATA01E1","EHI00239",12,186,15.5,20,7
"BATC14E1L1","LIB0018","BATC14","BATC14E1","EHI00222",20,192,9.6,20,7
"BATC12E1L1","LIB0018","BATC12","BATC12E1","EHI00334",24,192.5,8.02,20,10
"BATB16E1L1","LIB0018","BATB16","BATB16E1","EHI00321",24,43.2,1.8,10,13
"BATB13E1L1","LIB0018","BATB13","BATB13E1","EHI00263",24,44.4,1.85,10,10
"BATB03E1L1","LIB0018","BATB03","BATB03E1","EHI00292",24,17.5,0.73,10,13
"BATA20E1L1","LIB0018","BATA20","BATA20E1","EHI00307",24,196.8,8.2,20,10
"BATB07E1L1","LIB0018","BATB07","BATB07E1","EHI00306",24,16.3,0.68,10,13
"BATC05E1L1","LIB0018","BATC05","BATC05E1","EHI00257",13,187.2,14.4,20,7
"BATA06E1L1","LIB0018","BATA06","BATA06E1","EHI00317",12,196.8,16.4,20,10
"BATA13E1L1","LIB0018","BATA13","BATA13E1","EHI00308",24,181.4,7.56,20,10
"BATB11E1L1","LIB0018","BATB11","BATB11E1","EHI00329",24,43.7,1.82,10,10
"BATA05E1L1","LIB0018","BATA05","BATA05E1","EHI00312",15,195,13,20,10
"BATB10E1L1","LIB0018","BATB10","BATB10E1","EHI00278",24,22.1,0.92,10,10
"BATC07E1L1","LIB0018","BATC07","BATC07E1","EHI00314",13,197.6,15.2,20,10
"BATC17E1L1","LIB0018","BATC17","BATC17E1","EHI00305",24,197.3,8.22,20,10
"BATC20E1L1","LIB0018","BATC20","BATC20E1","EHI00246",24,181,7.54,20,7
"BATA18E1L1","LIB0018","BATA18","BATA18E1","EHI00261",24,187,7.79,20,10
"BATB17E1L1","LIB0018","BATB17","BATB17E1","EHI00324",24,44.4,1.85,10,13
"BATC04E1L1","LIB0018","BATC04","BATC04E1","EHI00333",20,290,14.5,20,10
"BATC18E1L1","LIB0018","BATC18","BATC18E1","EHI00319",18,196.2,10.9,20,10
"ABS02E1L1","LIB0019","ABS02","ABS02E1","",24,199.7,8.32,20,7
"ABG38E1L2","LIB0019","ABG38","ABG38E1","",24,42,1.75,20,10
"ABS42E1L1","LIB0019","ABS42","ABS42E1","",24,41.8,1.74,10,7
"ABS20E1L1","LIB0019","ABS20","ABS20E1","",24,35.3,1.47,10,10
"ACZ33E1L2","LIB0019","ACZ33","ACZ33E1","",24,77.5,3.23,20,7
"AAM53E1L2","LIB0019","AAM53","AAM53E1","EHI00216",24,74.4,3.1,20,10
"ADK23E1L2","LIB0019","ADK23","ADK23E1","",23,193,8.39,20,7
"ABS96E1L1","LIB0019","ABS96","ABS96E1","",24,57.6,2.4,20,7
"ABS28E1L1","LIB0019","ABS28","ABS28E1","EHI00227",24,83.8,3.49,20,7
"ADV25E1L1","LIB0019","ADV25","ADV25E1","",24,44.4,1.85,10,10
"ABS26E1L1","LIB0019","ABS26","ABS26E1","",24,81.8,3.41,20,7
"ABS40E1L1","LIB0019","ABS40","ABS40E1","",24,14.1,0.59,10,10
"ADA63E1L1","LIB0019","ADA63","ADA63E1","",24,58.1,2.42,20,7
"ABS94E1L1","LIB0019","ABS94","ABS94E1","",24,31.4,1.31,10,7
"ADA70E1L1","LIB0019","ADA70","ADA70E1","",24,35.5,1.48,10,7
"ADA68E1L1","LIB0019","ADA68","ADA68E1","",24,24.2,1.01,10,7
"ACP13E1L1","LIB0019","ACP13","ACP13E1","",24,13.3,0.56,10,10
"ABS32E1L1","LIB0019","ABS32","ABS32E1","",24,37.2,1.55,10,10
"ADJ92E1L2","LIB0019","ADJ92","ADJ92E1","",20,192.4,9.62,20,7
"ACO90E1L1","LIB0019","ACO90","ACO90E1","",24,60.2,2.51,20,7
"ADK31E1L2","LIB0019","ADK31","ADK31E1","",24,32.9,1.37,20,10
"ACX42E1L1","LIB0019","ACX42","ACX42E1","",24,11.1,0.46,10,10
"ADV55E1L1","LIB0019","ADV55","ADV55E1","",24,2.1,0.09,10,13
"ADA65E1L1","LIB0019","ADA65","ADA65E1","",24,6,0.25,10,10
"ABS92E1L1","LIB0019","ABS92","ABS92E1","",24,22.1,0.92,10,7
"ADV57E1L1","LIB0019","ADV57","ADV57E1","",24,0,0,10,16
"ADK10E1L2","LIB0019","ADK10","ADK10E1","",24,42.2,1.76,20,10
"ACX32E1L1","LIB0019","ACX32","ACX32E1","",24,90,3.75,20,7
"ACP12E1L1","LIB0019","ACP12","ACP12E1","",24,8.2,0.34,10,10
"ADA72E1L1","LIB0019","ADA72","ADA72E1","",24,25.2,1.05,10,7
"C1_EXB0014E1L1","LIB0019","C1_EXB0014","C1_EXB0014E1","",24,0,0,10,19
"ABS12E1L1","LIB0019","ABS12","ABS12E1","",24,23.8,0.99,10,10
"ABG57E1L2","LIB0019","ABG57","ABG57E1","",12,199.2,16.6,20,10
"ADA67E1L1","LIB0019","ADA67","ADA67E1","",24,22.4,0.93,10,7
"ACO91E1L1","LIB0019","ACO91","ACO91E1","",24,19.4,0.81,10,10
"ACX40E1L1","LIB0019","ACX40","ACX40E1","",24,4.9,0.21,10,16
"ABU61E1L1","LIB0020","ABU61","ABU61E1","",24,0,0,10,20
"ABL88E1L1","LIB0020","ABL88","ABL88E1","EHI00296",24,75.1,3.13,20,9
"ACH41E1L1","LIB0020","ACH41","ACH41E1","EHI00254",24,3.6,0.15,10,16
"C1_EXB0018E1L1","LIB0020","C1_EXB0018","C1_EXB0018E1","EHI00190",24,0,0,10,22
"ABM15E1L1","LIB0020","ABM15","ABM15E1","",24,0,0,10,20
"ABT03E1L1","LIB0020","ABT03","ABT03E1","EHI00271",24,9.7,0.41,10,11
"ABH62E1L1","LIB0020","ABH62","ABH62E1","EHI00228",24,128.6,5.36,20,12
"ADU85E1L1","LIB0020","ADU85","ADU85E1","",24,0,0,10,20
"ABT43E1L1","LIB0020","ABT43","ABT43E1","",24,0,0,10,17
"ABH60E1L1","LIB0020","ABH60","ABH60E1","EHI00196",24,184.8,7.7,20,7
"ABM07E1L1","LIB0020","ABM07","ABM07E1","EHI00205",24,102.7,4.28,20,12
"ABU62E1L1","LIB0020","ABU62","ABU62E1","",24,0,0,10,20
"ABT33E1L1","LIB0020","ABT33","ABT33E1","EHI00256",24,1.4,0.06,10,15
"ABU38E1L1","LIB0020","ABU38","ABU38E1","",24,0,0,10,20
"ABT87E1L1","LIB0020","ABT87","ABT87E1","EHI00249",24,42.7,1.78,10,12
"C1_EXB0017E1L1","LIB0020","C1_EXB0017","C1_EXB0017E1","",24,0,0,10,20
"ABT86E1L1","LIB0020","ABT86","ABT86E1","EHI00268",24,17.5,0.73,10,14
"ABC65E1L1","LIB0020","ABC65","ABC65E1","EHI00212",24,7.9,0.33,10,16
"ABT13E1L1","LIB0020","ABT13","ABT13E1","EHI00251",24,4.1,0.17,10,17
"ABM17E1L1","LIB0020","ABM17","ABM17E1","",24,0,0,10,21
"ACP21E1L1","LIB0020","ACP21","ACP21E1","",24,4.5,0.19,10,18
"ABH56E1L1","LIB0020","ABH56","ABH56E1","",23.1,200,8.66,20,13
"ABU49E1L1","LIB0020","ABU49","ABU49E1","",24,0,0,10,21
"ABH58E1L1","LIB0020","ABH58","ABH58E1","EHI00244",24,83.3,3.47,20,13
"ABC67E1L1","LIB0020","ABC67","ABC67E1","",24,0,0,10,21
"ABT15E1L1","LIB0020","ABT15","ABT15E1","EHI00252",21.3,200,9.39,20,10
"ABU54E1L1","LIB0020","ABU54","ABU54E1","EHI00285",19.8,200,10.1,20,9
"ABL68E1L1","LIB0020","ABL68","ABL68E1","",24,33.6,1.4,10,13
"ACP10E1L1","LIB0020","ACP10","ACP10E1","EHI00267",24,4.2,0.18,10,17
"ABT11E1L1","LIB0020","ABT11","ABT11E1","EHI00337",24,170.4,7.1,20,7
"ABU40E1L1","LIB0020","ABU40","ABU40E1","EHI00300",24,158.4,6.6,20,16
"ACP14E1L1","LIB0020","ACP14","ACP14E1","EHI00255",24,1.8,0.08,10,14
"ADU90E1L1","LIB0020","ADU90","ADU90E1","",24,1.5,0.06,10,19
"ABT47E1L1","LIB0020","ABT47","ABT47E1","",24,1.4,0.06,10,18
"AEK07E2L1","LIB0021","AEK07","AEK07E2","",24,5.3,0.22,10,19
"AAT07E2L1","LIB0021","AAT07","AAT07E2","",24,3.8,0.16,10,19
"AAT09E2L1","LIB0021","AAT09","AAT09E2","",24,2.6,0.11,10,19
"ABU59E2L1","LIB0021","ABU59","ABU59E2","",24,110.9,4.62,20,16
"ABU55E2L1","LIB0021","ABU55","ABU55E2","",20.6,200,9.73,20,16
"ABU44E2L1","LIB0021","ABU44","ABU44E2","",24,16.1,0.67,10,16
"C1_EXB0016E1L1","LIB0021","C1_EXB0016","C1_EXB0016E1","",24,13.2,0.55,10,19
"ABU28E2L1","LIB0021","ABU28","ABU28E2","",24,91,3.79,20,13
"ABT53E2L1","LIB0021","ABT53","ABT53E2","",24,28.8,1.2,10,16
"ABU30E2L1","LIB0021","ABU30","ABU30E2","",24,15.8,0.66,10,19
"ABT69E2L1","LIB0021","ABT69","ABT69E2","",24,63.4,2.64,20,16
"ABT68E2L1","LIB0021","ABT68","ABT68E2","",24,128.4,5.35,20,16
"ABT55E2L1","LIB0021","ABT55","ABT55E2","",24,61,2.54,20,16
"ABT71E2L1","LIB0021","ABT71","ABT71E2","",20.1,200,9.96,20,16
"ABU57E2L1","LIB0021","ABU57","ABU57E2","",24,173.8,7.24,20,13
"ABT51E2L1","LIB0021","ABT51","ABT51E2","",24,33.4,1.39,10,19
"ABC64E1L1","LIB0022","ABC64","ABC64E1","EHI00272",20,176.4,8.82,20,4
"ADV02E1L1","LIB0022","ADV02","ADV02E1","EHI00243",20,1.2,0.06,10,13
"ACH69E1L1","LIB0022","ACH69","ACH69E1","EHI00277",20,22.6,1.13,10,7
"ACP19E1L1","LIB0022","ACP19","ACP19E1","EHI00259",20,24.8,1.24,10,6
"ACP22E1L1","LIB0022","ACP22","ACP22E1","EHI00269",20,20.6,1.03,10,9
"ACP23E1L1","LIB0022","ACP23","ACP23E1","EHI00291",20,60.4,3.02,20,5
"ABC73E1L1","LIB0022","ABC73","ABC73E1","EHI00258",20,51.2,2.56,20,6
"ACP15E1L1","LIB0022","ACP15","ACP15E1","EHI00284",0,0,0,10,14
"ADU83E1L1","LIB0022","ADU83","ADU83E1","EHI00266",0,0,0,10,14
"C1_EXB0019E1L1","LIB0022","C1_EXB0019","C1_EXB0019E1","EHI00208",0,0,0,10,20
"ABD12E1L1","LIB0022","ABD12","ABD12E1","EHI00250",20,132.6,6.63,20,6
"ACP16E1L1","LIB0022","ACP16","ACP16E1","EHI00234",20,9.2,0.46,10,9
"ADU88E1L1","LIB0022","ADU88","ADU88E1","EHI00270",0,0,0,10,17
"ADV11E1L1","LIB0022","ADV11","ADV11E1","EHI00220",20,1.2,0.06,10,11
"ACP06E1L1","LIB0022","ACP06","ACP06E1","EHI00191",20,8.8,0.44,10,10
"ABC84E1L1","LIB0022","ABC84","ABC84E1","EHI00219",20,20.6,1.03,10,9
"AFN06E1L1","LIB0027","AFN06","AFN06E1","EHI00197",20,15.1,0.76,10,10
"AFN08E1L1","LIB0027","AFN08","AFN08E1","EHI00225",20,6.8,0.34,10,8
"AFN28E1L1","LIB0027","AFN28","AFN28E1","EHI00214",20,5.3,0.26,10,9
"ACJ39E1L1","LIB0027","ACJ39","ACJ39E1","EHI00344",20,26.8,1.34,10,6
"ACE34E1L1","LIB0027","ACE34","ACE34E1","EHI00230",20,0,0,10,16
"ACE28E1L1","LIB0027","ACE28","ACE28E1","EHI00288",20,13.6,0.68,10,8
"ACD79E1L1","LIB0027","ACD79","ACD79E1","EHI00235",20,1.1,0.06,10,16
"ACJ37E1L1","LIB0027","ACJ37","ACJ37E1","EHI00192",20,2.1,0.11,10,22
"ACD03E1L1","LIB0027","ACD03","ACD03E1","EHI00224",20,0,0,10,16
"AFN23E1L1","LIB0027","AFN23","AFN23E1","EHI00301",20,2.5,0.13,10,14
"AFN12E1L1","LIB0027","AFN12","AFN12E1","EHI00200",20,30.6,1.53,10,6
